Ensembl	baseMean	log2FoldChange	lfcSE	stat	P.Value	adj.P.Val	GeneID	Symbol
ENSG00000070495	5471.79750077241	5.5724839085868245	1.2902240789880344	4.319004736725661	1.5673441856287203e-5	9.529452648622619e-4	23210	JMJD6
ENSG00000142546	1916.335566719172	5.547134113952952	1.2817829604916897	4.327670350544433	1.50694784807816e-5	9.529452648622619e-4	51070	NOSIP
ENSG00000116977	3523.100589577217	4.6078918228630545	1.187855634309854	3.8791682168854185	1.0481425602345519e-4	0.0028378081043561095	3964	LGALS8
ENSG00000117632	4378.165725182068	4.46073735851636	1.1731071261118033	3.80249787869009	1.432444934754956e-4	0.003203837389427337	3925	STMN1
ENSG00000175482	1084.9512370324142	4.1584406804002745	1.1915538173995248	3.4899310628501476	4.831451621925891e-4	0.006842147113169861	57804	POLD4
ENSG00000254087	2700.878722418043	3.9286312912116523	1.178312060669862	3.3341178643102856	8.557038967747263e-4	0.009439502207282112	4067	LYN
ENSG00000099860	3181.418117747802	3.788737616644496	0.9790426186606591	3.86983931488859	1.0890710926805246e-4	0.0028378081043561095	4616	GADD45B
ENSG00000104064	880.0103700473475	3.700782400363486	1.3254756350647323	2.7920410624392584	0.005237670890303152	0.036463785129438736	2553	GABPB1
ENSG00000080546	2804.1663515177906	3.3242130442283235	1.2635726833722634	2.6308047712432	0.008518295382886934	0.048554283682455526	27244	SESN1
ENSG00000090339	1868.3597073810026	3.0643915875677967	1.0810802944758153	2.8345642809571623	0.004588822506082014	0.032441907949975174	3383	ICAM1
ENSG00000083845	3194.6250175019773	3.0499321797265626	0.95845679425308	3.1821279769875885	0.0014619720236945508	0.014492592234885112	6193	RPS5
ENSG00000140575	1646.120173850701	2.9600160348931666	0.9732322918290733	3.041428094550964	0.0023545879695349077	0.019521674801962145	8826	IQGAP1
ENSG00000105993	2580.398222938703	2.62551249432939	0.9934952704504069	2.6427025597606506	0.008224725229981904	0.04757407535748856	10049	DNAJB6
ENSG00000145907	2265.95356249022	2.5816605614850054	0.9460140841555826	2.7289874482042302	0.0063529121959697045	0.04109117675691042	10146	G3BP1
ENSG00000100219	5884.744066260627	2.521740241017835	0.8775980645784178	2.8734569306841315	0.004060064321821825	0.029387132234138923	7494	XBP1
