Ensembl	baseMean	log2FoldChange	lfcSE	stat	P.Value	adj.P.Val	GeneID	Symbol
ENSG00000168062	26652.18385349702	30	2.6052971060665615	11.515001467642033	1.1085765448037757e-30	1.1419446988023693e-26	116071	BATF2
ENSG00000118276	1427.1757055523976	27.684960358218518	2.8764137424707736	9.624818554245179	6.281769154670256e-22	2.1569501354086102e-18	9331	B4GALT6
ENSG00000147145	475.2175241540534	26.14864239517672	2.8400294769842516	9.207172885734705	3.348271462100634e-20	8.622636082774658e-17	2846	LPAR4
ENSG00000166508	88.63454398419317	23.812857459527606	2.758442874705034	8.63271727607336	5.991139228006946e-18	1.234294503753991e-14	4176	MCM7
ENSG00000128422	81.8983186413945	23.70476620604327	2.7717719343429668	8.552206591146668	1.2075738948696469e-17	2.073203115175372e-14	3872	KRT17
ENSG00000181143	62.75325714080877	23.3343450872606	2.828455048355504	8.24985537628659	1.585863289393049e-16	2.2064318621188645e-13	94025	MUC16
ENSG00000007908	74.98482421062742	22.981897084721584	2.7888638867808	8.24059474313381	1.713567119401118e-16	2.2064318621188645e-13	6401	SELE
ENSG00000127318	4037.840199497486	14.702432777954895	2.6187975851646934	5.614192124371566	1.9748270078797393e-8	1.6952244173474327e-5	50616	IL22
ENSG00000009830	13462.962007027643	14.026468369262549	2.2139991336375067	6.335354046059474	2.367968827597108e-10	2.7102718770086457e-7	29954	POMT2
ENSG00000070031	1431.8912093147646	13.051708465178002	2.651782222883381	4.921862871147238	8.572427449629837e-7	3.0100463932374564e-4	6343	SCT
ENSG00000176542	20923.1331156113	12.617987759945455	2.3428840947450364	5.385664527001966	7.217747618294773e-8	5.310715586861033e-5	205717	USF3
ENSG00000078043	5146.204248189435	12.38610080317294	1.9902464103946544	6.223400649529044	4.864929283093342e-10	5.011363654514451e-7	9063	PIAS2
ENSG00000133317	22606.84979689003	11.411194823186273	2.297743465967128	4.966261461386971	6.825591718274362e-7	2.627031781500945e-4	85329	LGALS12
ENSG00000089012	88.67737638759871	11.02064982104997	2.3046799382084777	4.781856967790839	1.7368324623005864e-6	5.590972248174481e-4	55423	SIRPG
ENSG00000105697	178.0512165660874	10.945131239487573	2.5440047133680386	4.302323490980164	1.690163032305544e-5	0.002290838078392027	57817	HAMP
ENSG00000165644	15305.49565029357	10.869218610080564	2.0101601217641902	5.4071407010807375	6.403883600630201e-8	5.074338843853208e-5	118881	COMTD1
ENSG00000161647	77.81422428666775	10.851328572720066	2.4099303080842494	4.502756173619902	6.7077825685683615e-6	0.0012160018781719997	4356	MPP3
ENSG00000188917	74.47880330028055	10.787690317489085	2.3829676755150726	4.526998174726542	5.98274566374243e-6	0.0011627974166454863	79979	TRMT2B
ENSG00000139193	150.8632281793252	10.716507450907391	2.716441275330035	3.945053974931001	7.978200571682785e-5	0.004950809884873757	939	CD27
ENSG00000167123	132.585631096477	10.530487777436443	2.725621572627463	3.8635179157630426	1.1176569202407507e-4	0.005727852704179091	51148	CERCAM
ENSG00000153993	59.40219051925668	10.441000576545004	3.01561875037804	3.4623078846542232	5.355641127597891e-4	0.015807581448534634	223117	SEMA3D
ENSG00000077943	225.56980184678287	10.377286773395898	2.610067743287464	3.9758687490330704	7.012279440450555e-5	0.004690486397148128	8516	ITGA8
ENSG00000198816	6165.363191456589	10.362109996642548	1.992102554723219	5.201594652882844	1.9758579840105167e-7	1.1972537113701372e-4	140467	ZNF358
ENSG00000155026	117.35430019410349	10.35483008301072	2.736253434177925	3.7843095795407216	1.5413586681706923e-4	0.006994509092875022	222967	RSPH10B
ENSG00000169402	117.35430019410349	10.35483008301072	2.736253434177925	3.7843095795407216	1.5413586681706923e-4	0.006994509092875022	728194	RSPH10B2
ENSG00000183486	49092.87276566445	10.347896980762863	2.2157202428622402	4.6702181893665315	3.0087998597501323e-6	7.947089065457978e-4	4600	MX2
ENSG00000144843	53.21341807552804	10.306641973603725	2.56748620908684	4.014293022150026	5.962423798358378e-5	0.004322141317352942	141	ADPRH
ENSG00000186166	3781.8883389577936	10.285020674774614	2.5859607798264066	3.9772531567416265	6.971593231436418e-5	0.004690486397148128	338657	CENATAC
ENSG00000177721	30221.453232726315	10.272740288009711	1.9850176073826378	5.175138119583192	2.2774244161805375e-7	1.2347236268987218e-4	389289	ANXA2R
ENSG00000164930	51.19116940639766	10.250719359166546	2.537247576045286	4.0400942564477536	5.3429724220498445e-5	0.004187273867001486	8323	FZD6
