Ensembl	baseMean	log2FoldChange	lfcSE	stat	P.Value	adj.P.Val	GeneID	Symbol
ENSG00000164400	758.7862391341362	12.932702025815566	1.054391125868674	12.26556418061731	1.38643236895262e-34	4.3335914618119035e-33	1437	CSF2
ENSG00000163736	651.3981488050189	12.049344509230139	0.9491758404371717	12.694533505699479	6.3406624217639055e-37	2.1625156106073446e-35	5473	PPBP
ENSG00000163735	30829.15268009115	12.00291294259759	0.6078487962879248	19.74654390351391	8.589897784926718e-87	1.1634812028307409e-84	6374	CXCL5
ENSG00000108702	1534.2237675117462	12.00199628313629	0.6521770450941695	18.40297258760969	1.2435213333791317e-75	1.2909022192202928e-73	6346	CCL1
ENSG00000149968	154.44869558162674	11.36032881249829	1.0582750904285223	10.734759719137116	6.9900572862577e-27	1.6034289471799518e-25	4314	MMP3
ENSG00000166670	246.02991782511845	10.638185363805286	0.9642912545361827	11.032128844642669	2.6745788252688204e-28	6.54696386453927e-27	4319	MMP10
ENSG00000124479	130.65965071202498	10.394521290306644	1.031554003053807	10.076565317506168	7.013500791018093e-24	1.3663836746556072e-22	4693	NDP
ENSG00000138135	123.12632347461474	10.29990529824605	1.0393482372689609	9.909965619714288	3.767758047334111e-23	7.050665124892858e-22	9023	CH25H
ENSG00000108342	258.32911986999824	10.145112817724218	0.9170798782371122	11.062409129754329	1.909000239760825e-28	4.697197475757518e-27	1440	CSF3
ENSG00000105825	51.1060490363201	9.760493173674986	1.0649481252861877	9.16522874863225	4.944200076343303e-20	7.900720616376905e-19	7980	TFPI2
ENSG00000205364	79.25447113155622	9.672152410401436	1.0475588467694745	9.233039690542451	2.630585612071605e-20	4.246559429612073e-19	4499	MT1M
ENSG00000166396	47.44603402332933	9.661763179384007	1.0570231343348295	9.140540888411136	6.214074198077622e-20	9.863455719314726e-19	8710	SERPINB7
ENSG00000122641	5303.20604512004	9.292148927332795	0.22549640316624575	41.207526137267116	0	0	3624	INHBA
ENSG00000135318	327.0005832381685	9.281914375790038	0.6142844495862502	15.110124278812282	1.388775723665576e-51	7.996424429948106e-50	4907	NT5E
ENSG00000205358	404.70488494494236	8.932899750575759	0.45582366892550424	19.597270522684667	1.6314320922227603e-85	2.0902907401434323e-83	4496	MT1H
ENSG00000162494	26.61966928731024	8.829570759983161	1.07645096160844	8.202483043714281	2.354719611963108e-16	3.0416732353623362e-15	126755	LRRC38
ENSG00000050730	1068.6280396026673	8.808960177472908	0.7225337167550693	12.191763475114126	3.4389794592446126e-34	1.0563534745005806e-32	79931	TNIP3
