ENSEMBL	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	EntrezID	Symbol
ENSG00000108342	845.8688592890894	11.367177537502336	1.5189996119036613	7.483331429727364	7.246183118012963e-14	2.3371545392660373e-12	1440	CSF3
ENSG00000196611	28931.027993929074	10.135841720450726	1.2484495363545498	8.118743629836414	4.710343503765486e-16	1.990120130340918e-14	4312	MMP1
ENSG00000148677	506.03224075549105	9.663682125492198	0.7260943923960667	13.309126508473152	2.048627831946171e-40	9.360711689896263e-38	27063	ANKRD1
ENSG00000134460	29197.180156536546	9.411043028500222	0.6066591615372845	15.512900200258215	2.8376672009240154e-54	4.6677733677066105e-51	3559	IL2RA
ENSG00000173918	2924.510654331842	9.317735622054139	0.7915350365910964	11.77172859230948	5.459423624619587e-32	1.347058185138637e-29	114897	C1QTNF1
ENSG00000176177	406.5433146508428	9.191417734237756	0.789099440836481	11.647984092466773	2.3495111539963415e-31	5.417928805019228e-29	150350	ENTHD1
ENSG00000125538	42278.610907945134	9.143992437704915	0.8813967082519388	10.374434522044064	3.241256066042421e-25	3.86574159945115e-23	3553	IL1B
ENSG00000166670	14286.016560594113	9.13623090575568	0.9837880066882402	9.286788254830725	1.590141591830623e-20	1.1648201351751528e-18	4319	MMP10
ENSG00000115009	1255.8348223513883	8.990904197689368	0.6742917650405333	13.333848437477064	1.4710874749627996e-40	6.980310068698484e-38	6364	CCL20
ENSG00000113302	24809.63094203186	8.938580567915837	0.6046365613017674	14.783394091603222	1.8747565269171654e-49	2.0112061976153973e-46	3593	IL12B
ENSG00000173404	2029.1855310855644	8.6496445077091	0.6125650679913355	14.120368528476792	2.8449962999347756e-45	1.949928852905296e-42	3642	INSM1
ENSG00000163735	20357.064135394856	8.517183590409239	1.4949160666458008	5.697432638823371	1.2162501119118292e-8	1.5445061894653873e-7	6374	CXCL5
ENSG00000164400	642.4881121270286	8.489261427746198	0.9274012903115915	9.153816709586362	5.49567746668457e-20	3.830518243304381e-18	1437	CSF2
ENSG00000131203	53492.58578368821	8.482590031045277	0.5891886566191729	14.397069488267611	5.398444037497664e-47	4.2968131671360437e-44	3620	IDO1
ENSG00000166510	427.43400871872	8.413406074213954	0.9325606402788618	9.021832694652554	1.8496855235444927e-19	1.2170437495449815e-17	80323	CCDC68
