Ensembl	baseMean	log2FoldChange	lfcSE	stat	P.Value	adj.P.Val	GeneID	Symbol
ENSG00000198252	940.4782744815211	-3.6367877172434294e-4	0.1706006560358686	-0.0021317548254203658	0.9982991070256305	0.9990204431125019	6815	STYX
ENSG00000105058	2450.116063995581	-3.912173432271168e-4	0.21690989134174785	-0.0018035938370866752	0.9985609411036274	0.9990240582147265	26017	FAM32A
ENSG00000160679	1352.9094798502977	-4.2195345736089116e-4	0.16792894195573188	-0.002512690501391495	0.9979951651524893	0.9990204431125019	26097	CHTOP
ENSG00000115170	908.6344596467884	-4.6574087617416704e-4	0.2862864083182969	-0.0016268354439528628	0.9987019736888612	0.9990507068314299	90	ACVR1
ENSG00000006695	525.2433198808462	-5.349362084869852e-4	0.20980858689836743	-0.002549639251638979	0.9979656844095663	0.9990204431125019	1352	COX10
ENSG00000278259	347.0318350422619	-5.560851501735861e-4	0.2668599003828798	-0.002083809329823393	0.9983373619113453	0.9990204431125019	80179	MYO19
ENSG00000168811	2.9816289852307776	-5.858412219162504e-4	1.3911461409465318	-4.211212644543913e-4	0.9996639938547974	NA	3592	IL12A
ENSG00000140009	34.77892628717867	-7.568723401586028e-4	0.43308372482542457	-0.0017476351494475969	0.9986055896061474	0.9990240582147265	2100	ESR2
ENSG00000119718	654.9121255080914	-8.730704532319496e-4	0.2063630205514305	-0.004230750504130947	0.9966243595623866	0.9986461928206805	8892	EIF2B2
ENSG00000117475	643.0295430617908	-9.197945605640274e-4	0.21415933008481983	-0.004294907722207265	0.9965731699737316	0.9986461928206805	8548	BLZF1
ENSG00000049323	23.819107725841004	-0.0010989189271927715	0.7627782354891409	-0.0014406794479237812	0.9988505045090763	0.9990668857625042	4052	LTBP1
ENSG00000031003	2369.7700088487427	-0.0011132280490391696	0.19526377535551173	-0.005701149877965557	0.9954511651754412	0.9982387629496653	51306	FAM13B
ENSG00000151466	638.8111463496499	-0.001300799231629408	0.19459655108010787	-0.006684595510091642	0.994666504167474	0.9980108577819345	132320	SCLT1
ENSG00000152620	1430.8710985201596	-0.0013043356506561804	0.17511837495648486	-0.007448308328468069	0.9940571647294062	0.997539220091356	133686	NADK2
ENSG00000110013	961.2027261075297	-0.001355235897670792	0.25174618458441145	-0.005383342352965736	0.9957047349974608	0.9983432953686444	54414	SIAE
ENSG00000092051	24.877765183327913	-0.0013879695158526854	0.5364252126417233	-0.0025874427285350323	0.997935521698506	0.9990204431125019	84502	JPH4
