Ensembl	baseMean	log2FoldChange	lfcSE	stat	P.Value	adj.P.Val	GeneID	Symbol
ENSG00000116539	2944.7011390587013	-8.65207452642298e-5	0.18451404149271888	-4.6891144199258134e-4	0.9996258628137611	0.9996258628137611	55870	ASH1L
ENSG00000157131	0.7417264155062896	-1.7455580545140944e-4	3.5525256686655577	-4.913569154223119e-5	0.9999607953903499	NA	731	C8A
ENSG00000111639	1687.4797613508497	-3.467939275409679e-4	0.21554991098957432	-0.0016088799385203252	0.9987163000906776	0.9990313326754011	51258	MRPL51
ENSG00000122884	1009.9571495316733	-3.539008048833808e-4	0.14502249241071696	-0.002440316663990999	0.9980529109428649	0.9987830561753234	5033	P4HA1
ENSG00000159256	3030.541539762911	-3.585089082116677e-4	0.18167226156628893	-0.001973382755962744	0.998425469388396	0.9988664422122789	23515	MORC3
ENSG00000097021	757.9239805525851	-3.660608486575687e-4	0.2803885097825093	-0.0013055486793717523	0.9989583231612683	0.9991305700529579	11332	ACOT7
ENSG00000163346	25248.64160043627	-4.1133826546954166e-4	0.13974530289836803	-0.002943485447726954	0.997651441797671	0.9984700663475271	57326	PBXIP1
ENSG00000078114	86.903211581768	-4.20209486608599e-4	0.8948877135364095	-4.695667179829957e-4	0.9996253399792228	0.9996258628137611	10529	NEBL
ENSG00000178537	1650.388572769716	-5.963789680295069e-4	0.16918152891208554	-0.003525083216025389	0.9971873963513906	0.9981639395975717	788	SLC25A20
ENSG00000156990	1823.3617655065602	-7.501091423213795e-4	0.15103370417902212	-0.0049665016586778925	0.9960373212960095	0.9978931200967011	285367	RPUSD3
ENSG00000196470	578.2861698290492	-8.839651085309048e-4	0.19235586718891465	-0.004595467356671547	0.9963333604519875	0.9978931200967011	6477	SIAH1
ENSG00000188112	151.73557628491716	-9.628549256586121e-4	0.23261540069160372	-0.004139257000163732	0.9966973601773118	0.9978931200967011	647024	C6orf132
ENSG00000172428	772.0089402574349	-0.0011188229962717858	0.32851053998485535	-0.003405744595967498	0.997282614222044	0.9981639395975717	150678	COPS9
ENSG00000102901	3370.8281339254904	-0.0012165524449797296	0.1461742226007633	-0.008322619565437504	0.9933595870025272	0.996362827868081	80152	CENPT
ENSG00000125124	1169.1571125975604	-0.0012606515884204259	0.15261854874669525	-0.008260146612406597	0.9934094314938503	0.996362827868081	583	BBS2
ENSG00000181396	1737.8114436154729	-0.0012636244746749294	0.10631035811935505	-0.01188618397142688	0.9905164206317085	0.99470104478991	79701	OGFOD3
ENSG00000117036	1580.1217957082629	-0.0015740893426964594	0.1312414523158155	-0.01199384276020215	0.9904305274692026	0.99470104478991	2117	ETV3
ENSG00000112964	30.076826453389305	-0.00159597342029638	0.34174392284005517	-0.004670085738564358	0.9962738242360418	0.9978931200967011	2690	GHR
ENSG00000111732	48.3294199071797	-0.0017970561816274013	0.40053624070876576	-0.0044866256757376925	0.9964202026533379	0.9978931200967011	57379	AICDA
ENSG00000114054	882.0481916060626	-0.0018050623322532877	0.15437255297387162	-0.01169289681021732	0.9906706307557425	0.99470104478991	5096	PCCB
ENSG00000181790	167.6420817207737	-0.0018234396521205059	0.23626227378813075	-0.007717862115200346	0.9938420981089141	0.9966076592217898	575	ADGRB1
ENSG00000178694	887.8714730348595	-0.0018345864112418555	0.15822397496120563	-0.01159486994111778	0.9907488395791528	0.99470104478991	63899	NSUN3
ENSG00000147400	679.5766842691704	-0.001956733122864662	0.15009293745125846	-0.01303681009974301	0.9895984251393314	0.9942385394125738	1069	CETN2
ENSG00000183682	332.002935713468	-0.002032696192611128	0.21794657524522856	-0.009326580104890313	0.992558573611572	0.9960346153801443	353500	BMP8A
ENSG00000124370	156.95450158408036	-0.0021118898271272114	0.22708098493918083	-0.009300161471876825	0.992579651716805	0.9960346153801443	84693	MCEE
ENSG00000149091	30752.305577483225	-0.002119615968058204	0.11502992699212368	-0.01842664794704545	0.9852984940619504	0.9919260486335311	8525	DGKZ
ENSG00000143179	566.8369594184028	-0.0023504925281726693	0.17395778424272137	-0.013511855985088044	0.9892194267580338	0.9942385394125738	7371	UCK2
ENSG00000213995	1619.1798956755931	-0.0025046160950826348	0.11593527330156485	-0.021603572612174354	0.9827641836654584	0.9906362934646858	55739	NAXD
ENSG00000163602	2243.8514182903104	-0.002506943323429086	0.15519685808051417	-0.016153312344303485	0.9871120819500926	0.9927469980591569	23429	RYBP
ENSG00000114302	2261.588753312745	-0.002527852779708794	0.07603547229647856	-0.03324570366120902	0.9734786519974945	0.9854738878932691	5576	PRKAR2A
ENSG00000106617	2176.419048831945	-0.0025652002243229627	0.15698283390435921	-0.016340641588148387	0.9869626345645464	0.9927469980591569	51422	PRKAG2
ENSG00000038382	1339.6297283331078	-0.002887869871815586	0.18431735491134002	-0.0156679216300858	0.9874993186859701	0.9929475044127554	7204	TRIO
ENSG00000143450	62.25799269067994	-0.002900437194259276	0.24820152104486473	-0.011685815550401059	0.9906762803976211	0.99470104478991	51686	OAZ3
ENSG00000121005	1.9365857364351213	-0.0030265817528410677	1.7548227139168031	-0.001724722234809504	0.9986238714394261	NA	83690	CRISPLD1
ENSG00000119720	1537.3661049681	-0.0031855784694349368	0.10555637678385328	-0.030178929653468623	0.9759243525774554	0.9866158493099981	55051	NRDE2
ENSG00000116285	40.57449732425583	-0.0033389136539360956	0.3809276316277999	-0.008765217791285118	0.9930064576035685	0.9962191795181841	54206	ERRFI1
ENSG00000023041	2428.7026186792077	-0.00342796936178665	0.0749730140962735	-0.045722709739063776	0.9635312629817004	0.9800164908114506	64429	ZDHHC6
ENSG00000100151	1121.9770393656406	-0.0034606512263732183	0.11270428368499963	-0.030705587340810307	0.975504335211425	0.9866028905057539	9463	PICK1
ENSG00000174151	3849.079588697121	-0.0034667875442610145	0.09989291602925648	-0.034705038976394154	0.9723149428273321	0.9847574614469482	284613	CYB561D1
ENSG00000169189	2168.129163908807	-0.0034967502687111686	0.17922039641409135	-0.019510894622908188	0.9844335460458619	0.9913736618674618	197370	NSMCE1
ENSG00000124208	99.7209620737518	-0.0036790249691501923	1.5894256526769108	-0.002314688304516778	0.9981531475879273	0.9987830561753234	387522	PEDS1-UBE2V1
ENSG00000146221	24.607064511873435	-0.003697330889460545	0.35783744521015887	-0.010332431496343523	0.9917560591197826	0.9955231750698451	202500	TCTE1
ENSG00000156471	4832.296401266102	-0.003733960264860469	0.08742414798101124	-0.042710856795212866	0.9659320249973669	0.981247396926818	9791	PTDSS1
ENSG00000153339	2041.1185380142012	-0.00375163478870323	0.28664704007031416	-0.013087994167959867	0.9895575896455008	0.9942385394125738	22878	TRAPPC8
ENSG00000170502	622.7916742681421	-0.003769164080512604	0.12622170357120566	-0.029861457846560434	0.9761775443141864	0.9866158493099981	53343	NUDT9
ENSG00000196504	4151.333647424101	-0.0038821653408596547	0.2143733234488659	-0.018109367706778408	0.9855516048284456	0.9919955720281746	55660	PRPF40A
ENSG00000174953	1157.8844639903289	-0.003905924394723881	0.24624951791824465	-0.015861652959745717	0.9873447626563161	0.9928766112508077	170506	DHX36
ENSG00000183734	1397.1537441740948	-0.004136524259330463	0.21815621712054545	-0.01896129440603916	0.9848719824437688	0.9917128349317871	430	ASCL2
ENSG00000108784	1493.424013667474	-0.00421507442524737	0.11988164553717409	-0.035160298362273634	0.9719519199597286	0.984548574230804	4669	NAGLU
ENSG00000105085	1308.174512571679	-0.004222729086400342	0.08793863541598519	-0.04801904267021124	0.9617010662560961	0.9789261158475099	9441	MED26
ENSG00000131381	1462.4588186205988	-0.004392252343233372	0.14028902861357745	-0.031308594739305806	0.975023436158692	0.9865338270520211	64145	RBSN
ENSG00000171217	20.992861359775965	-0.0045655828998454415	0.5476931234634987	-0.008336023777281763	0.9933488923598378	0.996362827868081	49861	CLDN20
ENSG00000183474	759.6396542441726	-0.004648529630287098	0.2490108402044926	-0.018667980986167645	0.9851059712735345	0.9918588995374679	728340	GTF2H2C
ENSG00000105186	2142.5070771444875	-0.004935783831738422	0.13957042346892798	-0.03536411016792004	0.9717894027372203	0.9845180991503012	84079	ANKRD27
ENSG00000136698	0.6706862536956768	-0.005096382792998082	2.166138391669854	-0.0023527503194610447	0.9981227785765507	NA	55997	CFC1
ENSG00000164978	387.8000177520945	-0.0051182879812048465	0.2085796650246773	-0.024538767864064292	0.980422860732602	0.9890307214515929	318	NUDT2
ENSG00000138032	2241.5823244948992	-0.005427731595814138	0.226008433910473	-0.024015615266659403	0.9808401531178202	0.989262862911784	5495	PPM1B
ENSG00000115041	4.120406598827079	-0.005514029088866992	1.208389426354577	-0.004563122589959683	0.9963591675713802	0.9978931200967011	30818	KCNIP3
ENSG00000157992	118.92015435660055	-0.00557320969069478	0.24798447250548308	-0.0224740268388036	0.9820698303462602	0.9901252133255104	200634	KRTCAP3
ENSG00000134014	1821.3231274848058	-0.005594427393174688	0.11128237238226528	-0.050272359165360984	0.9599053500999785	0.9779943566515721	55140	ELP3
ENSG00000162819	2200.0086778870163	-0.0057576817008721986	0.17443101960877255	-0.03300835891337432	0.9736679218260643	0.9855158945453789	148362	BROX
ENSG00000197756	33872.79987591669	-0.005825325427894306	0.2557961744317749	-0.02277330941650974	0.981831098502003	0.9899474690224953	6168	RPL37A
ENSG00000122741	1441.6830890964234	-0.0059335034978800095	0.15949067766617953	-0.03720282329164764	0.970323287511127	0.9839666617083495	79269	DCAF10
ENSG00000179152	699.8054061817899	-0.005966657007351848	0.18001572988173542	-0.03314519798504137	0.9735587997536534	0.9854921047557411	285343	TCAIM
ENSG00000085377	1874.3022469847774	-0.005988719056561702	0.11070916021780797	-0.05409416027345491	0.9568601448639337	0.9765424143619592	5550	PREP
ENSG00000100304	2684.1640283688444	-0.0060604732752049945	0.1257355647918637	-0.04820015152623838	0.9615567294291331	0.9789048797321562	23170	TTLL12
ENSG00000145495	5302.055380128816	-0.006130747601741043	0.1110360597870966	-0.05521402338570277	0.9559679569323749	0.9761609946625283	10299	MARCHF6
ENSG00000164253	773.7064107581075	-0.006147968625115902	0.13237420101251254	-0.04644385822985833	0.9629564803954352	0.9797008632114227	55255	WDR41
ENSG00000103245	1938.3363855987911	-0.006175441133030713	0.16486374295437708	-0.03745784865954213	0.9701199484393801	0.9838325489257954	64428	CIAO3
ENSG00000102225	4167.402929903597	-0.006215427329940954	0.10621978229095617	-0.058514781294841264	0.9533385888978068	0.9743055605985536	5127	CDK16
ENSG00000288920	1253.6579125749463	-0.006277532631005038	0.4852462486644082	-0.012936797859402972	0.989678216632773	0.9942557056915193	388524	RPSA2
ENSG00000136802	2592.7418083050275	-0.0063894628873926735	0.1385056430683418	-0.0461314264592091	0.963205497971803	0.9798114184270756	56262	LRRC8A
ENSG00000180098	1053.3819187084075	-0.006412455529924284	0.09539543024418086	-0.06721973488154004	0.9464067744928257	0.9700093295106573	54952	TRNAU1AP
ENSG00000110328	2.5856448396567564	-0.0064930471352942646	1.5635867371038872	-0.0041526619414288726	0.9966866646735607	0.9978931200967011	374378	GALNT18
ENSG00000204842	2111.6115126669324	-0.006619545031686908	0.13774816696949974	-0.04805541284010415	0.9616720805217487	0.9789261158475099	6311	ATXN2
ENSG00000205678	21.73875558936437	-0.006739979891745362	0.6645422444770392	-0.01014228959522262	0.9919077624570876	0.9955494038181782	253017	TECRL
ENSG00000204370	2586.4828855213705	-0.006767408105880101	0.11930405553550147	-0.05672404073360535	0.9547650231090076	0.9755319038309178	6392	SDHD
ENSG00000088812	1031.2124781192022	-0.006888811304725184	0.15320513178460415	-0.04496462503886866	0.9641355055499976	0.9802714059634986	8455	ATRN
ENSG00000266967	803.8797275725403	-0.006988835010743289	0.15303941648258707	-0.04566689530953932	0.9635757499842657	0.9800164908114506	80755	AARSD1
ENSG00000163518	3.9945736416353776	-0.007195327707573303	1.45424981297104	-0.004947793455701542	0.9960522480989229	0.9978931200967011	83417	FCRL4
ENSG00000145632	60.94967153835789	-0.007292199367656196	0.3575488754109902	-0.020394972181842448	0.9837282946351601	0.991104069115205	10769	PLK2
ENSG00000166974	4939.198815766179	-0.007304633660654424	0.09212419962197678	-0.079291149237967	0.9368010460225562	0.9646653711997435	10982	MAPRE2
