Ensembl	baseMean	log2FoldChange	lfcSE	stat	P.Value	adj.P.Val	GeneID	Symbol
ENSG00000141627	4337.44713661685	7.289567605777976	1.5909602510212182	4.581866580952536	NA	NA	54808	DYM
ENSG00000123815	336.2165597188751	6.974909077757411	1.4739853102534772	4.732007184357865	NA	NA	79934	COQ8B
ENSG00000147526	8796.977587634776	6.664810978848941	1.454689843338254	4.581602744647194	NA	NA	6867	TACC1
ENSG00000171735	4778.7516008120065	6.6277850194139125	1.4499736453017296	4.570969300641817	NA	NA	23261	CAMTA1
ENSG00000198740	1553.1967557247453	6.447697603401645	1.5914536705063504	4.051451652595197	NA	NA	22834	ZNF652
ENSG00000125304	13519.85410617477	6.333587742258614	1.4505968606484516	4.3661942984126885	NA	NA	9375	TM9SF2
ENSG00000186487	126.71894259447345	6.011816551817864	1.2238937672667627	4.91204115308442	NA	NA	23040	MYT1L
ENSG00000160223	548.7910711181345	5.621363484360556	1.3480390164582532	4.1700302556002775	NA	NA	23308	ICOSLG
ENSG00000100578	75.78307032381089	5.428151560039703	1.2877538931106802	4.215208813640265	NA	NA	9786	KIAA0586
ENSG00000182541	584.0713680433284	5.425756939294464	1.3343875146276927	4.066102897259425	NA	NA	3985	LIMK2
ENSG00000074356	175.55898191861218	5.242500976851311	1.228708834165386	4.266674765476345	NA	NA	55421	NCBP3
ENSG00000124788	254.78697361201756	5.239723607210509	1.2342816014815543	4.245160586466714	2.1843692539931507e-5	0.035700969946459146	6310	ATXN1
ENSG00000146223	3131.4174927077693	5.059386851166497	1.3600205295046817	3.7200812351039447	NA	NA	285855	RPL7L1
ENSG00000128731	172.42562437109947	5.033536940735836	1.4538490566154634	3.4622142634626916	5.357504568330337e-4	0.0909101556438554	8924	HERC2
ENSG00000157350	834.6804206235538	4.935498190080955	1.3822129986790075	3.570721874846968	3.55998750399428e-4	0.0909101556438554	6483	ST3GAL2
ENSG00000180011	612.4229637906919	4.879792448382822	1.3706029112328355	3.5603254658152785	NA	NA	284273	PTGR3
ENSG00000136603	2201.629683855158	4.870757037618418	1.2601522551142308	3.865213126311385	NA	NA	6498	SKIL
ENSG00000171631	52.88571188106898	4.841959915522564	1.3242682346710957	3.656328671755195	NA	NA	5031	P2RY6
ENSG00000109320	11157.650736790518	4.7355119101547825	1.2176860986228915	3.8889430662880025	1.0068173106846821e-4	0.04555848330848186	4790	NFKB1
ENSG00000243678	3617.735039862172	4.582755246010128	1.0746852869719112	4.264276529664546	NA	NA	4831	NME2
ENSG00000205085	76.0145732653217	4.5741822018817695	1.4235762289148837	3.2131628141672643	NA	NA	346653	GARIN1A
ENSG00000185043	5379.451721856748	4.55270291420211	1.1728993737815194	3.881580138902998	NA	NA	10519	CIB1
ENSG00000052749	117.72174314073162	4.518756382048682	1.4552755846045622	3.105086369793355	NA	NA	23223	RRP12
ENSG00000078142	409.2292705151934	4.496682952736318	1.6040797512429026	2.803278920048779	0.005058590044168136	0.25751987959603506	5289	PIK3C3
ENSG00000156709	196.82385356838373	4.442238979710067	1.3025328872186717	3.4104620492121946	NA	NA	9131	AIFM1
ENSG00000119977	2990.336231183311	4.376361385683144	1.3350753201245422	3.2779883799176934	NA	NA	26123	TCTN3
ENSG00000164466	997.3647765963398	4.376192941194938	1.5431880627518841	2.835813111067687	NA	NA	94081	SFXN1
ENSG00000228486	51.939026870236674	4.343802326058505	1.2365159360963907	3.5129367922031296	4.4318289320487934e-4	0.0909101556438554	728537	C2orf92
ENSG00000087111	828.2565396220272	4.335894110771322	1.477697715823262	2.9342226521313175	NA	NA	94005	PIGS
ENSG00000109736	1569.4518642781159	4.329473397099618	1.3487461057810834	3.209998811890798	0.0013273552093165202	0.1433253076742609	10227	MFSD10
ENSG00000135749	48.24750306354383	4.268915431412014	1.3984764179445521	3.052547312657847	NA	NA	80003	PCNX2
ENSG00000160310	1205.5629037380936	4.264315415889329	1.305308762668429	3.266901700078864	0.0010873142781794277	0.13418446660259756	3275	PRMT2
ENSG00000108384	234.8200148559661	4.0680252317982575	1.2654617681097153	3.214656763495016	0.0013060058181019094	0.1433253076742609	5889	RAD51C
ENSG00000156500	133.45755457884465	4.00401364207728	1.1996717613947903	3.337590973569337	8.450805203366333e-4	0.12185773732093333	159091	PABIR3
ENSG00000189077	2684.8396712156964	3.9936915646205806	1.5998937692480282	2.4962229626643713	NA	NA	83862	TMEM120A
ENSG00000100219	9491.588006002672	3.9646717036834604	1.0028308153578804	3.9534801314103887	7.702266242525726e-5	0.04182330569691469	7494	XBP1
ENSG00000157551	39.18219459296448	3.9575880471295353	1.3493360623740625	2.932989162215405	0.003357156107266841	0.21196927514487146	3772	KCNJ15
ENSG00000173821	1980.1801919405227	3.9422981499937415	1.1704919883425067	3.368069315516028	NA	NA	57674	RNF213
ENSG00000151131	237.23570762186066	3.93357856765523	1.2075192178468226	3.257570156663309	NA	NA	121053	NOPCHAP1
ENSG00000117054	282.31130326171854	3.8632921045312205	1.4172366791800775	2.7259329096437686	0.0064120030083196404	0.29506081639979365	34	ACADM
ENSG00000197019	2217.313090244858	3.810974873127952	1.0608918905919174	3.5922367839023113	NA	NA	29950	SERTAD1
ENSG00000121940	449.0855909802988	3.786298421065514	1.2828046544029839	2.9515783311744017	0.0031615434542856644	0.2118422192425847	23155	CLCC1
ENSG00000096060	829.840383445206	3.7833738975432123	1.286875641146382	2.9399685381975877	0.003282455748775936	0.21196927514487146	2289	FKBP5
ENSG00000108107	3784.5345062802835	3.7681524732923686	1.0348591037407537	3.6412227129968233	NA	NA	6158	RPL28
ENSG00000177425	298.6176649427661	3.751804061222457	1.3461031459801767	2.787159418226118	0.005317231411255766	0.25779077288498936	5074	PAWR
ENSG00000205726	128.4143604102217	3.7348188329654697	1.6050307131300194	2.32694539887158	NA	NA	6453	ITSN1
ENSG00000124357	558.590589271344	3.693492751619395	1.247577944374726	2.96053065724125	NA	NA	55577	NAGK
ENSG00000112514	1907.868616850061	3.6837373596273704	1.0921468742769527	3.3729322002282522	NA	NA	51596	CUTA
ENSG00000165240	61.856512909336	3.67126098750777	1.0551608651430946	3.4793377093358133	5.026547182844204e-4	0.0909101556438554	538	ATP7A
ENSG00000181090	265.8133086054822	3.6683433770445593	1.584378055585056	2.3153207431227436	NA	NA	79813	EHMT1
ENSG00000186891	5925.316284973574	3.6620770178494677	1.2767461880154045	2.8682889772648243	0.004126983994140401	0.23343253216856644	8784	TNFRSF18
ENSG00000147548	1641.666630223728	3.6374700578178745	1.307902604128213	2.781147500078909	NA	NA	54904	NSD3
ENSG00000185960	37.60542625585551	3.6003363699831685	1.244589207844516	2.8927909283566207	NA	NA	6473	SHOX
ENSG00000131263	238.5815177376194	3.572401669691976	1.105917361315135	3.2302609531726194	NA	NA	51132	RLIM
ENSG00000140718	305.91386694560595	3.5164728974864774	1.2588805884164067	2.7933331642757167	0.005216793140987819	0.25751987959603506	79068	FTO
ENSG00000115355	366.8297479133495	3.4984168788053958	1.2856315361965587	2.7211660419867973	NA	NA	55704	CCDC88A
ENSG00000165914	76.90715940799689	3.495065413589126	1.4193346811992855	2.462467422155798	NA	NA	145567	TTC7B
ENSG00000135917	14.083140098644025	3.4831790556912257	1.1389353816880787	3.05827627422428	0.0022261423581687624	0.17776401477729972	80704	SLC19A3
ENSG00000153201	731.7900612250863	3.427020014236233	1.4616325675045394	2.3446521994834995	0.019044835768682385	0.5058411283578692	5903	RANBP2
ENSG00000167483	73.9630316803247	3.350184256501054	1.2920625620828945	2.592896315407765	NA	NA	199786	NIBAN3
ENSG00000125166	621.5297727381069	3.3402852960511544	1.1944847761303685	2.796423498064398	0.0051671642421953325	0.25751987959603506	2806	GOT2
ENSG00000161010	43.31880789882629	3.2858648927374285	1.457915440578583	2.253810338570399	NA	NA	51149	MRNIP
ENSG00000072864	339.8946923859161	3.2680313484981083	1.4626188060362695	2.234369840597461	NA	NA	54820	NDE1
ENSG00000121864	182.75494730530406	3.2678186970722747	1.2218121015766974	2.6745673028244616	0.007482575550449825	0.31742488467923863	51193	ZNF639
ENSG00000180616	27.221298777173956	3.2623445676920357	1.057956839405883	3.0836272768216815	0.0020449361701810167	0.17350005318879563	6752	SSTR2
ENSG00000101138	465.6356039309469	3.240422912983232	1.2981252768916793	2.496232814095049	0.012552018917503198	0.41058712483158055	1477	CSTF1
ENSG00000147050	76.94812374788043	3.2314240995856887	1.3183859729619487	2.4510455707639376	0.014244191849240632	0.44681428173344384	7403	KDM6A
ENSG00000166734	330.3580243934172	3.222236117911915	1.1535065071643325	2.793426909947084	0.005215281330205913	0.25751987959603506	113201	GOLM2
ENSG00000007168	597.6928931937086	3.217657466616921	1.1179150495342554	2.8782665265643024	0.0039986714547509735	0.23098708509891264	5048	PAFAH1B1
ENSG00000172197	261.0799308973011	3.1994620626698254	1.0938709764089545	2.924898942993506	NA	NA	154141	MBOAT1
ENSG00000149021	628.723816234238	3.1926976397166307	1.6071978116681476	1.9864994940497438	NA	NA	7356	SCGB1A1
ENSG00000088888	27.745703132874954	3.1841169947789436	1.2803504373276846	2.486910537887387	NA	NA	57506	MAVS
ENSG00000115677	2854.5505230825747	3.183796266776662	1.063943869038306	2.9924475899790473	0.002767501811979571	0.2039493465812785	3069	HDLBP
ENSG00000072042	1202.1694771339046	3.183599614888797	1.4090864324907206	2.2593359367327257	0.02386249610901652	0.5537322815041013	51109	RDH11
ENSG00000175470	342.45112408250145	3.1823512179559255	1.282935947889951	2.4805222920052628	NA	NA	55844	PPP2R2D
ENSG00000177272	213.7961274435006	3.178490936455334	1.4395324046756746	2.208002352799724	0.027244109153268362	0.5623709871604204	3738	KCNA3
ENSG00000105639	435.6264959928511	3.1393629580077	1.0213109296443956	3.073856224275184	0.0021131124338342956	0.17385152296545794	3718	JAK3
ENSG00000159352	1137.3028841975527	3.1323705231949446	1.1630316923564235	2.6932804529586254	NA	NA	5710	PSMD4
ENSG00000084754	864.8550209247348	3.1183647073972867	1.2069253368883073	2.5837262770844207	0.009773932983931604	0.3491608954128198	3030	HADHA
ENSG00000182220	3678.404827405437	3.1163643671848735	1.0258245692480392	3.0379116084822027	NA	NA	10159	ATP6AP2
ENSG00000084112	357.3579461506901	3.0914290384084673	1.5976200744049656	1.9350214033582869	0.05298766925878529	0.7070969825348533	54434	SSH1
ENSG00000134539	208.55033784189365	3.0894168004498574	0.9759279302038233	3.1656198217471143	0.0015475290991997703	0.14488074152853023	3824	KLRD1
ENSG00000204514	67.32867880550617	3.086851035102505	1.2925830346495053	2.3881259094039793	0.016934538934187438	0.4739925072816381	730051	ZNF814
ENSG00000099139	1846.244994130456	3.046555304037335	1.1283161474559837	2.7000901395468	NA	NA	5125	PCSK5
ENSG00000164904	15.244123289217473	3.0337140377454928	1.169259506940287	2.594560078184955	0.009471205925986348	0.349087630842792	501	ALDH7A1
ENSG00000123146	4864.123427182982	3.0289674703447242	0.9788774539114786	3.0943275465599176	0.0019725957596859038	0.17276120927571706	976	ADGRE5
ENSG00000145740	255.17270057054276	3.0196634580870683	1.3356998580329522	2.2607350296001694	0.023775669932969333	0.5537322815041013	64924	SLC30A5
