GeneID	GSE139871_GPL10558_MTB_control_blood_monocyte_dn.tsv	GSE16250_GPL570_MTB_control_blood_PBMC_dn.tsv	GSE34151_GPL10558_MTB_control_blood_dendritic_cell_dn.tsv	GSE63548_GPL10558_LNTB_control_lymphnode_lymphnode_dn.tsv	GSE83456_GPL10558_EPTB_control_blood_dn.tsv	GSE83456_GPL10558_PTB_control_blood_dn.tsv
1	0	-0.12796663117490836	0	0	-1.934948704955804	-0.3334285924690552
10	0	-0.7762614514775137	0	0	-0.06344436622692795	0
100	0	-4.624105384874918	0	-0.6542837303880584	-2.541829156973457	-0.2224037859137078
1000	-0.2484906180370036	-47.87437788471493	-0.18498829124573343	0	0	0
10000	-0.07228330055143561	-0.8304816802731967	-0.005560611752152112	-0.1513881595282196	0	-8.326889879370984
10001	-0.06496612610676389	0	0	0	-1.9864556384447305	-6.098298380327826
10002	0	-0.3587157184613912	0	-0.0229319557768857	0	-0.3350615030783368
10003	0	0	0	-0.05617761265751778	-0.5461566479597164	-2.596457760210759
10004	0	-0.2115493513249121	0	-0.024442329055648776	-0.1972375720807762	0
10005	-0.04853583340928421	-0.16967321637090302	-0.004070310674313404	-0.05283565046740901	0	-0.05295550514940128
10006	-0.10237721973749891	0	0	-0.07704363701005545	-0.0018044660033862403	0
10007	0	-0.15644277487326996	0	-0.020371360155647212	0	0
10008	0	-2.0563126920649	-0.017994952134020303	0	0	-2.077591477226937
10009	-0.2609602317914086	-3.659839607216062	0	0	-0.015641023250380748	0
1001	-0.0623284436398166	0	0	-0.6064797472035017	0	-0.6119660067761863
10010	-0.004931156137619644	0	-0.02269160204994486	-0.3056767482882926	0	0
10011	-0.47812966971056525	-1.0858290454302892	-0.053664276757654936	-0.0021429399647122926	-0.03917295889367356	0
10013	-0.3207494075557902	-0.1296560069499031	0	0	0	0
10014	0	0	-0.5271560744386705	-0.09209716861577344	-0.3722573120262183	0
10015	0	-0.5332196312933972	-0.3028619523115045	-1.0516121543950172	-0.03917295889367356	0
10016	-0.06605902773250838	-1.6612016521965711	0	-0.2213822675409172	0	-1.4126561646682934
10017	0	0	-0.6249331316324955	0	0	0
10018	-0.4962252805211353	0	0	-0.07286113524815577	-2.0341690539038	-6.174792164671027
10019	0	-0.5430719490081656	0	0	0	0
1002	0	0	0	0	-1.9689128906669264	-0.7809629856316509
10020	0	-0.8311747328883571	0	-0.07709963362880135	-0.03917295889367356	0
10021	-0.07719613049483409	-1.4571730568926131	-0.05156855100100363	-0.01717584441779081	-0.07394376352768406	-0.5184066678244994
10022	-0.3836246572650088	0	0	-0.03867056070895106	-7.729563579994656	-4.989718577642476
10023	0	0	0	0	0	-0.4700984778099093
10024	-0.010021530150469804	0	-0.022432495645642318	-0.35730492910995926	-5.831697566919607	-3.830180255355795
10025	-0.00631319386251325	0	0	0	0	0
10026	-0.08074978984238834	-0.38124149114786166	0	0	-0.8538721384829312	-1.1660289293423327
10029	-0.04141248676568288	-0.26664163825399867	0	0	-0.03917295889367356	0
1003	-0.02011965568555346	-2.865416390587347	0	-0.923533333925706	0	0
10036	0	0	-0.007569662360146903	0	0	0
10038	-0.001272573562504542	-0.4154674424181093	0	-0.04468691878385663	-0.03917295889367356	0
10039	0	-3.536028262297378	0	-0.17738113036113745	-0.03917295889367356	0
1004	0	-2.5792524928791893	-0.02137779170874221	0	-8.76503906987761	-5.427819535964491
10040	-0.0509723967151019	-6.771769722744607	0	0	0	-0.668543866487564
10042	0	-1.6993518145032054	-0.055406513528021534	-0.12191162170084437	-4.519079562136409	-4.574821517298176
10043	-0.05584819979282347	0	0	-0.00942804770622191	-1.0018540107738223	-0.8567747618000742
10044	0	-1.0910140616872894	0	-0.05409558361347641	-0.038038926835435305	-0.8174350815351005
10045	-0.03790806045463839	-1.1762201625283488	0	0	-2.5222345238740385	-3.575554041324625
10046	-0.08718050259973587	-0.44111477431880375	-0.9559242001753436	0	-0.8547980347436239	-1.011780181574229
10047	0	-1.4764743212264813	0	-0.1914125191873559	-0.03917295889367356	0
10048	0	-0.3469688927227929	0	-0.027434815030389137	-3.4495359609920357	-2.6319803275357163
10049	-0.2240166354229003	-5.839809270828821	0	-0.13339557409095498	-2.4899870509190807	0
1005	0	0	-0.013849391242940684	0	0	-0.057557371862442586
10050	0	0	-0.003169824339902872	-0.027075400756708376	0	-0.1726941801134143
10051	-0.034943404421048985	0	0	0	0	-0.405292776710144
10052	-0.06189662363092363	0	-0.3006629243294131	0	-2.8045237821551137	0
10053	-0.07751472800473534	-7.38324489472769	0	0	-0.03917295889367356	0
10054	0	0	0	0	-1.0335515531887745	0
10055	-0.3556141235324909	0	0	0	0	0
10056	-0.273978612685146	-1.8971015605780064	0	-0.07533826035662315	0	-1.7194305416596896
10057	-0.2670672216892125	0	-0.02684880866208983	0	-1.2046207887181506	0
10058	-0.018393202522441407	-0.4753905430386026	0	0	0	0
10059	-0.0033837291777455425	-1.7927079982199736	0	0	0	-0.07197134261619165
1006	-0.914041933250429	-1.5651702415029032	-4.970016948278922	0	0	0
10060	0	-0.05464646668548796	-0.1827968951136425	0	0	-1.1389349056868672
10061	-0.003753437529384812	-1.5110807899966583	0	0	-1.9930208533203504	-4.469068626734972
10062	0	-0.3837270626580582	-0.1489886890089167	0	-0.9165556065628078	-0.011020827756287543
10063	-0.03312360411159154	-0.24100408559773057	0	0	0	0
10066	-0.05824062506828221	0	-8.507769036706914e-4	-0.24347089897647367	0	0
10067	0	0	0	0	-0.08089624098158721	0
10068	0	-0.2315689807469473	-0.006319130521186336	0	-2.454124389177083	-2.250771525812429
10069	0	-0.2141176636094688	-0.004081128584331711	-0.1615742504609093	-0.03917295889367356	0
1007	0	0	-0.2495855033726472	0	0	0
10071	-0.004652666514408738	0	0	-0.9540806312094112	0	0
10072	-0.006178021457675126	-0.28461138397100805	0	-0.17541780560947542	0	-1.3263661028788407
10073	0	0	-0.016723057748986303	0	0	0
10075	0	0	-0.01421937107036808	-0.037526562442790526	0	-0.8525571169293192
10076	0	-1.242532022023001	-0.014687069655169973	-6.843830474974333e-4	-0.03917295889367356	0
10077	0	-0.7511149862589799	-0.013861625810122874	-0.033730230795483	0	0
10078	-0.0927592381037206	-1.066324950579996	-0.019016570534626603	0	-0.1005431430081023	0
10079	0	-6.816929347638173	0	0	-0.2718170749811477	0
1008	-0.10426996454201526	0	-0.06118104799632077	-0.00420068317666894	0	-2.296372552117877
10081	0	-15.694780789544724	0	0	-1.7582857035315922	-2.8160181492163217
10082	-0.22633777368676888	-0.01324187482827166	0	0	-0.03917295889367356	0
10083	0	-0.1448540060971446	-0.28941619766385185	0	-7.979379582300167	-8.680408963158804
10084	0	-0.06735073488114662	0	0	-1.1195611230541458	-1.6212425835163953
10085	0	0	0	-0.017043207370498803	0	-1.3698124380499923
10086	0	0	-0.05546073592859063	0	-0.03917295889367356	0
10087	0	0	0	-0.512159450718644	0	-0.634022931028239
10089	0	-0.2052804231535978	0	-0.9403538698886068	0	0
1009	-0.08760079134369109	-0.0269312816004888	-0.04497440459712698	-0.353067900850385	-0.7788441553972127	-0.6193269806416546
10090	0	0	-0.0454102909340266	-0.14646281198544808	-4.127180566494112	-0.6012823382686401
10092	0	-0.0696976255099304	-9.94804543828394e-4	-2.446901361558597e-4	-0.25841874372520013	-0.44749950445582887
10093	-0.01695186224666123	0	0	0	0	-0.0388257490258721
10094	0	-0.6348426350596132	-9.94804543828394e-4	-2.446901361558597e-4	0	0
10095	-0.07135757099288122	-0.581758243968341	0	0	-2.5910133202217724	-5.945370638627078
10096	-0.07081364554412704	0	-0.010138642090838064	-0.019739690130575	-12.825525195679123	-11.172100227669516
10097	-0.09379606590043645	-0.11579673644934883	0	0	0	-0.8195646634754057
10098	-0.06405608820533938	-2.050601642170147	0	0	-0.7043003683747167	0
10099	-0.05947935616587791	0	0	0	-2.5312217458294075	0
101	-0.19549344110637168	-9.101178599516093	0	-0.2786241954469328	-0.9806997074319574	0
1010	-0.19074493398545567	0	0	0	-0.015764777862677493	-0.1987340789822576
10100	-0.08436822347525705	0	-1.2485194814262033	0	0	0
10101	0	-0.4475176033129778	0	-0.08794209739072059	0	0
10102	-0.06180885356062571	0	0	-0.04853127008330868	0	0
10103	0	-0.2871267370115525	0	-0.08794209739072059	0	0
10105	-0.8444963948988906	0	0	-0.05082466731062299	0	0
10106	0	0	0	-0.034432189564211915	-0.6077583463725316	-1.6362458317635458
10107	-0.05513763452326187	0	-0.001349658014473891	-0.036143808490040896	0	-0.5077144318393866
10109	0	0	-0.07261533029751194	0	0	0
1011	-0.05082156596494902	-1.5781984392853845	-7.017488861690846e-4	0	-0.7026595610330413	-2.350109332797825
10110	0	-0.34739574688081065	-0.2399311714375311	0	0	0
10111	0	-0.4571721940682973	-0.006383994532319415	-8.610573476581784e-4	0	0
10112	-0.017598069712277953	-3.9128621662571055	-0.009357226638564088	-0.018728846424164614	0	0
10113	0	0	-0.7097277078684616	0	-0.45622273639328137	0
10114	0	-0.1408010993072017	0	-0.01049669807108633	-0.06037880899288384	0
10116	0	-1.6111165682659478	-0.008129215104505788	-0.07031829468894726	-5.656570697700401	-4.066790663414927
10117	0	-0.4146295076042096	0	-0.004036366708444025	-1.485948801532349	0
1012	-0.01133115212466676	0	-0.0099847357206755	0	-0.30746978791972746	0
10120	0	-0.6469671451135933	0	0	0	0
10121	0	-0.09444799135224947	-0.9275461798180176	0	0	0
10123	0	0	0	0	0	-1.2845108956129616
10124	0	-0.3665801203878464	0	0	0	0
10125	0	-0.1966244055703088	0	0	0	-0.8183424638444231
10126	0	-1.3818454205270896	0	0	-2.1847676997494623	-1.7078444176371541
10127	0	0	0	0	0	-2.1406876837753552
10128	0	0	-0.543616811976916	-0.6314573632956075	0	0
10129	0	-0.0307300310052514	-0.06930094153505623	0	0	0
1013	0	-2.091200451182031	-0.015389141905338466	-0.3806364545927431	0	0
10130	0	-1.0891735362675097	-0.026671041453541933	0	0	-0.2093106423640452
10131	0	-1.2337106007542786	0	-0.004183785130268708	0	0
10133	0	-0.017485167960267327	-0.05468768007553074	0	-1.2360043163018024	-2.7851917591920805
10134	0	0	0	-0.0038396836090773233	0	0
