title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	treatment_protocol_ch1	growth_protocol_ch1	molecule_ch1	extract_protocol_ch1	extract_protocol_ch1.1	taxid_ch1	data_processing	data_processing.1	data_processing.2	data_processing.3	platform_id	contact_name	contact_email	contact_institute	contact_address	contact_city	contact_state	contact_zip/postal_code	contact_country	data_row_count	instrument_model	library_selection	library_source	library_strategy	relation	relation.1	supplementary_file_1	condition:ch1	series_id
DC_MTB_rep1 (RNA-Seq)	GSM1565955	Public on Jun 01 2015	Dec 15 2014	May 15 2019	SRA	1	Monocyte-derived dendritic cells	Homo sapiens	condition: MTB-infected	Dendritic cells (DCs) were infected with a Mycobacterium tuberculosis (MTB) strain expressing green-fluorescent protein (H37Rv) for 18 h at a multiplicity of infection of 1-to-1. Full details can be found in Barreiro et al. (2012).	Peripheral blood mononuclear cells (PBMCs) were isolated from buffy coats by Ficoll-Paque centrifugation. Blood monocytes were then purified from PBMCs by positive selection with magnetic CD14 MicroBeads (Miltenyi Biotech). Pure monocytes were cultured for 5 days in RPMI 1640 (Invitrogen) supplemented with 10% heat-inactivated FCS (Dutscher), L-glutamine (Invitrogen), GM-CSF (20 ng/mL; Immunotools), and IL-4 (20 ng/mL; Immunotools). Cell cultures were fed every 2 days with complete medium supplemented with the cytokines previously mentioned. Before infection, we systematically checked the differentiation/activation status of the monocyte-derived DCs by flow cytometry, using antibodies against CD1a, CD14, CD83, and HLA-DR. Only samples presenting the expected phenotype for non-activated DCs – CD1a+, CD14-, CD83-, and HLA-DRlow – were used in downstream experiments.	total RNA	Total RNA was extracted from the same samples using the miRNeasy kit (Qiagen). RNA quantity was evaluated spectrophotometrically, and the quality was assessed with the Agilent 2100 Bioanalyzer (Agilent Technologies). Only samples with no evidence for RNA degradation (RNA integrity number > 8) were kept for further experiments.	RNA-Seq libraries for the six samples for which we collected MethylC-Seq were generated via polyA+ selection of mRNA from total RNA using the TruSeq RNA Sample Prep Kit v2 (Illumina).	9606	Adaptor sequences and low quality score bases were trimmed and resulting reads were aligned to the human genome reference sequence (GRCh37/hg19).	The number of read fragments overlapping with annotated exons of genes was tabulated using HTSeq using the following parameters: -q -m intersection-nonempty -s no.	Genome_build: hg19	Supplementary_files_format_and_content: Tab-delimited text files include expression count values for each sample.	GPL16791	Alain,,Pacis	alain.pacis@mcgill.ca	Canadian Centre for Computational Genomics (C3G)	740 Dr Penfield Ave	Montreal	QC	H3A 0G1	Canada	0	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03268988	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX818241	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1565nnn/GSM1565955/suppl/GSM1565955_DC81_MTB_HTseq_counts.txt.gz	MTB-infected	GSE64179
DC_NI_rep1 (RNA-Seq)	GSM1565956	Public on Jun 01 2015	Dec 15 2014	May 15 2019	SRA	1	Monocyte-derived dendritic cells	Homo sapiens	condition: Non-infected	Dendritic cells (DCs) were infected with a Mycobacterium tuberculosis (MTB) strain expressing green-fluorescent protein (H37Rv) for 18 h at a multiplicity of infection of 1-to-1. Full details can be found in Barreiro et al. (2012).	Peripheral blood mononuclear cells (PBMCs) were isolated from buffy coats by Ficoll-Paque centrifugation. Blood monocytes were then purified from PBMCs by positive selection with magnetic CD14 MicroBeads (Miltenyi Biotech). Pure monocytes were cultured for 5 days in RPMI 1640 (Invitrogen) supplemented with 10% heat-inactivated FCS (Dutscher), L-glutamine (Invitrogen), GM-CSF (20 ng/mL; Immunotools), and IL-4 (20 ng/mL; Immunotools). Cell cultures were fed every 2 days with complete medium supplemented with the cytokines previously mentioned. Before infection, we systematically checked the differentiation/activation status of the monocyte-derived DCs by flow cytometry, using antibodies against CD1a, CD14, CD83, and HLA-DR. Only samples presenting the expected phenotype for non-activated DCs – CD1a+, CD14-, CD83-, and HLA-DRlow – were used in downstream experiments.	total RNA	Total RNA was extracted from the same samples using the miRNeasy kit (Qiagen). RNA quantity was evaluated spectrophotometrically, and the quality was assessed with the Agilent 2100 Bioanalyzer (Agilent Technologies). Only samples with no evidence for RNA degradation (RNA integrity number > 8) were kept for further experiments.	RNA-Seq libraries for the six samples for which we collected MethylC-Seq were generated via polyA+ selection of mRNA from total RNA using the TruSeq RNA Sample Prep Kit v2 (Illumina).	9606	Adaptor sequences and low quality score bases were trimmed and resulting reads were aligned to the human genome reference sequence (GRCh37/hg19).	The number of read fragments overlapping with annotated exons of genes was tabulated using HTSeq using the following parameters: -q -m intersection-nonempty -s no.	Genome_build: hg19	Supplementary_files_format_and_content: Tab-delimited text files include expression count values for each sample.	GPL16791	Alain,,Pacis	alain.pacis@mcgill.ca	Canadian Centre for Computational Genomics (C3G)	740 Dr Penfield Ave	Montreal	QC	H3A 0G1	Canada	0	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03268966	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX818242	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1565nnn/GSM1565956/suppl/GSM1565956_DC81_NI_HTseq_counts.txt.gz	Non-infected	GSE64179
DC_MTB_rep2 (RNA-Seq)	GSM1565957	Public on Jun 01 2015	Dec 15 2014	May 15 2019	SRA	1	Monocyte-derived dendritic cells	Homo sapiens	condition: MTB-infected	Dendritic cells (DCs) were infected with a Mycobacterium tuberculosis (MTB) strain expressing green-fluorescent protein (H37Rv) for 18 h at a multiplicity of infection of 1-to-1. Full details can be found in Barreiro et al. (2012).	Peripheral blood mononuclear cells (PBMCs) were isolated from buffy coats by Ficoll-Paque centrifugation. Blood monocytes were then purified from PBMCs by positive selection with magnetic CD14 MicroBeads (Miltenyi Biotech). Pure monocytes were cultured for 5 days in RPMI 1640 (Invitrogen) supplemented with 10% heat-inactivated FCS (Dutscher), L-glutamine (Invitrogen), GM-CSF (20 ng/mL; Immunotools), and IL-4 (20 ng/mL; Immunotools). Cell cultures were fed every 2 days with complete medium supplemented with the cytokines previously mentioned. Before infection, we systematically checked the differentiation/activation status of the monocyte-derived DCs by flow cytometry, using antibodies against CD1a, CD14, CD83, and HLA-DR. Only samples presenting the expected phenotype for non-activated DCs – CD1a+, CD14-, CD83-, and HLA-DRlow – were used in downstream experiments.	total RNA	Total RNA was extracted from the same samples using the miRNeasy kit (Qiagen). RNA quantity was evaluated spectrophotometrically, and the quality was assessed with the Agilent 2100 Bioanalyzer (Agilent Technologies). Only samples with no evidence for RNA degradation (RNA integrity number > 8) were kept for further experiments.	RNA-Seq libraries for the six samples for which we collected MethylC-Seq were generated via polyA+ selection of mRNA from total RNA using the TruSeq RNA Sample Prep Kit v2 (Illumina).	9606	Adaptor sequences and low quality score bases were trimmed and resulting reads were aligned to the human genome reference sequence (GRCh37/hg19).	The number of read fragments overlapping with annotated exons of genes was tabulated using HTSeq using the following parameters: -q -m intersection-nonempty -s no.	Genome_build: hg19	Supplementary_files_format_and_content: Tab-delimited text files include expression count values for each sample.	GPL16791	Alain,,Pacis	alain.pacis@mcgill.ca	Canadian Centre for Computational Genomics (C3G)	740 Dr Penfield Ave	Montreal	QC	H3A 0G1	Canada	0	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03268979	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX818243	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1565nnn/GSM1565957/suppl/GSM1565957_DC82_MTB_HTseq_counts.txt.gz	MTB-infected	GSE64179
DC_NI_rep2 (RNA-Seq)	GSM1565958	Public on Jun 01 2015	Dec 15 2014	May 15 2019	SRA	1	Monocyte-derived dendritic cells	Homo sapiens	condition: Non-infected	Dendritic cells (DCs) were infected with a Mycobacterium tuberculosis (MTB) strain expressing green-fluorescent protein (H37Rv) for 18 h at a multiplicity of infection of 1-to-1. Full details can be found in Barreiro et al. (2012).	Peripheral blood mononuclear cells (PBMCs) were isolated from buffy coats by Ficoll-Paque centrifugation. Blood monocytes were then purified from PBMCs by positive selection with magnetic CD14 MicroBeads (Miltenyi Biotech). Pure monocytes were cultured for 5 days in RPMI 1640 (Invitrogen) supplemented with 10% heat-inactivated FCS (Dutscher), L-glutamine (Invitrogen), GM-CSF (20 ng/mL; Immunotools), and IL-4 (20 ng/mL; Immunotools). Cell cultures were fed every 2 days with complete medium supplemented with the cytokines previously mentioned. Before infection, we systematically checked the differentiation/activation status of the monocyte-derived DCs by flow cytometry, using antibodies against CD1a, CD14, CD83, and HLA-DR. Only samples presenting the expected phenotype for non-activated DCs – CD1a+, CD14-, CD83-, and HLA-DRlow – were used in downstream experiments.	total RNA	Total RNA was extracted from the same samples using the miRNeasy kit (Qiagen). RNA quantity was evaluated spectrophotometrically, and the quality was assessed with the Agilent 2100 Bioanalyzer (Agilent Technologies). Only samples with no evidence for RNA degradation (RNA integrity number > 8) were kept for further experiments.	RNA-Seq libraries for the six samples for which we collected MethylC-Seq were generated via polyA+ selection of mRNA from total RNA using the TruSeq RNA Sample Prep Kit v2 (Illumina).	9606	Adaptor sequences and low quality score bases were trimmed and resulting reads were aligned to the human genome reference sequence (GRCh37/hg19).	The number of read fragments overlapping with annotated exons of genes was tabulated using HTSeq using the following parameters: -q -m intersection-nonempty -s no.	Genome_build: hg19	Supplementary_files_format_and_content: Tab-delimited text files include expression count values for each sample.	GPL16791	Alain,,Pacis	alain.pacis@mcgill.ca	Canadian Centre for Computational Genomics (C3G)	740 Dr Penfield Ave	Montreal	QC	H3A 0G1	Canada	0	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03268996	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX818244	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1565nnn/GSM1565958/suppl/GSM1565958_DC82_NI_HTseq_counts.txt.gz	Non-infected	GSE64179
DC_MTB_rep3 (RNA-Seq)	GSM1565959	Public on Jun 01 2015	Dec 15 2014	May 15 2019	SRA	1	Monocyte-derived dendritic cells	Homo sapiens	condition: MTB-infected	Dendritic cells (DCs) were infected with a Mycobacterium tuberculosis (MTB) strain expressing green-fluorescent protein (H37Rv) for 18 h at a multiplicity of infection of 1-to-1. Full details can be found in Barreiro et al. (2012).	Peripheral blood mononuclear cells (PBMCs) were isolated from buffy coats by Ficoll-Paque centrifugation. Blood monocytes were then purified from PBMCs by positive selection with magnetic CD14 MicroBeads (Miltenyi Biotech). Pure monocytes were cultured for 5 days in RPMI 1640 (Invitrogen) supplemented with 10% heat-inactivated FCS (Dutscher), L-glutamine (Invitrogen), GM-CSF (20 ng/mL; Immunotools), and IL-4 (20 ng/mL; Immunotools). Cell cultures were fed every 2 days with complete medium supplemented with the cytokines previously mentioned. Before infection, we systematically checked the differentiation/activation status of the monocyte-derived DCs by flow cytometry, using antibodies against CD1a, CD14, CD83, and HLA-DR. Only samples presenting the expected phenotype for non-activated DCs – CD1a+, CD14-, CD83-, and HLA-DRlow – were used in downstream experiments.	total RNA	Total RNA was extracted from the same samples using the miRNeasy kit (Qiagen). RNA quantity was evaluated spectrophotometrically, and the quality was assessed with the Agilent 2100 Bioanalyzer (Agilent Technologies). Only samples with no evidence for RNA degradation (RNA integrity number > 8) were kept for further experiments.	RNA-Seq libraries for the six samples for which we collected MethylC-Seq were generated via polyA+ selection of mRNA from total RNA using the TruSeq RNA Sample Prep Kit v2 (Illumina).	9606	Adaptor sequences and low quality score bases were trimmed and resulting reads were aligned to the human genome reference sequence (GRCh37/hg19).	The number of read fragments overlapping with annotated exons of genes was tabulated using HTSeq using the following parameters: -q -m intersection-nonempty -s no.	Genome_build: hg19	Supplementary_files_format_and_content: Tab-delimited text files include expression count values for each sample.	GPL16791	Alain,,Pacis	alain.pacis@mcgill.ca	Canadian Centre for Computational Genomics (C3G)	740 Dr Penfield Ave	Montreal	QC	H3A 0G1	Canada	0	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03268961	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX818245	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1565nnn/GSM1565959/suppl/GSM1565959_DC83_MTB_HTseq_counts.txt.gz	MTB-infected	GSE64179
DC_NI_rep3 (RNA-Seq)	GSM1565960	Public on Jun 01 2015	Dec 15 2014	May 15 2019	SRA	1	Monocyte-derived dendritic cells	Homo sapiens	condition: Non-infected	Dendritic cells (DCs) were infected with a Mycobacterium tuberculosis (MTB) strain expressing green-fluorescent protein (H37Rv) for 18 h at a multiplicity of infection of 1-to-1. Full details can be found in Barreiro et al. (2012).	Peripheral blood mononuclear cells (PBMCs) were isolated from buffy coats by Ficoll-Paque centrifugation. Blood monocytes were then purified from PBMCs by positive selection with magnetic CD14 MicroBeads (Miltenyi Biotech). Pure monocytes were cultured for 5 days in RPMI 1640 (Invitrogen) supplemented with 10% heat-inactivated FCS (Dutscher), L-glutamine (Invitrogen), GM-CSF (20 ng/mL; Immunotools), and IL-4 (20 ng/mL; Immunotools). Cell cultures were fed every 2 days with complete medium supplemented with the cytokines previously mentioned. Before infection, we systematically checked the differentiation/activation status of the monocyte-derived DCs by flow cytometry, using antibodies against CD1a, CD14, CD83, and HLA-DR. Only samples presenting the expected phenotype for non-activated DCs – CD1a+, CD14-, CD83-, and HLA-DRlow – were used in downstream experiments.	total RNA	Total RNA was extracted from the same samples using the miRNeasy kit (Qiagen). RNA quantity was evaluated spectrophotometrically, and the quality was assessed with the Agilent 2100 Bioanalyzer (Agilent Technologies). Only samples with no evidence for RNA degradation (RNA integrity number > 8) were kept for further experiments.	RNA-Seq libraries for the six samples for which we collected MethylC-Seq were generated via polyA+ selection of mRNA from total RNA using the TruSeq RNA Sample Prep Kit v2 (Illumina).	9606	Adaptor sequences and low quality score bases were trimmed and resulting reads were aligned to the human genome reference sequence (GRCh37/hg19).	The number of read fragments overlapping with annotated exons of genes was tabulated using HTSeq using the following parameters: -q -m intersection-nonempty -s no.	Genome_build: hg19	Supplementary_files_format_and_content: Tab-delimited text files include expression count values for each sample.	GPL16791	Alain,,Pacis	alain.pacis@mcgill.ca	Canadian Centre for Computational Genomics (C3G)	740 Dr Penfield Ave	Montreal	QC	H3A 0G1	Canada	0	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03268998	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX818246	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1565nnn/GSM1565960/suppl/GSM1565960_DC83_NI_HTseq_counts.txt.gz	Non-infected	GSE64179
DC_MTB_rep4 (RNA-Seq)	GSM1565961	Public on Jun 01 2015	Dec 15 2014	May 15 2019	SRA	1	Monocyte-derived dendritic cells	Homo sapiens	condition: MTB-infected	Dendritic cells (DCs) were infected with a Mycobacterium tuberculosis (MTB) strain expressing green-fluorescent protein (H37Rv) for 18 h at a multiplicity of infection of 1-to-1. Full details can be found in Barreiro et al. (2012).	Peripheral blood mononuclear cells (PBMCs) were isolated from buffy coats by Ficoll-Paque centrifugation. Blood monocytes were then purified from PBMCs by positive selection with magnetic CD14 MicroBeads (Miltenyi Biotech). Pure monocytes were cultured for 5 days in RPMI 1640 (Invitrogen) supplemented with 10% heat-inactivated FCS (Dutscher), L-glutamine (Invitrogen), GM-CSF (20 ng/mL; Immunotools), and IL-4 (20 ng/mL; Immunotools). Cell cultures were fed every 2 days with complete medium supplemented with the cytokines previously mentioned. Before infection, we systematically checked the differentiation/activation status of the monocyte-derived DCs by flow cytometry, using antibodies against CD1a, CD14, CD83, and HLA-DR. Only samples presenting the expected phenotype for non-activated DCs – CD1a+, CD14-, CD83-, and HLA-DRlow – were used in downstream experiments.	total RNA	Total RNA was extracted from the same samples using the miRNeasy kit (Qiagen). RNA quantity was evaluated spectrophotometrically, and the quality was assessed with the Agilent 2100 Bioanalyzer (Agilent Technologies). Only samples with no evidence for RNA degradation (RNA integrity number > 8) were kept for further experiments.	RNA-Seq libraries for the six samples for which we collected MethylC-Seq were generated via polyA+ selection of mRNA from total RNA using the TruSeq RNA Sample Prep Kit v2 (Illumina).	9606	Adaptor sequences and low quality score bases were trimmed and resulting reads were aligned to the human genome reference sequence (GRCh37/hg19).	The number of read fragments overlapping with annotated exons of genes was tabulated using HTSeq using the following parameters: -q -m intersection-nonempty -s no.	Genome_build: hg19	Supplementary_files_format_and_content: Tab-delimited text files include expression count values for each sample.	GPL16791	Alain,,Pacis	alain.pacis@mcgill.ca	Canadian Centre for Computational Genomics (C3G)	740 Dr Penfield Ave	Montreal	QC	H3A 0G1	Canada	0	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03268964	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX818247	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1565nnn/GSM1565961/suppl/GSM1565961_DC87_MTB_HTseq_counts.txt.gz	MTB-infected	GSE64179
DC_NI_rep4 (RNA-Seq)	GSM1565962	Public on Jun 01 2015	Dec 15 2014	May 15 2019	SRA	1	Monocyte-derived dendritic cells	Homo sapiens	condition: Non-infected	Dendritic cells (DCs) were infected with a Mycobacterium tuberculosis (MTB) strain expressing green-fluorescent protein (H37Rv) for 18 h at a multiplicity of infection of 1-to-1. Full details can be found in Barreiro et al. (2012).	Peripheral blood mononuclear cells (PBMCs) were isolated from buffy coats by Ficoll-Paque centrifugation. Blood monocytes were then purified from PBMCs by positive selection with magnetic CD14 MicroBeads (Miltenyi Biotech). Pure monocytes were cultured for 5 days in RPMI 1640 (Invitrogen) supplemented with 10% heat-inactivated FCS (Dutscher), L-glutamine (Invitrogen), GM-CSF (20 ng/mL; Immunotools), and IL-4 (20 ng/mL; Immunotools). Cell cultures were fed every 2 days with complete medium supplemented with the cytokines previously mentioned. Before infection, we systematically checked the differentiation/activation status of the monocyte-derived DCs by flow cytometry, using antibodies against CD1a, CD14, CD83, and HLA-DR. Only samples presenting the expected phenotype for non-activated DCs – CD1a+, CD14-, CD83-, and HLA-DRlow – were used in downstream experiments.	total RNA	Total RNA was extracted from the same samples using the miRNeasy kit (Qiagen). RNA quantity was evaluated spectrophotometrically, and the quality was assessed with the Agilent 2100 Bioanalyzer (Agilent Technologies). Only samples with no evidence for RNA degradation (RNA integrity number > 8) were kept for further experiments.	RNA-Seq libraries for the six samples for which we collected MethylC-Seq were generated via polyA+ selection of mRNA from total RNA using the TruSeq RNA Sample Prep Kit v2 (Illumina).	9606	Adaptor sequences and low quality score bases were trimmed and resulting reads were aligned to the human genome reference sequence (GRCh37/hg19).	The number of read fragments overlapping with annotated exons of genes was tabulated using HTSeq using the following parameters: -q -m intersection-nonempty -s no.	Genome_build: hg19	Supplementary_files_format_and_content: Tab-delimited text files include expression count values for each sample.	GPL16791	Alain,,Pacis	alain.pacis@mcgill.ca	Canadian Centre for Computational Genomics (C3G)	740 Dr Penfield Ave	Montreal	QC	H3A 0G1	Canada	0	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03268986	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX818248	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1565nnn/GSM1565962/suppl/GSM1565962_DC87_NI_HTseq_counts.txt.gz	Non-infected	GSE64179
DC_MTB_rep5 (RNA-Seq)	GSM1565963	Public on Jun 01 2015	Dec 15 2014	May 15 2019	SRA	1	Monocyte-derived dendritic cells	Homo sapiens	condition: MTB-infected	Dendritic cells (DCs) were infected with a Mycobacterium tuberculosis (MTB) strain expressing green-fluorescent protein (H37Rv) for 18 h at a multiplicity of infection of 1-to-1. Full details can be found in Barreiro et al. (2012).	Peripheral blood mononuclear cells (PBMCs) were isolated from buffy coats by Ficoll-Paque centrifugation. Blood monocytes were then purified from PBMCs by positive selection with magnetic CD14 MicroBeads (Miltenyi Biotech). Pure monocytes were cultured for 5 days in RPMI 1640 (Invitrogen) supplemented with 10% heat-inactivated FCS (Dutscher), L-glutamine (Invitrogen), GM-CSF (20 ng/mL; Immunotools), and IL-4 (20 ng/mL; Immunotools). Cell cultures were fed every 2 days with complete medium supplemented with the cytokines previously mentioned. Before infection, we systematically checked the differentiation/activation status of the monocyte-derived DCs by flow cytometry, using antibodies against CD1a, CD14, CD83, and HLA-DR. Only samples presenting the expected phenotype for non-activated DCs – CD1a+, CD14-, CD83-, and HLA-DRlow – were used in downstream experiments.	total RNA	Total RNA was extracted from the same samples using the miRNeasy kit (Qiagen). RNA quantity was evaluated spectrophotometrically, and the quality was assessed with the Agilent 2100 Bioanalyzer (Agilent Technologies). Only samples with no evidence for RNA degradation (RNA integrity number > 8) were kept for further experiments.	RNA-Seq libraries for the six samples for which we collected MethylC-Seq were generated via polyA+ selection of mRNA from total RNA using the TruSeq RNA Sample Prep Kit v2 (Illumina).	9606	Adaptor sequences and low quality score bases were trimmed and resulting reads were aligned to the human genome reference sequence (GRCh37/hg19).	The number of read fragments overlapping with annotated exons of genes was tabulated using HTSeq using the following parameters: -q -m intersection-nonempty -s no.	Genome_build: hg19	Supplementary_files_format_and_content: Tab-delimited text files include expression count values for each sample.	GPL16791	Alain,,Pacis	alain.pacis@mcgill.ca	Canadian Centre for Computational Genomics (C3G)	740 Dr Penfield Ave	Montreal	QC	H3A 0G1	Canada	0	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03268991	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX818249	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1565nnn/GSM1565963/suppl/GSM1565963_DC89_MTB_HTseq_counts.txt.gz	MTB-infected	GSE64179
DC_NI_rep5 (RNA-Seq)	GSM1565964	Public on Jun 01 2015	Dec 15 2014	May 15 2019	SRA	1	Monocyte-derived dendritic cells	Homo sapiens	condition: Non-infected	Dendritic cells (DCs) were infected with a Mycobacterium tuberculosis (MTB) strain expressing green-fluorescent protein (H37Rv) for 18 h at a multiplicity of infection of 1-to-1. Full details can be found in Barreiro et al. (2012).	Peripheral blood mononuclear cells (PBMCs) were isolated from buffy coats by Ficoll-Paque centrifugation. Blood monocytes were then purified from PBMCs by positive selection with magnetic CD14 MicroBeads (Miltenyi Biotech). Pure monocytes were cultured for 5 days in RPMI 1640 (Invitrogen) supplemented with 10% heat-inactivated FCS (Dutscher), L-glutamine (Invitrogen), GM-CSF (20 ng/mL; Immunotools), and IL-4 (20 ng/mL; Immunotools). Cell cultures were fed every 2 days with complete medium supplemented with the cytokines previously mentioned. Before infection, we systematically checked the differentiation/activation status of the monocyte-derived DCs by flow cytometry, using antibodies against CD1a, CD14, CD83, and HLA-DR. Only samples presenting the expected phenotype for non-activated DCs – CD1a+, CD14-, CD83-, and HLA-DRlow – were used in downstream experiments.	total RNA	Total RNA was extracted from the same samples using the miRNeasy kit (Qiagen). RNA quantity was evaluated spectrophotometrically, and the quality was assessed with the Agilent 2100 Bioanalyzer (Agilent Technologies). Only samples with no evidence for RNA degradation (RNA integrity number > 8) were kept for further experiments.	RNA-Seq libraries for the six samples for which we collected MethylC-Seq were generated via polyA+ selection of mRNA from total RNA using the TruSeq RNA Sample Prep Kit v2 (Illumina).	9606	Adaptor sequences and low quality score bases were trimmed and resulting reads were aligned to the human genome reference sequence (GRCh37/hg19).	The number of read fragments overlapping with annotated exons of genes was tabulated using HTSeq using the following parameters: -q -m intersection-nonempty -s no.	Genome_build: hg19	Supplementary_files_format_and_content: Tab-delimited text files include expression count values for each sample.	GPL16791	Alain,,Pacis	alain.pacis@mcgill.ca	Canadian Centre for Computational Genomics (C3G)	740 Dr Penfield Ave	Montreal	QC	H3A 0G1	Canada	0	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03268972	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX818250	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1565nnn/GSM1565964/suppl/GSM1565964_DC89_NI_HTseq_counts.txt.gz	Non-infected	GSE64179
