Unnamed: 0	GSM4263940	GSM4263941	GSM4263942	GSM4263943	GSM4263944	GSM4263945
TSPAN6	12	18	11	6	5	10
TNMD	0	0	0	0	0	0
DPM1	396	369	386	519	346	430
SCYL3	96	100	108	141	112	129
C1orf112	110	136	183	78	49	61
FGR	14021	12210	8611	15114	8985	8941
CFH	21	32	96	24	41	94
FUCA2	1988	2002	2075	2696	2251	2305
GCLC	8423	5062	3814	5852	2859	2230
NFYA	581	574	577	592	445	609
STPG1	72	82	57	69	43	59
NIPAL3	612	454	441	511	315	401
LAS1L	419	430	518	463	226	391
ENPP4	579	369	402	625	487	720
SEMA3F	2	1	3	0	3	21
CFTR	1	4	1	5	0	0
ANKIB1	634	596	635	856	722	749
CYP51A1	2055	2687	2271	2077	1854	2226
KRIT1	406	437	440	470	366	471
RAD52	127	93	60	117	66	59
MYH16	1	1	4	0	0	3
BAD	261	268	265	245	165	257
LAP3	2285	3362	3565	12965	13831	11658
CD99	2455	2364	3125	2625	1714	3386
HS3ST1	10	17	15	5	6	10
AOC1	614	157	143	529	87	124
WNT16	0	0	1	0	0	0
HECW1	0	2	0	2	1	1
MAD1L1	504	553	648	362	286	421
LASP1	18926	17082	15655	20285	10762	15446
SNX11	663	631	686	987	575	863
TMEM176A	1257	31	48	1570	27	84
M6PR	9341	10140	8822	11003	8572	10582
KLHL13	1	2	0	0	0	0
CYP26B1	0	0	0	1	0	2
ICA1	179	131	171	189	97	142
DBNDD1	14	8	13	4	3	1
ALS2	341	345	420	310	261	435
CASP10	410	432	402	932	960	737
CFLAR	3759	3612	3183	8860	9015	12037
TFPI	350	310	235	339	269	411
NDUFAF7	193	139	137	160	116	141
RBM5	1337	1369	1413	1401	1096	1570
MTMR7	14	11	14	11	12	14
SLC7A2	2	0	0	2	5	4
ARF5	1240	1069	1275	1049	632	1246
SARM1	103	40	81	97	47	206
POLDIP2	1260	1229	1356	1453	846	1337
PLXND1	16023	17458	14862	16222	10720	14303
AK2	861	857	1266	1280	1111	1212
CD38	6	2	7	127	298	497
FKBP4	647	623	1569	768	478	1363
KDM1A	730	640	869	667	405	817
RBM6	701	746	693	743	642	753
CAMKK1	388	257	316	231	96	145
RECQL	857	961	1101	934	816	1033
VPS50	476	485	497	616	466	476
HSPB6	1	0	2	1	2	2
ARHGAP33	41	38	60	15	4	31
NDUFAB1	671	715	828	904	601	814
PDK4	24	3	11	1	0	4
SLC22A16	58	259	66	78	249	87
ZMYND10	18	9	19	5	2	4
ABCB5	0	2	2	3	5	25
ARX	0	0	2	0	0	0
SLC25A13	541	580	729	709	419	690
ST7	386	489	402	508	430	453
CDC27	913	1072	1124	1037	823	1112
SLC4A1	10	4	4	6	6	6
CALCR	0	0	2	0	1	1
HCCS	407	493	417	578	420	469
DVL2	238	307	320	184	136	221
PRSS22	13	0	1	29	1	1
UPF1	1876	1871	2137	2067	1437	2195
SKAP2	1796	1537	1826	1482	911	1483
SLC25A5	4217	4633	4913	4239	2500	3315
MCUB	117	151	309	103	158	253
HOXA11	1	0	0	0	0	0
POLR2J	483	470	594	447	334	560
DHX33	283	258	400	297	176	320
MEOX1	0	0	0	0	0	0
THSD7A	1	1	1	1	1	4
LIG3	415	372	514	401	223	432
RPAP3	372	336	341	433	294	353
ACSM3	19	18	31	20	4	16
REXO5	61	62	95	52	20	34
CIAPIN1	493	487	564	555	386	537
SPPL2B	317	308	350	272	125	278
FAM214B	1881	1707	1588	2218	1727	2447
COPZ2	81	57	97	52	31	69
PRKAR2B	33	70	116	64	49	126
MSL3	475	359	662	557	495	766
CREBBP	1226	1233	1386	1219	928	1624
TSPOAP1	123	84	133	70	41	102
MPO	21	57	27	23	26	30
PON1	1	0	0	0	1	0
GCFC2	161	150	171	137	100	178
WDR54	11	12	52	3	7	40
CROT	193	176	148	175	119	156
ABCB4	67	47	51	48	38	42
KMT2E	1144	1087	1287	1332	1081	1986
RHBDD2	588	549	824	532	492	1907
SOX8	40	10	11	38	4	7
IBTK	682	621	723	901	632	879
ZNF195	231	296	202	257	202	195
MYCBP2	2034	2052	2123	2837	2529	2400
FBXL3	898	805	795	912	733	996
ITGAL	1795	1574	1983	1431	928	1566
PDK2	751	653	477	484	183	286
ITGA3	5090	3881	3248	1377	935	1087
ZFX	292	308	310	349	306	476
LAMP2	4955	6203	4422	5992	5903	5664
ITGA2B	2	0	1	1	2	1
ASB4	8	12	4	7	17	5
GDE1	1043	1038	1070	1095	818	1021
REX1BD	953	736	879	934	429	790
CRLF1	28	16	21	22	12	20
OSBPL7	120	51	80	77	18	27
TMEM98	7	2	6	1	6	9
YBX2	3	0	0	1	0	2
KRT33A	0	0	0	0	0	0
MAP3K14	582	524	754	438	227	572
ABCC8	10	12	6	7	6	8
CACNG3	0	0	0	0	0	0
TMEM132A	293	192	171	581	242	731
AP2B1	2243	1942	2395	2268	1582	2488
TAC1	0	0	0	0	0	0
ZNF263	370	370	386	365	241	354
CX3CL1	19	10	23	21	3	37
SPATA20	1719	519	977	1742	253	922
CACNA1G	12	7	16	16	4	42
TNFRSF12A	712	750	716	1048	677	684
DLX6	5	4	4	8	1	4
MAP3K9	6	5	2	5	11	14
RALA	1333	1552	1169	2017	1705	1833
BAIAP2L1	63	41	36	69	36	34
KDM7A	478	439	799	584	482	1377
ETV1	4	2	3	0	0	4
AGK	269	294	358	311	228	458
ALDH3B1	3584	3130	2718	3221	1688	2292
TTC22	10	1	3	10	4	10
PHTF2	855	917	1092	902	806	947
CCL26	0	0	0	0	0	0
FARP2	382	533	455	579	586	474
USH1C	0	0	0	0	0	0
GGCT	503	707	679	650	514	481
DBF4	151	186	245	154	122	195
TBXA2R	18	110	43	72	138	92
IFRD1	264	353	288	263	355	384
LGALS14	1	0	0	0	0	4
COX10	386	350	335	484	364	367
GTF2IRD1	256	172	167	268	154	249
PAF1	467	479	582	521	379	622
VPS41	2052	2006	1642	2419	1840	1923
ARHGAP44	6	6	17	6	3	19
ELAC2	950	910	1272	1246	698	1076
SCIN	362	125	94	290	250	99
ARSD	409	371	376	462	274	424
PNPLA4	102	97	91	102	47	55
MYH13	0	0	0	0	0	0
ADIPOR2	575	707	786	557	490	767
CDKL3	18	27	27	46	49	46
UPP2	1	0	0	0	0	0
PRSS21	257	100	45	224	54	48
MARK4	248	210	226	230	137	348
PROM1	1	0	0	0	0	0
CCDC124	519	514	609	498	336	533
CEACAM21	6	0	35	8	3	18
PAFAH1B1	2122	1862	1931	2009	1259	1996
NOS2	2	1	4	0	1	1
DNAH9	2	2	1	0	0	1
KIAA0100	8161	8885	8752	7704	5563	7491
SLC13A2	0	0	0	0	0	0
GAS7	3760	3493	1898	2266	1563	673
TRAPPC6A	287	367	155	192	173	111
MATK	3201	3245	3343	3605	2786	3215
CEACAM7	0	0	0	0	0	0
CD79B	6	6	14	5	5	5
SCN4A	0	0	1	0	0	1
ST7L	131	180	227	151	148	190
TKTL1	0	0	0	0	0	0
PAX6	18	26	15	10	12	10
RPUSD1	298	297	353	317	144	310
RHBDF1	488	446	390	426	277	293
LUC7L	286	269	287	280	202	334
CACNA2D2	4	4	3	1	1	1
BAIAP3	8	5	6	7	5	9
TSR3	373	359	495	403	218	402
PIGQ	511	512	501	389	235	437
