Unnamed: 0	GSM8087241	GSM8087242	GSM8087243	GSM8087244	GSM8087245	GSM8087246	GSM8087247	GSM8087248	GSM8087249	GSM8087250	GSM8087251	GSM8087252	GSM8087253	GSM8087254	GSM8087255	GSM8087256
TSPAN6	1663	2628	2480	2677	1921	2264	1407	2024	2776	2373	2180	2254	1823	2163	1495	1596
TNMD	0	0	0	2	0	0	0	0	1	1	0	3	1	1	0	0
DPM1	1942	2663	2762	3036	2909	3226	2050	2728	2935	2440	2355	2337	2594	3470	2782	2865
SCYL3	744	919	1089	1179	961	1130	752	823	1752	1637	1264	1296	1211	1455	1088	1167
C1orf112	1662	2219	2393	2666	2179	2521	1713	1881	3189	3116	2639	2616	2990	3243	2556	2700
FGR	1	1	0	0	0	0	0	2	2	6	3	3	0	6	5	0
CFH	14101	18844	19956	22680	10409	12308	7556	18780	38310	32012	32244	31051	25081	31811	25763	27434
FUCA2	5028	7782	7110	8457	5493	6520	4116	6713	5856	4992	4816	4951	6088	7605	6272	6626
GCLC	2611	3838	3336	4212	3931	4642	2818	3078	2641	2266	2169	2140	2312	2660	2164	2202
NFYA	2619	3617	3453	4099	2366	2752	1922	3017	2854	2592	2171	2399	1847	2549	1961	2089
STPG1	219	281	315	367	284	369	266	205	430	399	343	301	432	456	377	448
NIPAL3	1966	2710	2965	3119	2521	2685	1924	2203	4010	3722	3049	3510	1574	1887	1415	1614
LAS1L	3168	4270	4230	5017	3620	4109	2777	3829	3379	2883	3000	2670	2284	2922	2276	2470
ENPP4	1	0	3	2	1	1	2	2	0	2	0	3	0	1	4	2
SEMA3F	4222	6069	5801	6720	4631	5401	3732	4403	5411	4918	4260	4351	8044	9731	7559	8584
CFTR	42	50	86	88	67	76	73	61	107	74	73	75	107	104	87	85
ANKIB1	4104	5845	5271	6671	5291	6329	4184	4890	7262	6185	6018	6208	9168	10822	8816	9274
CYP51A1	8217	12245	10751	12413	25705	30721	18663	9616	13948	11952	10898	12205	10517	12692	9764	10668
KRIT1	2931	3694	4445	4557	4016	4763	3340	3358	4792	4752	3969	3845	3182	3820	3056	3029
RAD52	1007	1269	1618	1516	1164	1263	905	1059	1860	1679	1363	1422	1119	1442	1162	1204
MYH16	29	20	39	34	36	37	35	21	87	79	63	60	68	67	35	54
BAD	647	967	1015	1124	1070	1354	838	765	927	755	677	649	778	1022	665	785
LAP3	1810	2848	2513	3096	2118	2665	1795	2366	2771	2194	2304	2404	7537	9428	7965	8099
CD99	3084	4458	4126	4959	3704	4434	2683	3745	4712	3218	4159	3480	3723	4990	4068	4212
HS3ST1	5	8	3	5	6	4	3	6	5	6	6	5	7	4	2	4
AOC1	14	17	16	17	19	17	11	14	21	26	21	12	2	5	3	10
WNT16	30	48	41	69	30	43	19	59	71	63	75	58	62	82	77	75
HECW1	514	636	647	737	613	732	548	455	701	587	725	493	734	793	690	688
MAD1L1	1259	1493	1664	1769	1260	1428	1014	1444	2089	1554	1589	1563	1242	1768	1620	1714
LASP1	14318	21755	19829	23237	19417	23201	15408	17033	14575	11855	11706	12120	11333	13525	10694	11221
SNX11	631	899	831	964	752	818	521	661	739	677	664	566	901	1012	765	750
TMEM176A	32	34	51	54	33	35	42	39	43	59	46	42	48	54	56	46
M6PR	8530	12476	10827	13143	9715	11354	7255	10436	9783	8340	7787	8169	10400	12384	10067	10958
KLHL13	5883	8667	7591	9380	8482	10179	6301	6703	4849	3994	4727	3961	3159	3524	2692	2789
