Unnamed: 0	GSM1565955	GSM1565956	GSM1565957	GSM1565958	GSM1565959	GSM1565960	GSM1565961	GSM1565962	GSM1565963	GSM1565964	GSM1565965	GSM1565966
TSPAN6	2	17	7	26	18	33	13	24	8	14	33	11
TNMD	0	0	0	0	0	0	0	0	0	0	0	0
DPM1	2712	2562	2047	2814	3479	3328	3100	2684	3553	2926	3554	1773
SCYL3	1083	543	760	1004	936	836	2343	1024	1465	1209	1879	669
C1orf112	135	202	181	466	232	364	247	600	314	614	330	398
FGR	4217	9676	4336	10905	10909	10742	3200	13540	6787	12696	9884	12244
CFH	112	78	241	1398	119	216	381	604	1138	3579	427	665
FUCA2	3731	7807	2767	10882	6094	7502	2603	6840	3587	10337	3166	6850
GCLC	1729	1618	925	3522	2851	4074	1785	4784	1622	4369	1331	2411
NFYA	3200	1451	2479	1893	3216	2504	3911	3052	4804	3684	4141	1544
STPG1	514	204	128	123	227	93	405	114	213	152	318	113
NIPAL3	1985	2054	743	1955	1845	2872	1627	2643	1826	2858	1425	1810
LAS1L	1284	1773	1239	3164	1293	1761	1870	2241	1383	2367	1788	3140
ENPP4	5128	469	5625	287	6035	829	5074	499	5677	1065	4643	160
SEMA3F	9	7	7	5	4	4	1	4	37	8	18	2
CFTR	3	13	11	81	25	144	6	293	24	150	11	65
ANKIB1	3338	1066	2178	1637	2939	3005	5623	3980	4293	3232	3885	1117
CYP51A1	10227	6072	10721	8087	17386	10427	14156	9301	9677	8277	10905	6177
KRIT1	2114	1118	2241	2133	2476	2577	4041	3607	3429	2747	4029	1387
RAD52	232	284	292	463	349	449	419	701	557	687	558	461
MYH16	0	0	0	1	0	2	1	0	0	3	0	1
BAD	1590	2831	733	2062	929	1060	901	872	974	1146	1249	1675
LAP3	47147	11873	11144	4676	28826	11855	56105	6645	27154	12470	39597	3160
CD99	7756	21119	4129	31670	7842	15309	4389	12462	7247	19695	8725	19150
HS3ST1	174	2752	256	3475	2192	3596	233	4916	930	6373	423	3496
AOC1	3370	1482	10992	713	1978	545	2763	199	5016	1795	4137	366
WNT16	6	1	3	0	6	4	6	3	2	2	25	1
HECW1	4	3	2	9	7	5	3	4	5	5	7	8
MAD1L1	1538	7248	1207	7146	2334	4326	1262	3521	2114	5036	1765	7182
LASP1	21240	28431	11975	24176	27012	32964	18677	29764	26187	32494	24872	24044
SNX11	17799	3745	9113	4177	7160	3182	24987	2889	7546	4941	18615	3346
TMEM176A	9632	2738	12088	1009	2544	225	16091	2413	12730	8424	17715	1635
M6PR	21733	26678	16928	32206	41468	44870	26184	47728	29288	49740	26038	27971
KLHL13	4	5	5	2	8	9	16	17	22	21	16	7
CYP26B1	68	12	34	12	155	20	10	6	14	24	10	6
ICA1	314	742	102	1173	370	888	178	718	206	812	166	667
DBNDD1	94	855	81	138	217	496	14	43	48	57	24	53
ALS2	1293	878	1350	1679	1808	1687	2797	2491	2898	2663	2160	1212
CASP10	1820	796	456	2415	886	1110	8056	2059	957	3673	2132	1911
CFLAR	107199	22545	89460	9702	69515	19328	147713	17101	132257	17934	164270	12573
TFPI	822	121	3471	118	854	184	6127	212	11000	416	9685	87
NDUFAF7	682	1024	502	1215	865	1003	946	1246	928	1245	882	839
RBM5	9577	8547	9673	13755	9632	10162	13802	14254	13734	12579	17170	11850
MTMR7	176	107	86	127	109	93	248	141	171	152	176	108
SLC7A2	1490	28	257	1	150	19	3466	11	2419	13	1641	7
ARF5	5400	12893	4159	20103	6166	9946	4963	9528	5743	11595	5907	16970
SARM1	1105	451	803	514	990	582	1926	726	1702	555	1337	427
POLDIP2	3349	5871	2489	5485	4041	4376	4087	4397	4489	5533	4003	4609
PLXND1	9777	19146	12683	21328	10830	22902	6397	16628	15674	28428	18637	20231
AK2	4989	7904	5683	30304	8389	10745	9586	16739	8922	18537	9433	14133
CD38	1195	237	297	457	381	427	4061	506	1690	477	3084	199
FKBP4	1666	8317	3214	6426	4759	5572	2977	4241	8306	7543	6317	6466
KDM1A	5216	4564	5063	6493	4857	4392	5348	5620	6240	6055	5658	4778
RBM6	7191	9095	5611	8918	5597	6548	8195	8696	6846	7990	10138	9785
CAMKK1	42	728	26	464	222	455	61	593	73	575	132	558
RECQL	3249	3368	3317	4897	5038	6797	5232	7820	5682	7445	6074	3261
VPS50	2272	2365	1848	3737	3564	4271	2596	4634	2560	4578	2259	2261
HSPB6	0	0	0	5	0	0	1	0	0	2	5	2
ARHGAP33	148	321	180	413	261	514	230	494	113	189	224	683
NDUFAB1	2066	6107	1328	4318	2552	3023	2030	2608	2243	3584	2180	3499
PDK4	9	27	2	60	14	35	2	20	79	743	2	26
SLC22A16	52	76	116	171	113	64	56	44	104	38	174	65
ZMYND10	38	64	23	174	26	90	31	95	16	128	30	138
ABCB5	34	5	21	7	10	16	51	8	83	10	30	13
ARX	0	1	0	3	3	0	0	0	0	0	1	0
SLC25A13	960	1292	795	1381	1443	1342	1280	1690	1913	2006	1769	1121
ST7	4552	2892	1601	2673	4763	2915	4056	3106	1618	2859	1413	2028
CDC27	3468	3388	2844	4616	4981	5497	5566	7018	7174	7584	5956	3104
SLC4A1	133	73	74	98	103	125	145	148	146	93	125	100
CALCR	0	9	1	67	25	95	0	52	5	113	2	50
HCCS	1174	2492	885	2878	1806	3213	1275	3054	2105	3280	1407	1879
DVL2	2336	1170	1692	2083	2048	1573	2760	1914	2641	2821	2381	1966
PRSS22	26	2	4	0	9	4	17	1	14	0	24	2
UPF1	8342	7206	6650	7760	8083	7680	10196	8684	10905	9580	11225	8214
SKAP2	540	4067	933	6140	4064	7613	748	10080	2896	9413	1602	4011
SLC25A5	8203	27963	4461	18983	11930	21007	5064	18851	7237	21007	5975	14884
MCUB	303	751	259	1747	468	638	1308	637	675	1431	981	634
HOXA11	0	1	0	0	0	0	1	0	0	1	0	0
POLR2J	1290	4452	947	3868	1438	2464	1146	1974	1589	2933	1514	3505
DHX33	512	545	498	885	720	1021	853	1597	1036	1617	870	758
MEOX1	0	2	0	0	2	2	0	2	1	5	1	0
THSD7A	15	2	51	23	34	3	48	3	56	11	12	1
LIG3	1116	1277	1191	1580	1080	1067	1480	1636	1905	1571	1816	1331
RPAP3	7814	2449	4338	3022	6427	3388	8285	3380	5575	2962	5188	1832
ACSM3	359	432	903	1150	298	567	789	1091	347	475	244	382
REXO5	137	207	148	334	139	242	171	257	149	289	229	301
CIAPIN1	3215	3254	2119	3086	2782	2610	2701	2471	3268	3076	3329	2813
