Description	ID	pathway_genes	pathway_size	observed_val	expected_val	log_observed_expected	asinh_observed_expected	pvalue	p.adjust	qvalue
mitochondrial genome maintenance	GO:0000002		21	3	2.9950248756218905	0.0016597514183644708	0.8825476953476823	0.593077106365077	1	1
single strand break repair	GO:0000012		11	2	1.5688225538971807	0.24282180823525248	1.0630178281256648	0.479261850735234	1	1
alpha-glucoside transport	GO:0000017		2	0	0.28524046434494194	-Inf	0	1	1	1
regulation of DNA recombination	GO:0000018		89	10	12.693200663349918	-0.23848137626441657	0.7231316351534987	0.8010508283822816	1	1
regulation of mitotic recombination	GO:0000019		3	0	0.42786069651741293	-Inf	0	1	1	1
mitotic spindle elongation	GO:0000022		8	5	1.1409618573797677	1.4775662712279423	2.1834843027242057	9.597406486036357e-4	0.16309860890738964	0.16309860890738964
maltose metabolic process	GO:0000023		2	0	0.28524046434494194	-Inf	0	1	1	1
maltose catabolic process	GO:0000025		1	0	0.14262023217247097	-Inf	0	1	1	1
ribosomal large subunit assembly	GO:0000027		15	0	2.1393034825870645	-Inf	0	1	1	1
ribosomal small subunit assembly	GO:0000028		8	1	1.1409618573797677	-0.1318716412061581	0.7912621929917721	0.7080757735938379	1	1
very long-chain fatty acid metabolic process	GO:0000038		24	0	3.4228855721393034	-Inf	0	1	1	1
transition metal ion transport	GO:0000041		55	2	7.844112769485904	-1.366616104198848	0.25228357582440425	0.9978806025727389	1	1
autophagosome assembly	GO:0000045		52	2	7.416252072968491	-1.3105266375478042	0.26651178269968967	0.9967983931090767	1	1
urea cycle	GO:0000050		6	1	0.8557213930348259	0.15581043124562277	0.9957181137846305	0.6028291159711034	1	1
citrulline metabolic process	GO:0000052		5	1	0.713101160862355	0.33813198803957717	1.1393330200271858	0.5367399656663215	1	1
argininosuccinate metabolic process	GO:0000053		1	0	0.14262023217247097	-Inf	0	1	1	1
ribosomal subunit export from nucleus	GO:0000054		4	0	0.5704809286898839	-Inf	0	1	1	1
ribosomal large subunit export from nucleus	GO:0000055		3	0	0.42786069651741293	-Inf	0	1	1	1
ribosomal small subunit export from nucleus	GO:0000056		3	0	0.42786069651741293	-Inf	0	1	1	1
mitotic sister chromatid segregation	GO:0000070		110	35	15.688225538971809	0.8024375961706751	1.5424027615364686	4.708921027402944e-7	2.897552135718607e-4	2.897552135718607e-4
cell cycle checkpoint signaling	GO:0000075		106	27	15.117744610281923	0.5799676723659396	1.343612034551346	0.0010028672741300812	0.16475044587216378	0.16475044587216378
DNA replication checkpoint signaling	GO:0000076		12	7	1.7114427860696517	1.4085733997409906	2.1163403622510844	4.870246049394912e-4	0.09380261830653545	0.09380261830653545
DNA damage checkpoint signaling	GO:0000077		72	13	10.268656716417912	0.23585313891915907	1.057542058493656	0.1773856441163692	1	1
regulation of cyclin-dependent protein serine/threonine kinase activity	GO:0000079		32	8	4.563847429519071	0.5612755393537873	1.3273391288594816	0.07564504127129108	1	1
G1/S transition of mitotic cell cycle	GO:0000082		41	8	5.8474295190713095	0.31343937544920586	1.1193129088819054	0.20260261597358933	1	1
G2/M transition of mitotic cell cycle	GO:0000086		33	12	4.706467661691542	0.9359689887951977	1.665526488387308	0.0013238520595410127	0.21126787653046647	0.21126787653046644
sulfur amino acid metabolic process	GO:0000096		25	0	3.5655058043117744	-Inf	0	1	1	1
sulfur amino acid biosynthetic process	GO:0000097		11	0	1.5688225538971807	-Inf	0	1	1	1
sulfur amino acid catabolic process	GO:0000098		7	0	0.9983416252072969	-Inf	0	1	1	1
sulfur amino acid transport	GO:0000101		10	0	1.42620232172471	-Inf	0	1	1	1
sulfate assimilation	GO:0000103		2	0	0.28524046434494194	-Inf	0	1	1	1
negative regulation of transcription by RNA polymerase II	GO:0000122		516	28	73.59203980099502	-0.9663323548326811	0.3718472505948611	0.9999999999453306	1	1
establishment of mitotic spindle orientation	GO:0000132		23	6	3.2802653399668324	0.603835153772583	1.3644960102149521	0.0983808048146445	1	1
rRNA modification	GO:0000154		18	0	2.567164179104478	-Inf	0	1	1	1
MAPK cascade	GO:0000165		89	1	12.693200663349918	-2.541066469258462	0.07870106699754828	0.9999989131230393	1	1
rDNA heterochromatin formation	GO:0000183		4	1	0.5704809286898839	0.5612755393537873	1.3273391288594816	0.45965873772395083	1	1
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	GO:0000184		25	0	3.5655058043117744	-Inf	0	1	1	1
protein polyubiquitination	GO:0000209		193	11	27.5257048092869	-0.9172250156328373	0.3896884752016815	0.999919537388413	1	1
meiotic spindle organization	GO:0000212		4	0	0.5704809286898839	-Inf	0	1	1	1
microtubule cytoskeleton organization	GO:0000226		304	58	43.356550580431175	0.2909852096138754	1.101256367948491	0.008937941114277674	1	1
spliceosomal tri-snRNP complex assembly	GO:0000244		11	0	1.5688225538971807	-Inf	0	1	1	1
spliceosomal complex assembly	GO:0000245		39	3	5.562189054726368	-0.6173794569878591	0.516133082139013	0.9309071497832232	1	1
allantoin metabolic process	GO:0000255		4	0	0.5704809286898839	-Inf	0	1	1	1
mitochondrial fission	GO:0000266		9	0	1.283582089552239	-Inf	0	1	1	1
polysaccharide biosynthetic process	GO:0000271		10	0	1.42620232172471	-Inf	0	1	1	1
polysaccharide catabolic process	GO:0000272		5	0	0.713101160862355	-Inf	0	1	1	1
mitotic cell cycle	GO:0000278		365	92	52.056384742951906	0.5694611239402266	1.3344562276020158	5.387362047084899e-9	9.716180105131889e-6	9.716180105131887e-6
nuclear division	GO:0000280		153	43	21.82089552238806	0.6783320947748046	1.4304042271916468	1.2917363287845362e-6	6.273907186457415e-4	6.273907186457415e-4
mitotic cytokinesis	GO:0000281		63	13	8.985074626865671	0.36938453154368184	1.164911160127691	0.06199272501732938	1	1
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	GO:0000288		12	0	1.7114427860696517	-Inf	0	1	1	1
nuclear-transcribed mRNA poly(A) tail shortening	GO:0000289		6	0	0.8557213930348259	-Inf	0	1	1	1
deadenylation-dependent decapping of nuclear-transcribed mRNA	GO:0000290		2	0	0.28524046434494194	-Inf	0	1	1	1
RNA fragment catabolic process	GO:0000292		1	0	0.14262023217247097	-Inf	0	1	1	1
spermine transport	GO:0000296		2	0	0.28524046434494194	-Inf	0	1	1	1
retrograde transport, vesicle recycling within Golgi	GO:0000301		8	0	1.1409618573797677	-Inf	0	1	1	1
response to reactive oxygen species	GO:0000302		82	2	11.694859038142619	-1.76600216623063	0.1701925058605207	0.9999527742169776	1	1
response to superoxide	GO:0000303		11	0	1.5688225538971807	-Inf	0	1	1	1
response to oxygen radical	GO:0000305		12	0	1.7114427860696517	-Inf	0	1	1	1
protein deneddylation	GO:0000338		10	1	1.42620232172471	-0.3550151925203682	0.6536189011462374	0.7497291302307718	1	1
cis assembly of pre-catalytic spliceosome	GO:0000354		2	0	0.28524046434494194	-Inf	0	1	1	1
RNA splicing, via transesterification reactions	GO:0000375		186	6	26.5273631840796	-1.4864173040114685	0.22429613246044333	0.9999997182095568	1	1
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	GO:0000377		181	5	25.814262023217246	-1.6414892183580476	0.19250028067733488	0.999999920646783	1	1
alternative mRNA splicing, via spliceosome	GO:0000380		12	1	1.7114427860696517	-0.5373367493143225	0.5553177307488307	0.8423093358664209	1	1
regulation of alternative mRNA splicing, via spliceosome	GO:0000381		38	1	5.419568822553897	-1.690016259252708	0.18348522840581558	0.9971313733230214	1	1
spliceosomal snRNP assembly	GO:0000387		32	0	4.563847429519071	-Inf	0	1	1	1
spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)	GO:0000388		1	0	0.14262023217247097	-Inf	0	1	1	1
mRNA 3'-splice site recognition	GO:0000389		5	0	0.713101160862355	-Inf	0	1	1	1
spliceosomal complex disassembly	GO:0000390		1	0	0.14262023217247097	-Inf	0	1	1	1
spliceosomal conformational changes to generate catalytic conformation	GO:0000393		1	0	0.14262023217247097	-Inf	0	1	1	1
RNA splicing, via endonucleolytic cleavage and ligation	GO:0000394		8	0	1.1409618573797677	-Inf	0	1	1	1
mRNA 5'-splice site recognition	GO:0000395		3	1	0.42786069651741293	0.8489576118055681	1.58501475515684	0.3697580633999711	1	1
mRNA splicing, via spliceosome	GO:0000398		181	5	25.814262023217246	-1.6414892183580476	0.19250028067733488	0.999999920646783	1	1
regulation of transcription by galactose	GO:0000409		1	0	0.14262023217247097	-Inf	0	1	1	1
positive regulation of transcription by galactose	GO:0000411		1	0	0.14262023217247097	-Inf	0	1	1	1
protein peptidyl-prolyl isomerization	GO:0000413		3	0	0.42786069651741293	-Inf	0	1	1	1
autophagy of mitochondrion	GO:0000422		31	0	4.4212271973466	-Inf	0	1	1	1
mitophagy	GO:0000423		25	0	3.5655058043117744	-Inf	0	1	1	1
pexophagy	GO:0000425		6	0	0.8557213930348259	-Inf	0	1	1	1
carbon catabolite regulation of transcription from RNA polymerase II promoter	GO:0000429		3	0	0.42786069651741293	-Inf	0	1	1	1
regulation of transcription from RNA polymerase II promoter by glucose	GO:0000430		2	0	0.28524046434494194	-Inf	0	1	1	1
regulation of transcription from RNA polymerase II promoter by galactose	GO:0000431		1	0	0.14262023217247097	-Inf	0	1	1	1
positive regulation of transcription from RNA polymerase II promoter by galactose	GO:0000435		1	0	0.14262023217247097	-Inf	0	1	1	1
carbon catabolite activation of transcription from RNA polymerase II promoter	GO:0000436		1	0	0.14262023217247097	-Inf	0	1	1	1
rRNA 2'-O-methylation	GO:0000451		3	0	0.42786069651741293	-Inf	0	1	1	1
enzyme-directed rRNA pseudouridine synthesis	GO:0000455		2	0	0.28524046434494194	-Inf	0	1	1	1
maturation of 5.8S rRNA	GO:0000460		10	2	1.42620232172471	0.33813198803957717	1.1393330200271858	0.3748489204983668	1	1
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	GO:0000462		1	0	0.14262023217247097	-Inf	0	1	1	1
maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	GO:0000463		3	0	0.42786069651741293	-Inf	0	1	1	1
maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	GO:0000466		2	0	0.28524046434494194	-Inf	0	1	1	1
maturation of LSU-rRNA	GO:0000470		3	0	0.42786069651741293	-Inf	0	1	1	1
endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	GO:0000479		1	0	0.14262023217247097	-Inf	0	1	1	1
small nucleolar ribonucleoprotein complex assembly	GO:0000491		6	0	0.8557213930348259	-Inf	0	1	1	1
box C/D snoRNP assembly	GO:0000492		5	0	0.713101160862355	-Inf	0	1	1	1
box H/ACA snoRNP assembly	GO:0000493		1	0	0.14262023217247097	-Inf	0	1	1	1
box C/D sno(s)RNA 3'-end processing	GO:0000494		1	0	0.14262023217247097	-Inf	0	1	1	1
box H/ACA sno(s)RNA 3'-end processing	GO:0000495		1	0	0.14262023217247097	-Inf	0	1	1	1
lncRNA-mediated post-transcriptional gene silencing	GO:0000512		1	0	0.14262023217247097	-Inf	0	1	1	1
embryonic axis specification	GO:0000578		9	1	1.283582089552239	-0.24965467686254175	0.7162409381228204	0.7497291302307718	1	1
