Description	ID	pathway_genes	pathway_size	observed_val	expected_val	log_observed_expected	asinh_observed_expected	pvalue	p.adjust	qvalue
single strand break repair	GO:0000012		11	2	1.5539821003738528	0.25232644710177127	1.0705097324088684	0.4739488109688601	1	1
regulation of DNA recombination	GO:0000018		89	10	12.573127903024812	-0.2289767373978979	0.7290307761737854	0.8029090628856115	1	1
mitotic spindle elongation	GO:0000022		8	5	1.130168800271893	1.4870709100944608	2.1927529100297574	0.0021613525559284674	0.17172282166764805	0.17172282166764805
ribosomal large subunit assembly	GO:0000027		15	0	2.1190665005097995	-Inf	0	1	1	1
ribosomal small subunit assembly	GO:0000028		8	1	1.130168800271893	-0.12236700233963946	0.7975437449375895	0.7043790010254928	1	1
very long-chain fatty acid metabolic process	GO:0000038		24	0	3.390506400815679	-Inf	0	1	1	1
transition metal ion transport	GO:0000041		55	2	7.769910501869266	-1.3571114653323293	0.2546423360416935	0.9977115415059101	1	1
autophagosome assembly	GO:0000045		52	2	7.3460972017673045	-1.3010219986812857	0.26899755449413615	0.9965591776969924	1	1
urea cycle	GO:0000050		6	1	0.8476266002039198	0.16531507011214133	1.0029541169275396	0.5990633522601497	1	1
citrulline metabolic process	GO:0000052		5	1	0.7063555001699332	0.34763662690609604	1.1470839542766242	0.5330827518336774	1	1
mitotic sister chromatid segregation	GO:0000070		110	35	15.539821003738531	0.8119422350371938	1.5510828285042133	4.855525040296485e-7	1.8260242383686423e-4	1.8260242383686426e-4
cell cycle checkpoint signaling	GO:0000075		106	27	14.974736603602583	0.5894723112324582	1.351914552971842	8.667193693233345e-4	0.08669600173441717	0.08669600173441717
DNA replication checkpoint signaling	GO:0000076		12	7	1.6952532004078396	1.4180780386075094	2.125575518637697	4.587129140008753e-4	0.0513856062173321	0.0513856062173321
DNA damage checkpoint signaling	GO:0000077		72	13	10.171519202447039	0.24535777778567772	1.0650141329618068	0.16880509822344392	1	1
regulation of cyclin-dependent protein serine/threonine kinase activity	GO:0000079		32	8	4.520675201087572	0.5707801782203058	1.3356044292399325	0.07230484597432403	1	1
G1/S transition of mitotic cell cycle	GO:0000082		41	8	5.792115101393452	0.32294401431572456	1.1269989467778934	0.19541550969420737	1	1
G2/M transition of mitotic cell cycle	GO:0000086		33	12	4.661946301121559	0.9454736276617164	1.6743804834686447	0.0012161911545622603	0.11434368622804107	0.11434368622804107
sulfur amino acid metabolic process	GO:0000096		25	0	3.5317775008496657	-Inf	0	1	1	1
sulfur amino acid biosynthetic process	GO:0000097		11	0	1.5539821003738528	-Inf	0	1	1	1
sulfur amino acid catabolic process	GO:0000098		7	0	0.9888977002379065	-Inf	0	1	1	1
sulfur amino acid transport	GO:0000101		10	0	1.4127110003398664	-Inf	0	1	1	1
establishment of mitotic spindle orientation	GO:0000132		23	6	3.2492353007816925	0.6133397926391018	1.372844764379364	0.09489413825162786	1	1
rRNA modification	GO:0000154		18	0	2.5428798006117597	-Inf	0	1	1	1
MAPK cascade	GO:0000165		89	1	12.573127903024812	-2.5315618303919436	0.07945108828611322	0.9999987489195561	1	1
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	GO:0000184		25	0	3.5317775008496657	-Inf	0	1	1	1
protein polyubiquitination	GO:0000209		193	11	27.26532230655942	-0.9077203767663186	0.3932300476096623	0.999902672822577	1	1
spliceosomal tri-snRNP complex assembly	GO:0000244		11	0	1.5539821003738528	-Inf	0	1	1	1
spliceosomal complex assembly	GO:0000245		39	3	5.509572901325479	-0.6078748181213404	0.5206616564639335	0.9278978389372958	1	1
mitochondrial fission	GO:0000266		9	0	1.2714399003058798	-Inf	0	1	1	1
polysaccharide biosynthetic process	GO:0000271		10	0	1.4127110003398664	-Inf	0	1	1	1
polysaccharide catabolic process	GO:0000272		5	0	0.7063555001699332	-Inf	0	1	1	1
nuclear division	GO:0000280		153	43	21.614478305199956	0.6878367336413234	1.4388881956756703	1.497909806262165e-6	4.6391147823354696e-4	4.6391147823354696e-4
mitotic cytokinesis	GO:0000281		63	13	8.900079302141158	0.3788891704102005	1.1727419716405	0.06542742095105329	1	1
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	GO:0000288		12	0	1.6952532004078396	-Inf	0	1	1	1
nuclear-transcribed mRNA poly(A) tail shortening	GO:0000289		6	0	0.8476266002039198	-Inf	0	1	1	1
retrograde transport, vesicle recycling within Golgi	GO:0000301		8	0	1.130168800271893	-Inf	0	1	1	1
response to reactive oxygen species	GO:0000302		82	2	11.584230202786904	-1.7564975273641112	0.1718021038457815	0.9999467956206995	1	1
response to superoxide	GO:0000303		11	0	1.5539821003738528	-Inf	0	1	1	1
response to oxygen radical	GO:0000305		12	0	1.6952532004078396	-Inf	0	1	1	1
protein deneddylation	GO:0000338		10	1	1.4127110003398664	-0.34551055365384925	0.659092910422253	0.7461606383054669	1	1
RNA splicing, via transesterification reactions	GO:0000375		186	6	26.276424606321516	-1.4769126651449498	0.22640244637982765	0.9999996462398153	1	1
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	GO:0000377		181	5	25.570069106151582	-1.631984579491529	0.19431595842665142	0.9999998999469673	1	1
alternative mRNA splicing, via spliceosome	GO:0000380		12	1	1.6952532004078396	-0.527832110447804	0.5601297750940063	0.8393037590626354	1	1
regulation of alternative mRNA splicing, via spliceosome	GO:0000381		38	1	5.3683018012914925	-1.6805116203861894	0.18521782694125405	0.9969543390113893	1	1
spliceosomal snRNP assembly	GO:0000387		32	0	4.520675201087572	-Inf	0	1	1	1
mRNA 3'-splice site recognition	GO:0000389		5	0	0.7063555001699332	-Inf	0	1	1	1
RNA splicing, via endonucleolytic cleavage and ligation	GO:0000394		8	0	1.130168800271893	-Inf	0	1	1	1
mRNA splicing, via spliceosome	GO:0000398		181	5	25.570069106151582	-1.631984579491529	0.19431595842665142	0.9999998999469673	1	1
autophagy of mitochondrion	GO:0000422		31	0	4.379404101053586	-Inf	0	1	1	1
mitophagy	GO:0000423		25	0	3.5317775008496657	-Inf	0	1	1	1
pexophagy	GO:0000425		6	0	0.8476266002039198	-Inf	0	1	1	1
maturation of 5.8S rRNA	GO:0000460		10	2	1.4127110003398664	0.34763662690609604	1.1470839542766242	0.37012590278570107	1	1
small nucleolar ribonucleoprotein complex assembly	GO:0000491		6	0	0.8476266002039198	-Inf	0	1	1	1
box C/D snoRNP assembly	GO:0000492		5	0	0.7063555001699332	-Inf	0	1	1	1
embryonic axis specification	GO:0000578		9	1	1.2714399003058798	-0.24015003799602308	0.722099523235397	0.7461606383054669	1	1
telomere maintenance via recombination	GO:0000722		8	1	1.130168800271893	-0.12236700233963946	0.7975437449375895	0.7043790010254928	1	1
telomere maintenance	GO:0000723		65	8	9.18262150220913	-0.13787118887560465	0.7873144632223777	0.6455837167316372	1	1
double-strand break repair via homologous recombination	GO:0000724		76	16	10.736603602582985	0.39892992129364646	1.1893310930374168	0.06340577475314187	1	1
recombinational repair	GO:0000725		78	17	11.019145802650957	0.43357905670682073	1.2182555913173028	0.04278763704823588	1	1
DNA double-strand break processing	GO:0000729		17	2	2.4016087005777726	-0.18299162415607434	0.7580572553434798	0.7150642610300935	1	1
DNA synthesis involved in DNA repair	GO:0000731		31	12	4.379404101053586	1.0079939846430503	1.732888535536949	6.351393021736884e-4	0.06824506991723406	0.06824506991723406
syncytium formation by plasma membrane fusion	GO:0000768		13	1	1.8365243004418261	-0.6078748181213404	0.5206616564639335	0.8393037590626354	1	1
sister chromatid segregation	GO:0000819		112	35	15.822363203806503	0.7939237295345155	1.5346392170467151	8.067949225789536e-7	2.6548595421113695e-4	2.6548595421113695e-4
cell morphogenesis	GO:0000902		114	1	16.104905403874476	-2.779123909054299	0.062053051513806204	0.9999999728728344	1	1
cytokinesis	GO:0000910		69	14	9.747705902345077	0.36202536435819566	1.158864478686588	0.06740790514067253	1	1
nuclear-transcribed mRNA catabolic process	GO:0000956		62	1	8.758808202107172	-2.170059845704895	0.11392419237789574	0.9998768122386342	1	1
mitochondrial RNA catabolic process	GO:0000957		6	0	0.8476266002039198	-Inf	0	1	1	1
mitochondrial RNA metabolic process	GO:0000959		35	0	4.944488501189531	-Inf	0	1	1	1
mitochondrial RNA processing	GO:0000963		18	0	2.5428798006117597	-Inf	0	1	1	1
mitochondrial RNA 3'-end processing	GO:0000965		7	0	0.9888977002379065	-Inf	0	1	1	1
RNA 5'-end processing	GO:0000966		22	1	3.1079642007477055	-1.1339679140181194	0.31644613264795296	0.9525373450177392	1	1
response to acid chemical	GO:0001101		38	0	5.3683018012914925	-Inf	0	1	1	1
promoter clearance during DNA-templated transcription	GO:0001109		7	0	0.9888977002379065	-Inf	0	1	1	1
RNA polymerase II promoter clearance	GO:0001111		7	0	0.9888977002379065	-Inf	0	1	1	1
formation of extrachromosomal circular DNA	GO:0001325		10	4	1.4127110003398664	1.0407838074660414	1.7637494737366954	0.04111386742263724	1	1
guanine nucleotide transport	GO:0001408		8	1	1.130168800271893	-0.12236700233963946	0.7975437449375895	0.7043790010254928	1	1
skeletal system development	GO:0001501		141	2	19.919225104792112	-2.2985381704780266	0.10023757054474489	0.9999999878418985	1	1
ossification	GO:0001503		48	1	6.781012801631358	-1.9141264715676947	0.14694123906250484	0.9993385182882003	1	1
neurotransmitter uptake	GO:0001504		19	0	2.6841509006457462	-Inf	0	1	1	1
action potential	GO:0001508		54	1	7.628639401835278	-2.031909507224078	0.13071243639056385	0.9996918349649588	1	1
RNA methylation	GO:0001510		47	2	6.639741701597372	-1.199925881809917	0.29683808312725557	0.9911883324822778	1	1
prostaglandin biosynthetic process	GO:0001516		13	1	1.8365243004418261	-0.6078748181213404	0.5206616564639335	0.8620209353973926	1	1
pseudouridine synthesis	GO:0001522		12	0	1.6952532004078396	-Inf	0	1	1	1
retinoid metabolic process	GO:0001523		55	1	7.769910501869266	-2.0502586458922747	0.12834892920979227	0.9995816985503854	1	1
angiogenesis	GO:0001525		88	4	12.431856802990822	-1.1339679140181194	0.31644613264795296	0.9989852580164573	1	1
cilium or flagellum-dependent cell motility	GO:0001539		40	1	5.650844001359466	-1.73180491477374	0.1760538413538418	0.9977556976794623	1	1
ovarian follicle development	GO:0001541		6	0	0.8476266002039198	-Inf	0	1	1	1
fatty acid alpha-oxidation	GO:0001561		6	0	0.8476266002039198	-Inf	0	1	1	1
response to protozoan	GO:0001562		5	0	0.7063555001699332	-Inf	0	1	1	1
blood vessel development	GO:0001568		113	6	15.96363430384049	-0.978553810144089	0.3675243628692626	0.9991672199583778	1	1
vasculogenesis	GO:0001570		10	0	1.4127110003398664	-Inf	0	1	1	1
ganglioside metabolic process	GO:0001573		15	0	2.1190665005097995	-Inf	0	1	1	1
ganglioside biosynthetic process	GO:0001574		8	0	1.130168800271893	-Inf	0	1	1	1
microtubule bundle formation	GO:0001578		60	3	8.476266002039198	-1.0386577342137946	0.34692810327591067	0.9937446543291861	1	1
detection of chemical stimulus involved in sensory perception of bitter taste	GO:0001580		33	0	4.661946301121559	-Inf	0	1	1	1
osteoblast differentiation	GO:0001649		22	1	3.1079642007477055	-1.1339679140181194	0.31644613264795296	0.9650136973699558	1	1
eye development	GO:0001654		53	0	7.4873683018012915	-Inf	0	1	1	1
metanephros development	GO:0001656		5	0	0.7063555001699332	-Inf	0	1	1	1
ureteric bud development	GO:0001657		6	0	0.8476266002039198	-Inf	0	1	1	1
response to hypoxia	GO:0001666		94	6	13.279483403194744	-0.7944607737017525	0.4377131792707594	0.992991864842153	1	1
ameboidal-type cell migration	GO:0001667		30	3	4.238133001019599	-0.34551055365384925	0.659092910422253	0.8166425551313368	1	1
long-chain fatty acid metabolic process	GO:0001676		76	3	10.736603602582985	-1.2750465122780252	0.2759041765861507	0.9989187066631204	1	1
intracellular glucose homeostasis	GO:0001678		19	0	2.6841509006457462	-Inf	0	1	1	1
tRNA 5'-leader removal	GO:0001682		11	1	1.5539821003738528	-0.4408207334581741	0.6057731141606972	0.7820390949824954	1	1
histamine metabolic process	GO:0001692		5	0	0.7063555001699332	-Inf	0	1	1	1
in utero embryonic development	GO:0001701		7	0	0.9888977002379065	-Inf	0	1	1	1
formation of primary germ layer	GO:0001704		18	2	2.5428798006117597	-0.24015003799602308	0.722099523235397	0.7447402299011122	1	1
endoderm formation	GO:0001706		13	0	1.8365243004418261	-Inf	0	1	1	1
