Description	ID	pathway_genes	pathway_size	observed_val	expected_val	log_observed_expected	asinh_observed_expected	pvalue	p.adjust	qvalue
mitochondrial genome maintenance	GO:0000002		21	0	2.687596500257334	-Inf	0	1	1	1
single strand break repair	GO:0000012		11	2	1.4077886429919368	0.3511270456033636	1.149936532733307	0.4203922562461162	1	1
alpha-glucoside transport	GO:0000017		2	0	0.2559615714530794	-Inf	0	1	1	1
regulation of DNA recombination	GO:0000018		89	7	11.390289929662035	-0.4868510828350376	0.5812685922673575	0.9354232144697407	1	1
regulation of mitotic recombination	GO:0000019		3	0	0.3839423571796191	-Inf	0	1	1	1
mitotic spindle elongation	GO:0000022		8	0	1.0238462858123176	-Inf	0	1	1	1
maltose metabolic process	GO:0000023		2	1	0.2559615714530794	1.3627279572818436	2.0718658533920546	0.2395888722840145	1	1
maltose catabolic process	GO:0000025		1	0	0.1279807857265397	-Inf	0	1	1	1
ribosomal large subunit assembly	GO:0000027		15	0	1.9197117858980957	-Inf	0	1	1	1
ribosomal small subunit assembly	GO:0000028		8	0	1.0238462858123176	-Inf	0	1	1	1
very long-chain fatty acid metabolic process	GO:0000038		24	4	3.071538857436953	0.26411566861373403	1.0798397155782946	0.36957535195843716	1	1
transition metal ion transport	GO:0000041		55	4	7.0389432149596844	-0.5651636862707914	0.5414244590731866	0.9338714510179145	1	1
autophagosome assembly	GO:0000045		52	5	6.655000857780065	-0.285930668305538	0.6941986119639426	0.8124389996630731	1	1
urea cycle	GO:0000050		6	0	0.7678847143592382	-Inf	0	1	1	1
citrulline metabolic process	GO:0000052		5	0	0.6399039286326986	-Inf	0	1	1	1
argininosuccinate metabolic process	GO:0000053		1	0	0.1279807857265397	-Inf	0	1	1	1
ribosomal subunit export from nucleus	GO:0000054		4	0	0.5119231429061588	-Inf	0	1	1	1
ribosomal large subunit export from nucleus	GO:0000055		3	0	0.3839423571796191	-Inf	0	1	1	1
ribosomal small subunit export from nucleus	GO:0000056		3	0	0.3839423571796191	-Inf	0	1	1	1
mitotic sister chromatid segregation	GO:0000070		110	1	14.077886429919369	-2.644605227950627	0.07097378939907913	0.9999993761152106	1	1
