Description	ID	pathway_genes	pathway_size	observed_val	expected_val	log_observed_expected	asinh_observed_expected	pvalue	p.adjust	qvalue
mitochondrial genome maintenance	GO:0000002		21	17	20.603705609881626	-0.19225759953697324	0.752143901417537	0.9999631527125041	1	1
single strand break repair	GO:0000012		11	10	10.792417224223708	-0.07625868567409118	0.8284910060074426	0.9825504573318253	1	1
alpha-glucoside transport	GO:0000017		2	2	1.9622576771315834	0.01905149413023362	0.8949089843363195	0.962612739016054	1	1
regulation of DNA recombination	GO:0000018		89	83	87.32046663235546	-0.05074426780530836	0.845950893360983	0.9203282146770801	1	1
regulation of mitotic recombination	GO:0000019		3	3	2.943386515697375	0.01905149413023362	0.8949089843363195	0.9444450407675382	1	1
mitotic spindle elongation	GO:0000022		8	8	7.8490307085263336	0.01905149413023362	0.8949089843363195	0	0	0
maltose metabolic process	GO:0000023		2	2	1.9622576771315834	0.01905149413023362	0.8949089843363195	0.962612739016054	1	1
maltose catabolic process	GO:0000025		1	1	0.9811288385657917	0.01905149413023362	0.8949089843363195	0.9811288385657917	1	1
ribosomal large subunit assembly	GO:0000027		15	13	14.716932578486876	-0.12404934951043978	0.7964294445599418	0.7805509535059745	1	1
ribosomal small subunit assembly	GO:0000028		8	8	7.8490307085263336	0.01905149413023362	0.8949089843363195	0.8586080397682806	1	1
very long-chain fatty acid metabolic process	GO:0000038		24	24	23.547092125579	0.01905149413023362	0.8949089843363195	0.6328386989815222	1	1
transition metal ion transport	GO:0000041		55	55	53.962086121118546	0.01905149413023362	0.8949089843363195	0.35012362294791083	1	1
autophagosome assembly	GO:0000045		52	52	51.01869960542117	0.01905149413023362	0.8949089843363195	0.37078271070331525	1	1
urea cycle	GO:0000050		6	4	5.88677303139475	-0.3864136139779308	0.6357827085586837	0.9998723108685462	1	1
citrulline metabolic process	GO:0000052		5	4	4.905644192828959	-0.2040920571839762	0.7446386799343393	0.9965807335369191	1	1
argininosuccinate metabolic process	GO:0000053		1	1	0.9811288385657917	0.01905149413023362	0.8949089843363195	0.9811288385657917	1	1
ribosomal subunit export from nucleus	GO:0000054		4	4	3.9245153542631668	0.01905149413023362	0.8949089843363195	0.926619207808645	1	1
ribosomal large subunit export from nucleus	GO:0000055		3	3	2.943386515697375	0.01905149413023362	0.8949089843363195	0.9444450407675382	1	1
ribosomal small subunit export from nucleus	GO:0000056		3	3	2.943386515697375	0.01905149413023362	0.8949089843363195	0.9444450407675382	1	1
mitotic sister chromatid segregation	GO:0000070		110	103	107.92417224223709	-0.046699883432546864	0.8487402231224777	0.4129112269404336	1	1
cell cycle checkpoint signaling	GO:0000075		106	94	103.99965688797393	-0.10109281771182964	0.8117252391679304	0.9999750384989553	1	1
DNA replication checkpoint signaling	GO:0000076		12	11	11.7735460627895	-0.06795988285939608	0.83414399040472	0.9793187463853041	1	1
DNA damage checkpoint signaling	GO:0000077		72	62	70.64127637673701	-0.13048023984073023	0.7921796590808672	0.9999545985148057	1	1
regulation of cyclin-dependent protein serine/threonine kinase activity	GO:0000079		32	30	31.396122834105334	-0.045487027007337505	0.8495778579536342	0.9779496771915868	1	1
G1/S transition of mitotic cell cycle	GO:0000082		41	39	40.22628238119746	-0.03095892644442774	0.8596526098731063	0.8258782216195756	1	1
G2/M transition of mitotic cell cycle	GO:0000086		33	33	32.37725167267113	0.01905149413023362	0.8949089843363195	0.5329749860238968	1	1
