Description	ID	pathway_genes	pathway_size	observed_val	expected_val	log_observed_expected	asinh_observed_expected	pvalue	p.adjust	qvalue
mitochondrial genome maintenance	GO:0000002		21	1	6.1114551083591335	-1.8101648967707704	0.16290565769120302	0.9992736536051985	1	1
single strand break repair	GO:0000012		11	2	3.2012383900928794	-0.4703905512857727	0.5899386460389915	0.8746120857394658	1	1
regulation of DNA recombination	GO:0000018		89	9	25.90092879256966	-1.057054251443268	0.34084010284705346	0.9999923198577494	1	1
mitotic spindle elongation	GO:0000022		8	5	2.328173374613003	0.7643539117069171	1.5077633497949485	0.02520224835516166	0.9832356983149363	0.9832356983149362
ribosomal large subunit assembly	GO:0000027		15	1	4.365325077399381	-1.4736926601495572	0.2271203554640151	0.988586185589883	1	1
ribosomal small subunit assembly	GO:0000028		8	0	2.328173374613003	-Inf	0	1	1	1
very long-chain fatty acid metabolic process	GO:0000038		24	5	6.984520123839009	-0.33425837696119254	0.6656183275370864	0.8703613136343931	1	1
transition metal ion transport	GO:0000041		55	12	16.006191950464398	-0.28806899449181805	0.6929150560802828	0.913111831997569	1	1
autophagosome assembly	GO:0000045		52	4	15.133126934984519	-1.330591816508884	0.2613358920459493	0.9999702739717247	1	1
urea cycle	GO:0000050		6	0	1.7461300309597523	-Inf	0	1	1	1
citrulline metabolic process	GO:0000052		5	1	1.455108359133127	-0.37508037148144785	0.6421769285782793	0.8209136142003325	1	1
mitotic sister chromatid segregation	GO:0000070		110	32	32.012383900928796	-3.869220400371789e-4	0.8811000182879515	0.38943091570421245	1	1
cell cycle checkpoint signaling	GO:0000075		106	20	30.848297213622292	-0.43334927960542347	0.6098269370833146	0.9908335211782193	1	1
DNA replication checkpoint signaling	GO:0000076		12	3	3.4922600619195046	-0.15193682016723797	0.7781119523497596	0.7251536966991603	1	1
DNA damage checkpoint signaling	GO:0000077		72	9	20.953560371517025	-0.8450840007271831	0.4173036728063209	0.9995358811619396	1	1
regulation of cyclin-dependent protein serine/threonine kinase activity	GO:0000079		32	9	9.312693498452012	-0.03415378451085448	0.8574305694931939	0.6143879354944022	1	1
G1/S transition of mitotic cell cycle	GO:0000082		41	6	11.931888544891642	-0.6874550565236003	0.483763220639774	0.988311961248346	1	1
G2/M transition of mitotic cell cycle	GO:0000086		33	14	9.603715170278637	0.37690730910143105	1.1711071578821528	0.07082515155187913	1	1
sulfur amino acid metabolic process	GO:0000096		25	9	7.275541795665634	0.21270629342067127	1.0394595293271314	0.28763108523226527	1	1
sulfur amino acid biosynthetic process	GO:0000097		11	1	3.2012383900928794	-1.163537731845718	0.3075096785586317	0.9772804277832714	1	1
sulfur amino acid catabolic process	GO:0000098		7	4	2.0371517027863777	0.67474175301723	1.42720372101378	0.11465060479462533	1	1
sulfur amino acid transport	GO:0000101		10	2	2.910216718266254	-0.37508037148144785	0.6421769285782793	0.8362796105231871	1	1
establishment of mitotic spindle orientation	GO:0000132		23	6	6.693498452012384	-0.10937720574844202	0.8061828944820965	0.6996163935819366	1	1
rRNA modification	GO:0000154		18	1	5.238390092879256	-1.656014216943512	0.18975749802327474	0.9979590693297917	1	1
MAPK cascade	GO:0000165		89	18	25.90092879256966	-0.3639070708833225	0.6485292783871852	0.9784782603582161	1	1
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	GO:0000184		25	0	7.275541795665634	-Inf	0	1	1	1
protein polyubiquitination	GO:0000209		193	23	56.1671826625387	-0.8928384320230832	0.398833734092119	0.9999999892216103	1	1
spliceosomal tri-snRNP complex assembly	GO:0000244		11	0	3.2012383900928794	-Inf	0	1	1	1
spliceosomal complex assembly	GO:0000245		39	2	11.349845201238391	-1.7360569246170485	0.1753144235332357	0.999974937258643	1	1
mitochondrial fission	GO:0000266		9	0	2.619195046439628	-Inf	0	1	1	1
polysaccharide biosynthetic process	GO:0000271		10	1	2.910216718266254	-1.068227552041393	0.33719095670337335	0.9679469421429254	1	1
polysaccharide catabolic process	GO:0000272		5	0	1.455108359133127	-Inf	0	1	1	1
nuclear division	GO:0000280		153	42	44.526315789473685	-0.058410762156414484	0.8406797238506865	0.5460396533549084	1	1
mitotic cytokinesis	GO:0000281		63	17	18.3343653250774	-0.07556384138266398	0.8289633555674095	0.5357076542558137	1	1
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	GO:0000288		12	1	3.4922600619195046	-1.2505491088353478	0.28257205598659335	0.9679469421429254	1	1
nuclear-transcribed mRNA poly(A) tail shortening	GO:0000289		6	1	1.7461300309597523	-0.5574019282754025	0.5452705330735268	0.8730465782606132	1	1
retrograde transport, vesicle recycling within Golgi	GO:0000301		8	0	2.328173374613003	-Inf	0	1	1	1
response to reactive oxygen species	GO:0000302		82	10	23.863777089783284	-0.8697766133175548	0.4076597012832117	0.9999259675332157	1	1
response to superoxide	GO:0000303		11	3	3.2012383900928794	-0.06492544317760822	0.8362172642778624	0.6637834720499324	1	1
response to oxygen radical	GO:0000305		12	3	3.4922600619195046	-0.15193682016723797	0.7781119523497596	0.7251536966991603	1	1
protein deneddylation	GO:0000338		10	0	2.910216718266254	-Inf	0	1	1	1
RNA splicing, via transesterification reactions	GO:0000375		186	6	54.130030959752325	-2.1996296635324937	0.11061846621595993	1	1	1
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	GO:0000377		181	6	52.6749226006192	-2.172380021085118	0.11366130706239329	1	1	1
alternative mRNA splicing, via spliceosome	GO:0000380		12	1	3.4922600619195046	-1.2505491088353478	0.28257205598659335	0.983896488168339	1	1
regulation of alternative mRNA splicing, via spliceosome	GO:0000381		38	5	11.058823529411766	-0.7937907063396329	0.4379891543425186	0.9941063572294346	1	1
spliceosomal snRNP assembly	GO:0000387		32	2	9.312693498452012	-1.5382311812871285	0.21314312018281803	0.999563683270785	1	1
mRNA 3'-splice site recognition	GO:0000389		5	0	1.455108359133127	-Inf	0	1	1	1
RNA splicing, via endonucleolytic cleavage and ligation	GO:0000394		8	0	2.328173374613003	-Inf	0	1	1	1
mRNA splicing, via spliceosome	GO:0000398		181	6	52.6749226006192	-2.172380021085118	0.11366130706239329	1	1	1
autophagy of mitochondrion	GO:0000422		31	4	9.021671826625386	-0.813335302412603	0.4300023651823518	0.9906090026327404	1	1
mitophagy	GO:0000423		25	2	7.275541795665634	-1.2913711033556028	0.2715441840771891	0.9979339585162004	1	1
pexophagy	GO:0000425		6	2	1.7461300309597523	0.1357452522845429	0.9805377607917879	0.5602487938989293	1	1
maturation of 5.8S rRNA	GO:0000460		10	1	2.910216718266254	-1.068227552041393	0.33719095670337335	0.9547802089809516	1	1
small nucleolar ribonucleoprotein complex assembly	GO:0000491		6	0	1.7461300309597523	-Inf	0	1	1	1
box C/D snoRNP assembly	GO:0000492		5	0	1.455108359133127	-Inf	0	1	1	1
embryonic axis specification	GO:0000578		9	4	2.619195046439628	0.423427324736324	1.2097497190718085	0.25003676093285976	1	1
telomere maintenance via recombination	GO:0000722		8	0	2.328173374613003	-Inf	0	1	1	1
telomere maintenance	GO:0000723		65	5	18.91640866873065	-1.330591816508884	0.2613358920459493	0.9999867034474008	1	1
double-strand break repair via homologous recombination	GO:0000724		76	12	22.117647058823533	-0.6114691495456782	0.5189451911014884	0.9977416627836642	1	1
recombinational repair	GO:0000725		78	12	22.699690402476783	-0.6374446359489389	0.5066818052070887	0.9984862673843855	1	1
DNA double-strand break processing	GO:0000729		17	2	4.947368421052631	-0.9057086225436181	0.393983379686372	0.9769980762313253	1	1
DNA synthesis involved in DNA repair	GO:0000731		31	6	9.021671826625386	-0.4078701943044385	0.6238121260757715	0.9234437267983541	1	1
syncytium formation by plasma membrane fusion	GO:0000768		13	6	3.7832817337461297	0.461167652719171	1.241499765239275	0.06842916457804517	1	1
sister chromatid segregation	GO:0000819		112	32	32.59442724458204	-0.0184054275427153	0.8684190507995838	0.43873081885230475	1	1
cell morphogenesis	GO:0000902		114	27	33.1764705882353	-0.20600404143751377	0.7434311153253368	0.9186722210256482	1	1
cytokinesis	GO:0000910		69	18	20.080495356037154	-0.10937720574844215	0.8061828944820965	0.6150081601442269	1	1
nuclear-transcribed mRNA catabolic process	GO:0000956		62	2	18.043343653250773	-2.1996296635324937	0.11061846621595994	0.9999999625469457	1	1
mitochondrial RNA catabolic process	GO:0000957		6	0	1.7461300309597523	-Inf	0	1	1	1
mitochondrial RNA metabolic process	GO:0000959		35	1	10.185758513931887	-2.320990520536761	0.09801925854424805	0.9999917628311847	1	1
mitochondrial RNA processing	GO:0000963		18	1	5.238390092879256	-1.656014216943512	0.18975749802327474	0.9979590693297917	1	1
mitochondrial RNA 3'-end processing	GO:0000965		7	0	2.0371517027863777	-Inf	0	1	1	1
RNA 5'-end processing	GO:0000966		22	3	6.402476780185759	-0.7580726237375536	0.4529236104336536	0.9576418687237125	1	1
response to acid chemical	GO:0001101		38	3	11.058823529411766	-1.3046163301056235	0.26805493134926583	0.9996220450782503	1	1
promoter clearance during DNA-templated transcription	GO:0001109		7	0	2.0371517027863777	-Inf	0	1	1	1
RNA polymerase II promoter clearance	GO:0001111		7	0	2.0371517027863777	-Inf	0	1	1	1
formation of extrachromosomal circular DNA	GO:0001325		10	2	2.910216718266254	-0.37508037148144785	0.6421769285782793	0.8362796105231871	1	1
guanine nucleotide transport	GO:0001408		8	4	2.328173374613003	0.5412103603927074	1.3099538614173545	0.17807762117897233	1	1
skeletal system development	GO:0001501		141	54	41.034055727554176	0.2745816971387588	1.0881568007649491	0.009812822976629509	0.7104413813740654	0.7104413813740654
ossification	GO:0001503		48	17	13.969040247678018	0.1963698741009778	1.0267963060801768	0.20811180796110415	1	1
neurotransmitter uptake	GO:0001504		19	5	5.529411764705883	-0.10064352577968753	0.8120265450252825	0.6883739194874837	1	1
action potential	GO:0001508		54	21	15.715170278637771	0.2898959321118012	1.100384081685955	0.06496523876247362	1	1
RNA methylation	GO:0001510		47	3	13.678018575851393	-1.5171777720892963	0.21760852295355548	0.9999652199642299	1	1
prostaglandin biosynthetic process	GO:0001516		13	2	3.7832817337461297	-0.6374446359489386	0.5066818052070888	0.9276201191098115	1	1
pseudouridine synthesis	GO:0001522		12	0	3.4922600619195046	-Inf	0	1	1	1
retinoid metabolic process	GO:0001523		55	19	16.006191950464398	0.17146333488662213	1.0076502289084976	0.1303132907417094	1	1
angiogenesis	GO:0001525		88	20	25.609907120743035	-0.2472469999715628	0.7177217456279773	0.9183836557558024	1	1
cilium or flagellum-dependent cell motility	GO:0001539		40	17	11.640866873065017	0.37869143089493235	1.172578812187294	0.03795168989591133	1	1
ovarian follicle development	GO:0001541		6	0	1.7461300309597523	-Inf	0	1	1	1
fatty acid alpha-oxidation	GO:0001561		6	1	1.7461300309597523	-0.5574019282754025	0.5452705330735268	0.8209136142003325	1	1
response to protozoan	GO:0001562		5	1	1.455108359133127	-0.37508037148144785	0.6421769285782793	0.7473783857325188	1	1
