Description	ID	pathway_genes	pathway_size	observed_val	expected_val	log_observed_expected	asinh_observed_expected	pvalue	p.adjust	qvalue
mitochondrial genome maintenance	GO:0000002		21	17	20.42615794546176	-0.18360298763915564	0.7576660953851106	0.9997886802855391	1	1
single strand break repair	GO:0000012		11	10	10.699416066670446	-0.06760407377627362	0.8343869225100518	0.9651884023997048	1	1
regulation of DNA recombination	GO:0000018		89	83	86.56800272124269	-0.04208965590749058	0.8519270109943521	0.9102409974028938	1	1
mitotic spindle elongation	GO:0000022		8	8	7.781393503033051	0.027706106028051302	0.9010998239073468	0.8011609174354837	1	1
ribosomal large subunit assembly	GO:0000027		15	13	14.590112818186972	-0.11539473761262203	0.8021730225470364	0.6974644963534458	1	1
ribosomal small subunit assembly	GO:0000028		8	8	7.781393503033051	0.027706106028051302	0.9010998239073468	0.8011609174354837	1	1
very long-chain fatty acid metabolic process	GO:0000038		24	24	23.344180509099154	0.027706106028051302	0.9010998239073468	0.5140747871041764	1	1
transition metal ion transport	GO:0000041		55	55	53.49708033335223	0.027706106028051302	0.9010998239073468	0.21735877914053095	1	1
autophagosome assembly	GO:0000045		52	52	50.57905776971484	0.027706106028051302	0.9010998239073468	0.23625735036527645	1	1
urea cycle	GO:0000050		6	4	5.836045127274788	-0.3777590020801131	0.6406611858959657	0.9996186378340237	1	1
citrulline metabolic process	GO:0000052		5	4	4.863370939395657	-0.19543744528615845	0.7501220789426133	0.9929454826025617	1	1
mitotic sister chromatid segregation	GO:0000070		110	103	106.99416066670446	-0.038045271534729135	0.8547289750596682	0.4497108965937735	1	1
cell cycle checkpoint signaling	GO:0000075		106	94	103.10346391518794	-0.092438205814012	0.817542317583053	0.9994848157273555	1	1
DNA replication checkpoint signaling	GO:0000076		12	11	11.672090254549577	-0.05930527096157846	0.8400660849940044	0.9589683097619199	1	1
DNA damage checkpoint signaling	GO:0000077		72	62	70.03254152729747	-0.12182562794291253	0.7979025472879326	0.9994312727786578	1	1
regulation of cyclin-dependent protein serine/threonine kinase activity	GO:0000079		32	30	31.125574012132205	-0.03683241510951981	0.8555703944174957	0.9439598567591687	1	1
G1/S transition of mitotic cell cycle	GO:0000082		41	39	39.87964170304439	-0.02230431454661011	0.8656903205847014	0.7010997271442307	1	1
G2/M transition of mitotic cell cycle	GO:0000086		33	33	32.09824820001134	0.027706106028051302	0.9010998239073468	0.40045916044248453	1	1
sulfur amino acid metabolic process	GO:0000096		25	20	24.316854696978286	-0.19543744528615845	0.7501220789426133	0.9999540705850104	1	1
sulfur amino acid biosynthetic process	GO:0000097		11	9	10.699416066670446	-0.17296458943409984	0.7644928490504203	0.9971594173923781	1	1
sulfur amino acid catabolic process	GO:0000098		7	5	6.80871931515392	-0.30876613059316155	0.6805821405202078	0.9993461560234044	1	1
sulfur amino acid transport	GO:0000101		10	10	9.726741878791314	0.027706106028051302	0.9010998239073468	0.7579538663594994	1	1
establishment of mitotic spindle orientation	GO:0000132		23	22	22.37150632122002	-0.01674565654278247	0.8695823278098127	0.8704886910904847	1	1
rRNA modification	GO:0000154		18	18	17.508135381824367	0.027706106028051302	0.9010998239073468	0.6071655721279186	1	1
MAPK cascade	GO:0000165		89	80	86.56800272124269	-0.07890362903020681	0.8266946103975163	0.9998441085530295	1	1
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	GO:0000184		25	25	24.316854696978286	0.027706106028051302	0.9010998239073468	0.5000081366707856	1	1
protein polyubiquitination	GO:0000209		193	185	187.72611826067237	-0.014628257798509346	0.8710677658364231	0.11104090877806262	1	1
spliceosomal tri-snRNP complex assembly	GO:0000244		11	10	10.699416066670446	-0.06760407377627362	0.8343869225100518	0.7579538663594994	1	1
spliceosomal complex assembly	GO:0000245		39	38	37.93429332728613	0.001730619624790628	0.8825978491930391	0.7112734665006852	1	1
mitochondrial fission	GO:0000266		9	7	8.754067690912184	-0.22360832225285487	0.7323779570836239	0.9812936578221436	1	1
polysaccharide biosynthetic process	GO:0000271		10	8	9.726741878791314	-0.19543744528615845	0.7501220789426133	0.9978915819223446	1	1
polysaccharide catabolic process	GO:0000272		5	5	4.863370939395657	0.027706106028051302	0.9010998239073468	0.8706228013638881	1	1
nuclear division	GO:0000280		153	144	148.8191507455071	-0.032918515788383514	0.8582892706962126	0.42661577489680624	1	1
mitotic cytokinesis	GO:0000281		63	56	61.27847383638528	-0.09007692962833219	0.8191342055410109	0.922514306107222	1	1
