Description	ID	pathway_genes	pathway_size	observed_val	expected_val	log_observed_expected	asinh_observed_expected	pvalue	p.adjust	qvalue
mitochondrial genome maintenance	GO:0000002		21	0	1.9006382611695705	-Inf	0	1	1	1
single strand break repair	GO:0000012		11	0	0.9955724225173941	-Inf	0	1	1	1
alpha-glucoside transport	GO:0000017		2	0	0.1810131677304353	-Inf	0	1	1	1
regulation of DNA recombination	GO:0000018		89	0	8.05508596400437	-Inf	0	1	1	1
regulation of mitotic recombination	GO:0000019		3	0	0.2715197515956529	-Inf	0	1	1	1
mitotic spindle elongation	GO:0000022		8	0	0.7240526709217412	-Inf	0	1	1	1
maltose metabolic process	GO:0000023		2	0	0.1810131677304353	-Inf	0	1	1	1
maltose catabolic process	GO:0000025		1	0	0.09050658386521765	-Inf	0	1	1	1
ribosomal large subunit assembly	GO:0000027		15	0	1.3575987579782645	-Inf	0	1	1	1
ribosomal small subunit assembly	GO:0000028		8	0	0.7240526709217412	-Inf	0	1	1	1
very long-chain fatty acid metabolic process	GO:0000038		24	0	2.172158012765223	-Inf	0	1	1	1
transition metal ion transport	GO:0000041		55	0	4.97786211258697	-Inf	0	1	1	1
autophagosome assembly	GO:0000045		52	0	4.706342360991318	-Inf	0	1	1	1
urea cycle	GO:0000050		6	0	0.5430395031913058	-Inf	0	1	1	1
citrulline metabolic process	GO:0000052		5	0	0.45253291932608825	-Inf	0	1	1	1
argininosuccinate metabolic process	GO:0000053		1	0	0.09050658386521765	-Inf	0	1	1	1
ribosomal subunit export from nucleus	GO:0000054		4	0	0.3620263354608706	-Inf	0	1	1	1
ribosomal large subunit export from nucleus	GO:0000055		3	0	0.2715197515956529	-Inf	0	1	1	1
ribosomal small subunit export from nucleus	GO:0000056		3	0	0.2715197515956529	-Inf	0	1	1	1
mitotic sister chromatid segregation	GO:0000070		110	0	9.95572422517394	-Inf	0	1	1	1
cell cycle checkpoint signaling	GO:0000075		106	0	9.59369788971307	-Inf	0	1	1	1
DNA replication checkpoint signaling	GO:0000076		12	0	1.0860790063826116	-Inf	0	1	1	1
DNA damage checkpoint signaling	GO:0000077		72	0	6.51647403829567	-Inf	0	1	1	1
regulation of cyclin-dependent protein serine/threonine kinase activity	GO:0000079		32	0	2.8962106836869648	-Inf	0	1	1	1
G1/S transition of mitotic cell cycle	GO:0000082		41	1	3.710769938473923	-1.3112393856738136	0.266326261786402	0.9796417310219092	1	1
G2/M transition of mitotic cell cycle	GO:0000086		33	0	2.9867172675521823	-Inf	0	1	1	1
sulfur amino acid metabolic process	GO:0000096		25	0	2.262664596630441	-Inf	0	1	1	1
sulfur amino acid biosynthetic process	GO:0000097		11	0	0.9955724225173941	-Inf	0	1	1	1
