Description	ID	pathway_genes	pathway_size	observed_val	expected_val	log_observed_expected	asinh_observed_expected	pvalue	p.adjust	qvalue
mitochondrial genome maintenance	GO:0000002		21	2	4.164909248055315	-0.7335473056390756	0.4634347075196511	0.9404058626740485	1	1
single strand break repair	GO:0000012		11	2	2.1816191299337366	-0.0869201407140233	0.8212656010985372	0.6730021605572722	1	1
regulation of DNA recombination	GO:0000018		89	8	17.651282051282053	-0.791366876527902	0.43898871988130583	0.9975277189298466	1	1
mitotic spindle elongation	GO:0000022		8	0	1.586632094497263	-Inf	0	1	1	1
ribosomal large subunit assembly	GO:0000027		15	0	2.974935177182368	-Inf	0	1	1	1
ribosomal small subunit assembly	GO:0000028		8	0	1.586632094497263	-Inf	0	1	1	1
very long-chain fatty acid metabolic process	GO:0000038		24	2	4.759896283491789	-0.8670786982635983	0.4087035986754213	0.9656431238225949	1	1
transition metal ion transport	GO:0000041		55	9	10.908095649668685	-0.19228065637184968	0.7521292275436358	0.7893026820289706	1	1
autophagosome assembly	GO:0000045		52	6	10.31310861423221	-0.5416562978289704	0.553142047052846	0.960990738586474	1	1
urea cycle	GO:0000050		6	1	1.1899740708729472	-0.17393151770365303	0.7638705983629767	0.7346102666813186	1	1
citrulline metabolic process	GO:0000052		5	1	0.9916450590607894	0.008390039090301504	0.8873186668618395	0.6689306964999194	1	1
mitotic sister chromatid segregation	GO:0000070		110	11	21.81619129933737	-0.6847571414696438	0.4849765708737667	0.997433322156277	1	1
cell cycle checkpoint signaling	GO:0000075		106	5	21.022875252088735	-1.4361732301535648	0.23564914692349279	0.9999979952927965	1	1
DNA replication checkpoint signaling	GO:0000076		12	0	2.3799481417458943	-Inf	0	1	1	1
DNA damage checkpoint signaling	GO:0000077		72	4	14.279688850475369	-1.272543806371763	0.27657846224329496	0.9998145588434126	1	1
regulation of cyclin-dependent protein serine/threonine kinase activity	GO:0000079		32	2	6.346528377989052	-1.1547607707153793	0.31013719004815793	0.9924861381544018	1	1
G1/S transition of mitotic cell cycle	GO:0000082		41	10	8.131489484298474	0.2068409778141397	1.0349035178464057	0.2863313616515019	1	1
G2/M transition of mitotic cell cycle	GO:0000086		33	3	6.54485738980121	-0.7800673212739686	0.4436751450701712	0.9719412123141334	1	1
sulfur amino acid metabolic process	GO:0000096		25	1	4.958225295303946	-1.6010478733437987	0.2003421859250376	0.9960368094038272	1	1
sulfur amino acid biosynthetic process	GO:0000097		11	1	2.1816191299337366	-0.7800673212739686	0.4436751450701712	0.9121751963339662	1	1
sulfur amino acid catabolic process	GO:0000098		7	0	1.388303082685105	-Inf	0	1	1	1
sulfur amino acid transport	GO:0000101		10	3	1.9832901181215787	0.4138551471984659	1.2017531354543574	0.31714098673256336	1	1
establishment of mitotic spindle orientation	GO:0000132		23	0	4.561567271679631	-Inf	0	1	1	1
rRNA modification	GO:0000154		18	2	3.569922212618842	-0.5793966258118175	0.534430233884515	0.898126711841797	1	1
MAPK cascade	GO:0000165		89	13	17.651282051282053	-0.3058590607462013	0.6823044532896585	0.9195181208185184	1	1
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	GO:0000184		25	5	4.958225295303946	0.008390039090301725	0.8873186668618397	0.5712116735151234	1	1
protein polyubiquitination	GO:0000209		193	29	38.27749927974647	-0.27756640739400956	0.6992362207866899	0.9538950443595038	1	1
spliceosomal tri-snRNP complex assembly	GO:0000244		11	2	2.1816191299337366	-0.0869201407140233	0.8212656010985372	0.6191919806150974	1	1
spliceosomal complex assembly	GO:0000245		39	4	7.734831460674158	-0.659439333485354	0.4964905833815516	0.9651114883602628	1	1
mitochondrial fission	GO:0000266		9	2	1.784961106309421	0.11375055474812783	0.9640484020707447	0.4918002833342022	1	1
polysaccharide biosynthetic process	GO:0000271		10	2	1.9832901181215787	0.008390039090301504	0.8873186668618395	0.6191919806150974	1	1
polysaccharide catabolic process	GO:0000272		5	1	0.9916450590607894	0.008390039090301504	0.8873186668618395	0.6689306964999194	1	1
nuclear division	GO:0000280		153	17	30.344338807260158	-0.5793966258118175	0.534430233884515	0.9976169371444261	1	1
mitotic cytokinesis	GO:0000281		63	6	12.494727744165948	-0.7335473056390759	0.46343470751965105	0.9887706866187771	1	1
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	GO:0000288		12	3	2.3799481417458943	0.23153359040451135	1.0541552329317774	0.37704617087530945	1	1
nuclear-transcribed mRNA poly(A) tail shortening	GO:0000289		6	1	1.1899740708729472	-0.17393151770365303	0.7638705983629767	0.7346102666813186	1	1
retrograde transport, vesicle recycling within Golgi	GO:0000301		8	0	1.586632094497263	-Inf	0	1	1	1
response to reactive oxygen species	GO:0000302		82	14	16.262978968596947	-0.14983396612459265	0.779483046456908	0.7749710029939609	1	1
response to superoxide	GO:0000303		11	3	2.1816191299337366	0.31854496739414107	1.1234384634824788	0.37704617087530945	1	1
response to oxygen radical	GO:0000305		12	3	2.3799481417458943	0.23153359040451135	1.0541552329317774	0.43574592897643716	1	1
protein deneddylation	GO:0000338		10	0	1.9832901181215787	-Inf	0	1	1	1
RNA splicing, via transesterification reactions	GO:0000375		186	21	36.889196197061366	-0.5633962844653764	0.5422982546681113	0.9980863911943836	1	1
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	GO:0000377		181	21	35.89755113800058	-0.536146642018001	0.5559184004430464	0.9970741206885271	1	1
alternative mRNA splicing, via spliceosome	GO:0000380		12	3	2.3799481417458943	0.23153359040451135	1.0541552329317774	0.43574592897643716	1	1
regulation of alternative mRNA splicing, via spliceosome	GO:0000381		38	12	7.536502448862	0.46514844158601637	1.2448689498099301	0.05880715735853618	1	1
spliceosomal snRNP assembly	GO:0000387		32	5	6.346528377989052	-0.2384700388412242	0.7231386512898077	0.7377238547588876	1	1
mRNA 3'-splice site recognition	GO:0000389		5	0	0.9916450590607894	-Inf	0	1	1	1
RNA splicing, via endonucleolytic cleavage and ligation	GO:0000394		8	0	1.586632094497263	-Inf	0	1	1	1
mRNA splicing, via spliceosome	GO:0000398		181	21	35.89755113800058	-0.536146642018001	0.5559184004430464	0.9970741206885271	1	1
autophagy of mitochondrion	GO:0000422		31	5	6.148199366176894	-0.20672134052664393	0.7429784440133548	0.7645705646565241	1	1
mitophagy	GO:0000423		25	4	4.958225295303946	-0.21475351222390815	0.7379228721116257	0.7599022153887589	1	1
pexophagy	GO:0000425		6	1	1.1899740708729472	-0.17393151770365303	0.7638705983629767	0.7346102666813186	1	1
maturation of 5.8S rRNA	GO:0000460		10	1	1.9832901181215787	-0.6847571414696438	0.4849765708737667	0.8633081718348953	1	1
small nucleolar ribonucleoprotein complex assembly	GO:0000491		6	1	1.1899740708729472	-0.17393151770365303	0.7638705983629767	0.7346102666813186	1	1
box C/D snoRNP assembly	GO:0000492		5	1	0.9916450590607894	0.008390039090301504	0.8873186668618395	0.6689306964999194	1	1
embryonic axis specification	GO:0000578		9	1	1.784961106309421	-0.5793966258118175	0.534430233884515	0.8633081718348953	1	1
telomere maintenance via recombination	GO:0000722		8	0	1.586632094497263	-Inf	0	1	1	1
telomere maintenance	GO:0000723		65	3	12.891385767790263	-1.4579470297031256	0.23066267867367263	0.9998248928591023	1	1
double-strand break repair via homologous recombination	GO:0000724		76	5	15.073004897724	-1.1034674763278287	0.3259181557644716	0.9997002254357419	1	1
