Description	ID	pathway_genes	pathway_size	observed_val	expected_val	log_observed_expected	asinh_observed_expected	pvalue	p.adjust	qvalue
mitochondrial genome maintenance	GO:0000002		21	2	3.766258409522167	-0.6329348637634384	0.508793189779814	0.9120817209229396	1	1
single strand break repair	GO:0000012		11	2	1.9728020240354207	0.01369230116161402	0.8910885716829069	0.6130459290218891	1	1
alpha-glucoside transport	GO:0000017		2	0	0.3586912770973492	-Inf	0	1	1	1
regulation of DNA recombination	GO:0000018		89	18	15.961761830832039	0.12017578156406421	0.9688489357138925	0.2727767919719389	1	1
regulation of mitotic recombination	GO:0000019		3	0	0.5380369156460237	-Inf	0	1	1	1
mitotic spindle elongation	GO:0000022		8	1	1.4347651083893969	-0.3610011482797967	0.6501892523814743	0.7943496760363029	1	1
maltose metabolic process	GO:0000023		2	1	0.3586912770973492	1.025293212840094	1.7491557324826812	0.3265348825605603	1	1
maltose catabolic process	GO:0000025		1	1	0.1793456385486746	1.7184403934000392	2.4195334942029763	0.17934563854867458	1	1
ribosomal large subunit assembly	GO:0000027		15	0	2.690184578230119	-Inf	0	1	1	1
ribosomal small subunit assembly	GO:0000028		8	0	1.4347651083893969	-Inf	0	1	1	1
very long-chain fatty acid metabolic process	GO:0000038		24	4	4.30429532516819	-0.07331907582801553	0.830490535139497	0.6470848328002472	1	1
transition metal ion transport	GO:0000041		55	5	9.864010120177102	-0.679454879398331	0.4873688063803265	0.9785684715220541	1	1
autophagosome assembly	GO:0000045		52	20	9.32597320453108	0.7629289483726028	1.5064717257544626	3.8613199644724504e-4	0.06343353723988492	0.06343353723988492
urea cycle	GO:0000050		6	0	1.0760738312920475	-Inf	0	1	1	1
citrulline metabolic process	GO:0000052		5	1	0.8967281927433731	0.10900248096593879	0.9605097049483128	0.627825319086063	1	1
argininosuccinate metabolic process	GO:0000053		1	0	0.1793456385486746	-Inf	0	1	1	1
ribosomal subunit export from nucleus	GO:0000054		4	1	0.7173825541946984	0.33214603228014866	1.1344642452894402	0.5464675373527734	1	1
ribosomal large subunit export from nucleus	GO:0000055		3	1	0.5380369156460237	0.6198281047319297	1.378554374832563	0.4473318059772957	1	1
ribosomal small subunit export from nucleus	GO:0000056		3	0	0.5380369156460237	-Inf	0	1	1	1
mitotic sister chromatid segregation	GO:0000070		110	19	19.728020240354205	-0.037600993225936456	0.8550371317742691	0.5588595132624842	1	1
cell cycle checkpoint signaling	GO:0000075		106	11	19.01063768615951	-0.5471034279136574	0.5504084124532849	0.9864065612068795	1	1
DNA replication checkpoint signaling	GO:0000076		12	1	2.152147662584095	-0.7664662563879608	0.4493744383431323	0.9067684263042199	1	1
DNA damage checkpoint signaling	GO:0000077		72	9	12.91288597550457	-0.3610011482797965	0.6501892523814744	0.9017065286407622	1	1
regulation of cyclin-dependent protein serine/threonine kinase activity	GO:0000079		32	4	5.739060433557587	-0.3610011482797967	0.6501892523814743	0.8507681949241146	1	1
G1/S transition of mitotic cell cycle	GO:0000082		41	12	7.353171180495658	0.4897749764837319	1.2657955992178498	0.05159342271175356	1	1
G2/M transition of mitotic cell cycle	GO:0000086		33	7	5.918406072106262	0.16784298098887235	1.004883506684625	0.37865807608141794	1	1
sulfur amino acid metabolic process	GO:0000096		25	0	4.483640963716865	-Inf	0	1	1	1
sulfur amino acid biosynthetic process	GO:0000097		11	0	1.9728020240354207	-Inf	0	1	1	1
sulfur amino acid catabolic process	GO:0000098		7	0	1.2554194698407222	-Inf	0	1	1	1
sulfur amino acid transport	GO:0000101		10	0	1.7934563854867462	-Inf	0	1	1	1
sulfate assimilation	GO:0000103		2	1	0.3586912770973492	1.025293212840094	1.7491557324826812	0.3265348825605603	1	1
negative regulation of transcription by RNA polymerase II	GO:0000122		516	90	92.5423494911161	-0.02785670175125844	0.8618137279844763	0.53709008544195	1	1
establishment of mitotic spindle orientation	GO:0000132		23	4	4.124949686619516	-0.03075946140921982	0.8597914603622457	0.6118912975056872	1	1
rRNA modification	GO:0000154		18	0	3.2282214938761427	-Inf	0	1	1	1
MAPK cascade	GO:0000165		89	19	15.961761830832039	0.17424300283434002	1.009777312250753	0.23640003964537495	1	1
rDNA heterochromatin formation	GO:0000183		4	1	0.7173825541946984	0.33214603228014866	1.1344642452894402	0.5464675373527734	1	1
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	GO:0000184		25	5	4.483640963716865	0.10900248096593898	0.9605097049483129	0.4737981632483128	1	1
protein polyubiquitination	GO:0000209		193	42	34.613708239894194	0.19341982277852215	1.0245183927914414	0.07629189273413373	1	1
meiotic spindle organization	GO:0000212		4	1	0.7173825541946984	0.33214603228014866	1.1344642452894402	0.5464675373527734	1	1
microtubule cytoskeleton organization	GO:0000226		304	33	54.521074118797074	-0.5020797465397021	0.5733390923938888	0.999738176567706	1	1
spliceosomal tri-snRNP complex assembly	GO:0000244		11	0	1.9728020240354207	-Inf	0	1	1	1
spliceosomal complex assembly	GO:0000245		39	6	6.994479903398309	-0.1533617835015521	0.7771837960550952	0.7241769251620258	1	1
allantoin metabolic process	GO:0000255		4	1	0.7173825541946984	0.33214603228014866	1.1344642452894402	0.4473318059772957	1	1
mitochondrial fission	GO:0000266		9	1	1.6141107469380713	-0.47878418393618005	0.5855046861582767	0.7943496760363029	1	1
polysaccharide biosynthetic process	GO:0000271		10	2	1.7934563854867462	0.10900248096593879	0.9605097049483128	0.5587255266275793	1	1
polysaccharide catabolic process	GO:0000272		5	2	0.8967281927433731	0.8021496615258841	1.5421400208117815	0.22103641041961677	1	1
mitotic cell cycle	GO:0000278		365	60	65.46115807026624	-0.08711239796035161	0.8211356884875942	0.7643031610376864	1	1
nuclear division	GO:0000280		153	24	27.439882697947215	-0.13394369764445058	0.7898972523588458	0.7394271961124009	1	1
mitotic cytokinesis	GO:0000281		63	16	11.2987752285665	0.3478943892482878	1.1472944999155115	0.06845248388520833	1	1
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	GO:0000288		12	4	2.152147662584095	0.6198281047319297	1.378554374832563	0.11842522907944707	1	1
nuclear-transcribed mRNA poly(A) tail shortening	GO:0000289		6	1	1.0760738312920475	-0.07331907582801553	0.830490535139497	0.6945924207638825	1	1
deadenylation-dependent decapping of nuclear-transcribed mRNA	GO:0000290		2	1	0.3586912770973492	1.025293212840094	1.7491557324826812	0.3265348825605603	1	1
RNA fragment catabolic process	GO:0000292		1	0	0.1793456385486746	-Inf	0	1	1	1
spermine transport	GO:0000296		2	0	0.3586912770973492	-Inf	0	1	1	1
retrograde transport, vesicle recycling within Golgi	GO:0000301		8	1	1.4347651083893969	-0.3610011482797967	0.6501892523814743	0.7943496760363029	1	1
response to reactive oxygen species	GO:0000302		82	12	14.706342360991316	-0.20337220407621343	0.7450936819368109	0.8215701429469455	1	1
response to superoxide	GO:0000303		11	0	1.9728020240354207	-Inf	0	1	1	1
response to oxygen radical	GO:0000305		12	0	2.152147662584095	-Inf	0	1	1	1
protein deneddylation	GO:0000338		10	3	1.7934563854867462	0.5144675890741033	1.2869201253713416	0.2088005995025705	1	1
cis assembly of pre-catalytic spliceosome	GO:0000354		2	0	0.3586912770973492	-Inf	0	1	1	1
RNA splicing, via transesterification reactions	GO:0000375		186	34	33.35828877005348	0.01905424430299933	0.8949109474382317	0.3447071012522914	1	1
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	GO:0000377		181	33	32.4615605773101	0.01645092360069374	0.8930538557277018	0.3637046739518704	1	1
