Description	ID	pathway_genes	pathway_size	observed_val	expected_val	log_observed_expected	asinh_observed_expected	pvalue	p.adjust	qvalue
mitochondrial genome maintenance	GO:0000002		21	0	2.4585130239779196	-Inf	0	1	1	1
single strand break repair	GO:0000012		11	0	1.2877925363693865	-Inf	0	1	1	1
alpha-glucoside transport	GO:0000017		2	0	0.23414409752170665	-Inf	0	1	1	1
regulation of DNA recombination	GO:0000018		89	2	10.419412339715945	-1.6505234568347653	0.19078981444143103	0.9997288695885782	1	1
regulation of mitotic recombination	GO:0000019		3	0	0.3512161462825599	-Inf	0	1	1	1
mitotic spindle elongation	GO:0000022		8	0	0.9365763900868266	-Inf	0	1	1	1
maltose metabolic process	GO:0000023		2	0	0.23414409752170665	-Inf	0	1	1	1
maltose catabolic process	GO:0000025		1	0	0.11707204876085332	-Inf	0	1	1	1
ribosomal large subunit assembly	GO:0000027		15	0	1.7560807314127997	-Inf	0	1	1	1
ribosomal small subunit assembly	GO:0000028		8	0	0.9365763900868266	-Inf	0	1	1	1
very long-chain fatty acid metabolic process	GO:0000038		24	2	2.8097291702604794	-0.33994091745057103	0.662316790195976	0.7895248830629635	1	1
transition metal ion transport	GO:0000041		55	2	6.438962681846932	-1.1692202723350964	0.30581969626614874	0.9912701810489616	1	1
autophagosome assembly	GO:0000045		52	0	6.0877465355643725	-Inf	0	1	1	1
urea cycle	GO:0000050		6	0	0.7024322925651199	-Inf	0	1	1	1
citrulline metabolic process	GO:0000052		5	0	0.5853602438042667	-Inf	0	1	1	1
argininosuccinate metabolic process	GO:0000053		1	0	0.11707204876085332	-Inf	0	1	1	1
ribosomal subunit export from nucleus	GO:0000054		4	0	0.4682881950434133	-Inf	0	1	1	1
ribosomal large subunit export from nucleus	GO:0000055		3	0	0.3512161462825599	-Inf	0	1	1	1
ribosomal small subunit export from nucleus	GO:0000056		3	0	0.3512161462825599	-Inf	0	1	1	1
mitotic sister chromatid segregation	GO:0000070		110	0	12.877925363693864	-Inf	0	1	1	1
cell cycle checkpoint signaling	GO:0000075		106	3	12.409637168650452	-1.4198610731065282	0.2394527553666646	0.9997482990769773	1	1
DNA replication checkpoint signaling	GO:0000076		12	0	1.4048645851302397	-Inf	0	1	1	1
DNA damage checkpoint signaling	GO:0000077		72	3	8.42918751078144	-1.0330880980105164	0.3487910082106775	0.99144545124825	1	1
regulation of cyclin-dependent protein serine/threonine kinase activity	GO:0000079		32	0	3.7463055603473063	-Inf	0	1	1	1
G1/S transition of mitotic cell cycle	GO:0000082		41	3	4.799953999194986	-0.46999404569876885	0.5901487650691949	0.8737926887063044	1	1
G2/M transition of mitotic cell cycle	GO:0000086		33	1	3.8633776091081593	-1.351541829129051	0.25603435287741355	0.9836400067993115	1	1
sulfur amino acid metabolic process	GO:0000096		25	0	2.926801219021333	-Inf	0	1	1	1
sulfur amino acid biosynthetic process	GO:0000097		11	0	1.2877925363693865	-Inf	0	1	1	1
sulfur amino acid catabolic process	GO:0000098		7	0	0.8195043413259732	-Inf	0	1	1	1
sulfur amino acid transport	GO:0000101		10	2	1.1707204876085333	0.5355278199033288	1.3050461870917867	0.33034733581620934	1	1
sulfate assimilation	GO:0000103		2	0	0.23414409752170665	-Inf	0	1	1	1
negative regulation of transcription by RNA polymerase II	GO:0000122		516	24	60.40917716060031	-0.9230872027961878	0.3875185585266057	0.9999999870472498	1	1
establishment of mitotic spindle orientation	GO:0000132		23	0	2.692657121499626	-Inf	0	1	1	1
rRNA modification	GO:0000154		18	0	2.10729687769536	-Inf	0	1	1	1
MAPK cascade	GO:0000165		89	7	10.419412339715945	-0.3977604883393974	0.6294302715606814	0.9088112035069386	1	1
rDNA heterochromatin formation	GO:0000183		4	0	0.4682881950434133	-Inf	0	1	1	1
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	GO:0000184		25	1	2.926801219021333	-1.0739100925307714	0.33534900353890107	0.9556251108647161	1	1
protein polyubiquitination	GO:0000209		193	4	22.59490541084469	-1.7314300954475657	0.1761191681851894	0.999999841256268	1	1
meiotic spindle organization	GO:0000212		4	0	0.4682881950434133	-Inf	0	1	1	1
microtubule cytoskeleton organization	GO:0000226		304	4	35.589902823299404	-2.1857676079489017	0.11215614467580584	0.9999999999996021	1	1
spliceosomal tri-snRNP complex assembly	GO:0000244		11	0	1.2877925363693865	-Inf	0	1	1	1
spliceosomal complex assembly	GO:0000245		39	1	4.565809901673279	-1.5185959137922171	0.21730490924916718	0.9922620150346013	1	1
allantoin metabolic process	GO:0000255		4	0	0.4682881950434133	-Inf	0	1	1	1
mitochondrial fission	GO:0000266		9	0	1.05364843884768	-Inf	0	1	1	1
polysaccharide biosynthetic process	GO:0000271		10	0	1.1707204876085333	-Inf	0	1	1	1
polysaccharide catabolic process	GO:0000272		5	0	0.5853602438042667	-Inf	0	1	1	1
mitotic cell cycle	GO:0000278		365	7	42.73129779771146	-1.809021472189749	0.1630904004115499	0.9999999999996199	1	1
nuclear division	GO:0000280		153	1	17.91202346041056	-2.8854721890550064	0.05579946122057502	0.9999999908651537	1	1
mitotic cytokinesis	GO:0000281		63	0	7.375539071933758	-Inf	0	1	1	1
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	GO:0000288		12	1	1.4048645851302397	-0.33994091745057103	0.662316790195976	0.7459052292413086	1	1
nuclear-transcribed mRNA poly(A) tail shortening	GO:0000289		6	1	0.7024322925651199	0.3532062631093743	1.1516373628256897	0.5263016034071478	1	1
deadenylation-dependent decapping of nuclear-transcribed mRNA	GO:0000290		2	0	0.23414409752170665	-Inf	0	1	1	1
RNA fragment catabolic process	GO:0000292		1	0	0.11707204876085332	-Inf	0	1	1	1
spermine transport	GO:0000296		2	0	0.23414409752170665	-Inf	0	1	1	1
retrograde transport, vesicle recycling within Golgi	GO:0000301		8	0	0.9365763900868266	-Inf	0	1	1	1
response to reactive oxygen species	GO:0000302		82	9	9.599907998389972	-0.06452893759060452	0.8364884235242006	0.6330277568791921	1	1
response to superoxide	GO:0000303		11	0	1.2877925363693865	-Inf	0	1	1	1
response to oxygen radical	GO:0000305		12	0	1.4048645851302397	-Inf	0	1	1	1
protein deneddylation	GO:0000338		10	0	1.1707204876085333	-Inf	0	1	1	1
cis assembly of pre-catalytic spliceosome	GO:0000354		2	0	0.23414409752170665	-Inf	0	1	1	1
RNA splicing, via transesterification reactions	GO:0000375		186	2	21.775401069518715	-2.387633760815827	0.09171811221600534	0.9999999933545765	1	1
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	GO:0000377		181	2	21.19004082571445	-2.3603841183684513	0.09424438647250012	0.9999999892487075	1	1
alternative mRNA splicing, via spliceosome	GO:0000380		12	0	1.4048645851302397	-Inf	0	1	1	1
regulation of alternative mRNA splicing, via spliceosome	GO:0000381		38	1	4.4487378529124255	-1.4926204273889565	0.22293169854695688	0.9912334495590153	1	1
spliceosomal snRNP assembly	GO:0000387		32	0	3.7463055603473063	-Inf	0	1	1	1
spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)	GO:0000388		1	0	0.11707204876085332	-Inf	0	1	1	1
mRNA 3'-splice site recognition	GO:0000389		5	0	0.5853602438042667	-Inf	0	1	1	1
spliceosomal complex disassembly	GO:0000390		1	0	0.11707204876085332	-Inf	0	1	1	1
spliceosomal conformational changes to generate catalytic conformation	GO:0000393		1	0	0.11707204876085332	-Inf	0	1	1	1
