Description	ID	pathway_genes	pathway_size	observed_val	expected_val	log_observed_expected	asinh_observed_expected	pvalue	p.adjust	qvalue
mitochondrial genome maintenance	GO:0000002		21	3	4.4533379334138345	-0.3950416237239551	0.6309478932927706	0.8535938313135494	1	1
single strand break repair	GO:0000012		11	1	2.3327008222643895	-0.8470267474670123	0.41653758374240446	0.9273840030572925	1	1
alpha-glucoside transport	GO:0000017		2	0	0.42412742222988903	-Inf	0	1	1	1
regulation of DNA recombination	GO:0000018		89	20	18.87367028923006	0.05796442915320929	0.922948633936565	0.36093679569575793	1	1
regulation of mitotic recombination	GO:0000019		3	0	0.6361911333448335	-Inf	0	1	1	1
mitotic spindle elongation	GO:0000022		8	0	1.6965096889195561	-Inf	0	1	1	1
maltose metabolic process	GO:0000023		2	1	0.42412742222988903	0.8577213447714128	1.593077407358642	0.37916601320856647	1	1
maltose catabolic process	GO:0000025		1	1	0.21206371111494451	1.550868525331358	2.255073462503221	0.2120637111149445	1	1
ribosomal large subunit assembly	GO:0000027		15	3	3.1809556667241674	-0.058569387102742225	0.8405708849106802	0.5421279804597237	1	1
ribosomal small subunit assembly	GO:0000028		8	4	1.6965096889195561	0.8577213447714128	1.593077407358642	0.06797734584064401	1	1
very long-chain fatty acid metabolic process	GO:0000038		24	5	5.089529066758668	-0.017747392582486983	0.8688801275779697	0.5978637651476398	1	1
transition metal ion transport	GO:0000041		55	14	11.663504111321947	0.18259266971414587	1.0161814204642456	0.2655396811115081	1	1
autophagosome assembly	GO:0000045		52	14	11.027312977977115	0.23868213636518942	1.059763238588032	0.1976262565226232	1	1
urea cycle	GO:0000050		6	1	1.272382266689667	-0.2408909438966967	0.7216415940330286	0.7607533989951115	1	1
citrulline metabolic process	GO:0000052		5	1	1.0603185555747225	-0.058569387102742225	0.8405708849106802	0.6963395090472341	1	1
argininosuccinate metabolic process	GO:0000053		1	1	0.21206371111494451	1.550868525331358	2.255073462503221	0.2120637111149445	1	1
ribosomal subunit export from nucleus	GO:0000054		4	1	0.8482548444597781	0.16457416421146753	1.0023890177353905	0.614589024294055	1	1
ribosomal large subunit export from nucleus	GO:0000055		3	1	0.6361911333448335	0.4522562366632486	1.2339713392352347	0.5108375149215347	1	1
ribosomal small subunit export from nucleus	GO:0000056		3	1	0.6361911333448335	0.4522562366632486	1.2339713392352347	0.5108375149215347	1	1
mitotic sister chromatid segregation	GO:0000070		110	16	23.327008222643894	-0.3770231182212767	0.641077321675949	0.9606605284777103	1	1
cell cycle checkpoint signaling	GO:0000075		106	15	22.478753378184116	-0.4045203676784989	0.6256693363332485	0.970138802304942	1	1
