Description	ID	pathway_genes	pathway_size	observed_val	expected_val	log_observed_expected	asinh_observed_expected	pvalue	p.adjust	qvalue
mitochondrial genome maintenance	GO:0000002		21	17	20.605140589960325	-0.19232724381055089	0.7520995788931915	0.9999637910386504	1	1
single strand break repair	GO:0000012		11	10	10.793168880455408	-0.07632832994766876	0.8284436721249809	0.9826699102776802	1	1
alpha-glucoside transport	GO:0000017		2	2	1.9623943419009833	0.018981849856656116	0.894859272412392	0.9627468273679264	1	1
regulation of DNA recombination	GO:0000018		89	81	87.32654821459376	-0.07520536520304501	0.829207113817099	0.9943688421766186	1	1
regulation of mitotic recombination	GO:0000019		3	3	2.9435915128514747	0.018981849856656116	0.894859272412392	0.9446423813072379	1	1
mitotic spindle elongation	GO:0000022		8	8	7.849577367603933	0.018981849856656116	0.894859272412392	0.8590865021968477	1	1
maltose metabolic process	GO:0000023		2	2	1.9623943419009833	0.018981849856656116	0.894859272412392	0.9627468273679264	1	1
maltose catabolic process	GO:0000025		1	1	0.9811971709504916	0.018981849856656116	0.894859272412392	0.9811971709504916	1	1
ribosomal large subunit assembly	GO:0000027		15	13	14.717957564257373	-0.12411899378401724	0.7963833384526489	0.7812578437577189	1	1
ribosomal small subunit assembly	GO:0000028		8	8	7.849577367603933	0.018981849856656116	0.894859272412392	0.8590865021968477	1	1
very long-chain fatty acid metabolic process	GO:0000038		24	24	23.548732102811798	0.018981849856656116	0.894859272412392	0.6338970002231864	1	1
transition metal ion transport	GO:0000041		55	55	53.965844402277035	0.018981849856656116	0.894859272412392	0.3514662730461707	1	1
autophagosome assembly	GO:0000045		52	52	51.022252889425566	0.018981849856656116	0.894859272412392	0.37212694562075044	1	1
urea cycle	GO:0000050		6	4	5.887183025702949	-0.38648325825150825	0.6357435679324202	0.9998736834776456	1	1
citrulline metabolic process	GO:0000052		5	4	4.905985854752458	-0.20416170145755375	0.7445946698827915	0.9966050720026443	1	1
argininosuccinate metabolic process	GO:0000053		1	1	0.9811971709504916	0.018981849856656116	0.894859272412392	0.9811971709504916	1	1
ribosomal subunit export from nucleus	GO:0000054		4	4	3.9247886838019665	0.018981849856656116	0.894859272412392	0.9268773675801005	1	1
ribosomal large subunit export from nucleus	GO:0000055		3	3	2.9435915128514747	0.018981849856656116	0.894859272412392	0.9446423813072379	1	1
ribosomal small subunit export from nucleus	GO:0000056		3	3	2.9435915128514747	0.018981849856656116	0.894859272412392	0.9446423813072379	1	1
mitotic sister chromatid segregation	GO:0000070		110	105	107.93168880455407	-0.02753816577823675	0.8620358265657629	0.6734387552098504	1	1
cell cycle checkpoint signaling	GO:0000075		106	95	104.0069001207521	-0.0905803526548702	0.8187946437749918	0.9999736784199074	1	1
DNA replication checkpoint signaling	GO:0000076		12	11	11.774366051405899	-0.0680295271329736	0.8340964455009771	0.9794593942890769	1	1
DNA damage checkpoint signaling	GO:0000077		72	63	70.64619630843539	-0.11454954276786654	0.8027354207398345	0.9999508595519322	1	1
regulation of cyclin-dependent protein serine/threonine kinase activity	GO:0000079		32	30	31.398309470415732	-0.04555667128091507	0.8495297451618139	0.978157743455301	1	1
G1/S transition of mitotic cell cycle	GO:0000082		41	39	40.229084008970155	-0.031028570718005244	0.8596041328516905	0.9584758748405865	1	1
G2/M transition of mitotic cell cycle	GO:0000086		33	32	32.37950664136623	-0.011789808810097765	0.8730615530752945	0.8726554345021611	1	1
sulfur amino acid metabolic process	GO:0000096		25	19	24.52992927376229	-0.2554549958451041	0.7126826395802169	0.9999997199863302	1	1
sulfur amino acid biosynthetic process	GO:0000097		11	9	10.793168880455408	-0.1816888456054951	0.7588912646462735	0.9990283881087929	1	1
sulfur amino acid catabolic process	GO:0000098		7	5	6.868380196653441	-0.3174903867645569	0.675432909069735	0.999782026986759	1	1
sulfur amino acid transport	GO:0000101		10	10	9.811971709504917	0.018981849856656116	0.894859272412392	0.8270682151245151	1	1
