Description	ID	pathway_genes	pathway_size	observed_val	expected_val	log_observed_expected	asinh_observed_expected	pvalue	p.adjust	qvalue
mitochondrial genome maintenance	GO:0000002		21	0	3.0541054451166807	-Inf	0	1	1	1
single strand break repair	GO:0000012		11	0	1.5997695188706424	-Inf	0	1	1	1
regulation of DNA recombination	GO:0000018		89	8	12.943589743589744	-0.4811591234175211	0.5842549859583571	0.9450796026787364	1	1
mitotic spindle elongation	GO:0000022		8	1	1.163468740996831	-0.15140583704505306	0.7784580053166136	0.7156539145029283	1	1
ribosomal large subunit assembly	GO:0000027		15	0	2.181503889369058	-Inf	0	1	1	1
ribosomal small subunit assembly	GO:0000028		8	0	1.163468740996831	-Inf	0	1	1	1
very long-chain fatty acid metabolic process	GO:0000038		24	3	3.4904062229904924	-0.15140583704505295	0.7784580053166136	0.6992682986714871	1	1
transition metal ion transport	GO:0000041		55	8	7.9988475943532125	1.4406108214782938e-4	0.8814754572562987	0.558156396943855	1	1
autophagosome assembly	GO:0000045		52	5	7.562546816479401	-0.4137701015125442	0.620551576462767	0.8918553807037869	1	1
urea cycle	GO:0000050		6	1	0.8726015557476231	0.13627623540672792	0.9809377955632743	0.610586497642107	1	1
citrulline metabolic process	GO:0000052		5	1	0.7271679631230192	0.31859779220068263	1.123481186548337	0.5442921714616586	1	1
mitotic sister chromatid segregation	GO:0000070		110	6	15.997695188706425	-0.9806851919295784	0.36677519064752984	0.9989986211737293	1	1
cell cycle checkpoint signaling	GO:0000075		106	9	15.415960818208008	-0.5381788121410648	0.5548930474878012	0.9744972162726919	1	1
DNA replication checkpoint signaling	GO:0000076		12	0	1.7452031114952462	-Inf	0	1	1	1
DNA damage checkpoint signaling	GO:0000077		72	8	10.47121866897148	-0.26918887270143665	0.7043087291499235	0.8171917683927281	1	1
regulation of cyclin-dependent protein serine/threonine kinase activity	GO:0000079		32	3	4.653874963987324	-0.439087909496834	0.6067113974814	0.8640420013256763	1	1
G1/S transition of mitotic cell cycle	GO:0000082		41	8	5.962777297608758	0.293905179610311	1.1035963404397247	0.2388381310531715	0.651576836790219	0.651576836790219
G2/M transition of mitotic cell cycle	GO:0000086		33	5	4.799308556611928	0.04096605560240287	0.9106355558278563	0.5352349151099824	1	1
sulfur amino acid metabolic process	GO:0000096		25	1	3.635839815615096	-1.2908401202334179	0.27168496180177926	0.980395015578364	1	1
sulfur amino acid biosynthetic process	GO:0000097		11	0	1.5997695188706424	-Inf	0	1	1	1
sulfur amino acid catabolic process	GO:0000098		7	1	1.018035148372227	-0.01787444442053038	0.8687910919303988	0.6672398886128441	1	1
sulfur amino acid transport	GO:0000101		10	3	1.4543359262460385	0.7240629003088469	1.4713715968173957	0.16803656183714474	0.5241796261524047	0.5241796261524047
establishment of mitotic spindle orientation	GO:0000132		23	1	3.3449726303658887	-1.2074585112943668	0.29467303715994403	0.9731418978018835	1	1
rRNA modification	GO:0000154		18	0	2.61780466724287	-Inf	0	1	1	1
MAPK cascade	GO:0000165		89	16	12.943589743589744	0.21198805714242422	1.0389010545443174	0.21612632139503968	0.6044729870828197	0.6044729870828197
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	GO:0000184		25	0	3.635839815615096	-Inf	0	1	1	1
protein polyubiquitination	GO:0000209		193	20	28.068683376548545	-0.3389222107161117	0.6629077411627626	0.9560923535657124	1	1
spliceosomal tri-snRNP complex assembly	GO:0000244		11	0	1.5997695188706424	-Inf	0	1	1	1
spliceosomal complex assembly	GO:0000245		39	2	5.6719101123595514	-1.0423787609349184	0.3456886396168601	0.9834488760143267	1	1
mitochondrial fission	GO:0000266		9	0	1.308902333621435	-Inf	0	1	1	1
polysaccharide biosynthetic process	GO:0000271		10	1	1.4543359262460385	-0.37454938835926266	0.6424777210171908	0.7923813079152944	1	1
polysaccharide catabolic process	GO:0000272		5	2	0.7271679631230192	1.011744972760628	1.7364129752582187	0.15641648547299902	0.5072349571516365	0.5072349571516365
