Description	ID	pathway_genes	pathway_size	observed_val	expected_val	log_observed_expected	asinh_observed_expected	pvalue	p.adjust	qvalue
mitochondrial genome maintenance	GO:0000002		21	17	20.341917839439347	-0.17947033117724562	0.760312982733106	0.9996019325665937	0.999999999999978	0.9999999999999779
single strand break repair	GO:0000012		11	10	10.655290296849182	-0.06347141731436368	0.8372119123404304	0.9552937805650524	0.999999999999978	0.9999999999999779
regulation of DNA recombination	GO:0000018		89	81	86.21098512905247	-0.062348452569739844	0.8379806196061	0.9470462582408877	0.999999999999978	0.9999999999999779
mitotic spindle elongation	GO:0000022		8	8	7.749302034072133	0.03183876248996129	0.9040652219881784	0.7751011623237279	0.999999999999978	0.9999999999999779
ribosomal large subunit assembly	GO:0000027		15	13	14.52994131388525	-0.11126208115071216	0.804925436981939	0.6609693852741396	0.999999999999978	0.9999999999999779
ribosomal small subunit assembly	GO:0000028		8	8	7.749302034072133	0.03183876248996129	0.9040652219881784	0.7751011623237279	0.999999999999978	0.9999999999999779
very long-chain fatty acid metabolic process	GO:0000038		24	24	23.247906102216398	0.03183876248996129	0.9040652219881784	0.4655017135523951	0.999999999999978	0.9999999999999779
transition metal ion transport	GO:0000041		55	55	53.27645148424591	0.03183876248996129	0.9040652219881784	0.17310188133802495	0.999999999999978	0.9999999999999779
autophagosome assembly	GO:0000045		52	52	50.37046322146887	0.03183876248996108	0.9040652219881782	0.19050731610914054	0.999999999999978	0.9999999999999779
urea cycle	GO:0000050		6	4	5.811976525554099	-0.37362634561820307	0.6430008663758676	0.9994296503067845	0.999999999999978	0.9999999999999779
citrulline metabolic process	GO:0000052		5	4	4.843313771295082	-0.19130478882424845	0.7527504670158002	0.9907951017992173	0.999999999999978	0.9999999999999779
mitotic sister chromatid segregation	GO:0000070		110	105	106.55290296849182	-0.014681253144931615	0.8710305680427463	0.34383534606208543	0.999999999999978	0.9999999999999779
cell cycle checkpoint signaling	GO:0000075		106	95	102.67825195145576	-0.07772344002156517	0.8274958562438117	0.9984295606638185	0.999999999999978	0.9999999999999779
DNA replication checkpoint signaling	GO:0000076		12	11	11.623953051108199	-0.05517261449966853	0.8429035429532695	0.9474426218590241	0.999999999999978	0.9999999999999779
DNA damage checkpoint signaling	GO:0000077		72	63	69.7437183066492	-0.10169263013456155	0.8113231068059951	0.9984864962236456	0.999999999999978	0.9999999999999779
regulation of cyclin-dependent protein serine/threonine kinase activity	GO:0000079		32	30	30.99720813628853	-0.03269975864760998	0.858441397581962	0.9223217308869253	0.999999999999978	0.9999999999999779
G1/S transition of mitotic cell cycle	GO:0000082		41	39	39.71517292461968	-0.018171658084700112	0.8685828324158441	0.8634385590590135	0.999999999999978	0.9999999999999779
G2/M transition of mitotic cell cycle	GO:0000086		33	32	31.96587089054755	0.0010671038232074224	0.8821283446308298	0.7230336751328186	0.999999999999978	0.9999999999999779
sulfur amino acid metabolic process	GO:0000096		25	19	24.216568856475416	-0.24259808321179915	0.7205872664322875	0.9999915997760014	0.999999999999978	0.9999999999999779
sulfur amino acid biosynthetic process	GO:0000097		11	9	10.655290296849182	-0.16883193297218999	0.7671563230925031	0.9958155919185531	0.999999999999978	0.9999999999999779
sulfur amino acid catabolic process	GO:0000098		7	5	6.780639279813116	-0.3046334741312517	0.6830315338795608	0.9990251134659056	0.999999999999978	0.9999999999999779
sulfur amino acid transport	GO:0000101		10	10	9.686627542590164	0.03183876248996129	0.9040652219881784	0.7272604576577226	0.999999999999978	0.9999999999999779
establishment of mitotic spindle orientation	GO:0000132		23	22	22.279243347957383	-0.012613000080872653	0.8724830307929055	0.8386331103894459	0.999999999999978	0.9999999999999779
rRNA modification	GO:0000154		18	18	17.4359295766623	0.03183876248996108	0.9040652219881782	0.5636172266255464	0.999999999999978	0.9999999999999779
MAPK cascade	GO:0000165		89	84	86.21098512905247	-0.02598080839886497	0.8631222141434787	0.9393676295467905	0.999999999999978	0.9999999999999779
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	GO:0000184		25	25	24.216568856475416	0.03183876248996108	0.9040652219881782	0.45089419700913014	0.999999999999978	0.9999999999999779
protein polyubiquitination	GO:0000209		193	184	186.9519115719902	-0.015915668805938702	0.8701644063151723	0.4549771378496793	0.999999999999978	0.9999999999999779
spliceosomal tri-snRNP complex assembly	GO:0000244		11	10	10.655290296849182	-0.06347141731436368	0.8372119123404304	0.7272604576577226	0.999999999999978	0.9999999999999779
spliceosomal complex assembly	GO:0000245		39	38	37.77784741610165	0.005863276086700345	0.8855256205703264	0.6533004275481316	0.999999999999978	0.9999999999999779
mitochondrial fission	GO:0000266		9	7	8.71796478833115	-0.21947566579094493	0.73496212770307	0.9757864108952475	0.999999999999978	0.9999999999999779
polysaccharide biosynthetic process	GO:0000271		10	7	9.686627542590164	-0.3248361814487711	0.6711199780580076	0.9998276755643357	0.999999999999978	0.9999999999999779
