title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	characteristics_ch1.1	characteristics_ch1.2	growth_protocol_ch1	molecule_ch1	extract_protocol_ch1	label_ch1	label_protocol_ch1	taxid_ch1	hyb_protocol	scan_protocol	description	data_processing	platform_id	contact_name	contact_email	contact_department	contact_institute	contact_address	contact_city	contact_zip/postal_code	contact_country	supplementary_file	data_row_count	cell line:ch1	infection time:ch1	m. tuberculosis strain:ch1	series_id
PMA-treated THP-1 cells as non-infection control	GSM734300	Public on Dec 01 2011	May 31 2011	Dec 01 2011	RNA	1	PMA-treated THP-1 cells as non-infection control	Homo sapiens	cell line: THP-1 cells	m. tuberculosis strain: Control	infection time: 0h	M. tuberculosis strains were grown in Middlebrook 7H9 broth (BD Difco) supplemented with 10 % of albumin-dextrose-catalase (OADC) enrichment and 0.05 % tween 80 at 37°C with shaking at 100 rpm. Bacteria were cultured until exponential phase, then aliquoted and frozen at -80℃. THP-1 cells was maintained at 37°C in 5% CO2 in RPMI 1640 media (Life Technologies) supplemented with 10% of FBS. Prior to infection, THP-1 cells were differentiated into macrophage-like cells in T-75 flasks (1×107 cells/flask) with 200nM phorbol myristate acetate (PMA, Sigma-Aldrich) for 24h followed by incubation with fresh media without PMA for 24h. At time points of 4h, 18h and 48h, cell were lysed with 2 ml of Trizol (Life Technologies) for RNA extraction.	total RNA	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 5 micrograms total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	The biotinylated cRNA was then fragmented and subjected to hybridization on Human Genome U133 Plus 2.0 Array (Affymetrix, USA).	An affymetrix Gene Chip Scanner 3000 was used to scan the probe arrays	PMA-treated THP-1 cells as non-infection control	These CEL raw expression data were normalized using Robust Multi-array Averaging (RMA) with quantile normalization in R (Bioconductor)	GPL570	Hai,,Fang	hfang@cs.bris.ac.uk	Department of Computer Science	University of Bristol	Woodland Road	Bristol	BS8 1UB	United Kingdom	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM734nnn/GSM734300/suppl/GSM734300.CEL.gz	54675	THP-1 cells	0h	Control	GSE29628
THP1-cells infected by R1.4 strains at 4h	GSM734301	Public on Dec 01 2011	May 31 2011	Dec 01 2011	RNA	1	THP1-cells infected by R1.4 strains at 4h	Homo sapiens	cell line: THP-1 cells	m. tuberculosis strain: R1.4	infection time: 4h	M. tuberculosis strains were grown in Middlebrook 7H9 broth (BD Difco) supplemented with 10 % of albumin-dextrose-catalase (OADC) enrichment and 0.05 % tween 80 at 37°C with shaking at 100 rpm. Bacteria were cultured until exponential phase, then aliquoted and frozen at -80℃. THP-1 cells was maintained at 37°C in 5% CO2 in RPMI 1640 media (Life Technologies) supplemented with 10% of FBS. Prior to infection, THP-1 cells were differentiated into macrophage-like cells in T-75 flasks (1×107 cells/flask) with 200nM phorbol myristate acetate (PMA, Sigma-Aldrich) for 24h followed by incubation with fresh media without PMA for 24h. At time points of 4h, 18h and 48h, cell were lysed with 2 ml of Trizol (Life Technologies) for RNA extraction.	total RNA	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 5 micrograms total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	The biotinylated cRNA was then fragmented and subjected to hybridization on Human Genome U133 Plus 2.0 Array (Affymetrix, USA).	An affymetrix Gene Chip Scanner 3000 was used to scan the probe arrays	THP1-cells infected by R1.4 strains at 4h	These CEL raw expression data were normalized using Robust Multi-array Averaging (RMA) with quantile normalization in R (Bioconductor)	GPL570	Hai,,Fang	hfang@cs.bris.ac.uk	Department of Computer Science	University of Bristol	Woodland Road	Bristol	BS8 1UB	United Kingdom	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM734nnn/GSM734301/suppl/GSM734301.CEL.gz	54675	THP-1 cells	4h	R1.4	GSE29628
THP1-cells infected by R1.4 strains at 18h	GSM734302	Public on Dec 01 2011	May 31 2011	Dec 01 2011	RNA	1	THP1-cells infected by R1.4 strains at 18h	Homo sapiens	cell line: THP-1 cells	m. tuberculosis strain: R1.4	infection time: 18h	M. tuberculosis strains were grown in Middlebrook 7H9 broth (BD Difco) supplemented with 10 % of albumin-dextrose-catalase (OADC) enrichment and 0.05 % tween 80 at 37°C with shaking at 100 rpm. Bacteria were cultured until exponential phase, then aliquoted and frozen at -80℃. THP-1 cells was maintained at 37°C in 5% CO2 in RPMI 1640 media (Life Technologies) supplemented with 10% of FBS. Prior to infection, THP-1 cells were differentiated into macrophage-like cells in T-75 flasks (1×107 cells/flask) with 200nM phorbol myristate acetate (PMA, Sigma-Aldrich) for 24h followed by incubation with fresh media without PMA for 24h. At time points of 4h, 18h and 48h, cell were lysed with 2 ml of Trizol (Life Technologies) for RNA extraction.	total RNA	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 5 micrograms total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	The biotinylated cRNA was then fragmented and subjected to hybridization on Human Genome U133 Plus 2.0 Array (Affymetrix, USA).	An affymetrix Gene Chip Scanner 3000 was used to scan the probe arrays	THP1-cells infected by R1.4 strains at 18h	These CEL raw expression data were normalized using Robust Multi-array Averaging (RMA) with quantile normalization in R (Bioconductor)	GPL570	Hai,,Fang	hfang@cs.bris.ac.uk	Department of Computer Science	University of Bristol	Woodland Road	Bristol	BS8 1UB	United Kingdom	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM734nnn/GSM734302/suppl/GSM734302.CEL.gz	54675	THP-1 cells	18h	R1.4	GSE29628
THP1-cells infected by R1.4 strains at 48h	GSM734303	Public on Dec 01 2011	May 31 2011	Dec 01 2011	RNA	1	THP1-cells infected by R1.4 strains at 48h	Homo sapiens	cell line: THP-1 cells	m. tuberculosis strain: R1.4	infection time: 48h	M. tuberculosis strains were grown in Middlebrook 7H9 broth (BD Difco) supplemented with 10 % of albumin-dextrose-catalase (OADC) enrichment and 0.05 % tween 80 at 37°C with shaking at 100 rpm. Bacteria were cultured until exponential phase, then aliquoted and frozen at -80℃. THP-1 cells was maintained at 37°C in 5% CO2 in RPMI 1640 media (Life Technologies) supplemented with 10% of FBS. Prior to infection, THP-1 cells were differentiated into macrophage-like cells in T-75 flasks (1×107 cells/flask) with 200nM phorbol myristate acetate (PMA, Sigma-Aldrich) for 24h followed by incubation with fresh media without PMA for 24h. At time points of 4h, 18h and 48h, cell were lysed with 2 ml of Trizol (Life Technologies) for RNA extraction.	total RNA	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 5 micrograms total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	The biotinylated cRNA was then fragmented and subjected to hybridization on Human Genome U133 Plus 2.0 Array (Affymetrix, USA).	An affymetrix Gene Chip Scanner 3000 was used to scan the probe arrays	THP1-cells infected by R1.4 strains at 48h	These CEL raw expression data were normalized using Robust Multi-array Averaging (RMA) with quantile normalization in R (Bioconductor)	GPL570	Hai,,Fang	hfang@cs.bris.ac.uk	Department of Computer Science	University of Bristol	Woodland Road	Bristol	BS8 1UB	United Kingdom	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM734nnn/GSM734303/suppl/GSM734303.CEL.gz	54675	THP-1 cells	48h	R1.4	GSE29628
THP1-cells infected by R17.1 strains at 4h	GSM734304	Public on Dec 01 2011	May 31 2011	Dec 01 2011	RNA	1	THP1-cells infected by R17.1 strains at 4h	Homo sapiens	cell line: THP-1 cells	m. tuberculosis strain: R17.1	infection time: 4h	M. tuberculosis strains were grown in Middlebrook 7H9 broth (BD Difco) supplemented with 10 % of albumin-dextrose-catalase (OADC) enrichment and 0.05 % tween 80 at 37°C with shaking at 100 rpm. Bacteria were cultured until exponential phase, then aliquoted and frozen at -80℃. THP-1 cells was maintained at 37°C in 5% CO2 in RPMI 1640 media (Life Technologies) supplemented with 10% of FBS. Prior to infection, THP-1 cells were differentiated into macrophage-like cells in T-75 flasks (1×107 cells/flask) with 200nM phorbol myristate acetate (PMA, Sigma-Aldrich) for 24h followed by incubation with fresh media without PMA for 24h. At time points of 4h, 18h and 48h, cell were lysed with 2 ml of Trizol (Life Technologies) for RNA extraction.	total RNA	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 5 micrograms total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	The biotinylated cRNA was then fragmented and subjected to hybridization on Human Genome U133 Plus 2.0 Array (Affymetrix, USA).	An affymetrix Gene Chip Scanner 3000 was used to scan the probe arrays	THP1-cells infected by R17.1 strains at 4h	These CEL raw expression data were normalized using Robust Multi-array Averaging (RMA) with quantile normalization in R (Bioconductor)	GPL570	Hai,,Fang	hfang@cs.bris.ac.uk	Department of Computer Science	University of Bristol	Woodland Road	Bristol	BS8 1UB	United Kingdom	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM734nnn/GSM734304/suppl/GSM734304.CEL.gz	54675	THP-1 cells	4h	R17.1	GSE29628
THP1-cells infected by R17.1 strains at 18h	GSM734305	Public on Dec 01 2011	May 31 2011	Dec 01 2011	RNA	1	THP1-cells infected by R17.1 strains at 18h	Homo sapiens	cell line: THP-1 cells	m. tuberculosis strain: R17.1	infection time: 18h	M. tuberculosis strains were grown in Middlebrook 7H9 broth (BD Difco) supplemented with 10 % of albumin-dextrose-catalase (OADC) enrichment and 0.05 % tween 80 at 37°C with shaking at 100 rpm. Bacteria were cultured until exponential phase, then aliquoted and frozen at -80℃. THP-1 cells was maintained at 37°C in 5% CO2 in RPMI 1640 media (Life Technologies) supplemented with 10% of FBS. Prior to infection, THP-1 cells were differentiated into macrophage-like cells in T-75 flasks (1×107 cells/flask) with 200nM phorbol myristate acetate (PMA, Sigma-Aldrich) for 24h followed by incubation with fresh media without PMA for 24h. At time points of 4h, 18h and 48h, cell were lysed with 2 ml of Trizol (Life Technologies) for RNA extraction.	total RNA	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 5 micrograms total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	The biotinylated cRNA was then fragmented and subjected to hybridization on Human Genome U133 Plus 2.0 Array (Affymetrix, USA).	An affymetrix Gene Chip Scanner 3000 was used to scan the probe arrays	THP1-cells infected by R17.1 strains at 18h	These CEL raw expression data were normalized using Robust Multi-array Averaging (RMA) with quantile normalization in R (Bioconductor)	GPL570	Hai,,Fang	hfang@cs.bris.ac.uk	Department of Computer Science	University of Bristol	Woodland Road	Bristol	BS8 1UB	United Kingdom	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM734nnn/GSM734305/suppl/GSM734305.CEL.gz	54675	THP-1 cells	18h	R17.1	GSE29628
THP1-cells infected by R17.1 strains at 48h	GSM734306	Public on Dec 01 2011	May 31 2011	Dec 01 2011	RNA	1	THP1-cells infected by R17.1 strains at 48h	Homo sapiens	cell line: THP-1 cells	m. tuberculosis strain: R17.1	infection time: 48h	M. tuberculosis strains were grown in Middlebrook 7H9 broth (BD Difco) supplemented with 10 % of albumin-dextrose-catalase (OADC) enrichment and 0.05 % tween 80 at 37°C with shaking at 100 rpm. Bacteria were cultured until exponential phase, then aliquoted and frozen at -80℃. THP-1 cells was maintained at 37°C in 5% CO2 in RPMI 1640 media (Life Technologies) supplemented with 10% of FBS. Prior to infection, THP-1 cells were differentiated into macrophage-like cells in T-75 flasks (1×107 cells/flask) with 200nM phorbol myristate acetate (PMA, Sigma-Aldrich) for 24h followed by incubation with fresh media without PMA for 24h. At time points of 4h, 18h and 48h, cell were lysed with 2 ml of Trizol (Life Technologies) for RNA extraction.	total RNA	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 5 micrograms total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	The biotinylated cRNA was then fragmented and subjected to hybridization on Human Genome U133 Plus 2.0 Array (Affymetrix, USA).	An affymetrix Gene Chip Scanner 3000 was used to scan the probe arrays	THP1-cells infected by R17.1 strains at 48h	These CEL raw expression data were normalized using Robust Multi-array Averaging (RMA) with quantile normalization in R (Bioconductor)	GPL570	Hai,,Fang	hfang@cs.bris.ac.uk	Department of Computer Science	University of Bristol	Woodland Road	Bristol	BS8 1UB	United Kingdom	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM734nnn/GSM734306/suppl/GSM734306.CEL.gz	54675	THP-1 cells	48h	R17.1	GSE29628
THP1-cells infected by ZA9.2 strains at 4h	GSM734307	Public on Dec 01 2011	May 31 2011	Dec 01 2011	RNA	1	THP1-cells infected by ZA9.2 strains at 4h	Homo sapiens	cell line: THP-1 cells	m. tuberculosis strain: ZA9.2	infection time: 4h	M. tuberculosis strains were grown in Middlebrook 7H9 broth (BD Difco) supplemented with 10 % of albumin-dextrose-catalase (OADC) enrichment and 0.05 % tween 80 at 37°C with shaking at 100 rpm. Bacteria were cultured until exponential phase, then aliquoted and frozen at -80℃. THP-1 cells was maintained at 37°C in 5% CO2 in RPMI 1640 media (Life Technologies) supplemented with 10% of FBS. Prior to infection, THP-1 cells were differentiated into macrophage-like cells in T-75 flasks (1×107 cells/flask) with 200nM phorbol myristate acetate (PMA, Sigma-Aldrich) for 24h followed by incubation with fresh media without PMA for 24h. At time points of 4h, 18h and 48h, cell were lysed with 2 ml of Trizol (Life Technologies) for RNA extraction.	total RNA	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 5 micrograms total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	The biotinylated cRNA was then fragmented and subjected to hybridization on Human Genome U133 Plus 2.0 Array (Affymetrix, USA).	An affymetrix Gene Chip Scanner 3000 was used to scan the probe arrays	THP1-cells infected by ZA9.2 strains at 4h	These CEL raw expression data were normalized using Robust Multi-array Averaging (RMA) with quantile normalization in R (Bioconductor)	GPL570	Hai,,Fang	hfang@cs.bris.ac.uk	Department of Computer Science	University of Bristol	Woodland Road	Bristol	BS8 1UB	United Kingdom	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM734nnn/GSM734307/suppl/GSM734307.CEL.gz	54675	THP-1 cells	4h	ZA9.2	GSE29628
THP1-cells infected by ZA9.2 strains at 18h	GSM734308	Public on Dec 01 2011	May 31 2011	Dec 01 2011	RNA	1	THP1-cells infected by ZA9.2 strains at 18h	Homo sapiens	cell line: THP-1 cells	m. tuberculosis strain: ZA9.2	infection time: 18h	M. tuberculosis strains were grown in Middlebrook 7H9 broth (BD Difco) supplemented with 10 % of albumin-dextrose-catalase (OADC) enrichment and 0.05 % tween 80 at 37°C with shaking at 100 rpm. Bacteria were cultured until exponential phase, then aliquoted and frozen at -80℃. THP-1 cells was maintained at 37°C in 5% CO2 in RPMI 1640 media (Life Technologies) supplemented with 10% of FBS. Prior to infection, THP-1 cells were differentiated into macrophage-like cells in T-75 flasks (1×107 cells/flask) with 200nM phorbol myristate acetate (PMA, Sigma-Aldrich) for 24h followed by incubation with fresh media without PMA for 24h. At time points of 4h, 18h and 48h, cell were lysed with 2 ml of Trizol (Life Technologies) for RNA extraction.	total RNA	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 5 micrograms total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	The biotinylated cRNA was then fragmented and subjected to hybridization on Human Genome U133 Plus 2.0 Array (Affymetrix, USA).	An affymetrix Gene Chip Scanner 3000 was used to scan the probe arrays	THP1-cells infected by ZA9.2 strains at 18h	These CEL raw expression data were normalized using Robust Multi-array Averaging (RMA) with quantile normalization in R (Bioconductor)	GPL570	Hai,,Fang	hfang@cs.bris.ac.uk	Department of Computer Science	University of Bristol	Woodland Road	Bristol	BS8 1UB	United Kingdom	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM734nnn/GSM734308/suppl/GSM734308.CEL.gz	54675	THP-1 cells	18h	ZA9.2	GSE29628
THP1-cells infected by ZA9.2 strains at 48h	GSM734309	Public on Dec 01 2011	May 31 2011	Dec 01 2011	RNA	1	THP1-cells infected by ZA9.2 strains at 48h	Homo sapiens	cell line: THP-1 cells	m. tuberculosis strain: ZA9.2	infection time: 48h	M. tuberculosis strains were grown in Middlebrook 7H9 broth (BD Difco) supplemented with 10 % of albumin-dextrose-catalase (OADC) enrichment and 0.05 % tween 80 at 37°C with shaking at 100 rpm. Bacteria were cultured until exponential phase, then aliquoted and frozen at -80℃. THP-1 cells was maintained at 37°C in 5% CO2 in RPMI 1640 media (Life Technologies) supplemented with 10% of FBS. Prior to infection, THP-1 cells were differentiated into macrophage-like cells in T-75 flasks (1×107 cells/flask) with 200nM phorbol myristate acetate (PMA, Sigma-Aldrich) for 24h followed by incubation with fresh media without PMA for 24h. At time points of 4h, 18h and 48h, cell were lysed with 2 ml of Trizol (Life Technologies) for RNA extraction.	total RNA	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 5 micrograms total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	The biotinylated cRNA was then fragmented and subjected to hybridization on Human Genome U133 Plus 2.0 Array (Affymetrix, USA).	An affymetrix Gene Chip Scanner 3000 was used to scan the probe arrays	THP1-cells infected by ZA9.2 strains at 48h	These CEL raw expression data were normalized using Robust Multi-array Averaging (RMA) with quantile normalization in R (Bioconductor)	GPL570	Hai,,Fang	hfang@cs.bris.ac.uk	Department of Computer Science	University of Bristol	Woodland Road	Bristol	BS8 1UB	United Kingdom	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM734nnn/GSM734309/suppl/GSM734309.CEL.gz	54675	THP-1 cells	48h	ZA9.2	GSE29628
