title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	characteristics_ch1.1	characteristics_ch1.2	characteristics_ch1.3	treatment_protocol_ch1	growth_protocol_ch1	molecule_ch1	extract_protocol_ch1	label_ch1	label_protocol_ch1	taxid_ch1	hyb_protocol	scan_protocol	description	data_processing	platform_id	contact_name	contact_email	contact_institute	contact_address	contact_city	contact_state	contact_zip/postal_code	contact_country	supplementary_file	data_row_count	cell line:ch1	infection:ch1	time:ch1	treatment:ch1	series_id
Inf-A	GSM1373315	Public on Jul 01 2014	Apr 23 2014	Jul 05 2014	RNA	1	THP-1 cells, 24 hr, Mtb-infected, untreated	Homo sapiens	time: 24 hr	infection: M. tuberculosis H37Rv	treatment: untreated	cell line: THP-1	Cells were treated with VITD 4 hours after infection. THP-1 cells were washed with PBS at 24h and  collected  for analysis	Cells cultured in 24-well flat bottom plates 5 X 105 cells per well were pre-treated with 20ng/ml PMA for 24 h, and incubated with M. tuberculosis H37Rv.After 4 hours of infection, the medium was removed, cells were washed  to remove extracellular bacteria, and fresh medium was added	total RNA	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	biotin	The Ambion WT Expression Kit with accompanying protocol was used to label the samples	9606	The Affymetrix Genechip WT Terminal Labeling and Hybridization protocol was used	Chips were scanned using the Affymetrix 7G Plus scanner and Command Console Software	THP-1 cells were cultured in 24-well flat bottom plates, pre-treated with 20ng/ml PMA for 24 h	Probeset expression was summarized with the RMA method using APT 1.15.0 software.  Command options included -a rma-bg,quant-norm.sketch=0.usepm=true.bioc=true,pm-only,med-polish.expon=true and --qc-probesets.	GPL16686	Hugh,,Salamon	hugh@knowledgesynthesis.com	Knowledge Synthesis Inc.	725 Folger Avenue	Berkeley	CA	94710	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1373nnn/GSM1373315/suppl/GSM1373315_Inf-A.CEL.gz	53617	THP-1	M. tuberculosis H37Rv	24 hr	untreated	GSE57028
Inf-B	GSM1373316	Public on Jul 01 2014	Apr 23 2014	Jul 05 2014	RNA	1	THP-1 cells, 24 hr, Mtb-infected, untreated	Homo sapiens	time: 24 hr	infection: M. tuberculosis H37Rv	treatment: untreated	cell line: THP-1	Cells were treated with VITD 4 hours after infection. THP-1 cells were washed with PBS at 24h and  collected  for analysis	Cells cultured in 24-well flat bottom plates 5 X 105 cells per well were pre-treated with 20ng/ml PMA for 24 h, and incubated with M. tuberculosis H37Rv.After 4 hours of infection, the medium was removed, cells were washed  to remove extracellular bacteria, and fresh medium was added	total RNA	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	biotin	The Ambion WT Expression Kit with accompanying protocol was used to label the samples	9606	The Affymetrix Genechip WT Terminal Labeling and Hybridization protocol was used	Chips were scanned using the Affymetrix 7G Plus scanner and Command Console Software	THP-1 cells were cultured in 24-well flat bottom plates, pre-treated with 20ng/ml PMA for 24 h	Probeset expression was summarized with the RMA method using APT 1.15.0 software.  Command options included -a rma-bg,quant-norm.sketch=0.usepm=true.bioc=true,pm-only,med-polish.expon=true and --qc-probesets.	GPL16686	Hugh,,Salamon	hugh@knowledgesynthesis.com	Knowledge Synthesis Inc.	725 Folger Avenue	Berkeley	CA	94710	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1373nnn/GSM1373316/suppl/GSM1373316_Inf-B.CEL.gz	53617	THP-1	M. tuberculosis H37Rv	24 hr	untreated	GSE57028
Inf-C	GSM1373317	Public on Jul 01 2014	Apr 23 2014	Jul 05 2014	RNA	1	THP-1 cells, 24 hr, Mtb-infected, untreated	Homo sapiens	time: 24 hr	infection: M. tuberculosis H37Rv	treatment: untreated	cell line: THP-1	Cells were treated with VITD 4 hours after infection. THP-1 cells were washed with PBS at 24h and  collected  for analysis	Cells cultured in 24-well flat bottom plates 5 X 105 cells per well were pre-treated with 20ng/ml PMA for 24 h, and incubated with M. tuberculosis H37Rv.After 4 hours of infection, the medium was removed, cells were washed  to remove extracellular bacteria, and fresh medium was added	total RNA	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	biotin	The Ambion WT Expression Kit with accompanying protocol was used to label the samples	9606	The Affymetrix Genechip WT Terminal Labeling and Hybridization protocol was used	Chips were scanned using the Affymetrix 7G Plus scanner and Command Console Software	THP-1 cells were cultured in 24-well flat bottom plates, pre-treated with 20ng/ml PMA for 24 h	Probeset expression was summarized with the RMA method using APT 1.15.0 software.  Command options included -a rma-bg,quant-norm.sketch=0.usepm=true.bioc=true,pm-only,med-polish.expon=true and --qc-probesets.	GPL16686	Hugh,,Salamon	hugh@knowledgesynthesis.com	Knowledge Synthesis Inc.	725 Folger Avenue	Berkeley	CA	94710	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1373nnn/GSM1373317/suppl/GSM1373317_Inf-C.CEL.gz	53617	THP-1	M. tuberculosis H37Rv	24 hr	untreated	GSE57028
Inf-VidD-A	GSM1373318	Public on Jul 01 2014	Apr 23 2014	Jul 05 2014	RNA	1	THP-1 cells, 24 hr, Mtb-infected, Vit D-treated	Homo sapiens	time: 24 hr	infection: M. tuberculosis H37Rv	treatment: 100 nM of 1α,25-dihydroxyvitamin D3	cell line: THP-1	Cells were treated with VITD 4 hours after infection. THP-1 cells were washed with PBS at 24h and  collected  for analysis	Cells cultured in 24-well flat bottom plates 5 X 105 cells per well were pre-treated with 20ng/ml PMA for 24 h, and incubated with M. tuberculosis H37Rv.After 4 hours of infection, the medium was removed, cells were washed  to remove extracellular bacteria, and fresh medium was added	total RNA	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	biotin	The Ambion WT Expression Kit with accompanying protocol was used to label the samples	9606	The Affymetrix Genechip WT Terminal Labeling and Hybridization protocol was used	Chips were scanned using the Affymetrix 7G Plus scanner and Command Console Software	THP-1 cells were cultured in 24-well flat bottom plates, pre-treated with 20ng/ml PMA for 24 h	Probeset expression was summarized with the RMA method using APT 1.15.0 software.  Command options included -a rma-bg,quant-norm.sketch=0.usepm=true.bioc=true,pm-only,med-polish.expon=true and --qc-probesets.	GPL16686	Hugh,,Salamon	hugh@knowledgesynthesis.com	Knowledge Synthesis Inc.	725 Folger Avenue	Berkeley	CA	94710	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1373nnn/GSM1373318/suppl/GSM1373318_Inf-VidD-A.CEL.gz	53617	THP-1	M. tuberculosis H37Rv	24 hr	100 nM of 1α,25-dihydroxyvitamin D3	GSE57028
Inf-VidD-B	GSM1373319	Public on Jul 01 2014	Apr 23 2014	Jul 05 2014	RNA	1	THP-1 cells, 24 hr, Mtb-infected, Vit D-treated	Homo sapiens	time: 24 hr	infection: M. tuberculosis H37Rv	treatment: 100 nM of 1α,25-dihydroxyvitamin D3	cell line: THP-1	Cells were treated with VITD 4 hours after infection. THP-1 cells were washed with PBS at 24h and  collected  for analysis	Cells cultured in 24-well flat bottom plates 5 X 105 cells per well were pre-treated with 20ng/ml PMA for 24 h, and incubated with M. tuberculosis H37Rv.After 4 hours of infection, the medium was removed, cells were washed  to remove extracellular bacteria, and fresh medium was added	total RNA	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	biotin	The Ambion WT Expression Kit with accompanying protocol was used to label the samples	9606	The Affymetrix Genechip WT Terminal Labeling and Hybridization protocol was used	Chips were scanned using the Affymetrix 7G Plus scanner and Command Console Software	THP-1 cells were cultured in 24-well flat bottom plates, pre-treated with 20ng/ml PMA for 24 h	Probeset expression was summarized with the RMA method using APT 1.15.0 software.  Command options included -a rma-bg,quant-norm.sketch=0.usepm=true.bioc=true,pm-only,med-polish.expon=true and --qc-probesets.	GPL16686	Hugh,,Salamon	hugh@knowledgesynthesis.com	Knowledge Synthesis Inc.	725 Folger Avenue	Berkeley	CA	94710	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1373nnn/GSM1373319/suppl/GSM1373319_Inf-VidD-B.CEL.gz	53617	THP-1	M. tuberculosis H37Rv	24 hr	100 nM of 1α,25-dihydroxyvitamin D3	GSE57028
Inf-VidD-C	GSM1373320	Public on Jul 01 2014	Apr 23 2014	Jul 05 2014	RNA	1	THP-1 cells, 24 hr, Mtb-infected, Vit D-treated	Homo sapiens	time: 24 hr	infection: M. tuberculosis H37Rv	treatment: 100 nM of 1α,25-dihydroxyvitamin D3	cell line: THP-1	Cells were treated with VITD 4 hours after infection. THP-1 cells were washed with PBS at 24h and  collected  for analysis	Cells cultured in 24-well flat bottom plates 5 X 105 cells per well were pre-treated with 20ng/ml PMA for 24 h, and incubated with M. tuberculosis H37Rv.After 4 hours of infection, the medium was removed, cells were washed  to remove extracellular bacteria, and fresh medium was added	total RNA	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	biotin	The Ambion WT Expression Kit with accompanying protocol was used to label the samples	9606	The Affymetrix Genechip WT Terminal Labeling and Hybridization protocol was used	Chips were scanned using the Affymetrix 7G Plus scanner and Command Console Software	THP-1 cells were cultured in 24-well flat bottom plates, pre-treated with 20ng/ml PMA for 24 h	Probeset expression was summarized with the RMA method using APT 1.15.0 software.  Command options included -a rma-bg,quant-norm.sketch=0.usepm=true.bioc=true,pm-only,med-polish.expon=true and --qc-probesets.	GPL16686	Hugh,,Salamon	hugh@knowledgesynthesis.com	Knowledge Synthesis Inc.	725 Folger Avenue	Berkeley	CA	94710	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1373nnn/GSM1373320/suppl/GSM1373320_Inf-VidD-C.CEL.gz	53617	THP-1	M. tuberculosis H37Rv	24 hr	100 nM of 1α,25-dihydroxyvitamin D3	GSE57028
Uninf-A	GSM1373321	Public on Jul 01 2014	Apr 23 2014	Jul 05 2014	RNA	1	THP-1 cells, 24 hr, uninfected, untreated	Homo sapiens	time: 24 hr	infection: uninfected	treatment: untreated	cell line: THP-1	Cells were treated with VITD 4 hours after infection. THP-1 cells were washed with PBS at 24h and  collected  for analysis	Cells cultured in 24-well flat bottom plates 5 X 105 cells per well were pre-treated with 20ng/ml PMA for 24 h, and incubated with M. tuberculosis H37Rv.After 4 hours of infection, the medium was removed, cells were washed  to remove extracellular bacteria, and fresh medium was added	total RNA	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	biotin	The Ambion WT Expression Kit with accompanying protocol was used to label the samples	9606	The Affymetrix Genechip WT Terminal Labeling and Hybridization protocol was used	Chips were scanned using the Affymetrix 7G Plus scanner and Command Console Software	THP-1 cells were cultured in 24-well flat bottom plates, pre-treated with 20ng/ml PMA for 24 h	Probeset expression was summarized with the RMA method using APT 1.15.0 software.  Command options included -a rma-bg,quant-norm.sketch=0.usepm=true.bioc=true,pm-only,med-polish.expon=true and --qc-probesets.	GPL16686	Hugh,,Salamon	hugh@knowledgesynthesis.com	Knowledge Synthesis Inc.	725 Folger Avenue	Berkeley	CA	94710	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1373nnn/GSM1373321/suppl/GSM1373321_Uninf-A.CEL.gz	53617	THP-1	uninfected	24 hr	untreated	GSE57028
Uninf-B	GSM1373322	Public on Jul 01 2014	Apr 23 2014	Jul 05 2014	RNA	1	THP-1 cells, 24 hr, uninfected, untreated	Homo sapiens	time: 24 hr	infection: uninfected	treatment: untreated	cell line: THP-1	Cells were treated with VITD 4 hours after infection. THP-1 cells were washed with PBS at 24h and  collected  for analysis	Cells cultured in 24-well flat bottom plates 5 X 105 cells per well were pre-treated with 20ng/ml PMA for 24 h, and incubated with M. tuberculosis H37Rv.After 4 hours of infection, the medium was removed, cells were washed  to remove extracellular bacteria, and fresh medium was added	total RNA	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	biotin	The Ambion WT Expression Kit with accompanying protocol was used to label the samples	9606	The Affymetrix Genechip WT Terminal Labeling and Hybridization protocol was used	Chips were scanned using the Affymetrix 7G Plus scanner and Command Console Software	THP-1 cells were cultured in 24-well flat bottom plates, pre-treated with 20ng/ml PMA for 24 h	Probeset expression was summarized with the RMA method using APT 1.15.0 software.  Command options included -a rma-bg,quant-norm.sketch=0.usepm=true.bioc=true,pm-only,med-polish.expon=true and --qc-probesets.	GPL16686	Hugh,,Salamon	hugh@knowledgesynthesis.com	Knowledge Synthesis Inc.	725 Folger Avenue	Berkeley	CA	94710	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1373nnn/GSM1373322/suppl/GSM1373322_Uninf-B.CEL.gz	53617	THP-1	uninfected	24 hr	untreated	GSE57028
Uninf-C	GSM1373323	Public on Jul 01 2014	Apr 23 2014	Jul 05 2014	RNA	1	THP-1 cells, 24 hr, uninfected, untreated	Homo sapiens	time: 24 hr	infection: uninfected	treatment: untreated	cell line: THP-1	Cells were treated with VITD 4 hours after infection. THP-1 cells were washed with PBS at 24h and  collected  for analysis	Cells cultured in 24-well flat bottom plates 5 X 105 cells per well were pre-treated with 20ng/ml PMA for 24 h, and incubated with M. tuberculosis H37Rv.After 4 hours of infection, the medium was removed, cells were washed  to remove extracellular bacteria, and fresh medium was added	total RNA	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	biotin	The Ambion WT Expression Kit with accompanying protocol was used to label the samples	9606	The Affymetrix Genechip WT Terminal Labeling and Hybridization protocol was used	Chips were scanned using the Affymetrix 7G Plus scanner and Command Console Software	THP-1 cells were cultured in 24-well flat bottom plates, pre-treated with 20ng/ml PMA for 24 h	Probeset expression was summarized with the RMA method using APT 1.15.0 software.  Command options included -a rma-bg,quant-norm.sketch=0.usepm=true.bioc=true,pm-only,med-polish.expon=true and --qc-probesets.	GPL16686	Hugh,,Salamon	hugh@knowledgesynthesis.com	Knowledge Synthesis Inc.	725 Folger Avenue	Berkeley	CA	94710	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1373nnn/GSM1373323/suppl/GSM1373323_Uninf-C.CEL.gz	53617	THP-1	uninfected	24 hr	untreated	GSE57028
Uninf-VitD-A	GSM1373324	Public on Jul 01 2014	Apr 23 2014	Jul 05 2014	RNA	1	THP-1 cells, 24 hr, uninfected, Vit D-treated	Homo sapiens	time: 24 hr	infection: uninfected	treatment: 100 nM of 1α,25-dihydroxyvitamin D3	cell line: THP-1	Cells were treated with VITD 4 hours after infection. THP-1 cells were washed with PBS at 24h and  collected  for analysis	Cells cultured in 24-well flat bottom plates 5 X 105 cells per well were pre-treated with 20ng/ml PMA for 24 h, and incubated with M. tuberculosis H37Rv.After 4 hours of infection, the medium was removed, cells were washed  to remove extracellular bacteria, and fresh medium was added	total RNA	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	biotin	The Ambion WT Expression Kit with accompanying protocol was used to label the samples	9606	The Affymetrix Genechip WT Terminal Labeling and Hybridization protocol was used	Chips were scanned using the Affymetrix 7G Plus scanner and Command Console Software	THP-1 cells were cultured in 24-well flat bottom plates, pre-treated with 20ng/ml PMA for 24 h	Probeset expression was summarized with the RMA method using APT 1.15.0 software.  Command options included -a rma-bg,quant-norm.sketch=0.usepm=true.bioc=true,pm-only,med-polish.expon=true and --qc-probesets.	GPL16686	Hugh,,Salamon	hugh@knowledgesynthesis.com	Knowledge Synthesis Inc.	725 Folger Avenue	Berkeley	CA	94710	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1373nnn/GSM1373324/suppl/GSM1373324_Uninf-VitD-A.CEL.gz	53617	THP-1	uninfected	24 hr	100 nM of 1α,25-dihydroxyvitamin D3	GSE57028
