	GSM4455458	GSM4455459	GSM4455460	GSM4455461	GSM4455462	GSM4455463	GSM4455464	GSM4455465	GSM4455466
DDX11L1	8	88	9	102	48	192	24	136	203
WASH7P	528	718	247	949	668	1359	991	1108	730
MIR6859-1	4	16	1	17	6	32	20	14	14
MIR1302-2HG	0	0	0	1	0	0	1	1	1
MIR1302-2	0	0	0	0	0	0	1	0	0
FAM138A	2	0	0	0	0	0	1	1	0
OR4F5	0	0	0	2	0	0	0	1	0
LOC100996442	538	165	513	290	308	148	90	49	99
LOC729737	5285	1785	4347	1374	3889	1786	1112	293	1769
DDX11L17	4	80	6	98	47	182	15	104	195
WASH9P	642	774	269	1051	726	1399	1077	1056	864
MIR6859-2	4	13	1	13	6	27	19	10	13
LOC107985721	1	1	0	2	2	1	13	2	0
LOC112268260	64	23	43	50	29	49	21	11	25
OR4F29	0	0	0	0	0	0	1	0	0
LOC100132287	2615	871	2204	871	1832	1132	740	228	979
LOC105378947	4	2	6	3	4	4	2	0	1
LOC101928626	0	1	0	0	0	1	0	0	2
MIR12136	3024	5368	1888	3755	3990	7666	14301	23106	5946
OR4F16	10	5	9	5	6	6	6	4	4
LOC100133331	1868	710	1607	712	1295	1036	767	209	764
LOC107984841	213	129	197	100	121	97	71	14	64
LOC107984847	270	227	223	111	172	139	137	14	100
LOC107984849	66	34	65	25	45	27	25	4	22
LOC100288069	549	163	528	184	300	84	70	20	73
LINC01409	27	55	43	86	85	51	56	28	45
FAM87B	11	18	20	31	58	30	11	3	35
LINC00115	34	52	80	91	198	50	34	24	51
LINC01128	52	562	137	525	492	652	685	224	352
LOC107984850	3	10	4	8	7	13	9	10	5
FAM41C	13	5	5	10	10	13	7	2	10
LOC284600	0	1	0	4	0	5	3	1	2
LINC02593	0	1	0	0	1	2	2	0	0
LOC107985728	0	1	0	0	0	0	0	0	0
SAMD11	23	110	42	137	120	216	207	311	136
NOC2L	310	1398	512	1409	1174	1864	1715	1468	1374
KLHL17	27	261	87	310	428	607	334	390	358
PLEKHN1	13	114	16	50	66	58	88	50	101
PERM1	1	22	3	6	50	11	17	12	17
HES4	12	76	83	83	852	56	8	206	786
ISG15	631	599	1512	597	2610	472	635	1164	4105
AGRN	57	447	275	473	566	255	1920	203	927
LOC100288175	1	98	9	33	114	40	295	20	34
LOC112267874	1	34	4	24	71	23	75	20	25
LOC105378948	1	116	14	94	162	112	323	59	99
RNF223	1	0	0	1	3	0	3	0	1
C1orf159	23	327	106	324	324	515	611	431	390
LINC01342	0	0	1	0	2	7	6	3	0
MIR200B	0	0	0	0	0	0	0	0	1
MIR200A	0	0	0	0	0	0	0	0	0
MIR429	0	0	0	0	1	1	0	0	0
TTLL10-AS1	0	3	0	0	2	6	6	4	7
TTLL10	0	7	1	15	21	16	28	17	19
TNFRSF18	16	278	78	587	268	181	1291	406	237
TNFRSF4	16	802	92	550	299	423	1197	539	797
SDF4	2085	4132	2560	4173	3746	3360	4342	2842	3395
B3GALT6	54	269	100	337	145	404	853	501	511
C1QTNF12	9	19	37	44	24	41	25	52	25
UBE2J2	1277	1416	1018	1699	1102	1365	1725	1283	1279
LINC01786	2	39	8	49	70	88	38	27	42
SCNN1D	5	88	18	105	155	309	122	248	153
ACAP3	150	1056	356	1785	2005	2098	803	1905	2093
MIR6726	0	0	0	0	0	0	0	1	3
SNORD167	2	6	2	8	13	12	2	2	18
PUSL1	38	152	59	221	272	223	208	336	238
INTS11	636	1402	560	1592	1649	2275	1851	1997	1658
MIR6727	1	10	0	8	5	7	4	5	7
CPTP	252	358	186	680	231	508	503	629	442
TAS1R3	26	67	24	127	50	69	39	82	40
DVL1	123	669	300	883	799	1116	979	997	913
MIR6808	0	3	1	3	4	4	1	3	1
MXRA8	2	145	29	139	190	512	123	547	285
AURKAIP1	1011	909	1312	1162	1389	1060	1270	1750	1020
CCNL2	1028	3484	1323	4486	4240	6524	7448	4108	3996
MRPL20-AS1	155	357	187	522	347	475	870	436	326
MRPL20	471	924	385	762	570	1083	1336	1161	929
LOC107984868	0	2	6	2	6	4	6	1	6
ANKRD65	0	2	1	1	2	5	1	4	4
ANKRD65-AS1	0	0	1	0	0	1	1	1	1
TMEM88B	0	0	0	0	0	0	0	0	0
LINC01770	0	0	0	0	0	0	0	0	0
LOC107985729	0	0	0	0	0	0	0	0	0
VWA1	0	0	1	0	1	1	2	1	1
ATAD3C	13	79	25	68	73	122	137	149	84
ATAD3B	56	783	288	902	797	1099	1267	1172	836
ATAD3A	77	317	167	391	423	538	753	697	477
TMEM240	3	0	2	3	11	5	3	2	7
SSU72	3036	1663	1658	1819	1835	2238	3578	2133	2279
FNDC10	13	77	22	85	64	131	159	128	92
LOC105378586	5	7	5	12	23	14	16	20	11
MIB2	316	1145	449	2305	2178	3676	1405	2266	1884
MMP23B	54	143	52	250	306	347	171	289	226
CDK11B	1455	2646	1497	2883	3830	3781	4144	3610	2755
SLC35E2B	1128	2734	1695	2981	1917	4692	4107	1621	2821
MMP23A	5	40	16	95	88	92	22	121	74
CDK11A	1277	2499	1432	2886	2447	3586	3584	2968	2727
SLC35E2A	841	1342	632	3447	770	2389	2500	1296	1444
LOC112268218	522	195	601	291	708	323	178	296	595
NADK	8934	3788	9512	4174	11090	3230	2245	2034	7152
GNB1	17904	17175	16100	16232	11744	11250	11044	5298	12308
GNB1-DT	1	3	8	2	12	11	7	5	5
CALML6	0	5	3	7	6	39	27	27	18
TMEM52	3	0	0	1	4	5	1	9	9
CFAP74	0	0	0	3	1	0	0	0	0
LOC107984872	0	0	0	0	0	0	0	0	0
LOC105378589	0	1	1	2	2	5	4	3	1
GABRD	0	2	7	10	3	2	0	0	0
LOC105378590	0	0	0	0	0	0	0	0	0
PRKCZ-DT	0	0	0	1	0	0	3	0	0
PRKCZ	108	217	146	244	288	530	412	381	260
PRKCZ-AS1	12	26	13	27	30	125	74	59	68
FAAP20	441	456	318	503	443	854	685	1075	690
LOC112268219	31	138	44	127	61	272	186	153	200
LOC105378593	0	2	1	5	2	7	2	15	3
SKI	757	12033	1144	8625	2311	5506	3966	1607	3751
MORN1	6	31	25	41	54	84	114	56	48
LOC100129534	1	4	1	13	7	42	64	13	41
RER1	2087	1410	1260	1762	1982	2657	3314	2141	2496
PEX10	103	260	95	245	234	373	552	341	309
PLCH2	28	426	55	836	731	1053	328	684	717
PANK4	213	792	538	1099	767	1226	797	531	897
HES5	0	0	0	2	8	0	2	0	2
TNFRSF14-AS1	255	442	323	523	663	747	921	512	669
TNFRSF14	2078	5502	3715	4592	6193	6269	7133	4978	6881
LOC100996583	8	41	22	33	43	75	287	65	47
PRXL2B	47	245	77	206	273	563	788	320	347
MMEL1	9	18	15	21	40	68	89	38	53
MMEL1-AS1	0	2	1	8	4	15	15	37	10
TTC34	4	64	18	70	17	173	205	50	98
LOC105378603	0	0	0	0	0	0	0	0	0
LOC105378602	0	0	0	0	0	0	3	0	0
LOC105378601	0	0	0	0	0	0	1	0	0
LOC112268220	0	0	0	0	0	0	2	0	0
LOC107985732	0	0	0	0	0	0	1	0	0
LOC105378600	0	0	0	0	0	0	1	0	0
LOC105378598	1	0	1	0	0	1	27	0	1
LOC107984904	0	0	0	0	0	0	1	0	0
LOC105378599	0	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0	0
PRDM16-DT	0	1	0	1	0	0	7	1	2
PRDM16	3	10	0	3	0	8	54	2	11
MIR4251	0	0	0	0	0	0	0	0	0
LOC105378606	0	0	0	0	0	1	0	0	0
LOC107984909	0	0	0	1	0	0	0	0	0
LOC105378605	0	0	0	0	0	0	4	0	0
LOC105378604	0	2	0	2	4	0	36	0	0
ARHGEF16	0	0	0	1	4	2	3	2	1
MEGF6	83	467	116	1006	939	1536	716	810	918
LOC105378608	1	0	0	0	0	0	0	0	0
MIR551A	0	0	0	0	0	0	0	0	0
LOC105378607	0	7	0	0	0	0	0	2	0
TPRG1L	1447	1549	840	1926	1651	2062	2012	1167	1363
WRAP73	443	467	276	621	519	681	692	498	536
TP73	11	73	30	20	16	37	65	44	30
TP73-AS3	1	2	0	0	0	5	1	2	1
LOC105378609	0	0	0	0	0	0	0	0	0
TP73-AS1	54	400	78	471	417	969	958	371	572
CCDC27	0	0	0	2	0	6	3	0	4
SMIM1	3	5	49	22	16	12	13	23	13
LRRC47	387	1102	300	1030	786	1367	1669	1140	1109
CEP104	296	548	418	1056	832	1211	1140	604	927
DFFB	72	223	139	350	184	511	387	239	356
LOC107984910	3	10	7	8	10	18	9	8	7
C1orf174	354	728	309	734	676	879	1078	427	753
LINC01134	2	1	3	7	4	5	7	2	7
LINC01346	0	0	0	0	0	0	1	0	0
LINC01345	0	0	0	0	0	0	0	0	0
LINC02780	0	0	0	0	0	0	1	0	0
LINC01777	0	0	0	0	0	0	1	0	0
LOC105376674	0	0	0	0	0	0	0	0	0
LINC01646	0	0	0	0	0	0	4	0	1
LOC107985376	1	25	7	32	13	106	1	32	42
AJAP1	1	4	2	16	10	9	4	3	21
LINC02781	0	0	0	0	0	0	0	0	0
LOC102724429	0	0	0	0	0	0	1	0	0
LINC02782	0	0	0	0	0	0	0	0	0
LOC105376682	0	0	0	0	0	0	0	0	0
LOC107984911	0	0	2	0	0	0	0	0	0
LOC105376686	0	1	0	0	0	0	0	1	0
MIR4689	0	0	1	0	0	0	0	0	0
NPHP4	146	277	122	321	283	366	363	179	310
KCNAB2	5913	7875	4779	10037	6041	8786	5913	3982	7169
CHD5	1	8	12	19	11	20	29	20	39
LOC105376687	0	0	0	0	0	0	0	0	0
RPL22	1292	10227	4006	10191	9933	13951	11682	12035	9109
LOC107985733	3	28	23	21	20	29	35	23	23
RNF207-AS1	0	4	0	4	2	1	3	2	0
RNF207	2	124	5	75	21	102	232	65	84
ICMT	141	584	175	490	271	935	1498	491	791
ICMT-DT	0	0	1	3	2	2	13	2	2
HES3	0	0	0	0	0	0	0	0	0
GPR153	12	225	97	669	149	148	163	58	131
ACOT7	40	302	155	250	154	376	454	212	247
HES2	0	0	1	0	2	0	0	3	2
ESPN	2	109	12	153	126	280	509	287	163
MIR4252	0	0	0	0	0	0	0	0	0
TNFRSF25	34	1484	113	1343	858	2979	4245	1921	1617
PLEKHG5	1	44	22	135	78	268	196	73	135
NOL9	129	1198	295	1460	849	1879	1393	671	1117
TAS1R1	4	5	10	6	39	8	3	4	12
LOC107984912	0	0	2	0	4	1	0	0	0
ZBTB48	503	519	401	567	922	755	776	786	635
KLHL21	2076	920	754	1454	3309	881	1222	432	651
LOC107984913	10	3	6	16	22	8	4	4	12
PHF13	391	292	253	461	900	419	652	202	292
THAP3	126	328	136	428	395	536	712	564	360
DNAJC11	103	712	213	880	564	1086	1114	580	791
LINC01672	0	0	0	0	0	0	1	0	1
CAMTA1-DT	1	5	4	13	18	9	6	30	12
CAMTA1	181	618	424	553	925	891	797	681	676
LOC105376692	0	0	0	0	0	0	1	0	0
CAMTA1-AS2	0	0	0	0	0	0	0	0	0
CAMTA1-AS1	0	0	0	0	0	0	0	0	0
LOC105376691	0	0	0	0	0	0	0	0	0
LOC105376689	0	29	3	7	19	39	20	27	24
VAMP3	5196	3658	3844	3003	3616	1990	1618	936	3275
PER3	15	230	133	334	320	323	272	88	313
UTS2	0	9	2	9	355	27	37	37	256
TNFRSF9	33	448	190	230	234	97	839	47	107
PARK7	1091	2259	980	1824	1687	2380	3134	2007	2287
ERRFI1	28	82	101	86	230	104	103	16	81
LOC107984915	0	0	1	0	0	1	0	1	1
LINC01714	0	0	0	0	0	0	3	0	1
LOC105376695	0	0	0	0	0	0	0	0	0
SLC45A1	0	11	6	10	9	25	18	20	20
RERE	2604	3153	3955	3543	3914	5014	2626	1593	4507
RERE-AS1	33	15	162	31	46	56	46	39	38
SNORD128	0	0	0	0	0	1	2	0	0
ENO1	33992	22638	21067	20677	17502	11722	19763	10406	14382
MIR6728	2	1	4	2	2	2	1	3	3
ENO1-AS1	6	16	8	9	9	16	13	10	8
LOC112268261	7	57	25	41	66	428	859	439	112
CA6	3	55	29	49	42	251	317	293	108
SLC2A7	0	0	0	1	0	3	1	0	0
SLC2A5	30	386	97	99	64	139	107	193	61
GPR157	15	383	378	227	131	164	1589	75	97
MIR34AHG	0	58	6	9	0	14	209	6	10
MIR34A	0	0	0	1	0	0	1	0	0
LNCTAM34A	0	1	1	2	0	2	9	1	0
H6PD	2054	3084	2914	2688	1183	2807	4690	1081	2329
SPSB1	101	542	214	324	207	309	867	150	178
LINC02606	4	1	2	2	3	1	3	0	2
SLC25A33	63	233	190	273	1392	252	394	184	325
TMEM201	13	200	43	220	233	277	277	147	213
LOC107985734	0	6	2	7	6	19	18	16	10
LOC105376712	6	2	10	15	2	8	9	6	8
PIK3CD	11617	8592	6022	10938	8528	11850	7664	5927	9654
PIK3CD-AS1	310	26	48	37	89	40	80	62	50
PIK3CD-AS2	3	11	5	15	9	17	25	39	12
CLSTN1	648	3970	1151	4948	2560	7067	4999	2994	5195
