	GSM5952180	GSM5952181	GSM5952182	GSM5952183	GSM5952184	GSM5952185	GSM5952186	GSM5952187	GSM5952188	GSM5952189	GSM5952190	GSM5952191	
DDX11L1	8	88	9	102	48	14	192	24	136	203	66	75	19
WASH7P	528	718	247	949	668	906	1359	991	1107	730	220	743	96
MIR6859-1	4	16	1	17	6	19	32	20	14	14	0	2	3
MIR1302-2HG	0	0	0	1	0	1	0	1	1	1	0	1	1
MIR1302-2	0	0	0	0	0	1	0	1	0	0	0	0	0
FAM138A	2	0	0	0	0	0	0	1	1	0	0	0	3
OR4F5	0	0	0	2	0	0	0	0	1	0	0	0	2
LOC100996442	538	165	513	290	308	69	148	90	49	99	12	35	145
LOC729737	5285	1785	4347	1373	3889	729	1786	1112	293	1769	605	1592	17
DDX11L17	4	80	6	98	47	7	182	15	104	196	52	74	23
WASH9P	641	774	269	1051	726	989	1399	1077	1056	864	262	697	124
MIR6859-2	4	13	1	13	6	16	27	19	10	13	0	4	2
LOC107985721	1	1	0	2	2	5	1	13	2	0	2	3	4
LOC112268260	64	23	43	50	29	14	49	21	11	25	6	19	181
OR4F29	0	0	0	0	0	0	0	1	0	0	0	0	11
LOC100132287	2615	871	2204	871	1831	542	1132	740	228	979	256	911	22
LOC105378947	4	2	6	3	4	1	4	2	0	1	2	1	5
LOC101928626	0	1	0	0	0	0	1	0	0	2	1	0	1
MIR12136	3024	5368	1888	3755	3990	13127	7666	14301	23106	5946	17410	9438	238
OR4F16	10	5	9	5	6	1	6	6	4	4	4	4	138
LOC100133331	1867	710	1607	712	1295	550	1035	767	208	764	204	744	19
LOC107984841	213	129	197	100	121	48	97	71	14	64	8	16	19
LOC107984847	270	227	223	112	172	57	139	137	14	100	1	9	43
LOC107984849	66	34	65	24	45	13	27	25	4	22	0	2	13
LOC100288069	549	163	528	184	300	55	84	70	20	73	9	35	56
LINC01409	27	55	43	86	85	36	51	56	28	45	20	26	325
FAM87B	11	18	20	31	58	19	30	11	3	35	4	11	57
LINC00115	34	52	80	91	198	40	50	34	24	51	34	45	40
LINC01128	52	562	137	525	492	606	652	685	224	352	29	163	511
LOC107984850	3	10	4	8	7	5	13	9	10	5	21	11	0
FAM41C	13	5	5	10	10	3	13	7	2	10	2	9	8
LOC284600	0	1	0	4	0	2	5	3	1	2	1	4	3
LINC02593	0	1	0	0	1	0	2	2	0	0	0	1	3
LOC107985728	0	1	0	0	0	0	0	0	0	0	0	0	4
SAMD11	23	110	42	137	120	249	216	207	311	136	236	210	28
NOC2L	310	1398	512	1409	1174	2496	1864	1715	1468	1374	327	748	385
KLHL17	27	261	87	310	428	489	607	334	390	358	27	148	11
PLEKHN1	13	114	16	50	66	106	58	88	50	101	12	39	8
PERM1	1	22	3	6	50	18	11	17	12	17	13	18	8
HES4	12	76	83	83	852	19	56	8	206	786	148	403	4
ISG15	631	599	1512	597	2610	907	472	635	1164	4105	1713	1987	36
AGRN	57	447	275	473	566	1393	255	1920	203	927	136	271	158
LOC100288175	1	98	9	33	114	322	40	295	20	34	14	87	6
LOC112267874	1	34	4	24	71	73	23	75	20	25	19	56	1
LOC105378948	1	116	14	94	162	383	112	323	59	99	20	140	7
RNF223	1	0	0	1	3	2	0	3	0	1	1	2	0
C1orf159	23	327	106	324	324	785	515	611	431	390	109	440	16
LINC01342	0	0	1	0	2	4	7	6	3	0	0	1	0
MIR200B	0	0	0	0	0	0	0	0	0	1	0	0	0
MIR200A	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR429	0	0	0	0	1	0	1	0	0	0	0	0	0
TTLL10-AS1	0	3	0	0	2	4	6	6	4	7	4	5	0
TTLL10	0	7	1	15	21	45	16	28	17	19	10	85	0
TNFRSF18	16	278	78	587	268	3663	181	1291	406	237	87	287	1
TNFRSF4	16	802	92	550	299	1874	423	1197	539	797	95	467	0
SDF4	2085	4132	2560	4173	3746	5330	3360	4342	2842	3395	187	1575	373
B3GALT6	54	269	100	337	145	1246	404	853	501	511	21	99	179
