node	type
ADRB2	source
BIRC2	source
ALDH7A1	source
BCL2	source
CBR3	source
CD44	source
CXCL2	source
HADH	source
HMGCS1	source
GADD45B	source
PTPRF	source
STXBP1	source
TSPAN4	source
TOP2A	source
CXCR4	source
TRIB1	source
ABCC5	target
DNM1L	target
KIF20A	target
G3BP1	target
CEBPZ	target
SLC25A13	target
TXNDC9	target
CDK6	target
SLC75A1	target
CDKN1A	target
STUB1	target
TNIP1	target
IKZF1	target
HMG20B	target
LYPLA1	target
VAV3	target
LRRC41	target
VAT1	target
CEBPD	target
HYOU1	target
ST6GALNAC2	target
CENPE	target
CNPY3	target
YME1L1	target
TCFL5	target
ARPP19	target
MTHFD2	target
PDIA5	target
EBNA1BP2	target
UBE2C	target
PRSS23	target
PWP1	target
SLC2A6	target
CHP1	target
PNKP	target
DDX42	target
CANT1	target
CRK	target
CSRP1	target
CTSL	target
ADRB2	target
AARS1	target
DCTD	target
DDB2	target
GADD45A	target
DLD	target
DNM1	target
AGL	target
TSC22D3	target
DUSP3	target
DUSP4	target
E2F2	target
ECH1	target
EGR1	target
EIF5	target
EPHB2	target
NR2F6	target
ERBB2	target
ERBB3	target
ETFB	target
ALAS1	target
ETV1	target
EXT1	target
FDFT1	target
COG2	target
PUF60	target
RPIA	target
ALDOC	target
FBXO21	target
RBM34	target
GPATCH8	target
MAST2	target
JMJD6	target
RRS1	target
RRP12	target
WASHC4	target
USP22	target
WDR7	target
SIRT3	target
TMEM50A	target
LSM 5.00	target
PLA2G15	target
SLC37A4	target
EML3	target
SPDEF	target
MPC2	target
C2CD2	target
TIPARP	target
RNF167	target
ZNF451	target
TES	target
PHGDH	target
MYCBP	target
TIMM9	target
TNFRSF21	target
SESN1	target
TMEM97	target
GLRX	target
GNA11	target
GNA15	target
GNAS	target
GRB7	target
GRB10	target
GRN	target
CHMP4A	target
GTPBP8	target
CXCL2	target
GTF2A2	target
PACSIN3	target
HOOK2	target
UBQLN2	target
ACAA1	target
ERO1A	target
HLA-DMA	target
HMGCR	target
HMGCS1	target
HMOX1	target
HOXA5	target
APBB2	target
HES1	target
HSPA4	target
HSPA8	target
BIRC5	target
HSPD1	target
IGFBP3	target
IGHMBP2	target
APP	target
FAS	target
INSIG1	target
ITGAE	target
ITGB5	target
STIMATE	target
KIF5C	target
KIT	target
RHOA	target
DIPK1A	target
ACAT2	target
LAMA3	target
LGALS8	target
LYN	target
MAN2B1	target
FOXO4	target
MMP1	target
MUC1	target
MYBL2	target
NFATC3	target
NFKB2	target
NFKBIA	target
NFKBIB	target
ATP1B1	target
PNP	target
NVL	target
ALDH7A1	target
OXA1L	target
SERPINE1	target
PAK1	target
COPS7A	target
PCBD1	target
PCCB	target
MTERF3	target
GOLT1B	target
GMNN	target
PCK2	target
NOSIP	target
PCNA	target
NUSAP1	target
SCAND1	target
ATP6V1D	target
PRKAG2	target
HACD3	target
UFM1	target
PGAM1	target
PHKB	target
PIN1	target
PLK1	target
PLS1	target
PMM2	target
CYCS	target
POLE2	target
POLR2I	target
KCTD5	target
DHX29	target
DDIT4	target
SLC35F2	target
HERC6	target
PPP2R3C	target
FKBP14	target
CDCA4	target
ADI1	target
PPP2R5E	target
CARMIL1	target
ANKRD10	target
STAP2	target
MINDY1	target
KDM3A	target
PECR	target
EAPP	target
ZNF395	target
NPDC1	target
TM9SF3	target
PAK6	target
PSMB8	target
COQ8A	target
CIAPIN1	target
PSMD10	target
MCOLN1	target
THAP11	target
PTGS2	target
PTK2	target
TRIB3	target
PTPN6	target
PTPRK	target
BAX	target
PXN	target
SQOR	target
ENOPH1	target
RAC2	target
RAP1GAP	target
KDM5A	target
RELB	target
RGS2	target
RPA2	target
MRPL12	target
RTN2	target
S100A4	target
SATB1	target
ABHD4	target
RBKS	target
ZDHHC6	target
NT5DC2	target
SLC1A4	target
INTS3	target
SMARCD2	target
SNAP25	target
BNIP3	target
SPAG4	target
SPP1	target
BPHL	target
SRC	target
AURKA	target
STK10	target
SUPV3L1	target
SUV39H1	target
TCEA2	target
BTK	target
TGFBR2	target
TIAM1	target
TIMP2	target
TLE1	target
TLR4	target
TSPAN6	target
TOP2A	target
TPM1	target
UGDH	target
WFS1	target
ZFP36	target
CXCR4	target
IFRD2	target
USP7	target
CCDC86	target
TRAPPC6A	target
CHAC1	target
MBOAT7	target
TCTN1	target
CHMP6	target
NPEPL1	target
NUP85	target
DHDDS	target
FBXO11	target
PDHX	target
FOSL1	target
NRIP1	target
CAST	target
CDC45	target
FZD7	target
CASP2	target
CASP3	target
DYRK3	target
TUBB6	target
CAT	target
HAT1	target
H2BC12	target
MICALL1	target
AKR7A2	target
PEX11A	target
CREG1	target
INPP4B	target
