Ensembl	GeneID	Symbol	infected	control	AveExpr	F	P.Value	adj.P.Val	log2FoldChange
ENSG00000000003	7105	TSPAN6	6.61612982048437	6.3976753595236175	6.537562865226555	652.1050988818499	9.89436679722879e-63	1.8895076812333805e-62	0.04843975617725782
ENSG00000000457	57147	SCYL3	2.9945386650638106	2.938878985862936	2.974520710263496	1553.6248839121613	7.60292628660178e-83	1.9454887911918323e-82	0.027067805913554066
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000004478	2288	FKBP4	0.2684942498365513	0.2575657135333737	0.2645638113415487	363.62707547964965	6.41143085724734e-50	1.0642916635480867e-49	0.05995063281239865
ENSG00000004864	10165	SLC25A13	3.38526718501887	3.3042794539352114	3.3561400185764994	1648.7916848711975	2.97666621859157e-84	7.779444538913516e-84	0.03493399874697212
ENSG00000004866	7982	ST7	4.128593638323222	4.027022042545187	4.092063502999545	5825.393420134575	1.3559828662579675e-114	7.3456934646017475e-114	0.03593705742249931
ENSG00000005194	57019	CIAPIN1	0.07794764481217047	0.06662261229238316	0.073874606800668	43.96289079468228	7.619393088632155e-15	8.734035333601112e-15	0.2264935089340483
ENSG00000006451	5898	RALA	2.620247066765699	2.6153801312606704	2.6184966776805556	41137.838334532586	2.7218906667935797e-162	9.478353777225757e-161	0.00268220233195815
ENSG00000008282	6856	SYPL1	4.4349408864512885	4.428079577847091	4.43247322283048	485047.79158701794	1.0090240193029595e-222	3.142244942397888e-220	0.0022337256050875
ENSG00000008283	1534	CYB561	0.14389444641160748	0.14298708149196854	0.14356811341419343	250.0755130771409	3.387986512429334e-42	5.188977586204388e-42	0.009126103339804903
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000013619	10046	MAMLD1	0.9625249426611934	0.9089651557114955	0.9432622122670036	308.8020664651942	1.7148030705354308e-46	2.7569136466259943e-46	0.08259893568483516
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000023191	6050	RNH1	2.872930213766485	2.8455328155321893	2.863076763524325	10877.442701330532	8.692847269746861e-130	5.918031781174636e-129	0.01382413169271568
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000039650	11284	PNKP	2.1202326339410615	2.1137559209317547	2.1179032897885905	17776.14490872646	8.958804610411559e-142	9.46645572963459e-141	0.004413771509705233
ENSG00000050748	5601	MAPK9	0.8548073457527929	0.7802550974348534	0.8279946950419549	392.1644834985542	1.5712747128187882e-51	2.650074852204005e-51	0.13165342843891484
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000054654	23224	SYNE2	4.41308116233007	4.409422429795199	4.411765302383318	540146.6906899689	2.331393013331166e-225	1.3735685485839485e-222	0.0011965845140156084
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000059588	6894	TARBP1	4.447498369709952	4.428802226085907	4.44077431805569	76962.38671648063	1.261352751959691e-177	1.0336928060138836e-175	0.006077503412024399
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000065526	23013	SPEN	4.004312514386458	3.9945180752848293	4.00078995295517	563107.9289662497	2.226189213636691e-226	2.022029111169426e-223	0.0035331154033053647
ENSG00000066044	1994	ELAVL1	0.23464793186149277	0.2295273312062263	0.23280631232758123	310.6541240598497	1.2890324738236466e-46	2.0742318518403834e-46	0.031831790521642755
ENSG00000066583	51015	ISOC1	0.545058469308705	0.49864674791054986	0.5283665344198946	699.3110111108163	2.5991068287687856e-64	5.0429844023436366e-64	0.12839285724755156
ENSG00000067177	5255	PHKA1	1.9978882268806515	1.947813823322273	1.9798790115657958	3970.554265513744	2.6059610742565773e-105	1.1529804233350745e-104	0.036620085115395495
ENSG00000067334	30836	DNTTIP2	0.11891112854396628	0.08495820261860139	0.1066999885181771	30.163400178762487	3.203482345238465e-11	3.579512616938505e-11	0.4850585891768473
ENSG00000071189	23161	SNX13	2.4843364643650148	2.327545589886523	2.4279467638946794	253.27601771537599	1.8853188261260627e-42	2.895249389976896e-42	0.09405115089674232
ENSG00000072062	5566	PRKACA	2.1756088340995485	2.0682045959329836	2.1369809940571867	1300.082300140169	1.2021639991556953e-78	2.852195583107858e-78	0.07304027853976991
ENSG00000072134	22905	EPN2	0.09874006192952019	0.09120241503224473	0.09602915383488597	10.018165530622106	9.886094113087312e-5	1.0561995960164197e-4	0.11456352259539893
ENSG00000072501	8243	SMC1A	2.410105538903798	1.9010594372432412	2.227027554973247	155.3870847297413	3.846266676050088e-33	5.275910349308826e-33	0.34229268466064533
ENSG00000072786	6793	STK10	4.268740851564563	4.266547232597502	4.267951918427284	503839.84034751833	1.1818084178022443e-223	3.976237082182069e-221	7.415621461985822e-4
ENSG00000073060	949	SCARB1	2.3597233070320205	1.9797570230806538	2.2230687663126685	186.51349876593844	1.6795116945911615e-36	2.406446393479212e-36	0.2532943258583811
ENSG00000076864	5909	RAP1GAP	2.636462420711057	2.634784582179643	2.6358589875550207	46296.76760623144	3.49538248050951e-165	1.3728980665338163e-163	9.184200281655563e-4
ENSG00000076944	6813	STXBP2	4.325696295606854	4.3162922854403085	4.322314151599586	371417.44635837147	3.4988835243801555e-216	6.690540521751141e-214	0.003139815346799857
ENSG00000079691	55604	CARMIL1	0.5159189603966512	0.17933793417481214	0.394867889562481	34.55372963766567	1.9660996400183716e-12	2.2160809748066434e-12	1.524463783268117
ENSG00000080802	4850	CNOT4	0.11057383655141234	0.10174782558406306	0.10739956944912	199.0238797004806	9.878422947057392e-38	1.4334958182858748e-37	0.120012098893163
ENSG00000080823	5891	MOK	2.05247647726015	1.9084246603428037	2.0006683676670693	197.81820746476768	1.2900920918935516e-37	1.8691158787177678e-37	0.10498345403889786
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000086015	23139	MAST2	1.0931901296569828	0.9739925881704411	1.0503208384205946	474.01460621967726	1.2281754420800124e-55	2.1718987962928684e-55	0.16656164010324398
ENSG00000086827	9183	ZW10	134.40840839368911	119.49217515802906	129.04379819489895	1029.8967011015015	3.333629816421814e-73	7.307903898650355e-73	0.1697072461747311
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000087470	10059	DNM1L	0.19455858386177757	0.1938216923467335	0.19429356147478796	758.7698094092827	3.62189881088441e-66	7.182186134673816e-66	0.005474588053294038
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000088808	23368	PPP1R13B	1.9971204410466734	1.9783292579316847	1.9903622085228618	10013.31082709861	9.050568593814329e-128	5.9894761620084575e-127	0.013638783358406958
ENSG00000089022	8550	MAPKAPK5	0.8547881965787711	0.7981747336016847	0.8344272142799942	420.78614740292994	4.7928613578311295e-53	8.235168656054291e-53	0.09886237580811585
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000091640	9552	SPAG7	3.95959193218304	3.950681873384875	3.9563874373521197	518130.7089906477	2.439154301317188e-224	9.167435278347135e-222	0.0032500779099466914
ENSG00000095066	29911	HOOK2	0.4407437237464992	0.42081203328217937	0.43357530875494527	545.9678515797884	9.378436043904463e-59	1.7169776377011285e-58	0.06676406586808192
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000100219	7494	XBP1	15.480128794625772	15.324680841246485	15.42422207455076	13585.762000594084	3.2821226161440184e-135	2.6017087603390347e-134	0.014560446743035804
ENSG00000100422	64781	CERK	0.10085600698765028	0.09926252441097565	0.10028291237674093	338.5996959679859	2.052621222550812e-48	3.351943218996565e-48	0.022975963134980848
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000100644	3091	HIF1A	0.4611391894025376	0.46023468243312854	0.4608138842644166	3646.778967944214	2.9507577291032157e-103	1.1772248853719071e-102	0.0028325703133138536
ENSG00000100664	1983	EIF5	0.22706113768024655	0.22563442491435795	0.226548021685497	426.045781073537	2.5821866626827685e-53	4.4536029005318195e-53	0.009093609113913548
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
