Description	ID	pathway_genes	pathway_size	observed_val	expected_val	log_observed_expected	asinh_observed_expected	pvalue	p.adjust	qvalue
mitochondrial genome maintenance	GO:0000002		21	2	3.1520467836257313	-0.4549048338463921	0.5981895077252014	0.8454063293945939	1	1
single strand break repair	GO:0000012		11	1	1.6510721247563354	-0.501424849481285	0.5736782841444976	0.8329607985616958	1	1
regulation of DNA recombination	GO:0000018		89	5	13.358674463937621	-0.9827280339809537	0.3660584524280923	0.9977160060153109	1	1
mitotic spindle elongation	GO:0000022		8	0	1.2007797270955165	-Inf	0	1	1	1
ribosomal large subunit assembly	GO:0000027		15	1	2.2514619883040936	-0.8115797777851245	0.4307144423130682	0.8793699684756753	1	1
ribosomal small subunit assembly	GO:0000028		8	1	1.2007797270955165	-0.18297111836275015	0.7580703777202549	0.7278365329735532	1	1
very long-chain fatty acid metabolic process	GO:0000038		24	0	3.6023391812865495	-Inf	0	1	1	1
transition metal ion transport	GO:0000041		55	2	8.255360623781677	-1.4177155813554398	0.23995741168018178	0.9986192422218139	1	1
autophagosome assembly	GO:0000045		52	3	7.8050682261208575	-0.9561610065962319	0.3754803498903595	0.989135386449356	1	1
urea cycle	GO:0000050		6	1	0.9005847953216374	0.10471095408903076	0.9573177040732004	0.6231671374342815	1	1
citrulline metabolic process	GO:0000052		5	1	0.7504873294346979	0.2870325108829852	1.0980927001831282	0.556593925058477	1	1
mitotic sister chromatid segregation	GO:0000070		110	9	16.510721247563353	-0.6067853651391113	0.5211828632608532	0.9810848469217044	1	1
cell cycle checkpoint signaling	GO:0000075		106	4	15.910331384015596	-1.3806743096750909	0.24883313473489474	0.9999406847146246	1	1
DNA replication checkpoint signaling	GO:0000076		12	1	1.8011695906432748	-0.5884362264709145	0.5300272218680785	0.8580487814293155	1	1
DNA damage checkpoint signaling	GO:0000077		72	4	10.807017543859649	-0.9939013345790789	0.3621609189060979	0.9950447052564395	1	1
regulation of cyclin-dependent protein serine/threonine kinase activity	GO:0000079		32	7	4.803118908382066	0.3766446695726725	1.1708905873965287	0.19501382856861624	1	1
G1/S transition of mitotic cell cycle	GO:0000082		41	4	6.153996101364522	-0.4308072822673315	0.6112110345950381	0.8704669694320288	1	1
G2/M transition of mitotic cell cycle	GO:0000086		33	2	4.953216374269005	-0.9068899575894491	0.39354085283154966	0.9682349402868871	1	1
sulfur amino acid metabolic process	GO:0000096		25	6	3.752436647173489	0.46935406767694005	1.2484325510610474	0.16172648681368545	1	1
sulfur amino acid biosynthetic process	GO:0000097		11	3	1.6510721247563354	0.5971874391868247	1.3586675687156506	0.221440412407352	1	1
sulfur amino acid catabolic process	GO:0000098		7	3	1.050682261208577	1.049172562929882	1.771663063871427	0.07384649980412532	1	1
sulfur amino acid transport	GO:0000101		10	1	1.5009746588693957	-0.4061146696769601	0.6247848863348939	0.8034408424819415	1	1
establishment of mitotic spindle orientation	GO:0000132		23	1	3.45224171539961	-1.239023792612064	0.28576173804497057	0.9763202953887415	1	1
rRNA modification	GO:0000154		18	0	2.7017543859649122	-Inf	0	1	1	1
MAPK cascade	GO:0000165		89	14	13.358674463937621	0.046891383200204556	0.9149163736528501	0.46947478988400415	1	1
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	GO:0000184		25	2	3.752436647173489	-0.6292582209911697	0.5105200250203249	0.9072976219847162	1	1
protein polyubiquitination	GO:0000209		193	15	28.968810916179336	-0.6581695644855897	0.49707414743427625	0.9986702177550197	1	1
spliceosomal tri-snRNP complex assembly	GO:0000244		11	2	1.6510721247563354	0.19172233107866038	1.0232088874874428	0.45609566908857135	1	1
spliceosomal complex assembly	GO:0000245		39	5	5.853801169590644	-0.15765331037846045	0.774393092697443	0.7163814401108073	1	1
mitochondrial fission	GO:0000266		9	0	1.3508771929824561	-Inf	0	1	1	1
polysaccharide biosynthetic process	GO:0000271		10	1	1.5009746588693957	-0.4061146696769601	0.6247848863348939	0.8034408424819415	1	1
polysaccharide catabolic process	GO:0000272		5	0	0.7504873294346979	-Inf	0	1	1	1
nuclear division	GO:0000280		153	12	22.964912280701753	-0.6490608482873494	0.50127751238206	0.9948304391905713	1	1
mitotic cytokinesis	GO:0000281		63	4	9.456140350877194	-0.8603699419545564	0.41130979707324655	0.9815054540977808	1	1
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	GO:0000288		12	1	1.8011695906432748	-0.5884362264709145	0.5300272218680785	0.8034408424819415	1	1
nuclear-transcribed mRNA poly(A) tail shortening	GO:0000289		6	1	0.9005847953216374	0.10471095408903076	0.9573177040732004	0.6231671374342815	1	1
retrograde transport, vesicle recycling within Golgi	GO:0000301		8	0	1.2007797270955165	-Inf	0	1	1	1
response to reactive oxygen species	GO:0000302		82	14	12.307992202729045	0.12880850566809116	0.9753201712407854	0.3445534438760654	1	1
response to superoxide	GO:0000303		11	4	1.6510721247563354	0.8848695116386057	1.6181215546514192	0.0695226733356552	1	1
response to oxygen radical	GO:0000305		12	5	1.8011695906432748	1.0210016859631859	1.7451171971735842	0.02394125085014241	1	1
protein deneddylation	GO:0000338		10	2	1.5009746588693957	0.2870325108829852	1.0980927001831282	0.4008781956211437	1	1
RNA splicing, via transesterification reactions	GO:0000375		186	15	27.91812865497076	-0.6212260492939055	0.5143097856967589	0.9967940112492655	1	1
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	GO:0000377		181	15	27.167641325536064	-0.5939764068465301	0.5273436988797677	0.9954940747962641	1	1
alternative mRNA splicing, via spliceosome	GO:0000380		12	1	1.8011695906432748	-0.5884362264709145	0.5300272218680785	0.8580487814293155	1	1
