Description	ID	pathway_genes	pathway_size	observed_val	expected_val	log_observed_expected	asinh_observed_expected	pvalue	p.adjust	qvalue
single strand break repair	GO:0000012		11	1	1.5209584230202786	-0.41934067761115246	0.6174852904881808	0.8055213273728924	1	1
regulation of DNA recombination	GO:0000018		89	7	12.305936331709528	-0.5641716254896085	0.5419147858460811	0.9655791635677649	1	1
mitotic spindle elongation	GO:0000022		8	0	1.1061515803783846	-Inf	0	1	1	1
ribosomal large subunit assembly	GO:0000027		15	0	2.074034213209471	-Inf	0	1	1	1
ribosomal small subunit assembly	GO:0000028		8	1	1.1061515803783846	-0.1008869464926179	0.8118632920583256	0.6960071370907963	1	1
very long-chain fatty acid metabolic process	GO:0000038		24	1	3.3184547411351533	-1.1994992351607274	0.296961159072796	0.9719565560523876	1	1
transition metal ion transport	GO:0000041		55	5	7.604792115101394	-0.41934067761115246	0.6174852904881808	0.8936875809797773	1	1
autophagosome assembly	GO:0000045		52	3	7.1899852724594995	-0.8740768347260995	0.4060007728154399	0.98117181168705625	1	1
urea cycle	GO:0000050		6	2	0.8296136852837883	0.8799423065191084	1.6135687241010357	0.19628576436002576	1	1
citrulline metabolic process	GO:0000052		5	1	0.6913447377364904	0.3691166827531176	1.1646908281578776	0.5248625797276774	1	1
mitotic sister chromatid segregation	GO:0000070		110	8	15.209584230202788	-0.6424842289253624	0.504331158073341	0.9831916429305029	1	1
cell cycle checkpoint signaling	GO:0000075		106	7	14.656508440013596	-0.7389743498695358	0.4610906276981896	0.9918663572679766	1	1
DNA replication checkpoint signaling	GO:0000076		12	0	1.6592273705675766	-Inf	0	1	1	1
DNA damage checkpoint signaling	GO:0000077		72	3	9.95536422340546	-1.1994992351607274	0.296961159072796	0.997517457267552	1	1
regulation of cyclin-dependent protein serine/threonine kinase activity	GO:0000079		32	6	4.424606321513538	0.30457816161554646	1.1121700552909481	0.2762611371888499	1	1
G1/S transition of mitotic cell cycle	GO:0000082		41	7	5.669026849439221	0.21089267753822347	1.0380496321354098	0.31266270289039966	1	1
G2/M transition of mitotic cell cycle	GO:0000086		33	3	4.562875269060836	-0.41934067761115246	0.6174852904881808	0.853734721858499	1	1
sulfur amino acid metabolic process	GO:0000096		25	1	3.4567236886824513	-1.2403212296809827	0.2854009690544323	0.9758393720862005	1	1
sulfur amino acid biosynthetic process	GO:0000097		11	0	1.5209584230202786	-Inf	0	1	1	1
sulfur amino acid catabolic process	GO:0000098		7	0	0.9678826328310864	-Inf	0	1	1	1
sulfur amino acid transport	GO:0000101		10	1	1.3826894754729808	-0.3240304978068277	0.67159200483869	0.7742957508496555	1	1
