Description	ID	pathway_genes	pathway_size	observed_val	expected_val	log_observed_expected	asinh_observed_expected	pvalue	p.adjust	qvalue
single strand break repair	GO:0000012		11	2	1.2243684150900644	0.4907220490383915	1.2666032288025997	0.35073106855288705	0.7077804047263129	0.7077804047263129
regulation of DNA recombination	GO:0000018		89	10	9.90625354027416	0.009418864538722416	0.888049387988697	0.5073037180517747	0.7959333305380093	0.7959333305380092
mitotic spindle elongation	GO:0000022		8	0	0.8904497564291379	-Inf	0	1	1	1
ribosomal large subunit assembly	GO:0000027		15	1	1.6695932933046336	-0.5125800598253936	0.5679228309774026	0.7844552834279521	0.9734049180410482	0.9734049180410482
ribosomal small subunit assembly	GO:0000028		8	1	0.8904497564291379	0.11602859959698059	0.9657488573338641	0.6110168143583217	0.8540722365316231	0.854072236531623
very long-chain fatty acid metabolic process	GO:0000038		24	4	2.6713492692874135	0.40371067204876154	1.1933038325093133	0.27485549944137677	0.6147469008321362	0.6147469008321362
transition metal ion transport	GO:0000041		55	4	6.121842075450323	-0.42556868283576377	0.6140712192951268	0.8747818246219659	1	1
autophagosome assembly	GO:0000045		52	7	5.787923416789396	0.19013657175070253	1.021986390118035	0.35733964531432444	0.7121094748599236	0.7121094748599236
urea cycle	GO:0000050		6	1	0.6678373173218534	0.40371067204876154	1.1933038325093133	0.5074315198559365	0.7959333305380093	0.7959333305380092
citrulline metabolic process	GO:0000052		5	1	0.5565310977682112	0.5860322288427161	1.3489074047671124	0.4457191337629064	0.7715208188789912	0.7715208188789912
mitotic sister chromatid segregation	GO:0000070		110	6	12.243684150900647	-0.7132507552875448	0.47229333462099027	0.9810430912170436	1	1
cell cycle checkpoint signaling	GO:0000075		106	10	11.798459272686078	-0.16538385984120493	0.7693835091720944	0.7228829438063455	0.932096145221508	0.9320961452215081
DNA replication checkpoint signaling	GO:0000076		12	4	1.3356746346437067	1.096857852608707	1.816782201194793	0.03639607625227302	0.2110411249649972	0.21104112496499722
DNA damage checkpoint signaling	GO:0000077		72	7	8.01404780786224	-0.1352858286839254	0.7890139952753421	0.6595921362977938	0.8918214169511773	0.8918214169511772
regulation of cyclin-dependent protein serine/threonine kinase activity	GO:0000079		32	4	3.5617990257165517	0.11602859959698059	0.9657488573338641	0.4837966853083411	0.7959333305380093	0.7959333305380092
G1/S transition of mitotic cell cycle	GO:0000082		41	9	4.563555001699331	0.6791226519087282	1.4311092630922213	0.028964449117913703	0.19470750750567667	0.19470750750567664
G2/M transition of mitotic cell cycle	GO:0000086		33	3	3.673105245270194	-0.2024251315215541	0.7456926035101543	0.7270881041642419	0.932096145221508	0.9320961452215081
sulfur amino acid metabolic process	GO:0000096		25	3	2.7826554888410557	0.07520660507672561	0.9355394363730167	0.5376135112531409	0.8273180691747859	0.8273180691747859
sulfur amino acid biosynthetic process	GO:0000097		11	2	1.2243684150900644	0.4907220490383915	1.2666032288025997	0.35073106855288705	0.7077804047263129	0.7077804047263129
sulfur amino acid catabolic process	GO:0000098		7	1	0.7791435368754956	0.2495599922215033	1.0683263309302118	0.5622760950759664	0.8273180691747859	0.8273180691747859
sulfur amino acid transport	GO:0000101		10	3	1.1130621955364224	0.9914973369508806	1.7174068052266203	0.09092189253240868	0.3517294373131019	0.3517294373131019
establishment of mitotic spindle orientation	GO:0000132		23	3	2.560043049733771	0.15858821401577658	0.9978298836347282	0.47991767325582635	0.7959333305380093	0.7959333305380092
rRNA modification	GO:0000154		18	0	2.00351195196556	-Inf	0	1	1	1
MAPK cascade	GO:0000165		89	11	9.90625354027416	0.10472904434304732	0.9573311465980339	0.40430519155339845	0.7715208188789912	0.7715208188789912
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	GO:0000184		25	1	2.7826554888410557	-1.023405683591384	0.35205152991469413	0.9477750210760701	1	1
protein polyubiquitination	GO:0000209		193	29	21.48210037385295	0.30007578235840504	1.1085492913583888	0.04080603711065794	0.2338568139768906	0.2338568139768906
spliceosomal tri-snRNP complex assembly	GO:0000244		11	2	1.2243684150900644	0.4907220490383915	1.2666032288025997	0.30788177807678685	0.6510030367768204	0.6510030367768204
spliceosomal complex assembly	GO:0000245		39	8	4.340942562592047	0.6113500368270061	1.37109548977221	0.06211828869122301	0.28663697630086693	0.28663697630086693
mitochondrial fission	GO:0000266		9	0	1.00175597598278	-Inf	0	1	1	1
polysaccharide biosynthetic process	GO:0000271		10	3	1.1130621955364224	0.9914973369508806	1.7174068052266203	0.09092189253240868	0.3517294373131019	0.3517294373131019
polysaccharide catabolic process	GO:0000272		5	3	0.5565310977682112	1.6846445175108258	2.386286267109871	0.011577053094646909	0.119986583746685	0.119986583746685
nuclear division	GO:0000280		153	12	17.029851591707263	-0.35006113032761865	0.6564677570319729	0.9044752498530131	1	1
mitotic cytokinesis	GO:0000281		63	5	7.012291831879461	-0.3382266726806157	0.6633114516780221	0.8005366876995268	0.9914903930223496	0.9914903930223498
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	GO:0000288		12	1	1.3356746346437067	-0.28943650851118374	0.6920951099365545	0.6928272369160491	0.9101136233440614	0.9101136233440614
