Description	ID	pathway_genes	pathway_size	observed_val	expected_val	log_observed_expected	asinh_observed_expected	pvalue	p.adjust	qvalue
mitochondrial genome maintenance	GO:0000002		21	14	9.267284268313604	0.412566952147892	1.2006787484706962	0.031578576713977145	0.12818599787709511	0.1281859978770951
single strand break repair	GO:0000012		11	6	4.85429175959284	0.21189625668574097	1.0388296852324805	0.3446433816717589	0.6174541497359675	0.6174541497359676
alpha-glucoside transport	GO:0000017		2	2	0.8825985017441528	0.8180320602560563	1.5566514916168555	0.19473092872749284	0.4269556829862262	0.4269556829862262
regulation of DNA recombination	GO:0000018		89	45	39.2756333276148	0.1360581802942364	0.980773504976514	0.07741475508114924	0.2482763951415358	0.24827639514153577
regulation of mitotic recombination	GO:0000019		3	3	1.3238977526162292	0.8180320602560563	1.5566514916168555	0.08592216843766694	0.2482763951415358	0.24827639514153577
mitotic spindle elongation	GO:0000022		8	4	3.530394006976611	0.12488487969611106	0.9723759215750788	0.37332624601623754	0.6174541497359675	0.6174541497359676
maltose metabolic process	GO:0000023		2	2	0.8825985017441528	0.8180320602560563	1.5566514916168555	0.19473092872749284	0.4269556829862262	0.4269556829862262
maltose catabolic process	GO:0000025		1	1	0.4412992508720764	0.8180320602560563	1.5566514916168555	0.44129925087207633	0.6174541497359675	0.6174541497359676
ribosomal large subunit assembly	GO:0000027		15	3	6.619488763081145	-0.7914058521780438	0.43897263076529386	0.9690734098155758	1	1
ribosomal small subunit assembly	GO:0000028		8	4	3.530394006976611	0.12488487969611106	0.9723759215750788	0.5026888792803446	0.6917390330673477	0.6917390330673477
very long-chain fatty acid metabolic process	GO:0000038		24	12	10.591182020929834	0.12488487969611106	0.9723759215750788	0.3520773210666054	0.6174541497359675	0.6174541497359676
transition metal ion transport	GO:0000041		55	26	24.271458797964204	0.06879541304506753	0.9308459450168496	0.36752252257653956	0.6174541497359675	0.6174541497359676
autophagosome assembly	GO:0000045		52	14	22.94756104534797	-0.4941543287101122	0.577454839691158	0.9965913858821348	1	1
urea cycle	GO:0000050		6	4	2.6477955052324584	0.412566952147892	1.2006787484706962	0.24102892825780287	0.4845870409057683	0.4845870409057683
citrulline metabolic process	GO:0000052		5	3	2.206496254360382	0.30720643649006574	1.1142863432341485	0.3909310161327827	0.6174541497359675	0.6174541497359676
argininosuccinate metabolic process	GO:0000053		1	1	0.4412992508720764	0.8180320602560563	1.5566514916168555	0.44129925087207633	0.6174541497359675	0.6174541497359676
ribosomal subunit export from nucleus	GO:0000054		4	3	1.7651970034883055	0.5303499878042756	1.300580590797223	0.2299612188213332	0.4781121860139797	0.47811218601397976
ribosomal large subunit export from nucleus	GO:0000055		3	2	1.3238977526162292	0.412566952147892	1.2006787484706962	0.4123484493071444	0.6174541497359675	0.6174541497359676
ribosomal small subunit export from nucleus	GO:0000056		3	3	1.3238977526162292	0.8180320602560563	1.5566514916168555	0.08592216843766694	0.2482763951415358	0.24827639514153577
mitotic sister chromatid segregation	GO:0000070		110	46	48.54291759592841	-0.05380690904726486	0.8438425903787057	0.5296443660843532	0.7274876691907426	0.7274876691907426
cell cycle checkpoint signaling	GO:0000075		106	52	46.7777205924401	0.1058366847254166	0.9581544205875595	0.11466700999655911	0.31761596049381646	0.31761596049381646
DNA replication checkpoint signaling	GO:0000076		12	8	5.295591010464917	0.412566952147892	1.2006787484706962	0.10030284427172281	0.2835230448783946	0.28352304487839464
DNA damage checkpoint signaling	GO:0000077		72	32	31.773546062789503	0.0071018440397276105	0.8864042544417357	0.3977005494040235	0.6174541497359675	0.6174541497359676
regulation of cyclin-dependent protein serine/threonine kinase activity	GO:0000079		32	23	14.121576027906444	0.4877903733854796	1.2641038781079441	0.0013822774528164817	0.0096569239683633	0.0096569239683633
G1/S transition of mitotic cell cycle	GO:0000082		41	32	18.09326928575513	0.5701958963514752	1.3350957821579161	3.7469190093999337e-6	5.079712652185274e-5	5.079712652185274e-5
G2/M transition of mitotic cell cycle	GO:0000086		33	22	14.562875278778522	0.412566952147892	1.2006787484706962	0.007532143677037618	0.03970815338187222	0.03970815338187222
sulfur amino acid metabolic process	GO:0000096		25	20	11.03248127180191	0.5948885089418466	1.356654052215262	2.7395030868635997e-4	0.002373743850586068	0.002373743850586068
sulfur amino acid biosynthetic process	GO:0000097		11	7	4.85429175959284	0.3660469365129993	1.1621670240217712	0.15885667036990617	0.40497212795577864	0.4049721279557786
sulfur amino acid catabolic process	GO:0000098		7	7	3.0890947561045348	0.8180320602560563	1.5566514916168555	0.0032544063204791767	0.019715278202859482	0.019715278202859482
sulfur amino acid transport	GO:0000101		10	7	4.412992508720764	0.46135711631732396	1.2416600335557715	0.09217815069829077	0.2628854024637749	0.2628854024637749
sulfate assimilation	GO:0000103		2	2	0.8825985017441528	0.8180320602560563	1.5566514916168555	0.19473092872749284	0.4269556829862262	0.4269556829862262
