Description	ID	pathway_genes	pathway_size	observed_val	expected_val	log_observed_expected	asinh_observed_expected	pvalue	p.adjust	qvalue
single strand break repair	GO:0000012		11	6	4.808372040330803	0.2214008955522597	1.046232690050398	0.3341517993248351	0.4486889118707617	0.27603502267067714
regulation of DNA recombination	GO:0000018		89	45	38.90410105358559	0.145562819160755	0.9879489866168553	0.08092169332015031	0.1458085952534536	0.08970196907375234
mitotic spindle elongation	GO:0000022		8	4	3.4969978475133114	0.13438951856262973	0.9795167880107922	0.492892592908492	0.5957482786187351	0.36650647083943577
ribosomal large subunit assembly	GO:0000027		15	3	6.556870964087459	-0.7819012133115253	0.44291156656392555	0.966949309020709	1	0.6152035750555499
ribosomal small subunit assembly	GO:0000028		8	4	3.4969978475133114	0.13438951856262973	0.9795167880107922	0.492892592908492	0.5957482786187351	0.36650647083943577
very long-chain fatty acid metabolic process	GO:0000038		24	12	10.490993542539934	0.13438951856262973	0.9795167880107922	0.3366953140677145	0.45152848409743174	0.277781937656153
transition metal ion transport	GO:0000041		55	26	24.041860201654018	0.07830005191158626	0.9378090681054738	0.3441013718905214	0.46110809951733145	0.2836753513101326
autophagosome assembly	GO:0000045		52	14	22.730486008836525	-0.4846496898435937	0.5824221337093736	0.9959300491190495	1	0.6152035750555499
urea cycle	GO:0000050		6	4	2.6227483856349836	0.4220715910144108	1.2086157371183968	0.234355008523242	0.32816643178516547	0.20188916204745705
citrulline metabolic process	GO:0000052		5	3	2.18562365469582	0.3167110753565844	1.121955752713223	0.3833328589757383	0.483876169385582	0.2976823492901948
mitotic sister chromatid segregation	GO:0000070		110	46	48.083720403308035	-0.0443022701807462	0.8503965992707888	0.5296593732917516	0.629377023386403	0.3871949948451356
cell cycle checkpoint signaling	GO:0000075		106	52	46.33522147955138	0.11534132359193525	0.9652356568714068	0.09883950128349284	0.17305951920771193	0.10646683491397899
DNA replication checkpoint signaling	GO:0000076		12	8	5.245496771269967	0.4220715910144108	1.2086157371183968	0.095149801825494	0.16682108112261934	0.10262892550126733
DNA damage checkpoint signaling	GO:0000077		72	32	31.472980627619805	0.016606482906246268	0.8931647580139768	0.3708303239410881	0.4813662858850663	0.29613825998770466
regulation of cyclin-dependent protein serine/threonine kinase activity	GO:0000079		32	23	13.987991390053246	0.49729501225199824	1.2722141499554696	0.0011803461084618826	0.005085533765181515	0.0031286385534053797
G1/S transition of mitotic cell cycle	GO:0000082		41	32	17.92211396850572	0.5797005352179939	1.3433789549143849	2.9221027707379457e-6	3.083140498584225e-5	1.8967590571275656e-5
G2/M transition of mitotic cell cycle	GO:0000086		33	22	14.42511612099241	0.4220715910144108	1.2086157371183968	0.006575571792743203	0.020846360588381168	0.01282475556086921
