Description	ID	pathway_genes	pathway_size	observed_val	expected_val	log_observed_expected	asinh_observed_expected	pvalue	p.adjust	qvalue
mitochondrial genome maintenance	GO:0000002		21	3	1.688279870092872	0.5749021064195629	1.3391948181215565	0.2359241685847779	1	1
single strand break repair	GO:0000012		11	0	0.8843370748105521	-Inf	0	1	1	1
regulation of DNA recombination	GO:0000018		89	3	7.155090878012649	-0.8692118255891541	0.407878035003978	0.9732534344387865	1	1
mitotic spindle elongation	GO:0000022		8	0	0.6431542362258561	-Inf	0	1	1	1
ribosomal large subunit assembly	GO:0000027		15	0	1.2059141929234802	-Inf	0	1	1	1
ribosomal small subunit assembly	GO:0000028		8	1	0.6431542362258561	0.4413707137950401	1.2248013875418822	0.48860941939912184	1	1
very long-chain fatty acid metabolic process	GO:0000038		24	0	1.9294627086775682	-Inf	0	1	1	1
transition metal ion transport	GO:0000041		55	2	4.42168537405276	-0.7933737491976495	0.43816096052640124	0.9424398441997839	1	1
autophagosome assembly	GO:0000045		52	2	4.180502535468064	-0.7372842825466058	0.46181950185496484	0.929284128344219	1	1
urea cycle	GO:0000050		6	0	0.48236567716939205	-Inf	0	1	1	1
citrulline metabolic process	GO:0000052		5	0	0.40197139764116	-Inf	0	1	1	1
mitotic sister chromatid segregation	GO:0000070		110	3	8.84337074810552	-1.0810558216494304	0.33304603403084326	0.9932725667663991	1	1
cell cycle checkpoint signaling	GO:0000075		106	4	8.521793629992594	-0.7563324775173005	0.4536624800675575	0.9720242270129164	1	1
DNA replication checkpoint signaling	GO:0000076		12	0	0.9647313543387841	-Inf	0	1	1	1
DNA damage checkpoint signaling	GO:0000077		72	3	5.788388126032705	-0.6572415748730694	0.497501005283931	0.927953617228574	1	1
regulation of cyclin-dependent protein serine/threonine kinase activity	GO:0000079		32	2	2.5726169449034244	-0.25177646676490517	0.7149377991038635	0.7404061247713615	1	1
G1/S transition of mitotic cell cycle	GO:0000082		41	1	3.2961654606575124	-1.1927598112294318	0.29891169679062696	0.9679453148366903	1	1
G2/M transition of mitotic cell cycle	GO:0000086		33	2	2.6530112244316566	-0.28254812543165886	0.696232608686998	0.7558052890466943	1	1
sulfur amino acid metabolic process	GO:0000096		25	0	2.0098569882058004	-Inf	0	1	1	1
sulfur amino acid biosynthetic process	GO:0000097		11	0	0.8843370748105521	-Inf	0	1	1	1
