Description	ID	pathway_genes	pathway_size	observed_val	expected_val	log_observed_expected	asinh_observed_expected	pvalue	p.adjust	qvalue
single strand break repair	GO:0000012		11	3	1.9637936923602413	0.42373412887650347	1.2100064045791887	0.31160234960200967	0.5633881767357763	0.5633881767357763
regulation of DNA recombination	GO:0000018		89	16	15.888876238187407	0.0069694655144055635	0.8863103199825092	0.4714997305021007	0.7309911899568787	0.7309911899568787
mitotic spindle elongation	GO:0000022		8	0	1.428213594443812	-Inf	0	1	1	1
ribosomal large subunit assembly	GO:0000027		15	1	2.6779004895821474	-0.985033088095446	0.3652512568436105	0.9225010950385866	1	1
ribosomal small subunit assembly	GO:0000028		8	3	1.428213594443812	0.7421878599950379	1.4877090222201161	0.15781508065050298	0.38899644177195614	0.3889964417719561
very long-chain fatty acid metabolic process	GO:0000038		24	5	4.284640783331436	0.154401195092919	0.9946477092770482	0.4317075682303143	0.686923711862364	0.686923711862364
transition metal ion transport	GO:0000041		55	13	9.818968461801207	0.28063328523583003	1.0929804290428822	0.170793901271609	0.41458270640618783	0.41458270640618783
autophagosome assembly	GO:0000045		52	8	9.283388363884779	-0.1487850638948273	0.7801675667552932	0.7333444175174297	0.8984845946225257	0.8984845946225257
urea cycle	GO:0000050		6	1	1.071160195832859	-0.06874235622129075	0.8336099114605934	0.692758340914938	0.8663593028306767	0.8663593028306767
citrulline metabolic process	GO:0000052		5	0	0.8926334965273826	-Inf	0	1	1	1
mitotic sister chromatid segregation	GO:0000070		110	14	19.637936923602414	-0.3384059231703934	0.6632073916682639	0.9267229650742907	1	1
cell cycle checkpoint signaling	GO:0000075		106	16	18.92383012638051	-0.16783325886552167	0.767800928172547	0.7814616920657271	0.9291119685358774	0.9291119685358774
DNA replication checkpoint signaling	GO:0000076		12	4	2.142320391665718	0.6244048243386545	1.3825868246793698	0.1516217222964182	0.38899644177195614	0.3889964417719561
DNA damage checkpoint signaling	GO:0000077		72	11	12.853922349994308	-0.15575373321092062	0.7756275011959556	0.7268307863181795	0.8972483212110705	0.8972483212110703
regulation of cyclin-dependent protein serine/threonine kinase activity	GO:0000079		32	11	5.712854377775248	0.6551764830054083	1.4098047072580095	0.018885650606518978	0.1086698911948879	0.10866989119488789
G1/S transition of mitotic cell cycle	GO:0000082		41	14	7.319594671524537	0.648502375917715	1.40388596462998	0.009181296695862106	0.06915526052033474	0.06915526052033474
G2/M transition of mitotic cell cycle	GO:0000086		33	11	5.891381077080724	0.6244048243386545	1.3825868246793698	0.023873508333548513	0.12351076578325718	0.12351076578325718
sulfur amino acid metabolic process	GO:0000096		25	9	4.463167482636912	0.7013658654747829	1.4509925088711226	0.02392801160473358	0.12351076578325718	0.12351076578325718
sulfur amino acid biosynthetic process	GO:0000097		11	2	1.9637936923602413	0.01826902076833915	0.8943505542859609	0.6103111256443045	0.8280653069264878	0.8280653069264878
sulfur amino acid catabolic process	GO:0000098		7	2	1.2496868951383353	0.47025414451139635	1.249195771899083	0.36354085473358677	0.6157842120661962	0.6157842120661963
sulfur amino acid transport	GO:0000101		10	0	1.785266993054765	-Inf	0	1	1	1
establishment of mitotic spindle orientation	GO:0000132		23	4	4.106114084025959	-0.026182741802494882	0.8629812996278561	0.6079639729419632	0.8280653069264878	0.8280653069264878
rRNA modification	GO:0000154		18	1	3.213480587498577	-1.1673546448894006	0.30637356715024644	0.9710359382169387	1	1
MAPK cascade	GO:0000165		89	31	15.888876238187407	0.6683679477597706	1.4215278121842745	9.36553564937627e-5	0.0035992368754719753	0.0035992368754719753
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	GO:0000184		25	3	4.463167482636912	-0.39724642319332687	0.6297169957916176	0.8492681756384161	0.9695136480347486	0.9695136480347486
protein polyubiquitination	GO:0000209		193	34	34.455652965956965	-0.013312551281960038	0.8719915897407463	0.510381023537119	0.7664449768747665	0.7664449768747666
spliceosomal tri-snRNP complex assembly	GO:0000244		11	2	1.9637936923602413	0.01826902076833915	0.8943505542859609	0.5560004390911596	0.7996018333283134	0.7996018333283134
spliceosomal complex assembly	GO:0000245		39	12	6.962541272913582	0.5443621166651182	1.3126788948965007	0.034884298296852835	0.15943214455983523	0.15943214455983523
mitochondrial fission	GO:0000266		9	0	1.6067402937492885	-Inf	0	1	1	1
polysaccharide biosynthetic process	GO:0000271		10	7	1.785266993054765	1.3663421690680317	2.075367575613969	4.1548703253372916e-4	0.00998876359036568	0.009988763590365681
polysaccharide catabolic process	GO:0000272		5	2	0.8926334965273826	0.8067263811326091	1.5463177785165048	0.21941419001579537	0.4622711926503252	0.46227119265032524
nuclear division	GO:0000280		153	25	27.314584993737903	-0.08854498351747042	0.8201680851536935	0.653584724958509	0.8560008897777486	0.8560008897777487
mitotic cytokinesis	GO:0000281		63	12	11.247182056245018	0.0647890364032319	0.9279200655292096	0.4058096061009142	0.6720942359614072	0.6720942359614072
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	GO:0000288		12	0	2.142320391665718	-Inf	0	1	1	1
nuclear-transcribed mRNA poly(A) tail shortening	GO:0000289		6	0	1.071160195832859	-Inf	0	1	1	1
retrograde transport, vesicle recycling within Golgi	GO:0000301		8	2	1.428213594443812	0.3367227518868736	1.1381859075757588	0.432116112761282	0.686923711862364	0.686923711862364
response to reactive oxygen species	GO:0000302		82	31	14.639189343049074	0.7502850702276572	1.4950254598003965	1.4977906020100603e-5	9.857334399478708e-4	9.85733439947871e-4
response to superoxide	GO:0000303		11	3	1.9637936923602413	0.42373412887650347	1.2100064045791887	0.31160234960200967	0.5633881767357763	0.5633881767357763
response to oxygen radical	GO:0000305		12	3	2.142320391665718	0.3367227518868736	1.1381859075757588	0.3649292253705396	0.6157842120661962	0.6157842120661963
protein deneddylation	GO:0000338		10	2	1.785266993054765	0.11357920057266375	0.9639205634786118	0.49649894333368466	0.7490163142268911	0.749016314226891
RNA splicing, via transesterification reactions	GO:0000375		186	42	33.205966070818626	0.23494005757693132	1.0568256698244636	0.026122959927597254	0.13174433392979673	0.13174433392979673
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	GO:0000377		181	42	32.313332574291245	0.2621897000243068	1.0783126994793004	0.018110867580758545	0.10669928233301594	0.10669928233301595
alternative mRNA splicing, via spliceosome	GO:0000380		12	3	2.142320391665718	0.3367227518868736	1.1381859075757588	0.3649292253705396	0.6157842120661962	0.6157842120661963
regulation of alternative mRNA splicing, via spliceosome	GO:0000381		38	6	6.784014573608106	-0.12280957749156646	0.7972505038930682	0.6950714085128337	0.8688392606410421	0.8688392606410421
spliceosomal snRNP assembly	GO:0000387		32	9	5.712854377775248	0.45450578754325704	1.235869961534332	0.07291330588230772	0.24359795742175577	0.24359795742175577
mRNA 3'-splice site recognition	GO:0000389		5	2	0.8926334965273826	0.8067263811326091	1.5463177785165048	0.21941419001579537	0.4622711926503252	0.46227119265032524
RNA splicing, via endonucleolytic cleavage and ligation	GO:0000394		8	1	1.428213594443812	-0.35642442867307167	0.6528102392308572	0.7927010375428607	0.9291119685358774	0.9291119685358774
mRNA splicing, via spliceosome	GO:0000398		181	42	32.313332574291245	0.2621897000243068	1.0783126994793004	0.018110867580758545	0.10669928233301594	0.10669928233301595
autophagy of mitochondrion	GO:0000422		31	7	5.534327678469771	0.23494005757693132	1.0568256698244636	0.3111356878731407	0.5633881767357763	0.5633881767357763
mitophagy	GO:0000423		25	7	4.463167482636912	0.4500514371938768	1.2321116808609078	0.14391132501369575	0.3765870408534334	0.3765870408534334
pexophagy	GO:0000425		6	0	1.071160195832859	-Inf	0	1	1	1
