Description	ID	pathway_genes	pathway_size	observed_val	expected_val	log_observed_expected	asinh_observed_expected	pvalue	p.adjust	qvalue
mitochondrial genome maintenance	GO:0000002		21	14	9.291875107814388	0.40991695562669855	1.1984699112489092	0.0323645463574332	0.12910772770331322	0.12910772770331322
single strand break repair	GO:0000012		11	6	4.867172675521822	0.20924626016454734	1.036770591044097	0.3476053769285375	0.6170830320991297	0.6170830320991298
alpha-glucoside transport	GO:0000017		2	2	0.8849404864585131	0.815382063734863	1.5542275968842665	0.195765730385618	0.4264623584511971	0.42646235845119707
regulation of DNA recombination	GO:0000018		89	45	39.379851647403825	0.13340818377304306	0.9787781406649118	0.08066330197677805	0.24961235484506478	0.24961235484506478
regulation of mitotic recombination	GO:0000019		3	3	1.3274107296877695	0.815382063734863	1.5542275968842665	0.08660795697605148	0.24961235484506478	0.24961235484506478
mitotic spindle elongation	GO:0000022		8	4	3.5397619458340523	0.12223488317491767	0.9703902493659621	0.5054344093070444	0.6928712463331689	0.6928712463331689
maltose metabolic process	GO:0000023		2	2	0.8849404864585131	0.815382063734863	1.5542275968842665	0.195765730385618	0.4264623584511971	0.42646235845119707
maltose catabolic process	GO:0000025		1	1	0.44247024322925654	0.815382063734863	1.5542275968842665	0.442470243229257	0.6170830320991297	0.6170830320991298
ribosomal large subunit assembly	GO:0000027		15	3	6.637053648438847	-0.7940558486992374	0.43787993400483616	0.9696484438036564	1	1
ribosomal small subunit assembly	GO:0000028		8	4	3.5397619458340523	0.12223488317491767	0.9703902493659621	0.5054344093070444	0.6928712463331689	0.6928712463331689
very long-chain fatty acid metabolic process	GO:0000038		24	12	10.619285837502156	0.12223488317491767	0.9703902493659621	0.35643297090557413	0.6170830320991297	0.6170830320991298
transition metal ion transport	GO:0000041		55	29	24.33586337760911	0.1753447084888661	1.0106210473083672	0.1289581887353903	0.34112998493086555	0.34112998493086555
autophagosome assembly	GO:0000045		52	14	23.00845264792134	-0.4968043252313059	0.5760760192557385	0.9967587068136421	1	1
urea cycle	GO:0000050		6	4	2.654821459375539	0.40991695562669855	1.1984699112489092	0.24291719893684655	0.4857941730709971	0.48579417307099704
citrulline metabolic process	GO:0000052		5	3	2.2123512161462826	0.3045564399688723	1.112152573165488	0.39306786695094487	0.6170830320991297	0.6170830320991298
argininosuccinate metabolic process	GO:0000053		1	1	0.44247024322925654	0.815382063734863	1.5542275968842665	0.442470243229257	0.6170830320991297	0.6170830320991298
ribosomal subunit export from nucleus	GO:0000054		4	3	1.7698809729170262	0.527699991283082	1.2982974106642318	0.23149248955710658	0.47809254961036	0.47809254961036
ribosomal large subunit export from nucleus	GO:0000055		3	2	1.3274107296877695	0.40991695562669855	1.1984699112489092	0.4140812772047515	0.6170830320991297	0.6170830320991298
ribosomal small subunit export from nucleus	GO:0000056		3	3	1.3274107296877695	0.815382063734863	1.5542275968842665	0.08660795697605148	0.24961235484506478	0.24961235484506478
mitotic sister chromatid segregation	GO:0000070		110	46	48.67172675521822	-0.056456905568458234	0.8420210924110495	0.6393056260102716	0.8409895369949063	0.8409895369949063
cell cycle checkpoint signaling	GO:0000075		106	50	46.90184578230119	0.06396597505094195	0.9273196568839465	0.24465242554148325	0.4857941730709971	0.48579417307099704
DNA replication checkpoint signaling	GO:0000076		12	7	5.309642918751078	0.2763855630021759	1.089593520663409	0.24344933518599962	0.4857941730709971	0.48579417307099704
DNA damage checkpoint signaling	GO:0000077		72	30	31.857857512506467	-0.060086673619036926	0.839530275525907	0.6371095479337398	0.8381993593178432	0.8381993593178433
regulation of cyclin-dependent protein serine/threonine kinase activity	GO:0000079		32	24	14.15904778333621	0.527699991283082	1.2982974106642318	4.0633131157927487e-4	0.0033823599714247984	0.0033823599714247984
G1/S transition of mitotic cell cycle	GO:0000082		41	35	18.141279972399516	0.6571580585199689	1.4115636314997768	6.05601103792853e-8	1.110865341620683e-6	1.110865341620683e-6
