Description	ID	pathway_genes	pathway_size	observed_val	expected_val	log_observed_expected	asinh_observed_expected	pvalue	p.adjust	qvalue
mitochondrial genome maintenance	GO:0000002		21	14	9.20716768275312	0.41907505294654607	1.2061109709634568	0.029720974680259957	0.06705662061852509	0.04200067723288064
single strand break repair	GO:0000012		11	6	4.822802119537348	0.21840435748439502	1.0438957505874853	0.33743690710763435	0.4536661150208681	0.28415216711983304
regulation of DNA recombination	GO:0000018		89	45	39.02085351262036	0.14256628109289055	0.9856836000459351	0.06988236579325084	0.13072170483055606	0.08187707762898058
mitotic spindle elongation	GO:0000022		8	4	3.507492450572617	0.13139298049476525	0.9772622896786285	0.49597234484429986	0.6028784418404307	0.3776107804544903
ribosomal large subunit assembly	GO:0000027		15	3	6.5765483448236575	-0.78489775137939	0.4416663859880548	0.9676296628707879	1	0.6263464643083655
ribosomal small subunit assembly	GO:0000028		8	4	3.507492450572617	0.13139298049476525	0.9772622896786285	0.49597234484429986	0.6028784418404307	0.3776107804544903
very long-chain fatty acid metabolic process	GO:0000038		24	12	10.52247735171785	0.13139298049476525	0.9772622896786285	0.3415033449323248	0.45867328797196544	0.2872883921939333
transition metal ion transport	GO:0000041		55	29	24.11401059768674	0.18450280580871378	1.0176495646607866	0.11659192892676538	0.1933629868851049	0.12111222316359029
autophagosome assembly	GO:0000045		52	14	22.79870092872201	-0.4876462279114582	0.5808523848939359	0.9961494762232829	1	0.6263464643083655
urea cycle	GO:0000050		6	4	2.6306193379294625	0.41907505294654623	1.2061109709634568	0.23644234396443858	0.33111579482749914	0.20739320736685823
citrulline metabolic process	GO:0000052		5	3	2.1921827816078854	0.3137145372887199	1.1195350658740946	0.38571712132548475	0.4884535824483058	0.305941174345251
mitotic sister chromatid segregation	GO:0000070		110	46	48.22802119537348	-0.04729880824861063	0.8483267837941804	0.6072663158360871	0.7128471141932872	0.446489269567387
cell cycle checkpoint signaling	GO:0000075		106	50	46.47427497008718	0.0731240723707894	0.9340133295041116	0.2191969181512029	0.32672403336434164	0.20464244310232382
DNA replication checkpoint signaling	GO:0000076		12	7	5.261238675858925	0.28554366032202355	1.0969022178801164	0.23449288308533445	0.33111579482749914	0.20739320736685823
DNA damage checkpoint signaling	GO:0000077		72	30	31.567432055153553	-0.050928576299189426	0.8458239205036425	0.6112154352244678	0.7128471141932872	0.446489269567387
regulation of cyclin-dependent protein serine/threonine kinase activity	GO:0000079		32	24	14.029969802290468	0.5368580886029296	1.306194425802268	3.4376532496585034e-4	0.0018754968848340339	0.0011747108426371508
G1/S transition of mitotic cell cycle	GO:0000082		41	35	17.97589880918466	0.6663161558398165	1.4197022773177295	4.577026763561968e-8	8.021762919275436e-7	5.024402842008122e-7
G2/M transition of mitotic cell cycle	GO:0000086		33	22	14.468406358612045	0.41907505294654623	1.2061109709634568	0.006863967906813149	0.021461695996670544	0.013442457405575597
sulfur amino acid metabolic process	GO:0000096		25	20	10.960913908039428	0.6013966097405008	1.3623569552201953	2.4612433953279973e-4	0.0013997506181488918	8.767288505910074e-4
sulfur amino acid biosynthetic process	GO:0000097		11	7	4.822802119537348	0.3725550373116533	1.1675206609815167	0.15414199477882062	0.2368663375354771	0.14836039302901796
sulfur amino acid catabolic process	GO:0000098		7	7	3.06905589425104	0.8245401610547105	1.562608746695961	0.0031094348791195817	0.011259891463010343	0.007052593206352477
sulfur amino acid transport	GO:0000101		10	7	4.384365563215771	0.4678652171159782	1.2471705031201776	0.08911806881564546	0.1577881158990778	0.09883002850326597
establishment of mitotic spindle orientation	GO:0000132		23	12	10.084040795396275	0.17395259491356105	1.009554969007705	0.2743812932948636	0.3787662486332956	0.237238900630808
rRNA modification	GO:0000154		18	2	7.891858013788388	-1.3726844162815088	0.25078857830771883	0.999538093582059	1	0.6263464643083655
MAPK cascade	GO:0000165		89	77	39.02085351262036	0.6797092131762545	1.4316324447610886	5.995525173109078e-17	7.7644268669359e-15	4.8632213154861804e-15
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	GO:0000184		25	12	10.960913908039428	0.09057098597451006	0.9468439741597391	0.4111014043292993	0.5180302705399512	0.32446642835740447
protein polyubiquitination	GO:0000209		193	79	84.61825537006439	-0.06870217538315364	0.833637331544557	0.739361017830273	0.8204413694648777	0.5138805509366395
spliceosomal tri-snRNP complex assembly	GO:0000244		11	7	4.822802119537348	0.3725550373116533	1.1675206609815167	0.08911806881564546	0.1577881158990778	0.09883002850326597
spliceosomal complex assembly	GO:0000245		39	29	17.09902569654151	0.528274344911538	1.2987921290470226	1.0725182230030189e-4	7.048915722996556e-4	4.415063440306539e-4
mitochondrial fission	GO:0000266		9	2	3.945929006894194	-0.6795372357215637	0.48733157219865897	0.928383962293474	0.9780146558769989	0.612576021750321
polysaccharide biosynthetic process	GO:0000271		10	9	4.384365563215771	0.7191796453968844	1.4669795010378661	0.003616202327137448	0.01251400479984106	0.007838102660718363
polysaccharide catabolic process	GO:0000272		5	5	2.1921827816078854	0.8245401610547105	1.562608746695961	0.016188878464778112	0.04034431004024397	0.0252695159486673
nuclear division	GO:0000280		153	68	67.0807931172013	0.013609944838381908	0.8910299408555232	0.33106625836995685	0.4490410580774099	0.28125527905607306
mitotic cytokinesis	GO:0000281		63	31	27.621503048259356	0.1153926391483242	0.9652739696628181	0.16578163918346137	0.2500244462713451	0.1566019279127139
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	GO:0000288		12	2	5.261238675858925	-0.9672193081733444	0.3715319664520866	0.9832330302931134	1	0.6263464643083655
nuclear-transcribed mRNA poly(A) tail shortening	GO:0000289		6	2	2.6306193379294625	-0.2740721276133991	0.701348698074467	0.8217729427535516	0.8919587719059496	0.5586752230921234
retrograde transport, vesicle recycling within Golgi	GO:0000301		8	2	3.507492450572617	-0.5617542000651801	0.5431111398251534	0.928383962293474	0.9780146558769989	0.612576021750321
response to reactive oxygen species	GO:0000302		82	64	35.95179761836932	0.5767039971501294	1.3407654675676253	2.528119116059261e-10	8.421306099022246e-9	5.274655299981058e-9
response to superoxide	GO:0000303		11	9	4.822802119537348	0.6238694655925594	1.3821149184758175	0.012097369456674693	0.033459614438445785	0.020957311200641655
response to oxygen radical	GO:0000305		12	9	5.261238675858925	0.5368580886029297	1.3061944258022682	0.02956805797509085	0.06688042805584657	0.04189031964420951
protein deneddylation	GO:0000338		10	7	4.384365563215771	0.4678652171159782	1.2471705031201776	0.042814011764186616	0.08804123661477485	0.055144317267000434
RNA splicing, via transesterification reactions	GO:0000375		186	103	81.54919947581334	0.23352247557114517	1.0557139567154619	5.8933687537441726e-5	4.2710995440986484e-4	2.6751880981552606e-4
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	GO:0000377		181	101	79.35701669420546	0.2411636466301443	1.061713572033157	5.7434591742181215e-5	4.1730155942152865e-4	2.6137535629404174e-4
alternative mRNA splicing, via spliceosome	GO:0000380		12	10	5.261238675858925	0.642218604260756	1.3983211235587036	0.006273806617202635	0.02025672780737973	0.012687729840609242
regulation of alternative mRNA splicing, via spliceosome	GO:0000381		38	21	16.66058914021993	0.23147643905174775	1.054110460108426	0.10486189833099877	0.1817041553309035	0.11380975524164945
spliceosomal snRNP assembly	GO:0000387		32	21	14.029969802290468	0.403326695978407	1.1929845366490475	0.003408473756876984	0.012057813164994238	0.007552368643185004
mRNA 3'-splice site recognition	GO:0000389		5	5	2.1921827816078854	0.8245401610547105	1.562608746695961	0.016188878464778112	0.04034431004024397	0.0252695159486673
RNA splicing, via endonucleolytic cleavage and ligation	GO:0000394		8	3	3.507492450572617	-0.15628909195701576	0.7752794701674871	0.759596592816444	0.8373518041674387	0.5244723419225061
mRNA splicing, via spliceosome	GO:0000398		181	101	79.35701669420546	0.2411636466301443	1.061713572033157	5.7434591742181215e-5	4.1730155942152865e-4	2.6137535629404174e-4
autophagy of mitochondrion	GO:0000422		31	14	13.59153324596889	0.02961028618482294	0.902465434603489	0.5101954882426722	0.6193251252705865	0.38791210247056745
mitophagy	GO:0000423		25	13	10.960913908039428	0.17061369364804657	1.0070005477708273	0.26610544725226937	0.3676258407042557	0.23026114551350094
