names	GSE132283_MTB_control_2h_blood_macrophage_dn.tsv	GSE132283_MTB_control_48h_blood_macrophage_dn.tsv	GSE141656_MTB_control_blood_blood_dn.tsv	GSE143627_MTB_control_blood_PBMC_macrophage_dn.tsv	GSE143731_MTB_control_blood_monocyte_derived_macrophages_dn.tsv	GSE148171_MTB_control_blood_PBMC_dn.tsv	GSE148731_MTB_24h_blood_CD14plus_monocyte_derived_macrophages_MF1_dn.tsv	GSE148731_MTB_24h_blood_CD14plus_monocyte_derived_macrophages_MF2_dn.tsv	GSE148731_MTB_4h_blood_CD14plus_monocyte_derived_macrophages_MF1_dn.tsv	GSE164287_MTB_control_blood_monocyte_derived_macrophages_dn.tsv	GSE165708_MTB_control_BAL_bronchoalveolar_lavage_dn.tsv	GSE174566_MTB_control_blood_PBMC_dn.tsv	GSE183912_MTB_control_blood_marcophages_dn.tsv	GSE193777_MTB_control_blood_dn.tsv	GSE198557_MTB_control_blood_PBMC_dn.tsv	GSE211974_MTB_control_blood_THP-1_dn.tsv	GSE236156_MTB_control_blood_monocyte_derived_macrophage_dn.tsv	GSE256184_MTB_4control_48h_HEPG2_HepG2_dn.tsv	GSE256184_MTB_control_0h_HEPG2_HepG2_dn.tsv	GSE64179_MTB_control_blood_dendritic_cells_dn.tsv	GSE64182_MTB_control_blood_dendritic_cells_dn.tsv	GSE84076_MTB_control_blood_dn.tsv
GSE132283_MTB_control_2h_blood_macrophage_dn.tsv	1	0.12927756653992395	0.21965317919075145	0.07874015748031496	0.03389830508474576	0.02912621359223301	0.11049723756906077	0.10526315789473684	0.07017543859649122	0.045454545454545456	0	0.15503875968992248	0	0.0728476821192053	0.030303030303030304	0.08695652173913043	0.15591397849462366	0.07119741100323625	0.07878787878787878	0.10408921933085502	0.18333333333333332	0
GSE132283_MTB_control_48h_blood_macrophage_dn.tsv	0.12927756653992395	1	0.22324159021406728	0.17266187050359713	0.016260162601626018	0.09665427509293681	0.3356164383561644	0.29411764705882354	0.02459016393442623	0.10847457627118644	0.00823045267489712	0.16151202749140894	0.004098360655737705	0.12861736334405144	0.06204379562043796	0.10305343511450382	0.23547400611620795	0.25301204819277107	0.12232415902140673	0.2558139534883721	0.15734265734265734	0.008032128514056224
GSE141656_MTB_control_blood_blood_dn.tsv	0.21965317919075145	0.22324159021406728	1	0.1650485436893204	0.031446540880503145	0.0663265306122449	0.1968503937007874	0.2876712328767123	0.025	0.13679245283018868	0.006329113924050633	0.1943127962085308	0	0.0642570281124498	0.01990049751243781	0.10326086956521739	0.39473684210526316	0.16042780748663102	0.124	0.2422360248447205	0.23115577889447236	0.006097560975609756
GSE143627_MTB_control_blood_PBMC_macrophage_dn.tsv	0.07874015748031496	0.17266187050359713	0.1650485436893204	1	0	0.0546875	0.29213483146067415	0.17054263565891473	0.034482758620689655	0.030864197530864196	0.024096385542168676	0.07228915662650602	0.011904761904761904	0.055248618784530384	0.015503875968992248	0.10256410256410256	0.14553990610328638	0.12852664576802508	0.045454545454545456	0.09395973154362416	0.14	0
GSE143731_MTB_control_blood_monocyte_derived_macrophages_dn.tsv	0.03389830508474576	0.016260162601626018	0.031446540880503145	0	1	0.017241379310344827	0.019867549668874173	0.02262443438914027	0	0.03409090909090909	0	0.04081632653061224	0	0	0.018518518518518517	0.019230769230769232	0.01818181818181818	0.0070921985815602835	0.015503875968992248	0.02880658436213992	0.03260869565217391	0
GSE148171_MTB_control_blood_PBMC_dn.tsv	0.02912621359223301	0.09665427509293681	0.0663265306122449	0.0546875	0.017241379310344827	1	0.06989247311827956	0.07114624505928854	0	0.007407407407407408	0	0.035211267605633804	0	0.08843537414965986	0.2345679012345679	0.031578947368421054	0.08121827411167512	0.07868852459016394	0.017341040462427744	0.09665427509293681	0.029411764705882353	0.01694915254237288
GSE148731_MTB_24h_blood_CD14plus_monocyte_derived_macrophages_MF1_dn.tsv	0.11049723756906077	0.3356164383561644	0.1968503937007874	0.29213483146067415	0.019867549668874173	0.06989247311827956	1	0.3212996389891697	0.03355704697986577	0.12682926829268293	0.013605442176870748	0.1523809523809524	0.006756756756756757	0.0759493670886076	0.03723404255319149	0.09659090909090909	0.232	0.1745152354570637	0.09274193548387097	0.19631901840490798	0.09813084112149532	0.006493506493506494
GSE148731_MTB_24h_blood_CD14plus_monocyte_derived_macrophages_MF2_dn.tsv	0.10526315789473684	0.29411764705882354	0.2876712328767123	0.17054263565891473	0.02262443438914027	0.07114624505928854	0.3212996389891697	1	0.02262443438914027	0.12222222222222222	0.0091324200913242	0.22178988326848248	0	0.12758620689655173	0.03088803088803089	0.09504132231404959	0.3333333333333333	0.23383084577114427	0.15488215488215487	0.26575342465753427	0.21825396825396826	0.004424778761061947
GSE148731_MTB_4h_blood_CD14plus_monocyte_derived_macrophages_MF1_dn.tsv	0.07017543859649122	0.02459016393442623	0.025	0.034482758620689655	0	0	0.03355704697986577	0.02262443438914027	1	0.02247191011235955	0	0.030303030303030304	0	0.008771929824561403	0	0.06	0.024390243902439025	0.010676156583629894	0.031496062992125984	0.008064516129032258	0.021505376344086023	0
GSE164287_MTB_control_blood_monocyte_derived_macrophages_dn.tsv	0.045454545454545456	0.10847457627118644	0.13679245283018868	0.030864197530864196	0.03409090909090909	0.007407407407407408	0.12682926829268293	0.12222222222222222	0.02247191011235955	1	0	0.16233766233766234	0	0.03225806451612903	0.023255813953488372	0.056910569105691054	0.09865470852017937	0.0712166172106825	0.07216494845360824	0.15547703180212014	0.08860759493670886	0
GSE165708_MTB_control_BAL_bronchoalveolar_lavage_dn.tsv	0	0.00823045267489712	0.006329113924050633	0.024096385542168676	0	0	0.013605442176870748	0.0091324200913242	0	0	1	0	0	0	0	0.043478260869565216	0.012422360248447204	0.0035971223021582736	0	0	0	0
GSE174566_MTB_control_blood_PBMC_dn.tsv	0.15503875968992248	0.16151202749140894	0.1943127962085308	0.07228915662650602	0.04081632653061224	0.035211267605633804	0.1523809523809524	0.22178988326848248	0.030303030303030304	0.16233766233766234	0	1	0	0.0797872340425532	0.06716417910447761	0.06818181818181818	0.16363636363636364	0.10385756676557864	0.12886597938144329	0.15358361774744028	0.22	0
GSE183912_MTB_control_blood_marcophages_dn.tsv	0	0.004098360655737705	0	0.011904761904761904	0	0	0.006756756756756757	0	0	0	0	0	1	0.009174311926605505	0	0.02127659574468085	0.006172839506172839	0	0	0	0	0
GSE193777_MTB_control_blood_dn.tsv	0.0728476821192053	0.12861736334405144	0.0642570281124498	0.055248618784530384	0	0.08843537414965986	0.0759493670886076	0.12758620689655173	0.008771929824561403	0.03225806451612903	0	0.0797872340425532	0.009174311926605505	1	0.08333333333333333	0.04054054054054054	0.06746031746031746	0.14583333333333334	0.07407407407407407	0.09345794392523364	0.07103825136612021	0.02654867256637168
GSE198557_MTB_control_blood_PBMC_dn.tsv	0.030303030303030304	0.06204379562043796	0.01990049751243781	0.015503875968992248	0.018518518518518517	0.2345679012345679	0.03723404255319149	0.03088803088803089	0	0.023255813953488372	0	0.06716417910447761	0	0.08333333333333333	1	0.044444444444444446	0.024509803921568627	0.06209150326797386	0.01775147928994083	0.05054151624548736	0.046153846153846156	0.037037037037037035
GSE211974_MTB_control_blood_THP-1_dn.tsv	0.08695652173913043	0.10305343511450382	0.10326086956521739	0.10256410256410256	0.019230769230769232	0.031578947368421054	0.09659090909090909	0.09504132231404959	0.06	0.056910569105691054	0.043478260869565216	0.06818181818181818	0.02127659574468085	0.04054054054054054	0.044444444444444446	1	0.13114754098360656	0.09121621621621621	0.04294478527607362	0.0625	0.072	0.038461538461538464
GSE236156_MTB_control_blood_monocyte_derived_macrophage_dn.tsv	0.15591397849462366	0.23547400611620795	0.39473684210526316	0.14553990610328638	0.01818181818181818	0.08121827411167512	0.232	0.3333333333333333	0.024390243902439025	0.09865470852017937	0.012422360248447204	0.16363636363636364	0.006172839506172839	0.06746031746031746	0.024509803921568627	0.13114754098360656	1	0.1837837837837838	0.14457831325301204	0.24307692307692308	0.18571428571428572	0.011976047904191617
GSE256184_MTB_4control_48h_HEPG2_HepG2_dn.tsv	0.07119741100323625	0.25301204819277107	0.16042780748663102	0.12852664576802508	0.0070921985815602835	0.07868852459016394	0.1745152354570637	0.23383084577114427	0.010676156583629894	0.0712166172106825	0.0035971223021582736	0.10385756676557864	0	0.14583333333333334	0.06209150326797386	0.09121621621621621	0.1837837837837838	1	0.18991097922848665	0.21212121212121213	0.09939759036144578	0.010638297872340425
GSE256184_MTB_control_0h_HEPG2_HepG2_dn.tsv	0.07878787878787878	0.12232415902140673	0.124	0.045454545454545456	0.015503875968992248	0.017341040462427744	0.09274193548387097	0.15488215488215487	0.031496062992125984	0.07216494845360824	0	0.12886597938144329	0	0.07407407407407407	0.01775147928994083	0.04294478527607362	0.14457831325301204	0.18991097922848665	1	0.13622291021671826	0.06532663316582915	0
GSE64179_MTB_control_blood_dendritic_cells_dn.tsv	0.10408921933085502	0.2558139534883721	0.2422360248447205	0.09395973154362416	0.02880658436213992	0.09665427509293681	0.19631901840490798	0.26575342465753427	0.008064516129032258	0.15547703180212014	0	0.15358361774744028	0	0.09345794392523364	0.05054151624548736	0.0625	0.24307692307692308	0.21212121212121213	0.13622291021671826	1	0.1906474820143885	0.004
GSE64182_MTB_control_blood_dendritic_cells_dn.tsv	0.18333333333333332	0.15734265734265734	0.23115577889447236	0.14	0.03260869565217391	0.029411764705882353	0.09813084112149532	0.21825396825396826	0.021505376344086023	0.08860759493670886	0	0.22	0	0.07103825136612021	0.046153846153846156	0.072	0.18571428571428572	0.09939759036144578	0.06532663316582915	0.1906474820143885	1	0
GSE84076_MTB_control_blood_dn.tsv	0	0.008032128514056224	0.006097560975609756	0	0	0.01694915254237288	0.006493506493506494	0.004424778761061947	0	0	0	0	0	0.02654867256637168	0.037037037037037035	0.038461538461538464	0.011976047904191617	0.010638297872340425	0	0.004	0	1
