GeneID	GSE84076_MTB_control_blood_dn.tsv	GSE148171_MTB_control_blood_PBMC_dn.tsv	GSE198557_MTB_control_blood_PBMC_dn.tsv	GSE132283_MTB_control_2h_blood_macrophage_dn.tsv	GSE132283_MTB_control_48h_blood_macrophage_dn.tsv	GSE143627_MTB_control_PBMC_macrophage_dn.tsv	GSE148731_MTB_4h_blood_CD14plus_monocyte_derived_macrophages_MF1_dn.tsv	GSE148731_MTB_24h_blood_CD14plus_monocyte_derived_macrophages_MF2_dn.tsv	GSE148731_MTB_24h_blood_CD14plus_monocyte_derived_macrophages_MF1_dn.tsv	GSE174566_MTB_control_blood_PBMC_dn.tsv	GSE193777_MTB_control_blood_dn.tsv	GSE256184_MTB_control_0h_HEPG2_HepG2_dn.tsv	GSE256184_MTB_4control_48h_HEPG2_HepG2_dn.tsv	GSE64179_MTB_control_blood_dendritic_cells_dn.tsv	GSE64182_MTB_control_blood_dendritic_cells_dn.tsv	GSE141656_MTB_control_blood_blood_dn.tsv	GSE143731_MTB_control_blood_monocyte_derived_macrophages_dn.tsv	GSE164287_MTB_control_blood_monocyte_derived_macrophages_dn.tsv	GSE165708_MTB_control_BAL_bronchoalveolar_lavage_dn.tsv	GSE183912_MTB_control_blood_marcophages_dn.tsv	GSE211974_MTB_control_blood_THP-1_dn.tsv	GSE236156_MTB_control_blood_monocyte_derived_macrophage_dn.tsv
10007	0	0	0	0	-0.365780652045361	0	0	0	0	0	0	0	-0.32835734716365983	0	0	0	0	0	0	0	0	0
1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10013	0	0	0	0	0	0	0	-0.23942373079344495	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.343753775928915
10038	0	0	0	-0.9528684948572947	0	0	0	-0.3817816476262568	0	0	0	0	0	-1.014212650213173	0	-0.9372822373800848	0	0	0	0	0	0
10046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10051	0	0	0	-0.5673664357707109	0	-1.1331057338541142	0	0	0	0	-0.7425337939394069	0	-0.2096821275014177	0	-0.870485998518507	-0.5281323929181942	0	0	0	0	0	0
10057	0	0	0	-1.0545680743989092	-2.03460678909253	-0.988001156951142	0	-1.9011071116726468	-0.4328719948508495	-0.8121781038349319	0	-0.4758997776711158	-0.5298961750963858	-1.2551774324387714	-1.502854879899041	-1.3524639615705023	0	0	0	0	0	-1.8399963956886909
10058	0	0	0	0	0	0	0	0	0	0	0	-0.22935575050981097	-0.34877773975248766	0	-1.529505400964366	0	0	0	0	0	0	0
10059	0	0	0	0	0	0	0	0	0	0	-0.4281839387422857	0	0	0	0	0	0	0	0	0	0	0
10099	0	0	0	0	0	0	0	0	0	0	-0.40362422583279617	-0.20656123145934732	0	0	0	0	0	0	0	0	0	0
10112	0	0	0	0	-1.3921473679393173	-2.839418986304637	0	0	-1.641872802615979	0	0	0	-0.4529741547747615	0	0	0	0	0	0	0	0	0
10123	0	0	0	-1.2667079409404756	0	0	0	-3.266545696340443	0	-0.44910481958137694	-0.8438396062863678	0	0	0	0	-1.969188139365812	0	0	0	0	0	0
10131	0	-1.403269888326625	0	0	0	0	0	0	0	0	0	0	-0.39701861724705073	-0.5619401194113735	0	0	0	0	0	0	0	0
10146	0	0	0	0	0	0	0	0	0	0	-0.5231437106202392	0	-0.4237989972026099	0	0	0	0	0	0	0	0	0
10150	0	0	0	-1.449459618091997	-1.0459063983370656	0	0	0	0	-0.6055599564603783	-0.6511363094401413	0	0	0	-1.4794717090142044	-1.9003134201013143	0	0	0	0	0	-0.9439999970091332
10153	0	0	0	0	0	0	0	0	0	0	-0.6437093848608205	0	0	-0.3649764236442002	0	0	0	0	0	0	0	0
10165	0	0	0	0	0	0	0	0	0	0	0	0	-0.4279458153263216	0	0	0	0	0	0	0	0	0
1017	0	0	0	0	0	-0.7958645748552783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10174	0	0	0	0	0	0	0	-1.00821164069416	0	-0.6500566343587513	0	0	0	-0.5996948432088034	-0.6455610232271607	0	0	0	0	0	0	-0.8809456075628396
10180	0	-1.0473997654785514	-0.8125349944525327	0	0	0	0	-0.459877271684484	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1019	0	-1.00909162405855	0	0	0	0	0	-0.218398110877572	-0.2178802573389565	0	0	0	0	0	0	0	0	0	0	0	0	0
10190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102	0	0	0	0	-0.7333330779844293	0	0	0	-0.2964771725519716	0	0	0	0	0	-1.072846375929629	-0.4922261122916796	0	0	0	0	0	0
10206	0	0	0	0	0	0	0	0	0	0	-0.480498340731781	0	-0.4774342604540386	0	0	0	0	0	0	0	0	0
1021	0	0	0	0	-1.1263559966276988	0	0	-1.2383599217223498	0	0	-0.5061990068203767	0	0	0	0	0	0	0	0	0	-0.3102968164588915	0
1022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
