names	GSE112482_MTB_control_lung_ILC2_up.tsv	GSE132283_MTB_control_2h_blood_macrophage_up.tsv	GSE132283_MTB_control_48h_blood_macrophage_up.tsv	GSE141656_MTB_control_blood_blood_up.tsv	GSE143627_MTB_control_PBMC_macrophage_up.tsv	GSE143731_MTB_control_blood_monocyte_derived_macrophages_up.tsv	GSE148171_MTB_control_blood_PBMC_up.tsv	GSE148731_MTB_control_blood_monocytes_up.tsv	GSE164287_MTB_control_blood_monocyte_derived_macrophages_up.tsv	GSE165708_MTB_control_BAL_bronchoalveolar_lavage_up.tsv	GSE174566_MTB_control_blood_PBMC_up.tsv	GSE183912_MTB_control_blood_marcophages_up.tsv	GSE193777_MTB_control_blood_up.tsv	GSE198557_MTB_control_blood_PBMC_up.tsv	GSE211974_MTB_control_blood_THP-1_up.tsv	GSE236156_MTB_control_blood_monocyte_derived_macrophage_up.tsv	GSE256184_MTB_4control_48h_HEPG2_HepG2_up.tsv	GSE256184_MTB_control_0h_HEPG2_HepG2_up.tsv	GSE64179_MTB_control_blood_dendritic_cells_up.tsv	GSE64182_MTB_control_blood_dendritic_cells_up.tsv	GSE84076_MTB_control_blood_up.tsv
GSE112482_MTB_control_lung_ILC2_up.tsv	1	0	0	0.003676470588235294	0	0	0.005319148936170213	0.005025125628140704	0	0	0	0	0	0	0	0	0	0	0	0	0
GSE132283_MTB_control_2h_blood_macrophage_up.tsv	0	1	0.3112244897959184	0.47039473684210525	0.2995391705069124	0.011111111111111112	0.2181208053691275	0.4220532319391635	0.15765765765765766	0.03664921465968586	0.23270440251572327	0.1111111111111111	0.17210682492581603	0.1736111111111111	0.10454545454545454	0.4078014184397163	0.21810699588477367	0.15878378378378377	0.3611940298507463	0.39464882943143814	0.020942408376963352
GSE132283_MTB_control_48h_blood_macrophage_up.tsv	0	0.3112244897959184	1	0.3139784946236559	0.2598870056497175	0.011695906432748537	0.24	0.341645885286783	0.09067357512953368	0.06470588235294118	0.20346320346320346	0.07058823529411765	0.27045454545454545	0.20963855421686747	0.1529745042492918	0.2896551724137931	0.35241502683363146	0.19294117647058823	0.3191489361702128	0.30269058295964124	0.02865329512893983
GSE141656_MTB_control_blood_blood_up.tsv	0.003676470588235294	0.47039473684210525	0.3139784946236559	1	0.22258064516129034	0.014545454545454545	0.2568306010928962	0.43597560975609756	0.14935064935064934	0.027874564459930314	0.2570694087403599	0.0683453237410072	0.17142857142857143	0.18206521739130435	0.08626198083067092	0.54858934169279	0.26422018348623855	0.164021164021164	0.4035532994923858	0.3670212765957447	0.017421602787456445
GSE143627_MTB_control_PBMC_macrophage_up.tsv	0	0.2995391705069124	0.2598870056497175	0.22258064516129034	1	0.03636363636363636	0.18	0.3721973094170404	0.13855421686746988	0.1206896551724138	0.17391304347826086	0.1891891891891892	0.18478260869565216	0.15879828326180256	0.2589928057553957	0.24621212121212122	0.16444444444444445	0.1506276150627615	0.2356687898089172	0.20761245674740483	0.040983606557377046
GSE143731_MTB_control_blood_monocyte_derived_macrophages_up.tsv	0	0.011111111111111112	0.011695906432748537	0.014545454545454545	0.03636363636363636	1	0.005154639175257732	0.03	0.047058823529411764	0.07142857142857142	0.01818181818181818	0.10344827586206896	0.013392857142857142	0	0.0273972602739726	0.017777777777777778	0.016786570743405275	0.01744186046511628	0.0176678445229682	0.012195121951219513	0
GSE148171_MTB_control_blood_PBMC_up.tsv	0.005319148936170213	0.2181208053691275	0.24	0.2568306010928962	0.18	0.005154639175257732	1	0.2647058823529412	0.0546875	0.02926829268292683	0.0945945945945946	0.03902439024390244	0.3035143769968051	0.5954545454545455	0.10344827586206896	0.2732919254658385	0.2222222222222222	0.1125	0.21818181818181817	0.1813186813186813	0.014634146341463415
GSE148731_MTB_control_blood_monocytes_up.tsv	0.005025125628140704	0.4220532319391635	0.341645885286783	0.43597560975609756	0.3721973094170404	0.03	0.2647058823529412	1	0.15163934426229508	0.07246376811594203	0.24924924924924924	0.12	0.22157434402332363	0.21070234113712374	0.14102564102564102	0.4876325088339223	0.29411764705882354	0.16139240506329114	0.3753581661891118	0.3569230769230769	0.028169014084507043
GSE164287_MTB_control_blood_monocyte_derived_macrophages_up.tsv	0	0.15765765765765766	0.09067357512953368	0.14935064935064934	0.13855421686746988	0.047058823529411764	0.0546875	0.15163934426229508	1	0.029411764705882353	0.16796875	0.08080808080808081	0.05964912280701754	0.04700854700854701	0.0273972602739726	0.13011152416356878	0.0967032967032967	0.07758620689655173	0.17096774193548386	0.1368421052631579	0
GSE165708_MTB_control_BAL_bronchoalveolar_lavage_up.tsv	0	0.03664921465968586	0.06470588235294118	0.027874564459930314	0.1206896551724138	0.07142857142857142	0.02926829268292683	0.07246376811594203	0.029411764705882353	1	0.02564102564102564	0.14285714285714285	0.038461538461538464	0.02197802197802198	0.1375	0.03375527426160337	0.03286384976525822	0.032432432432432434	0.05190311418685121	0.03515625	0
