Ensembl	baseMean	log2FoldChange	lfcSE	stat	P.Value	adj.P.Val	GeneID	Symbol
ENSG00000163902	1488.4359782027636	-2.3912560418558124	0.9982109116320589	-2.3955418779645945	0.016595818311534963	0.04984413112256728	6184	RPN1
ENSG00000137767	451.0509407438068	-2.720561967060185	1.11031616113875	-2.4502588202174347	0.014275356108929238	0.04420608034500047	58472	SQOR
ENSG00000117632	813.7796505439846	-2.797716416955403	1.1371278028850376	-2.4603359533178604	0.013880701339446088	0.04330277483321556	3925	STMN1
ENSG00000186918	446.47251169715616	-2.8563584410898013	1.1743781065032683	-2.432230663422924	0.015006147428776918	0.045939705767717685	55893	ZNF395
ENSG00000163513	485.4858496814787	-2.9055070491738153	1.096421043629142	-2.6499920500947503	0.008049366489927707	0.028275080400711923	7048	TGFBR2
ENSG00000101654	261.4288073114761	-3.0169542988069358	1.2284450470580435	-2.4559131122976363	0.014052712984986518	0.04376142358534211	8731	RNMT
ENSG00000168286	551.8206170089695	-3.024660509251863	1.091372119455622	-2.771429153569149	0.005581081588668764	0.021164791567534934	57215	THAP11
ENSG00000123146	1668.5824271615454	-3.0605897400754634	0.9833520615692588	-3.1124048646334197	0.0018556981353732693	0.008581273308604687	976	ADGRE5
ENSG00000142208	543.0230746660695	-3.0739070714219383	1.0827759502115302	-2.838913323500972	0.004526745125544537	0.017888779552499123	207	AKT1
ENSG00000015475	435.2346089824796	-3.0766667215470185	1.1672671404406318	-2.635786286578415	0.008394258182982084	0.02928454874221734	637	BID
ENSG00000125818	826.9401946167072	-3.1473830458825605	1.1428245830060142	-2.7540386273489856	0.005886482023647903	0.02210801244788391	9491	PSMF1
ENSG00000140391	777.9090956231715	-3.162559235507571	1.1233520292413495	-2.8152877755011407	0.004873357282185569	0.01901002352736419	10099	TSPAN3
ENSG00000105379	381.8333183175282	-3.1918457591739586	1.2158116705251283	-2.625279750600971	0.008657780144554783	0.029976866542026834	2109	ETFB
ENSG00000111679	479.5452605212513	-3.3184215039181573	1.3614116961702156	-2.4374856725949994	0.014789800299476104	0.04539229952320172	5777	PTPN6
ENSG00000211456	336.71864488891356	-3.3952964865232707	1.1743519458407523	-2.891208635152795	0.00383763257966032	0.015704423678356148	22908	SACM1L
ENSG00000164985	371.0022496954976	-3.3978908307450957	1.152928492637066	-2.947182633133804	0.0032068374217440196	0.013554066255527492	11168	PSIP1
ENSG00000133313	507.6507534923941	-3.4026898466433373	1.1564248705167632	-2.942421884374384	0.0032565593455172546	0.013709292910589175	55748	CNDP2
ENSG00000168610	963.0980371509834	-3.481157352554111	1.0401725672338649	-3.3467113652223754	8.177630973830147e-4	0.004294810099936637	6774	STAT3
ENSG00000176014	182.75050510063588	-3.5177308666553566	1.44886622696153	-2.4279197079722934	0.015185704765662094	0.04638664600663565	84617	TUBB6
ENSG00000113580	804.1568137719358	-3.5863940698700167	1.0450597180407457	-3.431759934823349	5.996781402089153e-4	0.0033036938088730336	2908	NR3C1
ENSG00000117676	460.8156346766543	-3.5908330187961175	1.2045418614470036	-2.9810778136697444	0.0028723579718231266	0.012366351143487728	6195	RPS6KA1
ENSG00000159658	463.25838706096397	-3.5985627837510914	1.1763266881726249	-3.059152546595122	0.002219640948921381	0.009968805264561486	9813	EFCAB14
ENSG00000196396	232.86466699034906	-3.605933361602712	1.3409409003833583	-2.689106850698506	0.00716434828737768	0.025717219047158322	5770	PTPN1
