Ensembl	baseMean	log2FoldChange	lfcSE	stat	P.Value	adj.P.Val	GeneID	Symbol
ENSG00000048707	1297.7994795403731	-0.37335203079874857	0.11105477872292199	-3.3618727180597023	7.741579949906267e-4	0.04278473936382079	55187	VPS13D
ENSG00000164828	864.7318269546961	-0.41372121969000303	0.1124160977084328	-3.6802666888780293	2.3299015173928553e-4	0.018753569690684604	23353	SUN1
ENSG00000081019	1167.8144200385536	-0.47677491312863857	0.13244659338170084	-3.599752179013092	3.1852059992100386e-4	0.023884961396640404	54665	RSBN1
ENSG00000127603	8035.115408501352	-0.4798109847569263	0.13983741590571924	-3.431206030583567	6.00904025015349e-4	0.03754242685193993	23499	MACF1
ENSG00000112159	1419.69474310516	-0.4851654624001312	0.145612446736346	-3.331895543782729	8.625662546383298e-4	0.04620927540900258	23195	MDN1
ENSG00000115977	1871.3715899878546	-0.49595764022589656	0.13344123818710302	-3.716674447598392	2.018622786711475e-4	0.01678709670067595	22848	AAK1
ENSG00000134897	214.89446331995137	-0.5093063720315119	0.1515144291867054	-3.3614380806194584	7.753773931552408e-4	0.04278473936382079	54841	BIVM
ENSG00000172575	1959.8595758812976	-0.523040771357568	0.1531303174092012	-3.415657854086965	6.3628138736833e-4	0.03863177635163624	10125	RASGRP1
ENSG00000118058	2761.8738933642153	-0.5230696022815302	0.14967893824994205	-3.4946105871494098	4.7475388410601964e-4	0.03266865256630716	4297	KMT2A
ENSG00000205268	3370.7852632377735	-0.5244269918234487	0.15787737722793996	-3.321736153915784	8.945924369082806e-4	0.047139379851139945	5150	PDE7A
ENSG00000198586	2037.3455932211152	-0.53766435628481	0.1617815419150989	-3.323397403190595	8.892812784529279e-4	0.04700065841269134	9874	TLK1
ENSG00000168944	1257.4199710275477	-0.5466821573909831	0.15791736483408278	-3.4618242139827964	5.365274635491146e-4	0.03553702210493197	153241	CEP120
ENSG00000111371	3366.3000783654434	-0.5537026894391045	0.16215156659759206	-3.414723033871243	6.38468977145638e-4	0.03863177635163624	81539	SLC38A1
ENSG00000150347	766.9577782123176	-0.5672713141724179	0.16530594322348532	-3.4316450038671364	5.9993231052562e-4	0.03754242685193993	84159	ARID5B
ENSG00000165650	1118.33731135244	-0.5784185061212789	0.15526578696590201	-3.725344246303956	1.9504885693889289e-4	0.016533924119356298	118987	PDZD8
ENSG00000100147	463.92060628378186	-0.6051751779372928	0.16657038458663723	-3.6331499110067	2.799822400224621e-4	0.021642503813542477	79879	CCDC134
ENSG00000146285	1160.395294336371	-0.6067140324530793	0.18166380162091392	-3.3397629414314305	8.384993169572666e-4	0.04569300470387937	256380	SCML4
ENSG00000198919	413.92473075293617	-0.6191623743644322	0.1579204386591315	-3.9207234960946593	8.828351470311319e-5	0.00932599487592034	9666	DZIP3
ENSG00000078687	825.2478118689448	-0.6341042811414069	0.1430879154973488	-4.431571170335177	9.35489249994285e-6	0.0015199101731157147	57690	TNRC6C
ENSG00000171791	1497.7255937747684	-0.67085001431771	0.143024177675305	-4.690465802507047	2.725837864150759e-6	5.627091412029808e-4	596	BCL2
ENSG00000206560	662.3600258254742	-0.6750490856788683	0.19476719141760973	-3.4659281204680057	5.284045255205145e-4	0.03538898553171171	23243	ANKRD28
ENSG00000111266	457.5887105421049	-0.6812497620934469	0.17595788887137148	-3.8716636489737226	1.0809504647986886e-4	0.011092068892293912	80824	DUSP16
