Ensembl	baseMean	log2FoldChange	lfcSE	stat	P.Value	adj.P.Val	GeneID	Symbol
ENSG00000125538	163.7488239696063	3.740673421331189	0.7154230528057908	5.228617398699669	1.7078237407391512e-7	2.8257914356383953e-5	3553	IL1B
ENSG00000160326	308.13911370919413	3.5578372101120266	0.47048723747155824	7.5620270365508135	3.968358686979865e-14	1.6521173294891013e-11	11182	SLC2A6
ENSG00000188313	291.4538838317516	2.150732125081049	0.28971124264025405	7.423709571919163	1.1388473852017075e-13	4.4539285919434046e-11	5359	PLSCR1
ENSG00000100906	730.5393382927186	1.9139722337455005	0.3227291022439901	5.930584569031201	3.0185806072700754e-9	6.603017172445355e-7	4792	NFKBIA
ENSG00000090339	1642.8839370074793	1.8576666832471769	0.3591816511913151	5.1719420440486426	2.316734475060109e-7	3.6347921488746456e-5	3383	ICAM1
ENSG00000104856	297.2471122316942	1.6457934659662832	0.3104074784072584	5.302041930210786	1.1451452984736427e-7	1.9705660296134445e-5	5971	RELB
ENSG00000138642	126.904914231325	1.390573200497777	0.26774792583306867	5.193590935097477	2.0627611501334043e-7	3.3277494254527144e-5	55008	HERC6
ENSG00000077150	790.1782297209452	1.3905458410766143	0.2753243329836338	5.050573721572488	4.404850680792735e-7	6.460113964353527e-5	4791	NFKB2
ENSG00000115415	2043.6868994554409	1.3267227566558444	0.21873260135112518	6.065500745936333	1.3154315983023381e-9	3.0316000370874956e-7	6772	STAT1
ENSG00000101017	512.0392714380573	1.3170293272486309	0.3936758975516391	3.3454659923036663	8.214443198176554e-4	0.04454437139313723	958	CD40
ENSG00000145901	1676.4391007218603	1.1550375676276063	0.23309494006787332	4.955223683925866	7.22471263075194e-7	1.0135015349183103e-4	10318	TNIP1
ENSG00000169136	947.8049308302404	1.1018301967560906	0.32085699389684474	3.4340226883454754	5.9469441675674e-4	0.034886937012102215	22809	ATF5
ENSG00000015475	666.761257756329	1.0519555504955322	0.2705989444100231	3.887507960495087	1.0127866722378045e-4	0.00792183320721279	637	BID
ENSG00000002549	1947.2295798538698	0.9923825553408651	0.23545590626610663	4.214727806484913	2.500796148736598e-5	0.00248451922093674	51056	LAP3
ENSG00000146232	845.4004804229528	0.9456237372969747	0.20269858455637066	4.665171882510092	3.0835917490722303e-6	3.790174772716781e-4	4794	NFKBIE
ENSG00000156587	933.5467617107735	0.9058837622765739	0.12317131405825486	7.354665079306768	1.9140642515155734e-13	7.265562714723527e-11	9246	UBE2L6
ENSG00000263528	625.9164957806008	0.8754277841257261	0.19321546799520806	4.530836962532614	5.875046625422744e-6	6.651171205939117e-4	9641	IKBKE
ENSG00000161011	7512.183958604964	0.7514732238097588	0.12237959574221598	6.140510754690548	8.225656528148596e-10	1.9301876936779232e-7	8878	SQSTM1
ENSG00000071051	235.26409097626075	0.7306575015882334	0.15569435165440013	4.692896651832932	2.6936358589780234e-6	3.3751518831039195e-4	8440	NCK2
ENSG00000023330	3672.9403601248673	0.7219226991563549	0.1863393292831758	3.8742368663314486	1.069593422268414e-4	0.00821676946892628	211	ALAS1
ENSG00000100911	426.4908890755682	0.7056165759991759	0.1790958914235809	3.9398814254779158	8.152189250472373e-5	0.006617116633119273	5721	PSME2
ENSG00000196781	165.57804690125758	0.6434542309102639	0.15853441116992564	4.058766965239965	4.9332513170476336e-5	0.004515499397008281	7088	TLE1
ENSG00000025772	139.88954162477015	0.5790055657391482	0.17431494218531365	3.321606045244298	8.950096447513641e-4	0.04792943765627015	10953	TOMM34
ENSG00000104825	160.85138361546538	0.567065971984849	0.15290197822667645	3.7086895706749874	2.0833465551915902e-4	0.01460390168859944	4793	NFKBIB
ENSG00000163932	3365.378967996495	0.47113195015672804	0.1043425100879004	4.5152445514281405	6.324374021767953e-6	7.097597489124974e-4	5580	PRKCD
ENSG00000101557	337.05133058827676	-0.5050848025503504	0.1477186968969108	-3.419234079101283	6.279767927630627e-4	0.03618155574732182	9097	USP14
ENSG00000135932	1414.1180281446314	-0.5799627107529393	0.16400416440600862	-3.5362681969293406	4.0582247098848635e-4	0.0256742392675363	51719	CAB39
