Ensembl	baseMean	log2FoldChange	lfcSE	stat	P.Value	adj.P.Val	GeneID	Symbol
ENSG00000125538	42691.636690138555	9.153534385496222	0.8704405149026535	10.515979241292458	7.29193201700385e-26	6.1706114507156046e-24	3553	IL1B
ENSG00000146674	615.6496558143247	8.018001978805861	0.666546587829303	12.029169641266252	2.4965899834631862e-33	4.452520587711872e-31	3486	IGFBP3
ENSG00000073756	2940.733428079459	6.86157322840725	0.7698314297486504	8.9130853369387	4.963175348251215e-19	2.189341125694007e-17	5743	PTGS2
ENSG00000081041	3862.0218516120513	6.770127690056259	1.3559284945084846	4.992982828722385	5.945384531059884e-7	3.953895261914965e-6	2920	CXCL2
ENSG00000078401	217.12136579496834	6.3895897371175305	0.7817789711699754	8.173140967907024	3.0046256447717843e-16	9.280208741933857e-15	1906	EDN1
ENSG00000046604	2693.4012672907597	6.152010822008574	0.3814448126361283	16.12818058657718	1.6171466934554778e-58	2.0632303890501965e-55	1829	DSG2
ENSG00000120875	17517.867669734453	5.884975856743551	0.5478870219126284	10.741221495262993	6.517627991232752e-27	6.14212374219241e-25	1846	DUSP4
ENSG00000141682	4901.444925756029	5.709976213767835	0.48997626934644006	11.653577062791522	2.2002513230393322e-31	3.0159808631347407e-29	5366	PMAIP1
ENSG00000152894	138.9288239475863	5.130462177981751	0.6365634913267184	8.059623663444631	7.65296875822604e-16	2.250569855034346e-14	5796	PTPRK
ENSG00000120833	5654.62033493439	4.643659282614049	0.33143401937990397	14.010810632240158	1.338681755934623e-44	6.000912325386934e-42	8835	SOCS2
ENSG00000185499	694.278124934362	4.427700300058606	0.5440385616010464	8.138578057828044	3.999471602249905e-16	1.2180233545599717e-14	4582	MUC1
ENSG00000013619	747.2688104362156	4.398938561623827	0.5113074113972849	8.603314686173912	7.744625328438608e-18	2.9942274055357283e-16	10046	MAMLD1
ENSG00000109654	450.9254833881751	4.316841609358002	0.4025068205385953	10.724890583423225	7.777907257968481e-27	7.206948032439398e-25	23321	TRIM2
ENSG00000039560	368.1768316062569	4.305409197526354	0.9908686055796119	4.3450858905837375	1.3922117822566216e-5	6.894961069127598e-5	26064	RAI14
ENSG00000167695	906.5029389427132	4.286574717127682	0.45374603509256484	9.447079171178244	3.4841723209510975e-21	1.9457401385621181e-19	79850	TLCD3A
ENSG00000123374	7588.568289475973	4.218661976117555	0.3225656411273561	13.078460437923496	4.372057109620225e-39	1.2949096289314474e-36	1017	CDK2
ENSG00000115738	59457.6156975473	4.130984367574479	0.4576779101343797	9.025964059225783	1.7812002037548266e-19	8.392893914624304e-18	3398	ID2
ENSG00000121966	49326.765613136144	4.100873712618336	0.391344526399462	10.478934636822798	1.0795293674528027e-25	8.907997058991136e-24	7852	CXCR4
ENSG00000198369	11182.63243069795	4.029838691128818	0.3568073672211257	11.294157748237831	1.4024203837728807e-29	1.5931879784422602e-27	200734	SPRED2
ENSG00000171791	1664.4126198090046	3.8941958457146324	0.40363627075954756	9.647784720601747	5.022903822330159e-22	2.9860173045579935e-20	596	BCL2
ENSG00000142949	648.3390361494519	3.853072274970029	0.5623346346515808	6.851920613706053	7.286499200617303e-12	1.2395269306814215e-10	5792	PTPRF
ENSG00000176894	4948.227359320759	3.755167441002994	0.5361918765778051	7.003402336062981	2.4982007844587288e-12	4.528432591369669e-11	5827	PXMP2
ENSG00000099860	12265.946566408236	3.685805776385427	0.3983729880380569	9.252147828941954	2.2002612796500588e-20	1.1439979180023785e-18	4616	GADD45B
ENSG00000165806	11042.765579544233	3.6493140584620583	0.21776139890260854	16.758314728195582	4.923842030706557e-63	8.166684392129896e-60	840	CASP7
ENSG00000143479	215.965369840144	3.590281084516642	0.598502279167259	5.998775960405814	1.9881042826408873e-9	2.1895549556362386e-8	8444	DYRK3
ENSG00000129038	3.8574541785441934	3.544838072058026	1.0348017411891297	3.4256205135338478	6.13396745708214e-4	0.002052410414427363	4016	LOXL1
ENSG00000108691	583.2402501423859	3.481677481529497	0.7816138776290055	4.454472446281311	8.409972823410002e-6	4.3617201141050124e-5	6347	CCL2
ENSG00000172379	185.1444075780013	3.40817223190375	0.8921909219158966	3.8200032618411077	1.3344990923798056e-4	5.257482647556166e-4	9915	ARNT2
ENSG00000168209	1614.1901974953341	3.4060057256300973	0.7933763394295418	4.293051804493065	1.7623386598511874e-5	8.534350076581546e-5	54541	DDIT4
ENSG00000138642	2773.7246899458714	3.3931673507183286	0.5136188696645433	6.6063915310091454	3.938005582552089e-11	5.943199325951679e-10	55008	HERC6
ENSG00000116717	13206.856630126238	3.341753095392277	0.34998326807653124	9.548322449122145	1.318133228549232e-21	7.698083707294916e-20	1647	GADD45A
ENSG00000112972	27045.269486653513	3.3123889382504146	0.3143490676259595	10.537295253542123	5.814720072978321e-26	5.0493689597077715e-24	3157	HMGCS1
ENSG00000115425	1471.567455106009	3.2950337548189683	0.44485708894020765	7.406948965720196	1.292381664988923e-13	2.7838236747410745e-12	55825	PECR
ENSG00000071051	5419.1597358725585	3.280901117440904	0.30586303585253316	10.726700296739148	7.627123574030616e-27	7.106936606678191e-25	8440	NCK2
ENSG00000100906	40266.38815098606	3.215850207883581	0.3056672808765555	10.520753803487102	6.931677658276631e-26	5.895836186675703e-24	4792	NFKBIA
ENSG00000095739	30.101548027946325	3.1780195453355966	0.7060473872195928	4.5011419953703165	6.758933183825324e-6	3.591914956325755e-5	25805	BAMBI
ENSG00000071054	36418.34462550297	3.168801855995492	0.32330687244363754	9.801220221657715	1.1123368708948698e-22	7.095853592562427e-21	9448	MAP4K4
