Ensembl	baseMean	log2FoldChange	lfcSE	stat	P.Value	adj.P.Val	GeneID	Symbol
ENSG00000125538	28128.337641284725	8.423566782472083	0.736734857659361	11.433647661567317	2.839258849311099e-30	7.142610988276392e-28	3553	IL1B
ENSG00000073756	4550.544179133937	7.365267075313855	0.3657327189956794	20.138387113789687	3.4023647454328276e-90	1.072896302459879e-86	5743	PTGS2
ENSG00000081041	12745.141470895585	6.911332072820715	0.32382180368509556	21.34301024257688	4.5283257583584785e-101	6.037616733619359e-97	2920	CXCL2
ENSG00000013619	343.4045472543896	4.755850266500118	0.33422496063625307	14.22948859787899	6.0119810355836845e-46	3.643533779428966e-43	10046	MAMLD1
ENSG00000078401	147.4141840743515	4.28700484770727	0.6876283402055449	6.234479583005268	4.532824403664368e-10	1.0330965431462738e-8	1906	EDN1
ENSG00000137331	2424.9368030299293	4.2483417000785915	0.3145427134336841	13.5064063436786	1.4334993989503422e-41	5.972764839439035e-39	8870	IER3
ENSG00000120875	1189.5490729232256	4.176893597040289	0.47560954488944324	8.782190437349653	1.6032134088864923e-18	1.2214653931819199e-16	1846	DUSP4
ENSG00000090339	21588.053573823137	3.6809778587104383	0.3237861333544577	11.368546949726131	5.997771577467167e-30	1.378763593833961e-27	3383	ICAM1
ENSG00000172379	44.47481865521685	3.5548741973622	0.7291707292793729	4.8752288793537035	1.0868236979921992e-6	1.1546311048071707e-5	9915	ARNT2
ENSG00000100906	15642.642307110213	3.43747665365505	0.31885026770871977	10.780849200337816	4.239536153771119e-27	7.743251443593197e-25	4792	NFKBIA
ENSG00000145901	15615.057445246606	3.372411395800016	0.1862906306278183	18.102957644378826	3.020066618980075e-73	4.4740609145401485e-70	10318	TNIP1
ENSG00000141682	159.17700417950078	3.1943731339964727	0.3521948839159436	9.06990214758161	1.1912394857352992e-19	1.0518407988946188e-17	5366	PMAIP1
ENSG00000175592	417.51063706463657	3.1766615707026524	0.3364411183846845	9.441954021418034	3.658913343392423e-21	3.667991850184299e-19	8061	FOSL1
ENSG00000106366	1629.4140934563177	3.088189537039139	0.5771743363477055	5.350531620274137	8.769622741920354e-8	1.1953495868790244e-6	5054	SERPINE1
