GeneID	GSE16250_GPL570_MTB_control_blood_pmbc_dn.tsv	GSE34151_GPL10558_MTB_control_blood_dcs_dn.tsv	GSE63548_GPL10558_LNTB_control_lymphnode_lymphnode_dn.tsv	GSE83456_GPL10558_EPTB_control_blood_dn.tsv	GSE83456_GPL10558_PTB_control_blood_dn.tsv	GSE139871_GPL10558_MTB_control_blood_monocyte_dn.tsv
10007	0	-0.07335455640260014	-0.8938724949175336	0	-1.2192922793000307	0
1001	0	0	-4.0595560316064	0	0	0
10013	0	-0.1824302956427288	0	0	0	0
10038	0	0	0	0	0	0
10046	0	0	0	0	0	0
10049	0	0	-0.7999215970559304	0	0	0
10051	0	0	0	0	0	0
10057	0	0	0	0	0	0
10058	0	0	0	0	0	0
10059	0	0	0	0	0	0
10099	0	0	0	0	0	0
10112	0	0	0	0	0	0
10123	0	0	0	0	0	0
10131	0	0	0	0	0	0
10146	0	0	0	-15.768388044555651	-11.290147547954476	-0.9203178166292844
10150	0	0	0	0	0	0
10153	0	0	0	0	-2.955756157535677	0
10165	0	0	0	0	0	0
1017	0	0	0	0	0	0
10174	0	0	0	0	0	0
10180	0	0	0	0	0	-0.4726115878504046
1019	0	0	0	0	0	0
10190	0	0	0	0	0	0
102	0	-0.5035646417159283	-1.5970964091782394	0	0	0
10206	0	0	0	0	0	0
1021	0	0	0	0	0	0
1022	0	0	-0.9114629227732802	0	0	0
10221	0	0	0	0	0	0
10227	0	0	0	0	0	0
10237	0	0	0	0	0	0
10245	0	0	0	0	0	0
1026	0	0	0	0	-1.0100835575258271	0
1027	0	-0.08930059417811675	0	0	-1.0100835575258271	0
10270	0	0	0	-2.2386983522430173	-2.714996022320734	0
10273	0	0	0	0	0	0
10276	0	0	-0.3446349198605473	0	0	0
10285	0	0	0	0	0	0
1029	0	-0.2166763109796529	0	0	-1.0100835575258271	0
10298	0	0	0	0	0	0
10318	0	0	0	0	0	0
10320	0	0	0	0	0	0
10329	0	0	0	0	0	0
10362	0	0	0	0	-3.891948549092007	0
10398	0	0	-3.4406286071269125	0	0	0
10434	0	0	0	0	0	0
10450	0	0	0	0	0	0
10451	0	0	0	0	0	0
10489	0	-0.39328830074617016	0	0	0	0
10491	0	-0.518480021904768	0	0	0	0
10493	0	0	0	0	0	0
10494	0	-0.06520659753325353	0	0	0	0
1050	0	0	0	0	0	0
10513	0	0	0	0	0	0
1052	0	-0.6761603019154796	0	0	0	0
10523	0	0	0	0	0	0
10525	0	0	0	0	0	0
10557	0	0	0	0	0	0
10559	0	-0.07714175599547413	0	0	0	0
10589	-0.6480814758327293	0	0	0	0	0
10606	0	0	0	0	0	0
10610	0	0	0	0	0	0
10617	-12.029487798299396	0	0	0	-1.7617740941227975	0
1062	0	0	0	0	0	-1.1834298422480547
10641	0	0	0	0	0	0
10644	0	0	0	0	0	0
10652	0	0	0	0	0	0
10668	0	0	0	0	0	0
10670	0	-1.9443636440304228	0	0	0	0
10681	0	0	-0.7264671913997351	0	0	0
10682	0	0	0	0	0	0
10695	0	0	0	0	0	0
1070	0	0	0	0	0	0
10730	0	0	0	0	0	0
10732	0	-0.42469515672066827	0	0	0	0
10765	0	0	0	0	0	0
10775	0	-0.3801322883486946	0	0	0	0
10776	0	-0.7270662320842343	0	0	0	0
10782	0	0	-0.913989686334126	0	0	0
10797	0	0	0	0	0	0
10810	0	0	0	0	0	0
10813	0	0	0	0	0	0
10818	0	-0.3890052988677111	0	0	0	0
10845	0	-2.200352738650726	0	0	0	0
10857	0	0	0	0	0	0
10892	0	0	-0.6626218252914109	0	0	0
10898	0	0	0	0	-3.3830681821698647	0
10904	0	0	0	0	0	0
10915	0	0	0	0	0	0
10921	0	0	-0.7363695273217301	0	0	0
10953	0	0	0	0	0	0
10954	0	0	0	0	0	0
10962	0	0	0	0	0	0
10969	0	0	0	-6.438603797980126	0	0
10972	0	0	0	-1.2052699388452166	-1.3710089388074302	0
10973	0	0	0	0	0	0
11000	0	0	0	0	0	0
11004	0	0	0	0	0	0
11007	0	0	0	0	0	0
11011	0	-0.2412396567577384	0	0	0	0
11014	0	0	0	0	0	0
11031	0	0	-0.8395968917002032	0	0	0
11041	0	0	0	0	0	0
11044	0	0	0	0	0	0
11065	0	0	0	-1.6323463463679415	-1.1781811455946007	0
11072	0	-0.06808318568805802	0	0	0	0
11073	0	0	0	0	0	0
11098	0	0	0	-4.182225708776972	0	0
1111	0	-0.2495855033726472	0	0	0	0
11137	0	-0.04305900417468289	-0.216227827828316	0	0	0
11142	0	0	0	0	0	0
11151	0	-0.3247611152314356	0	0	0	0
11157	0	0	0	0	0	0
11168	0	0	0	0	0	0
11182	0	0	0	0	0	0
11188	0	0	0	0	0	0
11200	0	0	0	0	0	0
1123	0	0	0	0	0	0
11230	0	0	0	0	0	0
11232	0	0	0	0	0	0
11261	0	-0.3042582779929459	0	0	0	0
11284	0	0	0	0	0	0
11319	0	0	0	-1.8455154270054428	-2.551714506455405	0
11325	0	0	0	0	0	0
11344	0	0	-0.392613506550505	-6.730108225670772	0	0
1153	0	-1.1314955676607994	0	0	0	0
116832	0	0	0	0	0	0
1212	0	-0.6561967934352531	0	0	0	0
1213	0	-0.3259668988998059	0	0	0	0
124583	0	0	0	0	0	0
1277	0	-1.4199331829867017	0	0	0	0
128	0	-0.18670936973923544	0	0	0	0
1282	0	0	0	-1.7344224145765186	-1.3400046535530603	0
1385	0	0	0	0	0	0
1398	0	-0.7132057261490534	0	0	0	0
1399	0	0	0	0	0	0
142	0	-1.1722673512134678	0	0	-1.9613334480597997	0
1429	0	-0.17099971905066447	0	0	0	0
1445	0	0	0	0	0	0
1452	0	0	0	0	0	0
1454	0	0	0	0	0	0
1459	0	-0.36593952495261806	0	0	0	0
1465	0	-0.7044345350407673	0	0	0	0
147179	0	0	0	0	0	0
148022	0	0	0	0	0	0
1500	0	0	0	0	0	0
1509	0	-0.04107979374292539	0	0	0	-1.5862798830219358
1514	0	-0.3577536634063895	0	0	0	0
1534	0	0	0	0	0	0
154	0	0	0	-2.299247168914634	0	0
16	0	-0.5931299698985559	0	0	0	-11.726456440845846
1605	0	0	0	0	0	0
1616	0	0	0	0	-1.7644564474121427	0
1633	0	-3.174929076301485	0	0	0	0
1635	0	0	0	0	0	0
1643	0	0	0	0	0	0
1647	0	0	0	0	0	0
1662	0	0	0	0	0	-0.4733853142076665
1666	0	0	0	0	0	0
1676	0	-0.32517075171176035	0	0	0	0
1677	0	0	0	0	0	0
1738	0	-0.07892146856916586	0	0	0	0
1759	0	0	0	0	0	0
178	0	0	0	0	0	0
1786	0	0	0	0	0	0
1788	0	-0.1951213839620174	0	-0.8304042266105297	-0.7151292198166785	0
1802	0	-4.593706592696859	0	0	0	0
1829	0	0	0	-1.5083331098428163	-2.103536882684609	0
1831	0	0	0	0	-2.367116817283443	0
1845	0	0	-1.6357098541881885	0	0	0
1846	0	0	0	-1.620846698187321	0	0
1848	0	0	0	0	0	0
1861	0	0	0	0	0	0
1870	0	-2.185240143611806	0	0	0	0
1891	0	0	0	0	0	-0.7818739250506481
1906	0	0	0	0	0	0
1950	0	0	0	0	0	0
1956	0	0	0	0	0	-1.0642818820838942
1958	0	-0.34733719915717937	0	0	0	-1.0695721269385832
1978	0	0	0	0	0	0
1981	0	0	0	0	0	0
1983	0	-0.16450258829395104	0	0	0	0
1994	0	-1.2978501579906483	0	0	0	0
200081	0	0	0	0	0	0
200734	0	0	0	0	0	0
2017	0	0	0	0	0	0
2037	0	-0.15517902574382814	0	0	0	0
2042	0	0	0	0	0	-0.5965539026040814
2048	0	0	0	0	0	0
2058	0	-0.23674883705836547	-0.5379473101965968	0	0	0
2063	0	-0.8087609628003465	0	0	0	0
2064	0	0	0	0	0	0
2065	0	0	0	0	0	0
207	0	-0.6849820541794185	0	0	0	0
2109	0	-0.1918276761283133	0	0	0	0
211	0	0	0	0	0	0
2113	0	-4.467782600562101	0	-1.9638836965721171	0	0
2115	0	-0.7443344751143801	0	0	0	0
2131	0	-0.5631884147364787	0	0	0	0
2146	0	0	0	0	0	0
2184	0	0	0	0	0	0
2185	0	0	0	0	0	0
2195	0	0	0	0	0	0
2222	0	0	0	0	0	0
226	0	0	-20.80357078565692	0	0	0
2263	0	0	0	-4.057889285073552	-5.025825953181076	0
2264	0	0	0	0	0	0
2274	0	0	0	0	0	0
22794	0	-0.3620548965892263	0	0	0	0
22796	0	-0.7233034449471654	0	0	0	0
22809	0	0	0	0	0	0
22823	0	0	0	0	0	-0.4747514036138112
22827	0	-0.3384931246237073	0	0	0	0
22841	0	0	0	0	0	0
2288	0	0	0	-1.4517858565119632	-3.1696160598857315	0
22883	0	-0.10743486557368996	0	0	-11.949003922874711	0
22887	0	-0.2859895798707928	0	0	0	0
22889	0	-0.31338627347504766	0	-2.2403305394027604	0	0
22905	0	-0.3751786956080688	0	-14.05771307874138	-13.637628799123226	0
22908	0	-0.17009754112513809	0	0	0	0
22926	0	-0.2657685339988896	0	0	-1.128585575780125	0
22934	0	-0.5048136997185506	0	0	0	0
23	0	-0.33930243514078806	0	0	0	0
230	0	0	0	0	0	0
23011	0	0	0	0	0	0
23013	0	0	-0.5152168561083759	0	0	0
23014	0	0	0	0	0	0
23029	0	-1.0271111800242836	0	0	0	0
23038	0	0	0	0	0	0
23039	0	0	0	0	0	0
23061	0	-0.579353133341727	0	0	0	0
23076	0	-2.150458550504758	0	0	-1.973524609705375	0
23077	0	-0.18805040056631625	0	-1.3322052965511433	-1.2434667241333417	0
2309	0	-0.2505754481741373	0	0	0	0
23097	0	0	0	-1.997623702628711	-2.7565823686576274	0
23131	0	-0.4118803163973226	0	0	0	0
23139	0	0	0	0	0	0
23142	0	-0.2719228725774683	0	0	0	0
23149	0	0	0	0	0	0
23161	0	-0.78095877914462	0	0	0	0
23200	0	0	0	0	0	0
23210	0	-0.09466363981069342	0	0	0	0
23212	0	-0.83429982560199	0	0	-3.737301058741471	0
23223	0	-2.761206462795156	0	0	0	0
23224	0	-1.4368777037634706	0	0	0	0
23244	0	-0.14273499608260237	0	-5.98624846195672	0	0
23271	0	-0.2680867436614347	0	0	-4.136793699322923	0
23300	0	-1.4334152838262035	0	0	0	0
23321	0	0	0	0	0	0
23325	0	0	0	0	0	0
23326	0	0	0	0	-1.5437791210626215	0
23335	0	0	0	0	0	0
23338	0	0	0	0	0	0
23365	0	-0.7794939574821522	0	0	0	0
23368	0	0	-1.9981012304500825	0	0	0
23378	0	0	0	0	0	0
23386	0	0	0	0	0	0
23410	0	0	0	0	0	0
23443	0	0	0	0	0	0
23463	0	0	0	0	0	0
23499	0	0	0	0	0	0
23512	0	0	0	0	0	0
23522	0	0	0	0	0	0
2353	0	0	-1.0159018053004902	-1.3597883799864874	-1.723683477563685	0
23530	0	0	0	0	0	0
23536	0	0	0	0	0	0
2356	0	0	0	0	0	0
23585	0	0	0	0	0	0
23588	0	0	0	0	0	0
23597	0	0	0	0	0	0
23635	0	0	0	0	0	0
23636	0	0	0	0	0	0
23647	0	0	0	0	0	0
23658	0	0	0	0	0	0
23659	0	0	0	0	0	0
23670	0	0	0	0	0	0
24149	0	0	0	0	0	0
25	0	0	0	0	0	0
2523	0	-0.2688484328692402	0	0	0	0
2534	0	0	-2.418447184552681	0	0	0
2542	0	0	0	0	0	0
2548	0	0	-2.9241361023275925	0	0	0
2553	0	-0.33700554732544497	0	0	0	0
256364	0	0	0	0	0	0
25793	0	0	0	0	0	0
25803	0	0	0	0	0	0
25805	0	0	0	0	0	0
2582	0	0	0	0	0	0
25825	0	0	0	0	0	0
25839	0	0	0	0	0	0
25874	0	0	0	0	0	0
25932	0	0	0	0	0	0
25966	0	0	0	0	0	0
2597	0	0	0	0	0	0
25976	0	0	0	0	0	0
25987	0	0	0	0	0	0
26001	0	0	0	0	0	0
26020	0	0	0	0	0	0
26036	0	0	0	0	0	0
26054	0	0	0	0	0	0
26064	0	0	0	0	0	0
26128	0	0	0	0	0	0
26136	0	0	0	0	0	0
26227	0	0	0	0	0	0
2624	0	0	0	-4.493593031496446	-4.729237735531801	0
2625	0	0	-0.4233233739498654	0	0	0
26292	0	0	0	0	0	0
26511	0	0	0	0	0	0
26520	0	0	0	0	0	0
2673	0	0	0	0	0	0
2690	0	0	-0.2781718482245724	0	0	0
26993	0	0	0	0	0	0
27032	0	0	0	0	0	0
27095	0	0	0	0	0	0
27109	0	0	0	0	0	0
27242	0	0	0	0	0	0
27244	0	0	0	0	0	0
27336	0	0	0	0	0	0
27346	0	0	0	0	0	0
2736	0	0	0	0	0	0
2745	0	0	0	0	0	0
2767	0	0	0	0	0	0
2769	0	0	0	0	0	0
2770	0	0	0	0	0	0
2771	0	0	0	0	0	0
2778	0	0	0	0	0	0
2810	0	-0.18073794530171167	0	0	0	0
2817	0	0	0	0	0	0
2852	0	-0.41141993752460815	0	0	-2.9833392766197573	0
2886	0	0	0	0	0	0
2887	0	0	0	0	0	0
2896	0	0	0	0	0	0
28969	0	0	0	0	0	0
2908	0	-0.28161868058168626	0	0	0	0
29082	0	0	0	0	0	0
29083	0	0	0	0	0	0
291	0	0	0	0	0	0
29103	0	0	0	0	0	0
2920	0	0	0	-2.0075523757585554	0	0
2946	0	-0.6106348708011686	0	0	0	0
2954	0	-0.15463091011450142	0	0	0	0
2956	0	0	0	0	0	0
2958	0	0	0	0	0	0
2961	0	0	0	0	-1.2510851754636154	0
29763	0	0	0	0	0	0
29890	0	0	0	0	0	0
29911	0	0	0	0	0	0
29916	0	0	0	0	0	0
29928	0	0	0	0	0	0
29937	0	0	0	0	0	0
29978	0	0	0	0	0	0
30	0	-0.4897646013321904	0	0	0	0
30001	0	0	0	0	0	0
3028	0	0	0	-1.4484084322961692	-1.7394538785810547	0
3033	0	0	-1.325026319439694	0	0	0
3066	0	-0.09673214130370056	-0.5517621000155462	-1.993978968057397	0	0
30836	0	0	0	0	0	0
30849	0	0	0	0	0	0
3091	0	0	0	0	0	0
3098	0	-0.4854996470625424	0	-1.8102171014471933	-2.4216318895310485	0
310	0	0	0	0	0	0
3108	0	-0.4915121292535676	0	0	0	0
3122	0	0	0	0	0	0
3156	0	0	0	0	0	0
3157	0	0	0	0	0	0
3162	0	0	-2.386248667327956	0	0	0
3202	0	-1.436171505635416	0	0	0	0
3206	0	0	0	0	0	0
323	0	0	0	0	0	0
3251	0	-0.2130666937510244	0	0	0	0
3280	0	0	0	0	0	0
329	0	-1.9557106219675997	0	-1.7554242413118684	-3.2230617668955146	0
3300	0	0	0	-2.995140871435781	0	-0.3293066857361553
3303	0	0	0	0	0	0
3308	0	0	0	0	0	0
3312	0	-0.5662290536703354	0	0	0	0
3315	0	0	0	0	-10.223468063432186	0
332	0	-0.3481203158603853	-0.31892894666370564	0	0	0
3329	0	0	0	0	0	0
3337	0	0	0	0	0	0
3383	0	0	0	0	0	0
3385	0	0	0	0	0	0
3398	0	0	0	0	0	0
3416	0	0	0	-2.022646107740913	0	0
3454	-7.399003818526934	-0.2788162312544924	0	-3.5228776779012176	-5.796703547272223	0
348	0	0	-7.271326563447904	0	0	0
3480	0	0	0	0	0	0
3482	0	0	0	0	0	0
3486	0	0	0	0	0	0
3508	0	0	0	0	-1.7435497908324702	0
351	0	-0.08379075435168626	0	0	0	0
355	0	0	0	0	0	-0.3282113317429094
3551	0	0	0	0	0	0
3553	0	-0.1821684711704873	0	0	-2.6346349441640777	0
3566	0	0	0	0	0	0
3597	0	-0.055700644320533205	0	0	0	0
3611	0	0	0	0	0	0
3628	0	0	0	0	0	0
3638	0	0	0	0	0	0
3682	0	-1.427078470876575	0	0	0	0
3693	0	-1.0278943158536693	0	0	0	0
3725	0	0	0	0	0	0
375346	0	0	0	0	0	0
3775	0	0	-2.7855887631271865	0	0	0
3800	0	0	0	0	0	0
3815	0	-0.07006710704547939	0	0	0	0
387	0	0	0	0	0	0
388650	0	0	0	0	0	0
3895	0	0	0	0	0	0
39	0	-0.040367993290141777	0	0	0	0
3909	0	0	0	0	0	0
392	0	0	0	0	0	0
3925	0	-0.19939531387582043	0	0	0	0
3930	0	0	0	0	0	0
3964	0	0	0	-2.6496708619093057	-2.5551937278264374	0
3978	0	0	-1.0229495502094483	0	0	0
3988	0	0	0	0	0	0
4016	0	0	0	0	0	0
4043	0	0	0	0	0	0
4067	0	-4.868523085302362	0	0	0	0
4088	0	0	0	-0.7961867088621383	0	0
4125	0	0	0	0	0	0
4144	0	-0.3269235196936382	0	0	0	0
4154	0	-2.2493509083153427	0	0	-4.923800196441049	0
4172	0	0	0	0	0	0
4200	0	0	0	0	0	0
4208	-1.7961137917250274	-0.41872941175381273	0	0	0	0
4216	0	-0.2812458578291186	0	0	0	0
4232	0	0	0	0	0	0
427	0	0	0	0	0	0
4282	0	0	0	-6.353618444683747	-8.704643859307087	0
4303	0	0	0	0	0	0
4312	0	0	-1.1897002164914503	0	0	0
4313	0	0	0	0	-1.8452764247879156	0
4331	0	0	-0.7573037569486775	0	0	0
4482	0	-0.05376403039295716	-2.9069813948454173	-2.8687853892108626	0	0
4582	0	0	0	0	0	0
4605	0	0	0	0	0	0
4609	0	0	0	0	0	0
4616	0	0	0	0	0	0
4638	0	0	0	0	0	0
4651	0	0	0	-3.0511519750669853	-2.152196249552955	0
466	0	-0.2851098064138732	-0.8856179880602355	0	0	0
4690	0	0	0	0	0	0
47	0	0	-1.0510987392331863	0	0	0
4775	0	-0.3563868341048506	0	0	0	0
4776	0	-0.1325882461514042	0	0	0	0
4780	0	0	0	0	0	0
4783	0	0	0	0	0	0
4791	0	-0.0784104829812384	0	0	0	0
4792	0	0	0	0	0	0
4793	0	-0.0798957995210503	0	0	0	0
4794	0	-0.8374669682265177	0	0	-2.794199159907389	0
481	0	0	-1.935144348549268	0	0	0
4817	0	0	0	0	0	0
