names	E-MEXP-3521_MTB18hD_control	E-MEXP-3521_MTB18hM_control	E-MEXP-3521_MTB48hD_control	E-MEXP-3521_MTB48hM_control	E-MEXP-3521_MTB4hD_control	E-MEXP-3521_MTB4hM_control	GSE139871_MTB_control	GSE16250_MTB_control	GSE17477_MTB_control	GSE19435_MTB_control	GSE19439_PTB_control	GSE19444_PTB_control	GSE19491_PTB_control	GSE29536_PTB_control	GSE34151_MTB_control	GSE54992_MTB_control
E-MEXP-3521_MTB18hD_control	1	0.524074074074074	0.6471698113207547	0.5549348230912476	0.4640151515151515	0.45185185185185184	0.24967490247074123	0.23697478991596638	0.30522088353413657	0.260655737704918	0.2882758620689655	0.33664596273291925	0.3723958333333333	0.22654867256637168	0.4384858044164038	0.23717059639389737
E-MEXP-3521_MTB18hM_control	0.524074074074074	1	0.4103852596314908	0.7592997811816192	0.49295774647887325	0.5753138075313807	0.1969111969111969	0.2522202486678508	0.2553191489361702	0.24873096446700507	0.29	0.3194444444444444	0.3425196850393701	0.22365988909426987	0.33890577507598785	0.20926966292134833
E-MEXP-3521_MTB48hD_control	0.6471698113207547	0.4103852596314908	1	0.4800693240901213	0.3492333901192504	0.3564189189189189	0.33879781420765026	0.23567921440261866	0.38247566063977745	0.2689210950080515	0.30727023319615915	0.3704630788485607	0.3774069319640565	0.18666666666666668	0.45241809672386896	0.31647398843930635
E-MEXP-3521_MTB48hM_control	0.5549348230912476	0.7592997811816192	0.4800693240901213	1	0.4472168905950096	0.5612244897959183	0.21079691516709512	0.2235494880546075	0.2936400541271989	0.26262626262626265	0.3034188034188034	0.3278894472361809	0.3564875491480996	0.2078853046594982	0.37596302003081666	0.2347949080622348
E-MEXP-3521_MTB4hD_control	0.4640151515151515	0.49295774647887325	0.3492333901192504	0.4472168905950096	1	0.5150862068965517	0.1891891891891892	0.2174721189591078	0.20974289580514208	0.2198581560283688	0.2637037037037037	0.2805662805662806	0.3042895442359249	0.1724137931034483	0.34248788368336025	0.19793205317577547
E-MEXP-3521_MTB4hM_control	0.45185185185185184	0.5753138075313807	0.3564189189189189	0.5612244897959183	0.5150862068965517	1	0.19117647058823528	0.21311475409836064	0.2482758620689655	0.22416812609457093	0.2781065088757396	0.26700251889168763	0.30851063829787234	0.20270270270270271	0.3218210361067504	0.20527859237536658
GSE139871_MTB_control	0.24967490247074123	0.1969111969111969	0.33879781420765026	0.21079691516709512	0.1891891891891892	0.19117647058823528	1	0.23607038123167157	0.44266666666666665	0.2532188841201717	0.3484455958549223	0.42358604091456076	0.40556900726392253	0.21396054628224584	0.34610303830911493	0.4353448275862069
GSE16250_MTB_control	0.23697478991596638	0.2522202486678508	0.23567921440261866	0.2235494880546075	0.2174721189591078	0.21311475409836064	0.23607038123167157	1	0.27340267459138184	0.19230769230769232	0.2553846153846154	0.27055702917771884	0.261455525606469	0.20798319327731093	0.24646781789638933	0.25853658536585367
GSE17477_MTB_control	0.30522088353413657	0.2553191489361702	0.38247566063977745	0.2936400541271989	0.20974289580514208	0.2482758620689655	0.44266666666666665	0.27340267459138184	1	0.2732474964234621	0.36304909560723514	0.4387019230769231	0.4190821256038647	0.21674140508221226	0.34856396866840733	0.46599131693198265
GSE19435_MTB_control	0.260655737704918	0.24873096446700507	0.2689210950080515	0.26262626262626265	0.2198581560283688	0.22416812609457093	0.2532188841201717	0.19230769230769232	0.2732474964234621	1	0.17103448275862068	0.34829931972789113	0.3628691983122363	0.18058252427184465	0.256838905775076	0.26291079812206575
GSE19439_PTB_control	0.2882758620689655	0.29	0.30727023319615915	0.3034188034188034	0.2637037037037037	0.2781065088757396	0.3484455958549223	0.2553846153846154	0.36304909560723514	0.17103448275862068	1	0.4431960049937578	0.49801849405548215	0.2289348171701113	0.33873144399460187	0.3046979865771812
GSE19444_PTB_control	0.33664596273291925	0.3194444444444444	0.3704630788485607	0.3278894472361809	0.2805662805662806	0.26700251889168763	0.42358604091456076	0.27055702917771884	0.4387019230769231	0.34829931972789113	0.4431960049937578	1	0.5930087390761548	0.24151967435549526	0.36134453781512604	0.38042131350681535
GSE19491_PTB_control	0.3723958333333333	0.3425196850393701	0.3774069319640565	0.3564875491480996	0.3042895442359249	0.30851063829787234	0.40556900726392253	0.261455525606469	0.4190821256038647	0.3628691983122363	0.49801849405548215	0.5930087390761548	1	0.2702702702702703	0.3969849246231156	0.370138017565872
GSE29536_PTB_control	0.22654867256637168	0.22365988909426987	0.18666666666666668	0.2078853046594982	0.1724137931034483	0.20270270270270271	0.21396054628224584	0.20798319327731093	0.21674140508221226	0.18058252427184465	0.2289348171701113	0.24151967435549526	0.2702702702702703	1	0.21915584415584416	0.19055374592833876
GSE34151_MTB_control	0.4384858044164038	0.33890577507598785	0.45241809672386896	0.37596302003081666	0.34248788368336025	0.3218210361067504	0.34610303830911493	0.24646781789638933	0.34856396866840733	0.256838905775076	0.33873144399460187	0.36134453781512604	0.3969849246231156	0.21915584415584416	1	0.313969571230982
GSE54992_MTB_control	0.23717059639389737	0.20926966292134833	0.31647398843930635	0.2347949080622348	0.19793205317577547	0.20527859237536658	0.4353448275862069	0.25853658536585367	0.46599131693198265	0.26291079812206575	0.3046979865771812	0.38042131350681535	0.370138017565872	0.19055374592833876	0.313969571230982	1
