Ensembl	GeneID	Symbol	infected	control	AveExpr	F	P.Value	adj.P.Val	log2FoldChange
ENSG00000000003	7105	TSPAN6	0.32674479109242954	0.2821289377106583	0.31837931858334745	41.73063423732264	1.6483479810527946e-9	2.1436433087793315e-9	0.21180958757338741
ENSG00000000457	57147	SCYL3	2.2336946121652095	2.065564590971936	2.2021702331914703	342.1168191289157	8.137976892585212e-22	2.3781912364518285e-21	0.11289578139652656
ENSG00000002330	572	BAD	0.9448847640972868	0.9934911050131877	0.953998453019018	211.94562929873956	8.89971596759605e-19	1.8834304468302878e-18	-0.07236865830550411
ENSG00000002549	51056	LAP3	15.694548927843101	12.051734373780551	15.011521198956371	72.73739126490169	2.035225692922754e-12	2.9348926155636146e-12	0.3810227847865071
ENSG00000002919	29916	SNX11	2.6487257182960744	2.5163138962406246	2.6238985016606775	1453.7091047775966	2.648179099856861e-31	7.849924278128814e-30	0.0739865553478316
ENSG00000003400	843	CASP10	0.7718774007265018	0.736907957501584	0.7653206301218296	407.84049232698106	5.993057076166206e-23	2.0228332669065876e-22	0.06688728603698313
ENSG00000003402	8837	CFLAR	4.6301301975338705	4.489792036860324	4.603816792407581	879.0020615939492	5.683736252934926e-28	5.321802721235428e-27	0.04440413992840897
ENSG00000004478	2288	FKBP4	0.6262910002944855	0.46688618701562973	0.5964025978047001	83.18805111884544	3.6038628287554967e-13	5.367922234943946e-13	0.42376224119038697
ENSG00000004534	10180	RBM6	5.978290793771553	6.583201059044205	6.091711468510173	231.34870307080348	2.5098340266732817e-19	5.571359295955655e-19	-0.1390561863552091
ENSG00000004864	10165	SLC25A13	1.7184258193683442	1.8307797151493292	1.7394921748272787	661.6385627556249	4.205809147079627e-26	2.466424217948216e-25	-0.09137063711838134
ENSG00000004866	7982	ST7	0.6764577382329865	0.6316138621148584	0.6680495114608372	559.0057138211494	5.339163332518172e-25	2.5077812598825398e-24	0.098956969926834
ENSG00000005194	57019	CIAPIN1	1.415389444666076	1.29002774573307	1.391884126116137	1055.0881582115173	3.5326770942042627e-29	4.732890567893166e-28	0.1337969702228468
ENSG00000005810	23077	MYCBP2	9.632725755506181	11.952660394506884	10.06771350031881	360.07767595540395	3.8148070302774303e-22	1.164532264828678e-21	-0.3113157677165508
