Ensembl	GeneID	Symbol	infected	control	AveExpr	F	P.Value	adj.P.Val	log2FoldChange
ENSG00000000457	57147	SCYL3	0.31274904681718724	0.24916218482711613	0.28095561582215156	28.762517284262913	3.6356267910376263e-6	4.972642475052962e-6	0.3279203592704787
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000002549	51056	LAP3	12.863319491154305	9.615369338195581	11.239344414674942	112.1037032180711	1.7713629734140871e-10	4.61121644406194e-10	0.41984881124106943
ENSG00000002919	29916	SNX11	3.686689302014892	2.7709793350556833	3.2288343185352884	118.72689967959805	1.1274603550746665e-10	3.0661547878153395e-10	0.41192988578128653
ENSG00000003400	843	CASP10	0.546328899010805	0.520016768289853	0.533172833650329	115.96622973649178	1.3571008610643997e-10	3.6299465898382457e-10	0.07121159422649104
ENSG00000004478	2288	FKBP4	3.1043098682980736	2.225352431960736	2.6648311501294053	154.29699248590066	1.4040451028335696e-11	4.8552468765818196e-11	0.4802387370487746
ENSG00000004866	7982	ST7	0.5559369059611002	0.5112940565903498	0.533615481275725	116.85512259867386	1.2778959974735521e-10	3.4429216113543967e-10	0.12076790293294182
ENSG00000005194	57019	CIAPIN1	1.6147800705852287	1.3820713792087758	1.4984257248970023	140.60592072773028	2.949524021864014e-11	9.287596468952538e-11	0.22450555861654203
ENSG00000005810	23077	MYCBP2	4.7508911153436735	4.1255403094409875	4.43821571239233	167.6141107986664	7.2251762812243576e-12	2.7291022312403143e-11	0.20361506520392547
ENSG00000006744	60528	ELAC2	1.9442184523667034	1.5356507081443582	1.7399345802555306	106.50658823971008	2.6467458133861047e-10	6.626915466933817e-10	0.3403402244779251
ENSG00000007202	9703	KIAA0100	1.3941162834222782	1.0932988530207217	1.2437075682215	124.06690014399088	7.965458797007404e-11	2.243865772677044e-10	0.350663086291091
ENSG00000007255	79090	TRAPPC6A	0.836618862317405	0.6658505007381716	0.7512346815277882	47.487392615888766	1.162164980963308e-7	1.8508553400526756e-7	0.3293722308617627
ENSG00000008282	6856	SYPL1	6.1018944134925635	5.8258971177521115	5.963895765622337	505.4548569233092	8.49607194920417e-16	1.9013160407633313e-14	0.06677699142152926
ENSG00000008283	1534	CYB561	1.2343670781357494	0.8859132013326811	1.0601401397342154	103.9249547496142	3.206545132500955e-10	7.882203320737641e-10	0.47853422872650864
ENSG00000009335	9690	UBE3C	2.5312197874280624	2.0747193148701712	2.3029695511491166	119.94478944772703	1.0402492244651731e-10	2.849879454282704e-10	0.28691661303326854
ENSG00000010292	9918	NCAPD2	0.5892405383459774	0.5240023844711981	0.5566214614085877	70.01804320300853	6.661889865383735e-9	1.2651940059887442e-8	0.16928331101480387
ENSG00000010322	11188	NISCH	17.05979039866407	6.905258838415193	11.982524618539633	55.68794746820543	3.659221218200866e-8	6.244088773200271e-8	1.304832522467898
ENSG00000010671	695	BTK	4.026004980118565	3.1189821910082376	3.572493585563402	994.1815792553872	3.002120995309934e-18	3.872736083949815e-16	0.36827364172602595
ENSG00000011243	26993	AKAP8L	0.5754483570780223	0.520132210030651	0.5477902835543367	190.5504411185148	2.5680826435284822e-12	1.1225427983395663e-11	0.1458080793016896
ENSG00000012048	672	BRCA1	0.08079564560665374	0.06166861409706301	0.07123212985185835	9.228672858636735	0.0019556126834698634	0.0022588040221333664	0.3897411181647321
ENSG00000012963	55148	UBR7	2.0257582494541326	1.9344829628261107	1.9801206061401213	160.75017561877823	1.0109481653742234e-11	3.654563760786257e-11	0.06651399275188297
ENSG00000013364	9961	MVP	7.3362484617759405	7.302251307265871	7.319249884520904	311.5931191084435	4.640198453583467e-14	3.950493202806929e-13	0.0067011804725551904
ENSG00000013583	50865	HEBP1	10.101466129370666	6.641380301979634	8.37142321567515	346.4143173997582	1.9393589570039433e-14	1.9944811180002425e-13	0.6050096829482432
ENSG00000015475	637	BID	7.327883381018121	6.975554222138606	7.151718801578362	334.71426357084124	2.5742348631928002e-14	2.5049858955797355e-13	0.07108869738330448
ENSG00000015676	23386	NUDCD3	1.0613838182841644	0.8997818492954313	0.9805828337897979	392.538188464172	6.908521031017657e-15	9.000035960056811e-14	0.238299289104498
ENSG00000023041	64429	ZDHHC6	4.8506485466668385	4.691646231355483	4.77114738901116	570.2853056528725	3.1144404163986083e-16	9.405134570437324e-15	0.04808342040437452
ENSG00000023697	51071	DERA	3.580672242060054	2.8750384047074395	3.2278553233837473	429.02365421352744	3.310694337421388e-15	5.142842983837308e-14	0.31664923948753665
