Ensembl	GeneID	Symbol	infected	control	AveExpr	F	P.Value	adj.P.Val	log2FoldChange
ENSG00000000003	7105	TSPAN6	7.113053153216209	7.100146394449361	7.108563845819045	174.43502685640556	3.9531200817764884e-14	8.144906426993564e-14	0.0026201731598414213
ENSG00000004478	2288	FKBP4	0.33052066429776705	0.2962976739536912	0.31861701548243626	109.84099483008958	4.201642719092679e-12	7.666741090724965e-12	0.1576931718291228
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000006451	5898	RALA	2.5666366252493558	2.47128630941425	2.533471298002363	302.92053021461675	1.2777130443178217e-16	3.0216992037131264e-16	0.05461689610751019
ENSG00000006638	6915	TBXA2R	5.077493084316871	4.722116599164464	4.953883872089947	689.022989386669	2.057011502088367e-20	5.570945085201319e-20	0.10468270429865001
ENSG00000007255	79090	TRAPPC6A	6.653391591539598	6.582898737484464	6.628872337955205	1682.420752377713	1.3662207073120465e-24	5.200414551292337e-24	0.015366941940169188
ENSG00000007968	1870	E2F2	0.25470677236439127	0.16460959292144206	0.22336862299293073	37.178380857188216	9.513724270787015e-8	1.3136565894576866e-7	0.6297889058784503
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000013583	50865	HEBP1	0.4239410243736776	0.3981468096182722	0.4149691235891888	98.52482940527484	1.2269163538638778e-11	2.1627487615156076e-11	0.09056308415149261
ENSG00000013619	10046	MAMLD1	0.7983446543719762	0.4135438269119935	0.6645008882989389	17.09756288624586	3.435969009598729e-5	4.235623300865997e-5	0.9489714759077166
ENSG00000023041	64429	ZDHHC6	19.39677537013262	19.21893393123484	19.33491747834209	1596.9966695364456	2.4004933097556667e-24	8.931506160355199e-24	0.013288518096519653
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000025772	10953	TOMM34	7.164899719958955	7.110010544245225	7.145807832754179	1415.733434961285	8.828739422652217e-24	3.037682559005631e-23	0.01109481326464623
ENSG00000026508	960	CD44	0.12367107332553548	0.12086178449798407	0.12269392938551762	153.75933986692843	1.433228174895537e-13	2.8310151095966463e-13	0.033149944894717454
ENSG00000039560	26064	RAI14	2.4093738507941764	2.1864004530255627	2.3318178863529204	96.11819217267742	1.563101842691782e-11	2.736997100014428e-11	0.14010060299908678
ENSG00000052749	23223	RRP12	3.026045031002887	3.0189109047055784	3.0235635957690405	3613.347079332174	3.44506958456105e-28	5.507817626871174e-27	0.003405276570465521
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000062038	1001	CDH3	0.15280317292332726	0.08240076000364277	0.12831537712517616	26.045088345099206	1.6758404343822887e-6	2.184532987780176e-6	0.8909449519868158
ENSG00000064961	10362	HMG20B	0.3930498196021867	0.38693940236665764	0.39092445708548096	29.582988727442252	6.189668911143777e-7	8.240924961555183e-7	0.02260454052542582
ENSG00000065308	9697	TRAM2	6.676666476260193	6.605090894441048	6.651770621714404	1622.8018666382595	2.0184215971568893e-24	7.5628384483162e-24	0.015549559248666966
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000065485	10954	PDIA5	1.7658552226170223	1.6572131259892269	1.7280666672682243	91.8985274405252	2.422327133040575e-11	4.190028380282051e-11	0.09160791305484028
ENSG00000067177	5255	PHKA1	1.434472589920181	1.3310915458903452	1.3985139659098036	31.191501177449965	4.049176480056988e-7	5.431530509971258e-7	0.10791060508605993
ENSG00000067334	30836	DNTTIP2	0.16294972112226605	0.08146833543926574	0.13460836958035294	6.11373802773648	0.00781040581301712	0.008806241640270118	1.0001155465364033
ENSG00000067369	7158	TP53BP1	7.056711676923472	7.004947881176082	7.0387068784026425	1339.0809655034293	1.610834346238027e-23	5.361334644141126e-23	0.01062174894069301
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000071051	8440	NCK2	1.3293335907562467	1.3148094310193221	1.324281709108621	1079.6015384186876	1.6459191628460822e-22	5.086093125150136e-22	0.015849478489920465
ENSG00000071054	9448	MAP4K4	0.6058111361655258	0.5585827662939319	0.5893838770797541	19.620094368009195	1.342616090351089e-5	1.681508676905938e-5	0.11709703486814094
ENSG00000072501	8243	SMC1A	2.733086218510379	2.001217604397318	2.4785232222971407	45.41452989125048	1.7001338757424322e-8	2.4484757250241196e-8	0.44965292347794894
ENSG00000076662	3385	ICAM3	0.568463892210251	0.5451578657359992	0.560357448219207	542.0233484407169	2.6794543496403126e-19	6.835617805639483e-19	0.06039465150442447
ENSG00000076864	5909	RAP1GAP	2.6623430020078582	2.3426435908022216	2.5511432068058983	245.63696983377594	1.1469101723208938e-15	2.636587616255717e-15	0.18455897268244392
ENSG00000077721	7319	UBE2A	8.833487891002479	8.561009243534333	8.738712709274427	802.4256397923093	4.0101676382370345e-21	1.1286748281754648e-20	0.045202312955428425
ENSG00000078674	5108	PCM1	1.8722876893786753	1.8581610324169076	1.8673740695658871	1391.0467740924078	1.067680181641154e-23	3.6527928649276194e-23	0.010926597245588865
ENSG00000080802	4850	CNOT4	0.16287833374110094	0.1569289248770564	0.16080897413621592	45.81488950138188	1.57390051779559e-8	2.271779758509957e-8	0.053683415758130515
ENSG00000081041	2920	CXCL2	0.21462627419498187	0.16295716975630245	0.1966544117815282	41.79781420730893	3.502949316288431e-8	4.941061820200635e-8	0.39733387038137113
ENSG00000083828	54807	ZNF586	32.854693036012335	32.7426892475835	32.81573519655884	158.63634800991332	1.0429950209839897e-13	2.0878091080042098e-13	0.004926643763228711
ENSG00000084652	200081	TXLNA	8.763222572174817	8.756109042574064	8.760748301009336	959.9579126566832	5.833741059897427e-22	1.7355578621170965e-21	0.0011715805908458776
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000086827	9183	ZW10	133.83022437103548	102.25194553535687	122.84647521079947	148.91590737749598	1.983835071811744e-13	3.8775200691044817e-13	0.38827567926422013
ENSG00000088256	2767	GNA11	0.39333776157338507	0.37677357865495764	0.38757630664523646	79.45796118194266	9.868880666429259e-11	1.6403253101587106e-10	0.062070896731770464
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000088808	23368	PPP1R13B	2.1153944550369137	2.1144134188517807	2.115053225059476	3207.1771300848045	1.2567871264166176e-27	1.8007067585917988e-26	6.692200245497215e-4
ENSG00000089022	8550	MAPKAPK5	0.7123360145995066	0.6771490976547727	0.7000970869665557	16.283097626050672	4.739247742934915e-5	5.813622969577639e-5	0.0730844048545326
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
