Ensembl	GeneID	Symbol	baseMean	log2FoldChange	lfcSE	stat	P.Value	adj.P.Val
ENSG00000134028	27299	ADAMDEC1	104.36873325001696	-24.288101357939528	2.8560496556898745	-8.504089314256959	1.830265963595447e-17	8.273412244105952e-14
ENSG00000034533	28990	ASTE1	53.869216062191775	-5.870332914946685	1.5276197526570356	-3.8427972044327365	1.2163997578063875e-4	0.04713027747317834
ENSG00000176720	666	BOK	24.069318222231235	-23.125624680573605	2.7565950041610954	-8.389199227911734	4.8946462141171143e-17	1.6594074327410546e-13
ENSG00000116667	81563	C1orf21	87.45507281634151	-6.045022115171472	1.1936394926835796	-5.064361687280348	4.0977101659298286e-7	2.4160455460945393e-4
ENSG00000155621	138241	C9orf85	14.512934754274303	-7.6889700197956605	1.4075119714970958	-5.462809678000331	4.686569804585873e-8	3.0264082438090012e-5
ENSG00000147724	51059	FAM135B	4.492869773400462	-20.635335127307656	2.9874317497714937	-6.9073829482082845	4.936759879017561e-12	3.523547406281955e-9
ENSG00000127452	54850	FBXL12	148.0685955223523	-3.8793392662999846	0.9918369948594339	-3.911266958589074	9.181321981810995e-5	0.037729668907678454
ENSG00000250208	440119	FZD10-AS1	4.492869773400462	-20.635335127307656	2.9874317497714937	-6.9073829482082845	4.936759879017561e-12	3.523547406281955e-9
ENSG00000123901	10888	GPR83	4.492869773400462	-20.635335127307656	2.9874317497714937	-6.9073829482082845	4.936759879017561e-12	3.523547406281955e-9
ENSG00000025423	8630	HSD17B6	52.95474513172918	-22.94093127641569	2.814863798361803	-8.149925864891536	3.6414744104557047e-16	8.230339080031635e-13
ENSG00000187535	9742	IFT140	61.22742111661819	-9.427910247932765	1.9967528843301203	-4.721620948651181	2.3397242826855766e-6	0.0013220417082291294
ENSG00000211890|IMGT/GENE-DB:IGHA2	3494	IGHA2	97.17448777181968	-5.4650540602803	1.3272965593477626	-4.117432552500433	3.831166006719559e-5	0.018555157934687122
ENSG00000125498	3802	KIR2DL1	69.75714658343743	-9.615061423158755	1.3223423044848435	-7.271234831214584	3.5621606489471713e-13	4.025538380031049e-10
ENSG00000243772	3804	KIR2DL3	19.822077190945066	-8.181051136063731	1.8239896709292567	-4.485250802925754	7.282821844247322e-6	0.003950493881193518
ENSG00000150045	51348	KLRF1	38.98983050642227	-7.823571088224043	1.4841338840630207	-5.271472588986339	1.3533350215010433e-7	8.342080102988931e-5
ENSG00000256001	107984450	LOC107984450	4.492869773400462	-20.635335127307656	2.9874317497714937	-6.9073829482082845	4.936759879017561e-12	3.523547406281955e-9
ENSG00000198934	57692	MAGEE1	25.76474917442954	-23.22392316018479	2.705031222556086	-8.585454750588656	9.04778114249439e-18	6.134848003668321e-14
ENSG00000156265	56911	MAP3K7CL	15.625692330511702	-7.732267115340469	1.886372663320027	-4.099013554263256	4.1491473958432634e-5	0.019402271667251895
ENSG00000164877	79778	MICALL2	13.259648265459834	-7.194229585156447	1.6763116753332672	-4.291701651320995	1.7730907965280948e-5	0.009206717176287375
ENSG00000107672	54780	NSMCE4A	19.132966346190102	-7.018430221297511	1.7380542831362364	-4.038096099411284	5.3886778473222414e-5	0.023572858157269973
ENSG00000164050	5364	PLXNB1	9.109563956353458	-21.78547820840821	2.980718528272019	-7.308800881993269	2.695368311746461e-13	3.322899061417614e-10
ENSG00000221817	101929145	PPP3CB-AS1	78.4187807442395	-7.905900987005898	2.0491794701038213	-3.8580812966105635	1.1428063879949318e-4	0.04558116890470374
ENSG00000167074	7008	TEF	84.66697117312877	-8.070111977905677	2.0498709794152634	-3.9368877646181026	8.254518947870104e-5	0.034981103578770774
ENSG00000218336	55714	TENM3	4.492869773400462	-20.635335127307656	2.9874317497714937	-6.9073829482082845	4.936759879017561e-12	3.523547406281955e-9
ENSG00000108395	4591	TRIM37	18.33243469934948	-7.345189043538321	1.7144386701454553	-4.284311344257736	1.833060716464561e-5	0.009206717176287375
