Ensembl	GeneID	Symbol	baseMean	log2FoldChange	lfcSE	stat	P.Value	adj.P.Val
ENSG00000121410	1	A1BG	103.28220065443769	-1.2436579554698073	0.4355306693683888	-2.8555002963933016	0.004296908276852798	0.029073123656404198
ENSG00000268895	503538	A1BG-AS1	52.83324305970933	-1.8327548642853122	0.3534004007581469	-5.18605768514557	2.1479230360406594e-7	2.92310368908926e-5
ENSG00000175899	2	A2M	249.7829689381785	-2.9817584698496056	0.776865740558061	-3.8381901970701673	1.239444640364319e-4	0.0026185798654230564
ENSG00000094914	8086	AAAS	510.74212995050516	-1.3883103438892583	0.28452578962667535	-4.879383150859022	1.0641814918604391e-6	9.520585936967238e-5
ENSG00000087884	28971	AAMDC	86.4328867264243	-1.0800936520161404	0.3765189197399047	-2.868630486782066	0.004122531102852041	0.028323952203047953
ENSG00000154263	10349	ABCA10	19.634090310480687	-1.2453771843435328	0.4711031340170284	-2.6435340680593256	0.00820455086197534	0.04496840274595611
ENSG00000154265	23461	ABCA5	641.0413943934645	-1.1644964619981413	0.3824267087735941	-3.0450186539861983	0.0023266587863885043	0.019304800379435907
ENSG00000197150	11194	ABCB8	450.13313679593733	-0.9319663880952234	0.3191202448419522	-2.9204238939989215	0.0034955556394043225	0.02530582288451848
ENSG00000173208	225	ABCD2	318.39232185890046	-1.8606374514544013	0.6269461265285479	-2.9677788453003187	0.00299960067048115	0.02293487777016162
ENSG00000183260	140701	ABHD16B	161.43987734609289	-0.7010411787226413	0.26941164504404297	-2.6021190680456154	0.009264967910818912	0.04875835960661978
ENSG00000111271	80724	ACAD10	430.07320631224275	-0.8118205069668901	0.25694345132183277	-3.159529860716512	0.0015802390620763805	0.014870286643397658
ENSG00000122971	35	ACADS	236.90195019643596	-0.9819207825901406	0.3166793168713966	-3.1006786053820443	0.001930777325121409	0.017092151210447392
ENSG00000181513	79777	ACBD4	308.8692766161001	-1.3880591208722626	0.358957372976087	-3.8669190978415484	1.102189719090983e-4	0.002427737089865304
ENSG00000102977	65057	ACD	355.75396231395473	-0.9186161999432806	0.3170792873313885	-2.8971182812808864	0.0037660773530836674	0.02661932849812768
ENSG00000172497	134526	ACOT12	20.195205699151458	-2.4803980301824664	0.6646621961752017	-3.7318175224285595	1.9010319367543637e-4	0.0035096700769376653
ENSG00000234996	148709	ACTG1P25	12.483161602180198	-1.7413376237170664	0.5881413798921057	-2.9607466559086766	0.0030689427019117963	0.023281565326135692
ENSG00000288649	170487	ACTL10	17.88174461669412	-1.8561516969267404	0.6845553502498772	-2.7114705863436837	0.006698548383917247	0.03921438357414165
ENSG00000136518	86	ACTL6A	355.55366385376107	-1.0440413254622702	0.35031255944805645	-2.9803137150070644	0.0028795331826148543	0.022284291682945545
ENSG00000106526	653857	ACTR3C	152.8926486954225	-1.019310995882237	0.3190169981964527	-3.195162018465671	0.001397523626051958	0.013688061676369464
ENSG00000243989	95	ACY1	49.426279171872544	-1.20603083717141	0.4617701313502418	-2.611755839739803	0.009007856093824365	0.04787731883587656
ENSG00000119640	97	ACYP1	89.27688848657695	-1.4042537730578144	0.3916134685884244	-3.58581582528166	3.360260567313712e-4	0.005174195886409614
