Ensembl	GeneID	Symbol	baseMean	log2FoldChange	lfcSE	stat	P.Value	adj.P.Val
ENSG00000163686	57406	ABHD6	93.44008684716326	-0.15488214946699302	0.060845708747360394	-2.545490103666713	0.010912445698522458	0.03165870658184223
ENSG00000097007	25	ABL1	334.6714486069113	-0.17621808204328873	0.054015274593158524	-3.2623750109678826	0.0011048288142298745	0.004685962626294383
ENSG00000182827	64746	ACBD3	269.17689687819467	-0.306137905521114	0.06024443762905034	-5.081596203223447	3.7427637539894497e-7	6.229480455554687e-6
ENSG00000131473	47	ACLY	1009.0686539890338	-0.1760618104382129	0.04360836239075759	-4.037340564651142	5.406056112940128e-5	3.8183673153653744e-4
ENSG00000137845	102	ADAM10	1470.4023847095668	-0.22673586885115754	0.05360171104591746	-4.230011774380227	2.336790805711487e-5	1.8895035505774724e-4
ENSG00000197894	128	ADH5	558.0975813967913	-0.1863433702914307	0.05321193331980204	-3.501909415159057	4.6193664408189175e-4	0.0022633055174976512
ENSG00000181915	84890	ADO	212.81623473601627	-0.1686636341807284	0.049901493497356425	-3.3799315884135517	7.250387422945009e-4	0.0032787374343584384
ENSG00000169252	154	ADRB2	368.7861927607967	-0.18791575836041086	0.07080351766240268	-2.6540455130550082	0.007953309869332261	0.024215231020261276
ENSG00000162688	178	AGL	173.51239849612685	-0.28245427723840405	0.07378302490108016	-3.8281742666024665	1.2909734013044898e-4	7.761618620993701e-4
ENSG00000138279	310	ANXA7	1065.4111169395774	-0.1861065845232568	0.04482847326786105	-4.151526272403358	3.302653426652519e-5	2.5392955199107645e-4
ENSG00000062725	10513	APPBP2	341.77736789920647	-0.13083854826568678	0.041995136443692085	-3.1155643092413263	0.0018359331136688954	0.007124741379583488
ENSG00000150347	84159	ARID5B	256.20837424336594	-0.23352171307362177	0.0683145650104871	-3.4183297959633263	6.300671115006646e-4	0.002920130144049434
ENSG00000188042	10123	ARL4C	2272.273743714872	-0.25639668624746526	0.07289361922748182	-3.517409191157303	4.3578142968319906e-4	0.002153169956707104
ENSG00000128989	10776	ARPP19	1097.4361743753934	-0.2524882252872052	0.04029293223310736	-6.2663154874527605	3.696909661785183e-10	1.955466452500395e-8
ENSG00000123268	466	ATF1	152.30817652903542	-0.3428191961812795	0.07760978059490146	-4.417216406920248	9.998011846541871e-6	9.34667804551668e-5
ENSG00000166454	23300	ATMIN	431.89675902948255	-0.1045863894549802	0.041844112732762895	-2.499429014612411	0.012439361750796256	0.035315795583619206
ENSG00000058063	23200	ATP11B	1024.635909984259	-0.16941713172682393	0.06296002647506728	-2.6908681779845596	0.007126634867976966	0.02210146402884396
ENSG00000017260	27032	ATP2C1	423.4874794538497	-0.16278877903685524	0.04729909683903079	-3.4416889521349887	5.780945698006223e-4	0.0027200355489917054
ENSG00000174684	11041	B4GAT1	49.20644166674371	-0.21233118587400554	0.08245340607216585	-2.5751657328524007	0.01001920653175092	0.029404974339132167
ENSG00000151929	9531	BAG3	101.73326599956945	-0.3104095034128507	0.07753939617950503	-4.003248912259354	6.247850600354108e-5	4.2925176917963585e-4
ENSG00000171791	596	BCL2	573.7086622990504	-0.29543996245510357	0.07885133441222761	-3.746797243919428	1.791067399059918e-4	0.0010242503702505455
ENSG00000161267	622	BDH1	177.08627581644325	-0.22271743994809468	0.07673681924395062	-2.9023543344957203	0.0037036935876030457	0.01278541017272765
ENSG00000126581	8678	BECN1	795.8365495210538	-0.09275628725979156	0.03775718207283777	-2.4566528053087873	0.014023814735393212	0.039098815147555144
ENSG00000134107	8553	BHLHE40	887.6432171777557	-0.35449420962252387	0.07370844037754028	-4.8094113483717384	1.5137541170419535e-6	1.9730946615137197e-5
ENSG00000108578	642	BLMH	357.06030601057495	-0.10819788470232802	0.04307246695773933	-2.5119964642026815	0.012005029149609795	0.0342905233960983
ENSG00000137274	670	BPHL	42.131346601764314	-0.24792844555785853	0.07659825485288824	-3.236737521422919	0.0012090456264461705	0.0050574296306241506
ENSG00000136261	28969	BZW2	291.0166309706298	-0.1197874937639044	0.04700814241012788	-2.548228617902082	0.010827149075661699	0.03146320400106039
ENSG00000111731	9847	C2CD5	475.1068786651841	-0.17078318649444055	0.059460268822153745	-2.872223585218808	0.004075944777966487	0.013873780481436993
ENSG00000135932	51719	CAB39	2072.1252828240335	-0.16899184027353908	0.05371461357464111	-3.1461054827977173	0.0016546031936109289	0.006522939597700658
ENSG00000128595	813	CALU	273.1094519673976	-0.1134342902961394	0.04202914307588888	-2.698943685131043	0.0069559946033964865	0.021648695845266352
ENSG00000147044	8573	CASK	121.87684082608921	-0.3393205686560953	0.07822642614367965	-4.337671876161901	1.4399991692342872e-5	1.2703809026716833e-4
ENSG00000106144	835	CASP2	831.4108573529322	-0.2409907377656073	0.03747000386464072	-6.43156426234113	1.2629736465364285e-10	8.110731020942556e-9
ENSG00000114423	868	CBLB	440.98864539705517	-0.34352979605603257	0.07821955359100358	-4.391865975767262	1.1238197067094097e-5	1.0306298790952287e-4
ENSG00000103540	9738	CCP110	150.98358591863501	-0.1763225850204906	0.06533127722908809	-2.6989000138816324	0.006956907446783608	0.021648797515320044
ENSG00000123374	1017	CDK2	137.3563665006537	-0.24707767023385568	0.06910429097899966	-3.575431666160079	3.496504977748835e-4	0.0017909212085112523
ENSG00000135446	1019	CDK4	396.3213624314146	-0.1038923009460272	0.043133412852868105	-2.408626957027793	0.01601265588074274	0.04363958825958431
ENSG00000176749	8851	CDK5R1	160.34468548790971	-0.3892832455790587	0.11039420540975246	-3.526301440679318	4.214070257465619e-4	0.002093501758283667
