Ensembl	baseMean	log2FoldChange	lfcSE	stat	P.Value	adj.P.Val	GeneID	Symbol
ENSG00000204936	33104.663988814464	7.266989390243263	1.9527006693641664	3.7215070923335745	NA	NA	57126	CD177
ENSG00000204388	106600.68530276934	7.252027397989286	1.557860140912692	4.655120962104207	3.237905562675196e-6	4.6811779233844766e-4	3304	HSPA1B
ENSG00000118113	27930.04803394814	7.189561681137575	1.8670444789575276	3.8507715066070083	NA	NA	4317	MMP8
ENSG00000257335	8477.366530545056	7.05877698348688	1.5628159160789847	4.516704053793454	6.280959043294511e-6	6.413605870642409e-4	8972	MGAM
ENSG00000102010	875.5821086533664	6.906813721498979	1.4853248579787224	4.650035771230539	3.3187746213838656e-6	4.7510536295536474e-4	660	BMX
ENSG00000142910	6938.70745105816	6.813755305737686	1.5185271036004746	4.4870817844357616	7.220536258102004e-6	6.806106023327501e-4	64129	TINAGL1
ENSG00000163958	1144.2403935776497	6.38662944013883	1.678213451677294	3.8056121131407332	1.4145392075591375e-4	0.002287386656564621	131540	ZDHHC19
ENSG00000158089	466.93284031550206	6.1818256631055375	1.41210205059301	4.377747104403318	1.1991237323523363e-5	8.411116559675204e-4	79623	GALNT14
ENSG00000257743	149.02208141964246	5.993036204566426	1.463749274112787	4.094305159057344	4.2343631971420634e-5	0.0013235418372586798	93432	MGAM2
ENSG00000173110	15231.664058649041	5.93411495475797	1.3004372321666104	4.563169069583897	5.0387205717925415e-6	5.850041343603709e-4	3310	HSPA6
ENSG00000167994	147.0239097432699	5.685220496820966	1.526840757819659	3.7235189509477773	NA	NA	5866	RAB3IL1
ENSG00000115590	17381.930866710056	5.626490969852777	1.6381675883221247	3.434624766087363	5.93374847114207e-4	0.00544934560852934	7850	IL1R2
ENSG00000138772	6311.1770116558955	5.543914253884034	1.3332887331381786	4.1580747786229715	3.2094097326432796e-5	0.0011789073388611246	306	ANXA3
ENSG00000162551	16499.898196798433	5.529888545244142	1.7496419618885246	3.1605829453674645	0.0015745376736625996	0.01074364444430901	249	ALPL
ENSG00000134827	783.0841949832467	5.372791862545762	1.0361849746882552	5.185166735468453	2.1582169292239813e-7	2.4241756615791212e-4	6947	TCN1
ENSG00000156414	1080.4053102941884	5.3459813001520295	1.0427948840574006	5.126589497017287	NA	NA	122402	TDRD9
ENSG00000121933	239.2912105081427	5.338132131060946	1.3594837804582967	3.926587582575942	NA	NA	57413	TMIGD3
ENSG00000163221	27281.04877304709	5.248119005813282	1.1034488789324681	4.75610524965196	1.973636000823909e-6	4.059018716060665e-4	6283	S100A12
ENSG00000189127	180.56261186586337	5.244786408028538	1.3917344332601382	3.7685252895141956	1.642148502725067e-4	0.0024733934626629435	340120	ANKRD34B
ENSG00000205213	491.4658841484451	5.2237311680960135	1.0574095496067266	4.940121043959582	NA	NA	55366	LGR4
ENSG00000184611	76.13188059478951	5.219578692806329	1.2123242555374412	4.305431215258836	1.6666077112107236e-5	9.320735965748977e-4	90134	KCNH7
ENSG00000101425	1768.447961582174	5.169480499616242	1.3010353195819664	3.9733590793501588	7.086609189036368e-5	0.0016018369563205734	671	BPI
ENSG00000152463	1601.2818587870477	5.120718190034012	1.5954059700109047	3.2096646786391374	NA	NA	55301	OLAH
ENSG00000012223	8201.89186436371	5.083675630986161	1.3263509963731102	3.832828297251185	1.2667837484476544e-4	0.0021458905214423027	4057	LTF
ENSG00000100985	37815.23893612848	5.065180158917626	1.6383294695867838	3.0916737157851135	NA	NA	4318	MMP9
ENSG00000166527	3173.8408140114057	5.049887999622356	1.100896716793624	4.587067907996147	4.495144998688767e-6	5.515807333685157e-4	338339	CLEC4D
ENSG00000276644	444.6548255851594	4.990049646918643	0.9723777585860096	5.131801507034633	2.869820565131757e-7	2.71303843757834e-4	1602	DACH1
ENSG00000175928	345.85677707720725	4.965842994823813	1.3287088999704761	3.7373445718126472	NA	NA	57633	LRRN1
ENSG00000115904	1077.3142149265173	4.932164984268163	1.3803774034623801	3.573055435344629	NA	NA	6654	SOS1
ENSG00000183019	4965.999534129566	4.9137116794470215	1.1105181589997724	4.424701784140775	9.65755981084228e-6	7.581703675156934e-4	199675	MCEMP1
ENSG00000156113	685.5507249882281	4.88631783837714	1.0869024586847538	4.495636015296173	NA	NA	3778	KCNMA1
ENSG00000185897	548.1799477130985	4.858640622020251	1.482728674272999	3.2768238089160207	0.0010498185775269576	0.008106531395583625	2865	FFAR3
ENSG00000172594	1903.3532980533853	4.851777404924427	0.9884826608440603	4.908308053457931	9.186547886561517e-7	3.748322472648814e-4	10924	SMPDL3A
ENSG00000187116	2040.7260595313219	4.84640326896126	1.3132429535034948	3.690408736656025	2.2389400627090774e-4	0.002959155068330932	353514	LILRA5
ENSG00000163421	4962.359975257918	4.823244336550102	1.299421552934896	3.7118395686574837	2.0575839373286885e-4	0.0028317474696393503	60675	PROK2
ENSG00000065618	309.27199459662796	4.8124245164895	1.4335410183662112	3.3570190561928674	7.878768221228072e-4	0.006614437851001937	1308	COL17A1
ENSG00000233030	230.43310635447128	4.7857925228120886	1.1167661926152808	4.2854024006623606	1.8240871592079887e-5	9.573361986706073e-4	124904411	LOC124904411
ENSG00000127954	7287.941431966273	4.7652508026060305	1.022885866838823	4.658633926904081	3.1831468534253144e-6	4.6811779233844766e-4	79689	STEAP4
ENSG00000133101	247.5987141240648	4.744895226158738	1.0126823062522268	4.685472627362106	2.793146283163479e-6	4.6347184121310365e-4	8900	CCNA1
ENSG00000173535	2770.1010843395156	4.728601258494656	1.08679026199862	4.350978678994329	1.3553123212460048e-5	8.717399179839912e-4	8794	TNFRSF10C
ENSG00000203710	9051.96916870343	4.7177244581691715	0.9302925589195884	5.071226694157571	3.9525959936544684e-7	2.71303843757834e-4	1378	CR1
ENSG00000153208	927.8309053411748	4.71721005768091	0.9503848632924007	4.963473472566858	6.924350265909043e-7	3.3703120860934617e-4	10461	MERTK
ENSG00000196083	6549.511245043686	4.707504207975871	0.926719242103943	5.079752306953681	3.779272915925135e-7	2.71303843757834e-4	3556	IL1RAP
ENSG00000163464	5779.271786452169	4.698484369510236	1.3419317377246378	3.501284184154498	4.630218176511206e-4	0.004663459845246919	3577	CXCR1
ENSG00000123119	259.1640870319348	4.686033626391075	1.0905265746317343	4.297037537093974	NA	NA	64168	NECAB1
ENSG00000148346	5818.2766567125145	4.640823038770256	1.3996437623349893	3.3157173015425663	9.140824483489746e-4	0.007337785547439102	3934	LCN2
ENSG00000115271	13449.087111258194	4.629767720478192	0.9570014771072461	4.83778534435779	1.3129382097583007e-6	4.059018716060665e-4	25801	GCA
ENSG00000096006	476.4178232830396	4.576861733153664	1.3130962132248987	3.485549411427454	4.91127509897833e-4	0.004838613773150218	10321	CRISP3
ENSG00000118804	195.4035458358674	4.534471533597807	1.1115799936791042	4.079302937604721	4.5170942148159344e-5	0.0013525958335320308	8987	STBD1
ENSG00000151726	44066.386107293576	4.531434495152196	0.8727259299110431	5.192276681425158	2.077379745207796e-7	2.4241756615791212e-4	2180	ACSL1
ENSG00000123836	4186.897068730602	4.527695358393717	0.9891673908856685	4.5772792351553	4.710624891843841e-6	5.638077432024899e-4	5208	PFKFB2
ENSG00000183873	66.15360706677878	4.501176349777772	1.179901582308889	3.814874407549866	NA	NA	6331	SCN5A
ENSG00000124785	153.87614966543575	4.495873754657416	1.031834200774807	4.3571668309515745	1.3175683984838396e-5	8.704569346071077e-4	51299	NRN1
ENSG00000148926	4868.054774959517	4.491313653816442	0.9928119769886968	4.523831055542932	6.073020705250588e-6	6.289237470785042e-4	133	ADM
ENSG00000150337	8717.09013403506	4.48143268624174	1.0603875926650752	4.2262213526834485	2.3764822897414474e-5	0.0010297149672048847	2209	FCGR1A
ENSG00000171049	5639.054653429647	4.432943354268074	0.9606641849303137	4.614456772518941	3.941247905266093e-6	5.075378267771239e-4	2358	FPR2
ENSG00000229894	13.758920330477409	4.426400761300022	1.0078058980647293	4.392116348792913	1.1225259662485822e-5	8.236745808624018e-4	2713	GK3
ENSG00000164120	1886.5984295875062	4.423108482300835	0.9759786910024002	4.5319723914852945	NA	NA	3248	HPGD
ENSG00000115604	4854.801278673834	4.418613984503469	0.9188927519835818	4.808628618481493	1.5196923734684948e-6	4.059018716060665e-4	8809	IL18R1
ENSG00000137757	537.8574680414412	4.40153045402762	1.0502202025792615	4.191054831375166	2.776605418791708e-5	0.0011107943102793567	838	CASP5
ENSG00000146122	915.2070926960051	4.396966388641726	1.5421661616281286	2.851162538801699	NA	NA	23500	DAAM2
ENSG00000073737	1431.6582585801777	4.387109774550472	1.1214956965905927	3.9118382601801525	9.159624973817257e-5	0.001802545065602151	10170	DHRS9
ENSG00000162747	7775.018403704661	4.385294490083823	1.4210615643319136	3.0859285763213857	0.002029175583012569	0.012944526807841649	2215	FCGR3B
ENSG00000108950	942.0946356402592	4.363689890128192	1.0627705595050871	4.105956691310948	4.026449216337263e-5	0.001293662935115226	54757	FAM20A
ENSG00000143546	139389.54251518412	4.359830965360436	1.0265059713008295	4.2472533889262065	2.1640716187954674e-5	9.972548352891407e-4	6279	S100A8
ENSG00000163993	2322.0804338551875	4.355733006966854	1.0506086133145283	4.145914046169015	3.3846078583932426e-5	0.0011959124402767542	6286	S100P
ENSG00000174944	829.5879086239538	4.351894031795364	0.8970519882933068	4.851328672795312	NA	NA	9934	P2RY14
ENSG00000272398	3074.6140540334904	4.336108690340467	0.9108694064920819	4.760406551625861	1.932033759597633e-6	4.059018716060665e-4	100133941	CD24
ENSG00000120217	7367.973766792181	4.285267576017638	1.0569925999562693	4.054207736359679	5.0304499054219585e-5	0.0014263034858052707	29126	CD274
ENSG00000134762	1504.9057685273153	4.281166899328346	0.9661813130647882	4.431018113720513	9.37892094730619e-6	7.581703675156934e-4	1825	DSC3
ENSG00000008438	767.76067515147	4.275737698559919	1.1003529426365317	3.885787489525785	1.0199870505112985e-4	0.0018961430866034261	8993	PGLYRP1
ENSG00000181631	5936.2887818348945	4.275337569970247	1.0958578328893076	3.9013615102773085	9.565317890492706e-5	0.0018548840881404314	53829	P2RY13
ENSG00000133063	322.9572855734617	4.272862027375558	0.9130099677070375	4.679973032612733	2.869126532963886e-6	4.6811779233844766e-4	1118	CHIT1
ENSG00000117115	4454.195098236406	4.235431887826565	0.9602887355807255	4.410581662467621	1.0309331719069464e-5	7.840461550096474e-4	11240	PADI2
ENSG00000157554	78.7836771417759	4.218345023994231	0.9047910896935668	4.66223095258696	3.127998746595107e-6	4.6811779233844766e-4	2078	ERG
ENSG00000104918	1148.9458288778276	4.199180741665337	1.1213426674681921	3.7447792396470554	1.8055246414628155e-4	0.002623310528819904	56729	RETN
ENSG00000120306	4383.908438172323	4.198085622869183	1.0296295392455919	4.077277761421952	NA	NA	84418	CYSTM1
ENSG00000152766	6356.831145316908	4.181720346833748	1.0971721913664534	3.8113619537018155	1.382032287024202e-4	0.002262846224901207	118932	ANKRD22
ENSG00000079385	5226.6268708153075	4.180569935577001	1.1000992789272246	3.800175143877683	1.4459385644110514e-4	0.0023176284212437074	634	CEACAM1
ENSG00000239887	39.55013867106715	4.16939428719562	1.2000729473638545	3.474284039444717	5.122185025090561e-4	0.004973011787501056	400793	C1orf226
ENSG00000110203	378.74839708483205	4.165376501988677	1.0743796103335306	3.8770062852324387	NA	NA	2352	FOLR3
ENSG00000197506	74.35940214436361	4.152557938156955	0.8965306455806926	4.631808135757923	NA	NA	64078	SLC28A3
ENSG00000136869	14160.476265335414	4.152287090719424	0.9313036661209257	4.458574836298634	8.250639133269244e-6	7.301565613575606e-4	7099	TLR4
ENSG00000120694	9316.06944475262	4.143224714685382	0.8926682908037574	4.6413934015230085	3.460675399481471e-6	4.812645922212232e-4	10808	HSPH1
ENSG00000163754	10002.361610986349	4.131914490398131	0.9238229859806704	4.472625766084354	NA	NA	2992	GYG1
ENSG00000143226	19406.16176037739	4.123720952787571	0.952542684953526	4.329171823925943	1.4967112627043606e-5	8.884137340654095e-4	2212	FCGR2A
ENSG00000177575	8524.123206292177	4.072012201907054	1.3223239260085928	3.079436227247538	NA	NA	9332	CD163
ENSG00000086548	187.19826766495135	4.068308113496855	1.365755256057778	2.978797332429776	0.002893821135644188	0.016616427928696987	4680	CEACAM6
ENSG00000100504	8969.023495004434	4.057156831044379	0.9930056443059366	4.085733907263072	4.393771069976203e-5	0.001344649204113047	5836	PYGL
ENSG00000111052	1347.3190355941545	4.040439977856085	0.9824277840222061	4.11270939560964	3.910425070124452e-5	0.0012845445793296672	8825	LIN7A
ENSG00000163803	1392.2142514062496	4.014287102943826	1.0259546802562995	3.91273335966555	9.12572805734833e-5	0.001802545065602151	151056	PLB1
ENSG00000105352	839.4292446860732	4.009794045301432	1.517840931458423	2.6417748804867234	NA	NA	1089	CEACAM4
ENSG00000163220	283890.22261094087	4.002643511861881	0.9762908724653261	4.09984731471925	4.13422802409894e-5	0.0013095010327091696	6280	S100A9
ENSG00000171051	24274.678774679214	3.984311000831714	0.9699024094938404	4.107950410094344	3.991857832236237e-5	0.0012921108291433342	2357	FPR1
ENSG00000249437	2480.235748707787	3.9541324432828935	0.9725087755160601	4.065909267692356	4.7845548976900146e-5	0.001372575061219442	4671	NAIP
ENSG00000174125	5162.585671229328	3.930694672542545	0.8370662765266251	4.695798627622192	2.6556707133929473e-6	4.6347184121310365e-4	7096	TLR1
ENSG00000204257	305.68195606604854	3.9290695820477395	1.0353724596740639	3.7948368679659628	1.4774056393937864e-4	0.002339217670101895	3108	HLA-DMA
ENSG00000271447	9654.483791581019	3.9249438208560594	0.9621865757876766	4.079192039904501	4.5192493575619765e-05	0.0013525958335320308	79148	MMP28
ENSG00000121316	10857.375432827057	3.9090653206832506	0.9682261425975421	4.037347421952552	5.4058981477274246e-5	0.0014457312225845396	79887	PLBD1
ENSG00000135636	8403.68652920245	3.8989240654684596	0.9462396938224575	4.120440191763941	3.7814922289139165e-5	0.001263554909075538	8291	DYSF
ENSG00000178814	578.0905108750535	3.8952883922641797	0.8674017712462719	4.490754482398022	7.097132261826265e-6	6.773354593933798e-4	26873	OPLAH
ENSG00000132002	38498.01200396123	3.883032565966824	0.9330363472015577	4.161716290703087	3.158646278277449e-5	0.0011734373057534439	3337	DNAJB1
ENSG00000106070	829.7479803746397	3.8813419735030155	0.8639224265189244	4.492697323696567	7.032670454391626e-6	6.773354593933798e-4	2887	GRB10
ENSG00000111537	3339.2357309604904	3.8803259371311274	1.380926121007373	2.809944629261169	NA	NA	3458	IFNG
ENSG00000198814	6460.366294350771	3.879496392027488	0.8638240617566811	4.49107238821075	7.0865458908393386e-6	6.773354593933798e-4	2710	GK
ENSG00000183762	2739.870086232208	3.8762639629824576	0.914560538325077	4.238389697068533	2.2512874452013472e-5	0.0010110489105725447	83999	KREMEN1
ENSG00000165029	3632.2139452751194	3.863352228330946	0.8058505086434199	4.794130160486674	1.6338217432946264e-6	4.059018716060665e-4	19	ABCA1
ENSG00000103569	30644.71300537256	3.8599469655710004	1.017231187286184	3.794562154419139	1.4790422878053146e-4	0.002339217670101895	366	AQP9
