Ensembl	baseMean	log2FoldChange	lfcSE	stat	P.Value	adj.P.Val	GeneID	Symbol
ENSG00000148677	518.5365604463105	9.69706140680721	0.7246291953748615	13.382101450923152	7.694082674371698e-41	2.1523107496270717e-38	27063	ANKRD1
ENSG00000134460	29763.871226906806	9.443553522000808	0.5983952384847779	15.781465016187683	4.1738673165707525e-56	3.8676098022173735e-53	3559	IL2RA
ENSG00000173918	2943.5536634566124	9.330841175823819	0.7802278793891806	11.959122997666634	5.8173048222221203e-33	8.7118546761884e-31	114897	C1QTNF1
ENSG00000176177	418.3918536159763	9.244036146769915	0.7877329164746429	11.734987777507047	8.433850778278375e-32	1.068720270416711e-29	150350	ENTHD1
ENSG00000125538	42678.63795519445	9.15332435355025	0.8724042462965809	10.492067630810801	9.394961790629302e-26	6.895529876627228e-24	3553	IL1B
ENSG00000166670	14304.306346531288	9.1393054712885	0.9725184816372845	9.39756482149523	5.584045212728779e-21	2.7323120238916464e-19	4319	MMP10
ENSG00000115009	1295.2158008337904	9.042100796566663	0.6717275881077343	13.460963873820313	2.654309730465074e-41	7.567845396899075e-39	6364	CCL20
ENSG00000113302	25456.15493898372	8.982210602672083	0.5986791168033981	15.00338052650294	6.977321350797753e-51	4.4976420150838034e-48	3593	IL12B
ENSG00000173404	2033.960538684322	8.661439594020434	0.595850947383177	14.536252114827095	7.139600639129717e-48	3.307866221116787e-45	3642	INSM1
ENSG00000163735	20241.054116771582	8.551686938843496	1.4861503739961957	5.754254137721185	8.702515675368718e-9	7.594084602885029e-8	6374	CXCL5
ENSG00000131203	54515.79106004099	8.518081335840527	0.5796203676383417	14.695966207239021	6.841561148582645e-49	3.622606628174511e-46	3620	IDO1
ENSG00000164400	665.4309732569108	8.511574819929178	0.9285633751478419	9.16639084389259	4.891209971113395e-20	2.1646889263202148e-18	1437	CSF2
ENSG00000166510	432.99770525014725	8.438720177855206	0.9241404571794558	9.13142597783328	6.760288240602054e-20	2.9741256218150163e-18	80323	CCDC68
ENSG00000169429	160121.04105458126	8.435283727568326	0.7692482988628112	10.965618955593799	5.591662888307708e-28	4.9641912564101846e-26	3576	CXCL8
ENSG00000205755	10893.90561760473	8.426652243613482	0.44388747510999144	18.983757632551878	2.323674048191693e-80	1.722539571924502e-76	64109	CRLF2
ENSG00000197632	1296.080957980056	8.337352389595639	0.9717634861046223	8.579610685946292	9.519477912314088e-18	3.2222780714148097e-16	5055	SERPINB2
ENSG00000103888	2925.012123766119	8.16043185526471	1.2935094664208007	6.308753099306644	2.812924349196634e-10	3.2864000316146016e-9	57214	CEMIP
ENSG00000140519	213.6739275901165	8.106223940342625	0.6972368387445471	11.62621291631519	3.032552849517578e-31	3.5402069722005993e-29	51458	RHCG
ENSG00000146674	615.5280349661609	8.01770906565859	0.6672427028848976	12.016180965326615	2.9216552434243122e-33	4.608134110532856e-31	3486	IGFBP3
ENSG00000087494	97.78130167179609	7.958182935111467	0.88106726945495	9.032435105703787	1.6789338011670992e-19	7.031602411328648e-18	5744	PTHLH
ENSG00000050730	1062.6818160470696	7.832189371191568	1.1701915098579565	6.693083401487229	2.185165129907368e-11	3.115120982308331e-10	79931	TNIP3
ENSG00000123610	6248.796784870446	7.823645346480032	0.6651595918145804	11.762057471255632	6.122390934058888e-32	7.96233052529448e-30	7130	TNFAIP6
ENSG00000205364	1039.9122969802895	7.803854439373979	1.3276072573163042	5.878134814620632	4.149149511351953e-9	3.844705665956503e-8	4499	MT1M
ENSG00000073712	2881.977110299331	7.702376158221957	0.5448459146345687	14.13679712251855	2.253078701400442e-45	9.028147250530528e-43	10979	FERMT2
ENSG00000105246	9153.370453287733	7.640825078021908	0.4453891302826478	17.155391900051477	5.728233682551291e-66	1.415446542958424e-62	10148	EBI3
ENSG00000125726	576.5270353822033	7.5410547716315754	0.7447536163724858	10.125569860757741	4.254929050950561e-24	2.7913087659023457e-22	970	CD70
ENSG00000145839	504.5309354115014	7.463152941647358	1.311386564752942	5.691039653935585	1.2626817710933716e-8	1.068522827524562e-7	3578	IL9
ENSG00000111537	235.57876706958336	7.450537084619975	1.2854014880157838	5.796272335207136	6.780512450222604e-9	6.005853824632977e-8	3458	IFNG
