Ensembl	baseMean	log2FoldChange	lfcSE	stat	P.Value	adj.P.Val	GeneID	Symbol
ENSG00000231494	4.7236444029446165	-4.1353864087049175e-5	0.829440737139384	-4.985752716905661e-5	0.9999602194488484	NA	100270955	RPL21P35
ENSG00000101342	323.3649192102708	-4.8620310610343224e-5	0.34460772444737153	-1.410888588998199e-4	0.999887427378156	0.999887427378156	140711	TLDC2
ENSG00000101152	2386.9001868527334	-6.361613146248721e-5	0.1624793938735382	-3.915335350893864e-4	0.9996876014452972	0.9997870547812062	80331	DNAJC5
ENSG00000170633	1338.1844241727197	-8.641844538110497e-5	0.10255106862805848	-8.426869318596301e-4	0.999327633187056	0.9995755824805296	80196	RNF34
ENSG00000009307	12119.295976574733	-1.8715021438845203e-4	0.1148992274736338	-0.0016288204760245	0.9987003898645168	0.9995755824805296	7812	CSDE1
ENSG00000130270	80.94998001089375	-1.9775847624354376e-4	0.3648770178237461	-5.419866601164533e-4	0.9995675572329036	0.9997384819177928	148229	ATP8B3
ENSG00000117153	1092.5881694588854	-2.473829342849675e-4	0.13514473032351867	-0.00183050373989992	0.9985394701430856	0.9995755824805296	59349	KLHL12
ENSG00000106459	507.4464164855251	-3.343372804268908e-4	0.1701511361040582	-0.00196494298000115	0.9984322033422766	0.9995755824805296	4899	NRF1
ENSG00000288573	7.587591854262338	-3.96343161962349e-4	0.8135720624766835	-4.871641741922621e-4	0.9996112992422108	NA	101929609	LOC101929609
ENSG00000140853	3400.2667916256155	-4.0068198475817817e-4	0.21311558970370556	-0.00188011578747123	0.9984998855244314	0.9995755824805296	84166	NLRC5
ENSG00000130176	12.268024431519086	-6.26584469445036e-4	0.7664531266105771	-8.175117925553116e-4	0.9993477200351016	0.9995755824805296	1264	CNN1
ENSG00000284640	8.104706314354098	-7.613752004042659e-4	0.7836390532353891	-9.715891484233678e-4	0.9992247841409948	NA	105378644	LOC105378644
ENSG00000168803	89.57588677773056	-8.168053935234562e-4	0.24016322720422964	-0.00340104271179227	0.9972863657611069	0.9992335346490452	161823	ADAL
ENSG00000105245	103.04447450453496	-8.779183309415507e-4	0.30853172095002723	-0.00284547186343846	0.9977296449956984	0.9994954373566748	9253	NUMBL
ENSG00000139428	142.74483713083723	-9.252730817153668e-4	0.30767805911338486	-0.00300727677619152	0.997600543906882	0.9994231655115078	326625	MMAB
ENSG00000107372	2894.670832701281	-0.00103869870877816	0.1717466047644875	-0.00604785585253639	0.9951745386057812	0.9989195060167528	7763	ZFAND5
ENSG00000091317	6866.525052953921	-0.00104957739332298	0.2024111849897715	-0.00518537250486438	0.9958626898770918	0.9989195060167528	54918	CMTM6
ENSG00000114744	548.769375585298	-0.0011359241742693	0.13143955468742258	-0.0086421791139711	0.9931046245461592	0.9985196491449708	51122	COMMD2
ENSG00000112992	860.7431609826106	-0.00117731258597144	0.16198672894468033	-0.00726795703352653	0.9942010603475064	0.9988349151984388	23530	NNT
ENSG00000089009	13379.442544547492	-0.00118490550841277	0.17677995159171814	-0.00670271429392272	0.9946520477934576	0.9989195060167528	6128	RPL6
ENSG00000176473	107.1497475507693	-0.00128098249868259	0.26078438355148126	-0.00491203683762649	0.9960807774057387	0.9989195060167528	79446	WDR25
ENSG00000120963	708.9882401397439	-0.00136865166094935	0.15307541156714172	-0.00894102878403199	0.9928661862242052	0.9985196491449708	51123	ZNF706
ENSG00000136045	1101.028238710213	-0.00151156912821784	0.15781795894698697	-0.00957792850891958	0.9923580355598898	0.9983892236666122	11137	PWP1
ENSG00000166226	1258.1430733701832	-0.00154680623505232	0.17010500770366013	-0.00909324337909563	0.9927447414863522	0.9985196491449708	10576	CCT2
ENSG00000185808	150.66297176538964	-0.00158865099400275	0.2483977748255221	-0.00639559269449433	0.9948970901198056	0.9989195060167528	51227	PIGP
ENSG00000107651	1236.0887500754686	-0.00160753599861648	0.16024996725638704	-0.01003142793810722	0.9919962127618496	0.9981969001796176	11196	SEC23IP
ENSG00000138758	852.0672038408386	-0.00161164763519988	0.2508623726836386	-0.00642442953065872	0.9948740821261324	0.9989195060167528	55752	SEPTIN11
ENSG00000169813	5950.623811765763	-0.001626885594809	0.10228510729567462	-0.01590540048128596	0.9873098615871192	0.9969687599280188	3185	HNRNPF
ENSG00000221823	3106.134926432519	-0.00170242760374075	0.18526017935384023	-0.00918938764756985	0.992668032664058	0.9985196491449708	5534	PPP3R1
ENSG00000089154	1189.8643619684797	-0.00172380682535649	0.14048161248289284	-0.01227069361526876	0.9902096487033896	0.9977151137409346	10985	GCN1
ENSG00000110436	24.709835160375444	-0.00182844023163406	0.5799527496886111	-0.00315273999927717	0.9974844815976308	0.9993639487606272	6506	SLC1A2
ENSG00000263956	556.3650884708472	-0.0018588579185408	0.2208477735455056	-0.0084169194404751	0.9932843492235408	0.9985196491449708	200030	NBPF11
ENSG00000113300	918.99342328856	-0.0018693452242839	0.14148253919405449	-0.01321255071426125	0.9894582164929786	0.9974734760888369	57472	CNOT6
ENSG00000152433	36.281886980692704	-0.00193068167332575	0.3754641812121672	-0.00514211946154929	0.9958972003524564	0.9989195060167528	284306	ZNF547
ENSG00000102054	1803.4496534648663	-0.00208430933502689	0.15630584028537306	-0.01333481417726617	0.9893606729570652	0.9974734760888369	5931	RBBP7
