Unnamed: 0	GSM4273334	GSM4273341	GSM4273348	GSM4273355	GSM4273362	GSM4273369	GSM4273376	GSM4273383
ENSG00000000003	15	9	12	12	17	10	15	5
ENSG00000000419	758	711	619	700	629	801	737	862
ENSG00000000457	236	213	232	224	194	274	177	259
ENSG00000000460	260	156	230	177	187	158	147	135
ENSG00000000938	26819	22577	22447	22777	24042	27442	27542	29615
ENSG00000000971	30	25	58	32	13	22	17	19
ENSG00000001036	3854	3097	3144	2642	3142	3534	3217	3355
ENSG00000001084	9198	4754	7842	5607	12586	10985	8771	7534
ENSG00000001167	1126	1039	1106	1136	1045	1054	1048	1063
ENSG00000001460	170	91	131	91	180	155	137	126
ENSG00000001461	798	589	704	625	985	831	719	807
ENSG00000001497	775	643	697	686	608	644	660	685
ENSG00000001561	684	815	538	815	813	582	894	778
ENSG00000001626	1	5	4	1	4	4	10	6
ENSG00000001629	1209	1044	975	1094	1168	1116	1065	1212
ENSG00000001630	4623	3403	3623	3206	3812	3996	3760	3900
ENSG00000001631	690	725	739	824	782	737	683	875
ENSG00000002016	217	247	193	219	179	212	201	225
ENSG00000002330	403	263	348	273	317	385	372	328
ENSG00000002549	5433	7561	4841	7666	4754	6351	7737	10423
ENSG00000002586	3746	2593	3458	3024	4024	3398	3427	3129
ENSG00000002587	4	4	13	13	2	4	1	1
ENSG00000002726	207	97	169	110	1565	1011	1063	795
ENSG00000002746	3	1	2	1	2	2	1	3
ENSG00000002822	947	614	743	514	736	966	630	604
ENSG00000002834	34862	27974	27936	27657	31550	29812	30579	31485
ENSG00000002919	1286	1016	1165	932	1195	1254	1196	1364
ENSG00000002933	216	174	1388	1054	1656	2787	2167	2775
ENSG00000003056	18454	17051	16413	17266	19822	17908	22214	20601
ENSG00000003147	353	292	241	210	320	276	269	254
ENSG00000003249	5	3	1	2	23	20	11	3
ENSG00000003393	751	666	667	694	732	645	683	657
ENSG00000003400	878	667	726	642	831	925	735	925
ENSG00000003402	6202	11134	5290	11556	5233	5646	9348	9462
ENSG00000003436	485	670	397	755	496	549	585	762
ENSG00000003509	320	322	297	315	265	315	280	330
ENSG00000003756	2556	2142	2547	2384	2655	2646	2339	2667
ENSG00000003987	21	28	15	26	21	18	22	24
ENSG00000004059	2032	1397	1734	1396	1682	1907	1538	1498
ENSG00000004139	112	147	77	109	85	121	87	176
ENSG00000004142	2341	2039	1973	2097	2055	2164	2232	2547
ENSG00000004399	20416	18672	21233	22260	18891	18138	20474	19031
ENSG00000004455	1802	1620	1485	1722	1389	1586	1643	1832
ENSG00000004468	5	26	2	38	1	4	9	18
ENSG00000004478	1605	1881	1094	1487	987	1444	1367	2012
ENSG00000004487	1311	1141	1273	1196	1193	1352	1175	1343
ENSG00000004534	1471	1404	1746	2026	1375	1470	1337	1737
ENSG00000004660	604	303	564	249	460	547	384	392
ENSG00000004700	1587	1478	1491	1360	1418	1478	1293	1558
ENSG00000004766	1275	1152	1153	1217	1445	1322	1598	1424
ENSG00000004777	81	33	84	68	34	48	19	43
ENSG00000004779	1401	1251	1141	908	921	1366	1410	1144
ENSG00000004799	24	4	55	17	95	63	28	14
ENSG00000004809	267	259	223	185	216	158	271	264
ENSG00000004838	16	3	23	6	16	16	8	5
