Unnamed: 0	GSM6506628	GSM6506629	GSM6506634	GSM6506635	GSM6506640	GSM6506643
ENSG00000000003	300	360	332	269	496	451
ENSG00000000419	923	1013	1122	1012	1013	1147
ENSG00000000457	262	248	328	284	261	347
ENSG00000000460	251	290	218	204	182	161
ENSG00000000938	5598	6693	6271	5854	8287	6491
ENSG00000000971	27	24	167	115	31	60
ENSG00000001036	3472	3893	5464	4480	4443	5065
ENSG00000001084	1754	1837	2849	2579	3696	3442
ENSG00000001167	4260	4777	4698	4193	5106	4572
ENSG00000001460	267	344	341	336	510	550
ENSG00000001461	1421	1665	1625	1380	2623	2247
ENSG00000001497	1181	1310	1321	1221	1310	1193
ENSG00000001561	808	908	876	710	1062	987
ENSG00000001617	108	123	185	176	163	209
ENSG00000001626	5	5	1	2	4	2
ENSG00000001629	2149	2202	2723	2356	3160	3254
ENSG00000001630	6608	6843	8167	7116	7602	8650
ENSG00000001631	947	1023	1000	1044	1059	1082
ENSG00000002016	270	279	249	235	504	358
MYH16	11	6	7	7	23	14
ENSG00000002330	750	988	807	697	1226	1220
ENSG00000002549	2307	2794	10661	9033	2322	5868
ENSG00000002586	1373	1623	1707	1574	2296	2113
ENSG00000002726	1611	1949	2030	1762	1342	1603
ENSG00000002746	4	1	10	5	5	16
ENSG00000002822	1331	1563	1740	1637	1690	1849
ENSG00000002834	23810	27690	24142	21587	34115	29604
ENSG00000002919	1440	1759	2172	1796	1971	2340
ENSG00000002933	39	36	46	54	31	35
ENSG00000003056	10187	11220	15919	13774	12518	15287
ENSG00000003096	32	35	15	38	25	41
ENSG00000003137	3	7	32	38	14	20
ENSG00000003147	244	211	261	229	375	285
ENSG00000003249	165	197	122	113	391	277
ENSG00000003393	1454	1525	1762	1591	2192	2114
ENSG00000003400	315	325	489	498	408	483
ENSG00000003402	8820	9042	13991	13108	12446	15317
ENSG00000003436	437	483	745	593	896	834
ENSG00000003509	451	450	542	554	600	637
ENSG00000003756	2403	2561	2836	2725	3500	3257
ENSG00000003987	54	47	62	47	63	47
ENSG00000003989	89	111	67	57	90	59
ENSG00000004059	1388	1573	1386	1249	2017	1685
ENSG00000004139	36	30	35	44	62	55
ENSG00000004142	3409	4199	4539	4101	3951	4470
ENSG00000004399	14234	16613	15937	13583	15942	12886
ENSG00000004455	3379	3828	4244	3823	3472	4107
ENSG00000004468	21	35	152	111	18	76
ENSG00000004478	2312	2589	2552	2260	3007	3077
ENSG00000004487	2400	2906	2516	2336	3161	2952
ENSG00000004534	2808	2684	3046	2718	3747	3589
ENSG00000004660	331	364	407	421	677	683
ENSG00000004700	3029	3215	3058	2781	3484	2994
ENSG00000004766	532	557	720	619	561	700
ENSG00000004776	1	11	7	12	19	17
ENSG00000004777	315	326	167	156	289	195
ENSG00000004779	1087	1364	1351	1163	1629	1697
ENSG00000004799	11	8	7	15	2	4
ENSG00000004809	546	622	744	586	623	640
ENSG00000004838	32	26	20	22	25	22
ENSG00000004848	12	10	14	10	23	25
ENSG00000004864	1236	1344	1549	1315	1126	1115
ENSG00000004897	6003	6710	7446	6649	6698	7537
ENSG00000004939	5	1	8	7	2	1
ENSG00000004961	624	747	813	764	727	912
ENSG00000004975	1221	1320	1307	1296	1777	1819
ENSG00000005001	225	269	516	518	443	510
ENSG00000005007	2807	3568	3946	3502	4206	4885
ENSG00000005020	3460	3814	3488	2964	3841	3603
ENSG00000005022	4850	5794	5152	4340	6829	5567
ENSG00000005059	74	87	81	72	156	122
ENSG00000005073	221	233	379	316	401	549
ENSG00000005075	1162	1462	1416	1232	1284	1343
ENSG00000005100	1217	1376	1476	1380	1489	1593
ENSG00000005108	423	503	489	468	717	726
ENSG00000139263	982	1016	989	939	1372	1233
ENSG00000005175	2249	2503	3072	2701	2261	2705
ENSG00000005187	13	17	16	16	15	14
ENSG00000005189	152	123	108	75	87	84
ENSG00000005194	1042	1257	1342	1128	1249	1409
ENSG00000005206	857	996	965	960	1478	1317
ENSG00000005238	2385	2679	3264	2841	3534	3673
ENSG00000005243	293	395	464	423	293	379
ENSG00000005249	92	112	105	91	133	100
ENSG00000005302	837	930	857	847	1230	1041
ENSG00000005339	2964	3539	4212	3968	3537	3831
ENSG00000005379	313	289	303	348	310	339
ENSG00000005436	498	538	553	468	615	563
ENSG00000005448	252	290	192	166	517	325
ENSG00000005469	264	279	282	244	344	326
ENSG00000005471	1438	1517	1731	1538	1173	1083
ENSG00000005483	4855	5055	4991	4527	6955	5806
ENSG00000005486	1483	1751	2082	1704	1777	1997
ENSG00000005700	1673	1810	2178	1926	2144	2155
ENSG00000005801	828	865	1040	1043	996	1029
ENSG00000005810	4833	5441	4846	4596	7690	6114
ENSG00000005812	1585	1852	1863	1670	2170	2026
ENSG00000005844	233	269	137	138	162	95
ENSG00000005882	518	631	537	540	873	811
ENSG00000005884	1411	1775	1325	1240	7500	4434
ENSG00000005889	1016	1111	1327	1199	1331	1462
ENSG00000005893	9557	10276	14495	12684	12161	14170
