ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	bp_gene_length	log_observed_expected
GO:0000022	mitotic spindle elongation	0.005822416302765648	12/16075	1.0113016690087873e-6	6.292318984572674e-5	5.949647397989593e-5	INCENP/RACGAP1/AURKB/CDCA8/KIF23/PRC1/BIRC5/KIF4A	8	2	1.6298967732588305
GO:0000070	mitotic sister chromatid segregation	0.04730713245997089	197/16075	1.4714835774773843e-22	4.577785409532143e-19	4.328485112905843e-19	MAPRE1/MAD2L2/RAB11A/ARHGEF10/ANAPC5/KMT5A/GEN1/CHMP2A/NCAPD2/XRCC3/TUBG1/RMDN1/NAA10/CCSAP/DSN1/TRIP13/INCENP/SPAG5/KNTC1/SMC2/KIF18A/KNSTRN/ZWILCH/ANAPC15/RACGAP1/KIF14/NCAPG2/PLK1/CCNB1/BUB1/CENPK/KIF22/AURKB/NUSAP1/CDCA5/PSRC1/NCAPD3/CENPF/MAD2L1/CENPE/NCAPG/KIFC1/CDT1/TTK/KIF11/TPX2/NCAPH/ZWINT/KIF18B/NDC80/DSCC1/SPC24/KIF2C/CDCA8/KIF15/KIF23/PRC1/BUB1B/BIRC5/NUF2/CDC20/NEK2/KIF4A/DLGAP5/MYBL2	65	17	1.584776337978361
GO:0000075	cell cycle checkpoint signaling	0.03784570596797671	186/16075	6.676546150462601e-15	3.217455494515654e-12	3.0422370127811316e-12	MAD2L2/PTPN11/BABAM1/GEN1/INIP/RPL26/TOPBP1/NABP2/XRCC3/CHEK1/RBBP8/TRIP13/INCENP/KNTC1/FANCD2/MSH2/TIMELESS/ZWILCH/ANAPC15/PRKDC/ORC1/PLK1/BLM/DNA2/CCNB1/BUB1/BRCA1/RAD51/FBXO4/AURKB/EME1/CENPF/DTL/MAD2L1/CLSPN/CDT1/GTSE1/CDC6/TTK/WDR76/ZWINT/NDC80/E2F1/TICRR/SPC24/CDC45/CDCA8/BUB1B/CDK1/BIRC5/NUF2/CDC20	52	NA	NA
GO:0000076	DNA replication checkpoint signaling	0.006550218340611353	18/16075	5.662728644753619e-6	3.1458480024693764e-4	2.9745291725120286e-4	TOPBP1/TIMELESS/ORC1/DNA2/CLSPN/CDT1/CDC6/TICRR/CDC45	9	10	0.13824189648111335
GO:0000077	DNA damage checkpoint signaling	0.015283842794759825	121/16075	0.0013437769454271635	0.03714916421945336	0.03512606858896696	PTPN11/BABAM1/RPL26/TOPBP1/CHEK1/FANCD2/MSH2/PRKDC/PLK1/BLM/BRCA1/RAD51/FBXO4/EME1/DTL/CLSPN/GTSE1/WDR76/E2F1/TICRR/CDK1	21	32	-0.17761105293736376
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	0.015283842794759825	101/16075	1.058077645451882e-4	0.004636168387325077	0.004383688628932964	AKT1/IPO5/CCND3/CCNY/CEBPA/ACTB/HHEX/CCNB2/PKMYT1/CDC25A/PLK1/BLM/CCNB1/CCNE1/CCNE2/PSRC1/GADD45A/CDKN3/CDC6/CCNA2/CDC25C	21	27	-0.007712016141966319
GO:0000086	G2/M transition of mitotic cell cycle	0.026928675400291122	134/16075	7.886537230553254e-11	1.0667398836630946e-8	1.0086466036970741e-8	RAD51C/RAB11A/BABAM1/INIP/TOPBP1/NABP2/CCNY/CALM3/CALM2/CHEK1/RBBP8/CDK6/CDC7/AURKA/PKMYT1/RRM1/CDC25A/KIF14/ORC1/PLK1/BLM/CCNB1/BRCA1/AURKB/MELK/CIT/CENPF/DTL/CLSPN/CDC6/TICRR/USH1C/CCNA2/CDK1/FHL1/CDC25C/NES	37	34	0.3281598001670031
GO:0000212	meiotic spindle organization	0.004366812227074236	16/16075	0.0014577031260871692	0.03977995109874723	0.0376135862036066	TUBG1/MYH9/AURKA/CCNB2/ASPM/NDC80	6	NA	NA
GO:0000281	mitotic cytokinesis	0.01455604075691412	83/16075	1.6456394393340736e-5	8.257394025432747e-4	7.807706983394005e-4	CFL1/CHMP2A/INCENP/SPTBN1/ECT2/RACGAP1/PLK1/RASA1/AURKB/NUSAP1/CIT/CENPA/CEP55/STMN1/CDCA8/KIF23/BIRC5/ANLN/KIF20A/KIF4A	20	43	-0.5218654300006318
GO:0000723	telomere maintenance	0.021834061135371178	156/16075	1.9706150054164814e-5	9.731084574366148e-4	9.201142243335602e-4	EXOSC10/RAD51C/MAD2L2/ERCC1/XRCC5/NABP2/XRCC3/ACTL6A/RPA1/NHP2/NSMCE1/CCT8/RUVBL2/PCNA/PARP1/STN1/RUVBL1/PRKDC/APEX1/BLM/DNA2/CCNE1/FEN1/RAD51/FBXO4/AURKB/RECQL4/CCNE2/EXO1/NEK2	30	30	0.24360241213893985
