ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	bp_gene_length	log_observed_expected	pseudocount
GO:0000018	regulation of DNA recombination	0.020618556701030927	131/16075	0.0012854405643508884	0.023942038352755757	0.022013132409681575	PAXIP1/ERCC2/MSH6/CHEK1/RADX/TIMELESS/NSD2/ATAD5/FANCB/RAD51AP1/PARPBP/RAD51/BLM/POLQ	14	89	-0.8338362292710662	0.4217637969825215
GO:0000022	mitotic spindle elongation	0.011782032400589101	12/16075	4.1444247293875115e-9	1.9255634896538898e-7	1.7704292105989683e-7	INCENP/RACGAP1/KIF23/AURKB/CDCA8/BIRC5/PRC1/KIF4A	8	8	1.015742810845815	1.740171055376451
GO:0000070	mitotic sister chromatid segregation	0.09572901325478646	197/16075	1.492633649488109e-40	3.1554275350178628e-37	2.9012084566103095e-37	SMC3/ANAPC15/MAD1L1/GEN1/CHEK2/SLF1/CCSAP/DSN1/INCENP/KNSTRN/XRCC3/KNTC1/NCAPD3/NCAPD2/SMC4/SMC2/SPDL1/FBXO5/RACGAP1/KIF22/HASPIN/CCNB1/ZWINT/SPAG5/DSCC1/MAD2L1/SGO1/KIF18A/PSRC1/CENPE/CENPK/KIF23/TTK/TRIP13/BUB1/TPX2/NCAPG2/AURKB/ESPL1/KIF2C/KIF11/SPC24/NUF2/CDCA5/NDC80/CDCA8/NUSAP1/KIFC1/ESCO2/CDT1/NEK2/NCAPG/KIF14/BIRC5/PRC1/DLGAP5/KIF18B/PLK1/KIF4A/CENPF/KIF15/MYBL2/CDC20/BUB1B/SPC25	65	110	0.489649714949036	1.2656887962906525
GO:0000075	cell cycle checkpoint signaling	0.07658321060382917	186/16075	1.2471402356204762e-28	1.0545817832406747e-25	9.696187137150356e-26	ANAPC15/MAD1L1/RFWD3/GEN1/CHEK2/TOPBP1/PRKDC/CASP2/INCENP/XRCC3/CHEK1/BARD1/KNTC1/DONSON/TIMELESS/SPDL1/ORC1/H2AX/BRCA1/FANCD2/DNA2/HASPIN/CCNB1/RAD51/ZWINT/MAD2L1/E2F1/EME1/CLSPN/BLM/TTK/TRIP13/BUB1/AURKB/WDR76/SPC24/NUF2/NDC80/CDCA8/CDT1/CDK1/CDC45/GTSE1/CDC6/BIRC5/PLK1/CENPF/TICRR/CDC20/DTL/BUB1B/SPC25	52	106	0.30354743531517536	1.1113406484114043
GO:0000076	DNA replication checkpoint signaling	0.013254786450662739	18/16075	1.4022240708398405e-8	5.700580164914275e-7	5.241309204060255e-7	TOPBP1/TIMELESS/ORC1/DNA2/CLSPN/CDT1/CDC45/CDC6/TICRR	9	12	0.7280607383940342	1.4749703723116558
GO:0000077	DNA damage checkpoint signaling	0.03240058910162003	121/16075	6.244022023514948e-9	2.838680119937763e-7	2.609980003717115e-7	RFWD3/CHEK2/TOPBP1/PRKDC/CASP2/CHEK1/BARD1/DONSON/H2AX/BRCA1/FANCD2/RAD51/E2F1/EME1/CLSPN/BLM/WDR76/CDK1/GTSE1/PLK1/TICRR/DTL	22	72	-0.16988085481192428	0.7664796894879581
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	0.025036818851251842	101/16075	1.028809911392697e-6	3.346006388744864e-5	3.0764332006260977e-5	CCNE1/HHEX/TFAP4/CCNB1/CCNF/PSRC1/CCNB2/BLM/CDKN3/CCNE2/CDC25A/CCNA2/PKMYT1/CDC6/CDKN2C/PLK1/CDC25C	17	32	0.3832202521023046	1.1763182262889131
GO:0000086	G2/M transition of mitotic cell cycle	0.048600883652430045	134/16075	9.024911291201923e-17	9.306664619317495e-15	8.556867111273095e-15	CHEK2/TOPBP1/CALM2/AURKA/RRM1/CHEK1/BARD1/CDC25B/DONSON/ORC1/BRCA1/FBXO5/FHL1/CDC7/CCNB1/WEE1/MELK/CLSPN/BLM/AURKB/CDC25A/CCNA2/PKMYT1/FOXM1/CDK1/KIF14/CDC6/CIT/PLK1/CENPF/TICRR/CDC25C/DTL	33	33	1.0157428108458153	1.7401710553764511
GO:0000132	establishment of mitotic spindle orientation	0.010309278350515464	34/16075	4.61422736098756e-4	0.009289977753454954	0.00854152463364765	SPDL1/MAD2L1/GPSM2/NDC80/SAPCD2/PLK1/CENPA	7	23	-0.1738412560280213	0.7639286698534121
GO:0000212	meiotic spindle organization	0.008836524300441826	16/16075	3.0930314260599365e-5	7.647565420690884e-4	7.031434322215664e-4	AURKA/FBXO5/CCNB2/ESPL1/NDC80/ASPM	6	4	1.4212079189539792	2.1286177271270916
GO:0000281	mitotic cytokinesis	0.026509572901325478	83/16075	8.340191709256716e-9	3.6731594319518115e-7	3.3772289454259925e-7	INCENP/RACGAP1/CKAP2/KIF20B/KIF23/AURKB/ESPL1/CDCA8/NUSAP1/CEP55/BIRC5/ANLN/CIT/PLK1/KIF4A/KIF20A/STMN1/CENPA	18	63	-0.23702015764955287	0.7240363111391984
